datetime,original,predicted
20180504090200,112625.0,112862.23309189083
20180504090300,112500.0,112685.86558997633
20180504090400,112500.0,112565.33359736206
20180504090500,112625.0,112509.20877456666
20180504090600,112625.0,112573.69775027038
20180504090700,112750.0,112629.80062514545
20180504090800,112625.0,112694.2237570882
20180504090900,112500.0,112685.86558997633
20180504091000,112500.0,112565.33359736206
20180504091100,112625.0,112509.20877456666
20180504091200,112750.0,112573.69775027038
20180504091300,112500.0,112694.2237570882
20180504091400,112500.0,112621.42450064422
20180504091500,112750.0,112509.20877456666
20180504091600,112500.0,112638.14482539894
20180504091700,112625.0,112621.42450064422
20180504091800,112750.0,112573.69775027038
20180504091900,112875.0,112694.2237570882
20180504092000,112875.0,112814.6280527115
20180504092100,112750.0,112870.60522586109
20180504092200,112750.0,112806.26789033414
20180504092300,112750.0,112750.26677399875
20180504092400,112750.0,112750.26677399875
20180504092500,112750.0,112750.26677399875
20180504092600,112625.0,112750.26677399875
20180504092700,112750.0,112685.86558997633
20180504092800,112750.0,112694.2237570882
20180504092900,112625.0,112750.26677399875
20180504093000,112750.0,112685.86558997633
20180504093100,112750.0,112694.2237570882
20180504093200,112875.0,112750.26677399875
20180504093300,112875.0,112814.6280527115
20180504093400,112875.0,112870.60522586109
20180504093500,112875.0,112870.60522586109
20180504093600,112750.0,112870.60522586109
20180504093700,112750.0,112806.26789033414
20180504093800,112875.0,112750.26677399875
20180504093900,112875.0,112814.6280527115
20180504094000,112625.0,112870.60522586109
20180504094100,112625.0,112741.89464002849
20180504094200,112875.0,112629.80062514545
20180504094300,112750.0,112758.61296951772
20180504094400,112750.0,112806.26789033414
20180504094500,112750.0,112750.26677399875
20180504094600,112750.0,112750.26677399875
20180504094700,112750.0,112750.26677399875
20180504094800,112750.0,112750.26677399875
20180504094900,112750.0,112750.26677399875
20180504095000,112750.0,112750.26677399875
20180504095100,112750.0,112750.26677399875
20180504095200,112750.0,112750.26677399875
20180504095300,112750.0,112750.26677399875
20180504095400,112750.0,112750.26677399875
20180504095500,112625.0,112750.26677399875
20180504095600,112875.0,112685.86558997633
20180504095700,112625.0,112758.61296951772
20180504095800,112750.0,112741.89464002849
20180504095900,112750.0,112694.2237570882
20180504100000,112625.0,112750.26677399875
20180504100100,112750.0,112685.86558997633
20180504100200,112875.0,112694.2237570882
20180504100300,112625.0,112814.6280527115
20180504100400,112750.0,112741.89464002849
20180504100500,112875.0,112694.2237570882
20180504100600,112750.0,112814.6280527115
20180504100700,112750.0,112806.26789033414
20180504100800,112875.0,112750.26677399875
20180504100900,112625.0,112814.6280527115
20180504101000,112750.0,112741.89464002849
20180504101100,112750.0,112694.2237570882
20180504101200,112875.0,112750.26677399875
20180504101300,112625.0,112814.6280527115
20180504101400,112875.0,112741.89464002849
20180504101500,112750.0,112758.61296951772
20180504101600,112750.0,112806.26789033414
20180504101700,112750.0,112750.26677399875
20180504101800,112750.0,112750.26677399875
20180504101900,112625.0,112750.26677399875
20180504102000,112625.0,112685.86558997633
20180504102100,112875.0,112629.80062514545
20180504102200,112625.0,112758.61296951772
20180504102300,113125.00000000001,112741.89464002849
20180504102400,113375.0,112887.26768791677
20180504102500,113625.0,113239.20658081771
20180504102600,113625.0,113478.72623056175
20180504102700,113750.0,113589.96427655221
20180504102800,113750.0,113653.86664420368
20180504102900,113750.0,113709.40086841585
20180504103000,113875.0,113709.40086841585
20180504103100,113750.0,113773.23938757183
20180504103200,113625.0,113764.89718258382
20180504103300,114125.0,113645.5204486847
20180504103400,114125.0,113845.33830583097
20180504103500,114125.0,114066.91852360965
20180504103600,114125.0,114066.91852360965
20180504103700,114250.0,114066.91852360965
20180504103800,114250.0,114130.5515304208
20180504103900,114250.0,114185.8223795891
20180504104000,114375.0,114185.8223795891
20180504104100,114250.0,114249.38954263927
20180504104200,114250.0,114241.05132818224
