datetime,original,predicted
20180504090200,53150.0,53310.276383161545
20180504090300,53225.0,53191.97752922773
20180504090400,53125.0,53099.273297190666
20180504090500,52550.0,53081.5050393343
20180504090600,52200.0,52746.57812863588
20180504090700,52550.0,52314.571602642536
20180504090800,52575.0,52338.672748208046
20180504090900,52600.0,52506.330309808254
20180504091000,52550.0,52530.1190584898
20180504091100,52500.0,52515.64284265041
20180504091200,52350.0,52468.04159581661
20180504091300,52200.0,52369.24653798342
20180504091400,52300.0,52225.89290589094
20180504091500,52600.0,52210.575410723686
20180504091600,52875.0,52408.558306097984
20180504091700,52825.0,52681.17756694555
20180504091800,52850.0,52776.62943005562
20180504091900,53050.0,52767.376270890236
20180504092000,53150.0,52879.75967973471
20180504092100,53225.0,53017.80530512333
20180504092200,53200.0,53099.273297190666
20180504092300,53100.0,53119.33246552944
20180504092400,53025.0,53057.99306333065
20180504092500,52900.0,52976.46569758654
20180504092600,52800.0,52880.40365576744
20180504092700,52825.0,52774.905766546726
20180504092800,52925.0,52743.7035292387
20180504092900,52975.0,52805.44210523367
20180504093000,52975.0,52874.62065964937
20180504093100,52950.0,52896.51127755642
20180504093200,52975.0,52883.8473290205
20180504093300,52975.0,52885.56825220585
20180504093400,52925.0,52896.51127755642
20180504093500,52800.0,52871.18155360222
20180504093600,52800.0,52785.87254136801
20180504093700,52775.0,52731.003043055534
20180504093800,52725.0,52718.29890310764
20180504093900,52625.0,52681.889137625694
20180504094000,52600.0,52608.98557007313
20180504094100,52450.0,52552.176836133
20180504094200,52350.0,52464.58878815174
20180504094300,52500.0,52347.11020439863
20180504094400,52650.0,52379.57390397787
20180504094500,52650.0,52522.517400979996
20180504094600,52600.0,52588.682512938976
20180504094700,52575.0,52563.20024430752
20180504094800,52575.0,52528.39813530445
20180504094900,52575.0,52517.365592718124
20180504095000,52675.0,52517.365592718124
20180504095100,52675.0,52568.35753321648
20180504095200,52775.0,52612.43198364973
20180504095300,52800.0,52663.33166658878
20180504095400,52800.0,52720.02073973417
20180504095500,52800.0,52731.003043055534
20180504095600,52775.0,52731.003043055534
20180504095700,52700.0,52718.29890310764
20180504095800,52675.0,52669.171296060085
20180504095900,52625.0,52623.44169020653
20180504100000,52575.0,52586.96067631245
20180504100100,52525.0,52539.427937567234
20180504100200,52475.0,52491.8476998806
20180504100300,52450.0,52444.22270357609
20180504100400,52400.0,52409.33290421963
20180504100500,52375.0,52372.69843220711
20180504100600,52425.0,52337.75930702686
20180504100700,52500.0,52352.27754116058
20180504100800,52575.0,52412.77292370796
20180504100900,52550.0,52484.246042370796
20180504101000,52625.0,52504.608473181725
20180504101100,52650.0,52531.83632791042
20180504101200,52675.0,52577.66367197037
20180504101300,52625.0,52601.41862332821
20180504101400,52575.0,52586.96067631245
20180504101500,52600.0,52539.427937567234
20180504101600,52600.0,52530.1190584898
20180504101700,52600.0,52541.14886075258
20180504101800,52525.0,52541.14886075258
20180504101900,52475.0,52502.885723114014
20180504102000,52500.0,52444.22270357609
20180504102100,52500.0,52434.890988469124
20180504102200,52475.0,52445.9454536438
20180504102300,52475.0,52433.170065283775
20180504102400,52450.0,52422.11377322674
20180504102500,52475.0,52409.33290421963
20180504102600,52400.0,52411.05656772852
20180504102700,52375.0,52383.76385867596
20180504102800,52375.0,52337.75930702686
20180504102900,52425.0,52326.68291926384
20180504103000,52450.0,52352.27754116058
20180504103100,52425.0,52387.20935881138
20180504103200,52350.0,52385.48660874367
20180504103300,52350.0,52336.03655695915
20180504103400,52375.0,52302.79643237591
20180504103500,52375.0,52315.60105085373
20180504103600,52325.0,52326.68291926384
20180504103700,52250.0,52301.072768867016
20180504103800,52200.0,52240.444937348366
20180504103900,52200.0,52181.4731746912
20180504104000,52200.0,52159.24092978239
20180504104100,52250.0,52159.24092978239
20180504104200,52250.0,52184.91776138544
20180504104300,52275.0,52207.138131558895
20180504104400,52225.0,52219.965586066246
20180504104500,52175.0,52205.416294932365
20180504104600,52225.0,52157.51909315586
20180504104700,52225.0,52160.96276640892
20180504104800,52250.0,52183.19592475891
20180504104900,52175.0,52196.02885991335
20180504105000,52150.0,52168.634758889675
20180504105100,52075.0,52122.42925018072
20180504105200,52050.0,52072.73256927729
20180504105300,52050.0,52026.4411970973
20180504105400,52025.0,52015.28990715742
20180504105500,51975.0,52002.41678059101
20180504105600,51900.0,51965.49731492996
20180504105700,51875.0,51904.485838115215
20180504105800,51975.0,51858.042834699154
20180504105900,52050.0,51898.47356826067
20180504110000,52100.0,51981.82233572006
20180504110100,52075.0,52041.031593084335
20180504110200,52000.0,52050.45465230942
20180504110300,51975.0,52000.69220364094
20180504110400,51975.0,51954.333236813545
20180504110500,51975.0,51943.16915869713
20180504110600,51975.0,51943.16915869713
20180504110700,52075.0,51943.16915869713
20180504110800,52050.0,51994.70002949238
20180504110900,52050.0,52026.4411970973
20180504111000,52050.0,52015.28990715742
20180504111100,52050.0,52015.28990715742
20180504111200,52025.0,52015.28990715742
20180504111300,52000.0,52002.41678059101
20180504111400,52050.0,51978.38140279055
20180504111500,52050.0,51992.98093318939
20180504111600,52100.0,52015.28990715742
20180504111700,52075.0,52041.031593084335
20180504111800,52050.0,52050.45465230942
20180504111900,52075.0,52026.4411970973
20180504112000,52025.0,52028.16212028265
20180504112100,52025.0,52013.56807053089
20180504112200,52100.0,51991.26001000404
20180504112300,52175.0,52029.883043468
20180504112400,52175.0,52101.88961178064
20180504112500,52200.0,52135.27771383524
20180504112600,52175.0,52148.12161028385
20180504112700,52175.0,52146.39886021614
20180504112800,52200.0,52135.27771383524
20180504112900,52175.0,52148.12161028385
20180504113000,52175.0,52146.39886021614
20180504113100,52175.0,52135.27771383524
20180504113200,52125.0,52135.27771383524
20180504113300,52150.0,52109.57987308502
20180504113400,52125.0,52100.17142891884
20180504113500,52100.0,52098.44959229231
20180504113600,52050.0,52074.45714622736
20180504113700,52075.0,52037.58609294891
20180504113800,52050.0,52028.16212028265
20180504113900,52025.0,52026.4411970973
20180504114000,52025.0,52002.41678059101
20180504114100,52050.0,51991.26001000404
20180504114200,52050.0,52004.13770377636
20180504114300,52075.0,52015.28990715742
20180504114400,52050.0,52028.16212028265
20180504114500,52050.0,52026.4411970973
20180504114600,52050.0,52015.28990715742
20180504114700,51975.0,52015.28990715742
20180504114800,51950.0,51976.65591239929
20180504114900,52025.0,51930.27684986591
20180504115000,52025.0,51957.777823507786
20180504115100,52075.0,51991.26001000404
20180504115200,52050.0,52017.01265722513
20180504115300,52075.0,52026.4411970973
20180504115400,52025.0,52028.16212028265
20180504115500,52050.0,52013.56807053089
20180504115600,52075.0,52004.13770377636
20180504115700,52050.0,52028.16212028265
20180504115800,52050.0,52026.4411970973
20180504115900,52050.0,52015.28990715742
20180504120000,52075.0,52015.28990715742
20180504120100,52075.0,52028.16212028265
20180504120200,52050.0,52039.31066989899
20180504120300,52050.0,52026.4411970973
20180504120400,51975.0,52015.28990715742
20180504120500,51925.0,51976.65591239929
20180504120600,51975.0,51917.38362759352
20180504120700,51925.0,51920.82821428776
20180504120800,51925.0,51917.38362759352
20180504120900,51950.0,51895.032635331154
20180504121000,51950.0,51907.93225169182
20180504121100,51975.0,51919.10729110241
20180504121200,51925.0,51931.999599933624
20180504121300,51925.0,51917.38362759352
20180504121400,51975.0,51895.032635331154
20180504121500,51950.0,51920.82821428776
20180504121600,51925.0,51930.27684986591
20180504121700,51950.0,51906.20950162411
20180504121800,51925.0,51907.93225169182
20180504121900,51975.0,51906.20950162411
20180504122000,51900.0,51920.82821428776
20180504122100,51850.0,51904.485838115215
20180504122200,51825.0,51845.132257044315
20180504122300,51850.0,51809.832322597504
20180504122400,51875.0,51811.555072665215
20180504122500,51950.0,51835.665352642536
20180504122600,51875.0,51885.573038458824
20180504122700,51850.0,51880.407528579235
20180504122800,51900.0,51833.94351601601
20180504122900,51950.0,51848.576843738556
20180504123000,51950.0,51896.755385398865
20180504123100,51925.0,51919.10729110241
20180504123200,51900.0,51906.20950162411
20180504123300,51900.0,51882.13119208813
20180504123400,51900.0,51870.94975858927
20180504123500,51875.0,51870.94975858927
20180504123600,51950.0,51858.042834699154
20180504123700,51975.0,51885.573038458824
20180504123800,51950.0,51931.999599933624
20180504123900,51925.0,51930.27684986591
20180504124000,51950.0,51906.20950162411
20180504124100,51975.0,51907.93225169182
20180504124200,51925.0,51931.999599933624
20180504124300,51950.0,51917.38362759352
20180504124400,51975.0,51907.93225169182
20180504124500,52050.0,51931.999599933624
20180504124600,52050.0,51981.82233572006
20180504124700,52075.0,52015.28990715742
20180504124800,52050.0,52028.16212028265
