datetime,original,predicted
20180504090200,348375.0,346531.8795889616
20180504090300,350000.0,347013.798750937
20180504090400,350000.0,348201.6788125038
20180504090500,349125.0,348943.93753260374
20180504090600,348750.0,348520.5375701189
20180504090700,348125.0,347939.1506910324
20180504090800,347750.0,347464.7671505809
20180504090900,347125.0,346996.80007994175
20180504091000,346125.0,346521.6953083873
20180504091100,345375.0,345749.2816671729
20180504091200,345000.0,344925.28756707907
20180504091300,345250.0,344397.91841059923
20180504091400,345250.0,344347.2084030509
20180504091500,344000.0,344462.21989393234
20180504091600,343375.0,343853.1153574586
20180504091700,342625.0,342972.4175706506
20180504091800,342125.0,342317.83816963434
20180504091900,341625.0,341727.1498963237
20180504092000,341250.0,341251.46067887545
20180504092100,340750.0,340836.6781845689
20180504092200,341500.0,340418.2149246335
20180504092300,341875.0,340554.1545525193
20180504092400,341875.0,341084.81898903847
20180504092500,341375.0,341258.2253292203
20180504092600,341750.0,341013.5290250182
20180504092700,342375.0,340965.8282920718
20180504092800,342000.0,341445.0739249587
20180504092900,341750.0,341550.4980161786
20180504093000,341250.0,341254.8678740859
20180504093100,340750.0,340894.5010229945
20180504093200,340750.0,340418.2149246335
20180504093300,340500.0,340186.69974058867
20180504093400,340500.0,340064.1650632024
20180504093500,340625.0,339948.33286106586
20180504093600,340500.0,340009.62506979704
20180504093700,340375.0,340006.2427446246
20180504093800,340125.0,339887.0406523347
20180504093900,340000.0,339706.5339162946
20180504094000,339375.0,339529.32246029377
20180504094100,338875.0,339164.6655276418
20180504094200,338875.0,338629.13899868727
20180504094300,339875.0,338396.93988859653
20180504094400,339875.0,338888.085834682
20180504094500,339875.0,339352.08613425493
20180504094600,339750.0,339352.08613425493
20180504094700,339875.0,339290.7317504287
20180504094800,340375.0,339294.08920556307
20180504094900,340000.0,339597.3668843508
20180504095000,340000.0,339645.2292725444
20180504095100,340500.0,339471.387706697
20180504095200,340875.0,339716.60628169775
20180504095300,340875.0,340132.18461722136
20180504095400,341000.0,340305.8520928025
20180504095500,341375.0,340367.0821264386
20180504095600,341250.0,340608.66967588663
20180504095700,341250.0,340720.99520266056
20180504095800,341250.0,340663.1723642349
20180504095900,341500.0,340663.1723642349
20180504100000,341875.0,340785.57025641203
20180504100100,342125.0,341084.81898903847
20180504100200,342375.0,341380.5610463023
20180504100300,342875.0,341618.3932200074
20180504100400,343125.0,341978.3621504903
20180504100500,343250.0,342331.3923403621
20180504100600,342750.0,342507.80795514584
20180504100700,343125.0,342321.2577998638
20180504100800,343625.0,342273.66898208857
20180504100900,344125.0,342690.9384801984
20180504101000,344250.0,343165.57072103024
20180504101100,344125.0,343456.9605216384
20180504101200,344125.0,343453.57819646597
20180504101300,344125.0,343396.00405842066
20180504101400,344375.0,343396.00405842066
20180504101500,345125.0,343517.9169848561
20180504101600,345375.0,343998.692125082
20180504101700,345500.0,344465.58978408575
20180504101800,346000.0,344641.42095297575
20180504101900,346625.0,344942.24893301725
20180504102000,347000.0,345475.9599491954
20180504102100,347125.0,345945.1332166791
20180504102200,347500.0,346177.8670325875
20180504102300,347750.0,346417.31575876474
20180504102400,347875.0,346710.5335071683
20180504102500,348000.0,346885.70562005043
20180504102600,348500.0,347003.60203534365
20180504102700,348375.0,347303.3357337117
20180504102800,347875.0,347471.5691059828
20180504102900,347875.0,347171.9224527478
20180504103000,348375.0,346942.96888262033
20180504103100,348875.0,347185.5139285326
20180504103200,348625.0,347656.726539135
20180504103300,348875.0,347764.27701860666
20180504103400,349000.0,347771.0914090276
20180504103500,349125.0,347945.9526464343
20180504103600,349250.0,348063.65010142326
20180504103700,349125.0,348181.3351213932
20180504103800,349375.0,348177.94036120176
20180504103900,349500.0,348241.85635894537
20180504104000,349750.0,348416.59324616194
20180504104100,349750.0,348594.6875885129
20180504104200,349625.0,348708.85349810123
20180504104300,349875.0,348648.3695656061
20180504104400,349875.0,348712.2482582927
20180504104500,349625.0,348826.389297843
20180504104600,349625.0,348705.43386787176
20180504104700,349875.0,348591.29282832146
20180504104800,350000.0,348712.2482582927
20180504104900,350250.0,348886.8607953191
20180504105000,350250.0,349064.80591744184
20180504105100,350250.0,349178.88478189707
20180504105200,350000.0,349178.88478189707
20180504105300,349750.0,349057.99152702093
20180504105400,349875.0,348822.9696676135
20180504105500,349625.0,348769.32499557734
20180504105600,349750.0,348705.43386787176
20180504105700,350000.0,348651.7767608166
20180504105800,350125.0,348829.79649305344
20180504105900,350250.0,349004.3592900038
20180504110000,350125.0,349121.8577846885
20180504110100,350250.0,349118.450589478
20180504110200,350000.0,349121.8577846885
20180504110300,349750.0,349057.99152702093
20180504110400,349125.0,348822.9696676135
20180504110500,348875.0,348406.37166053057
20180504110600,348875.0,347999.6967986226
20180504110700,348750.0,347885.4065388441
20180504110800,348625.0,347824.8604312539
20180504110900,348750.0,347707.1008011699
20180504111000,348500.0,347710.52043139935
20180504111100,348125.0,347646.54225856066
20180504111200,347500.0,347350.36497563124
20180504111300,347000.0,346875.5089044571
20180504111400,346750.0,346346.411280334
20180504111500,346625.0,345995.6815689802
20180504111600,346750.0,345820.2358856797
20180504111700,346750.0,345823.6430808902
20180504111800,346750.0,345880.9933885932
20180504111900,346875.0,345880.9933885932
20180504112000,346875.0,345941.73845648766
20180504112100,347250.0,345999.07632917166
20180504112200,347375.0,346181.26179277897
20180504112300,347250.0,346413.9085635543
20180504112400,347375.0,346410.52623838186
20180504112500,347375.0,346413.9085635543
20180504112600,347250.0,346471.1966961622
20180504112700,347125.0,346410.52623838186
20180504112800,347375.0,346292.5179079175
20180504112900,347250.0,346356.5955609083
20180504113000,347125.0,346410.52623838186
20180504113100,347250.0,346292.5179079175
20180504113200,347250.0,346295.8753630519
20180504113300,347125.0,346353.2256707549
20180504113400,347250.0,346292.5179079175
20180504113500,347250.0,346295.8753630519
20180504113600,347000.0,346353.2256707549
20180504113700,346625.0,346231.78527504206
20180504113800,346750.0,345934.93650108576
20180504113900,346500.0,345823.6430808902
20180504114000,345875.0,345759.5156878233
20180504114100,345875.0,345340.8285975456
20180504114200,345750.0,345053.7537485361
20180504114300,345875.0,344992.9092004895
20180504114400,345750.0,344996.30396068096
20180504114500,345750.0,344992.9092004895
20180504114600,345750.0,344935.4967176914
20180504114700,346125.0,344935.4967176914
20180504114800,346375.0,345117.9806217551
20180504114900,346250.0,345411.79525107145
20180504115000,346375.0,345465.8129736781
20180504115100,346500.0,345469.19529885054
20180504115200,346875.0,345587.3777195811
20180504115300,346750.0,345827.0254060626
20180504115400,346625.0,345938.35613131523
20180504115500,346750.0,345820.2358856797
20180504115600,346750.0,345823.6430808902
20180504115700,346625.0,345880.9933885932
20180504115800,346750.0,345820.2358856797
20180504115900,346500.0,345823.6430808902
20180504120000,346500.0,345759.5156878233
20180504120100,346250.0,345644.72802728415
20180504120200,346375.0,345523.2130214572
20180504120300,346375.0,345469.19529885054
20180504120400,346125.0,345526.5953466296
20180504120500,346375.0,345405.0306007266
20180504120600,346250.0,345411.79525107145
20180504120700,346125.0,345465.8129736781
20180504120800,346125.0,345347.6305529475
20180504120900,346250.0,345290.2180701494
20180504121000,346500.0,345351.01287811995
20180504121100,346125.0,345529.99010682106
20180504121200,346625.0,345462.4182134867
20180504121300,346625.0,345533.3724319935
20180504121400,346750.0,345762.91044801474
20180504121500,346875.0,345823.6430808902
20180504121600,346750.0,345941.73845648766
20180504121700,346875.0,345938.35613131523
20180504121800,346750.0,345941.73845648766
20180504121900,346875.0,345938.35613131523
20180504122000,346750.0,345941.73845648766
20180504122100,346625.0,345938.35613131523
20180504122200,346875.0,345820.2358856797
20180504122300,346750.0,345884.40058380365
20180504122400,346750.0,345938.35613131523
20180504122500,346750.0,345880.9933885932
20180504122600,346875.0,345880.9933885932
20180504122700,346625.0,345941.73845648766
20180504122800,346750.0,345877.6110634208
20180504122900,347000.0,345823.6430808902
20180504123000,347250.0,346002.4586543441
20180504123100,347375.0,346238.59966546297
20180504123200,347375.0,346413.9085635543
20180504123300,347125.0,346471.1966961622
20180504123400,347250.0,346349.81847554445
20180504123500,347250.0,346295.8753630519
20180504123600,347250.0,346353.2256707549
20180504123700,347250.0,346353.2256707549
20180504123800,346875.0,346353.2256707549
20180504123900,347000.0,346171.07751220465
20180504124000,347125.0,346059.8213970661
20180504124100,347250.0,346177.8670325875
20180504124200,347250.0,346295.8753630519
20180504124300,347250.0,346353.2256707549
20180504124400,347125.0,346353.2256707549
20180504124500,347250.0,346292.5179079175
20180504124600,347250.0,346295.8753630519
20180504124700,347125.0,346353.2256707549
20180504124800,347250.0,346292.5179079175
20180504124900,347250.0,346295.8753630519
20180504125000,347250.0,346353.2256707549
20180504125100,347750.0,346353.2256707549
20180504125200,347750.0,346595.96967697144
20180504125300,347250.0,346825.0724673271
20180504125400,347250.0,346582.37820118666
20180504125500,347500.0,346353.2256707549
20180504125600,347875.0,346474.59145635366
20180504125700,347625.0,346771.19152992964
20180504125800,347625.0,346821.66527211666
20180504125900,347625.0,346707.12631195784
20180504130000,347750.0,346707.12631195784
20180504130100,347875.0,346767.7967697382
20180504130200,347750.0,346885.70562005043
20180504130300,347875.0,346882.323294878
20180504130400,347875.0,346885.70562005043
20180504130500,348125.0,346942.96888262033
20180504130600,348000.0,347064.260058105
20180504130700,347750.0,347118.0788204074
20180504130800,347625.0,346939.5865574479
20180504130900,347875.0,346764.4144445658
20180504131000,347875.0,346828.4423574805
20180504131100,348125.0,346942.96888262033
20180504131200,348250.0,347064.260058105
20180504131300,348125.0,347239.345125854
20180504131400,348375.0,347235.93793064356
20180504131500,348250.0,347299.9658435583
20180504131600,348125.0,347353.7597358227
20180504131700,348250.0,347235.93793064356
20180504131800,348250.0,347239.345125854
20180504131900,348125.0,347296.55864834785
20180504132000,348250.0,347235.93793064356
20180504132100,348625.0,347239.345125854
20180504132200,348375.0,347478.3710613847
20180504132300,348125.0,347528.7453234196
20180504132400,348500.0,347293.1638881564
20180504132500,348250.0,347360.5616912246
20180504132600,348125.0,347410.9732583165
20180504132700,348000.0,347235.93793064356
20180504132800,347625.0,347118.0788204074
20180504132900,347625.0,346878.90366464853
20180504133000,347750.0,346707.12631195784
20180504133100,347750.0,346767.7967697382
20180504133200,347625.0,346825.0724673271
20180504133300,347750.0,346764.4144445658
20180504133400,347625.0,346767.7967697382
20180504133500,347375.0,346764.4144445658
20180504133600,347375.0,346585.7853963971
20180504133700,347250.0,346471.1966961622
20180504133800,347125.0,346410.52623838186
20180504133900,347125.0,346292.5179079175
20180504134000,347375.0,346235.1800352335
20180504134100,347375.0,346356.5955609083
20180504134200,347625.0,346471.1966961622
20180504134300,347375.0,346592.587351799
20180504134400,347125.0,346585.7853963971
20180504134500,347250.0,346349.81847554445
20180504134600,346750.0,346295.8753630519
20180504134700,346750.0,346110.3448793292
20180504134800,346875.0,345880.9933885932
20180504134900,346875.0,345941.73845648766
20180504135000,346625.0,345999.07632917166
20180504135100,346625.0,345877.6110634208
20180504135200,346875.0,345762.91044801474
20180504135300,346500.0,345884.40058380365
20180504135400,346500.0,345816.82869046926
20180504135500,346250.0,345644.72802728415
20180504135600,346125.0,345523.2130214572
20180504135700,346125.0,345347.6305529475
20180504135800,345875.0,345290.2180701494
20180504135900,345625.0,345168.60358417034
20180504140000,345875.0,344932.08952248096
20180504140100,345250.0,344938.89147788286
20180504140200,344750.0,344749.5683133602
20180504140300,345000.0,344218.6303064227
20180504140400,345250.0,344110.3834658861
20180504140500,345750.0,344347.2084030509
20180504140600,346500.0,344705.6726962328
20180504140700,346500.0,345300.3774806857
20180504140800,346875.0,345644.72802728415
20180504140900,347125.0,345827.0254060626
20180504141000,347250.0,346120.55402994156
20180504141100,347500.0,346295.8753630519
20180504141200,347875.0,346474.59145635366
20180504141300,347750.0,346771.19152992964
20180504141400,347750.0,346882.323294878
20180504141500,347750.0,346825.0724673271
20180504141600,347750.0,346825.0724673271
20180504141700,347750.0,346825.0724673271
20180504141800,347625.0,346825.0724673271
20180504141900,347750.0,346764.4144445658
20180504142000,347875.0,346767.7967697382
20180504142100,347750.0,346885.70562005043
20180504142200,347625.0,346882.323294878
20180504142300,347875.0,346764.4144445658
20180504142400,348000.0,346828.4423574805
20180504142500,348250.0,347003.60203534365
20180504142600,348250.0,347182.11916834116
20180504142700,348375.0,347296.55864834785
20180504142800,348375.0,347357.17936605215
20180504142900,348375.0,347414.380453527
20180504143000,348250.0,347414.380453527
20180504143100,348250.0,347353.7597358227
20180504143200,348250.0,347296.55864834785
20180504143300,348375.0,347296.55864834785
20180504143400,348250.0,347357.17936605215
20180504143500,348375.0,347353.7597358227
20180504143600,348250.0,347357.17936605215
20180504143700,348250.0,347353.7597358227
20180504143800,348250.0,347296.55864834785
20180504143900,348250.0,347296.55864834785
20180504144000,348375.0,347296.55864834785
20180504144100,348375.0,347357.17936605215
20180504144200,348375.0,347414.380453527
20180504144300,348250.0,347414.380453527
20180504144400,348500.0,347353.7597358227
20180504144500,348750.0,347417.7752137184
20180504144600,348875.0,347653.3566489816
20180504144700,348625.0,347828.25519144535
20180504144800,348875.0,347764.27701860666
20180504144900,349125.0,347771.0914090276
20180504145000,349375.0,348006.5111890435
20180504145100,349125.0,348241.85635894537
20180504145200,349250.0,348235.0544035435
20180504145300,349375.0,348181.3351213932
20180504145400,349375.0,348298.9828363061
20180504145500,349500.0,348356.0844436288
20180504145600,349375.0,348416.59324616194
20180504145700,349500.0,348413.1860509515
20180504145800,349750.0,348416.59324616194
20180504145900,349750.0,348594.6875885129
20180504150000,349750.0,348708.85349810123
20180504150100,349625.0,348708.85349810123
20180504150200,349750.0,348648.3695656061
20180504150300,349875.0,348651.7767608166
20180504150400,349875.0,348769.32499557734
20180504150500,349750.0,348826.389297843
20180504150600,349875.0,348765.9178003669
20180504150700,349750.0,348769.32499557734
20180504150800,349875.0,348765.9178003669
20180504150900,349625.0,348769.32499557734
20180504151000,349875.0,348705.43386787176
20180504151100,349750.0,348712.2482582927
20180504151200,349875.0,348765.9178003669
20180504151300,349875.0,348769.32499557734
20180504151400,349750.0,348826.389297843
20180504151500,349750.0,348765.9178003669
20180504151600,349625.0,348708.85349810123
20180504151700,349625.0,348648.3695656061
20180504151800,350125.0,348591.29282832146
20180504151900,350625.0,348833.1912532449
20180504153000,350000.0,349303.16036194563
20180504153500,350000.0,349229.0725186467
20180508090000,351000.0,348943.93753260374
20180508090100,350125.0,349427.3613318801
20180508090200,349625.0,349460.51309257746
20180508090300,349000.0,348819.5873424411
20180508090400,347250.0,348288.7612506747
20180508090500,344125.0,347154.7994315624
20180508090600,344125.0,344833.6414769292
20180508090700,344500.0,343396.00405842066
20180508090800,344250.0,343578.87344807386
20180508090900,343250.0,343629.70780581236
20180508091000,343250.0,343026.6466885805
20180508091100,343000.0,342565.4940083623
20180508091200,343500.0,342443.38212162256
20180508091300,345125.0,342572.2337886691
20180508091400,345625.0,343595.7228988409
20180508091500,344250.0,344587.30375021696
20180508091600,343625.0,344147.5393027067
20180508091700,343625.0,343209.6404284239
20180508091800,343000.0,342921.54590785503
20180508091900,343625.0,342616.37810617685
20180508092000,343750.0,342633.27729701996
20180508092100,343500.0,342982.56454616785
20180508092200,344250.0,342918.1760177016
20180508092300,344750.0,343168.94061118364
20180508092400,344875.0,343758.3356425166
20180508092500,343625.0,344049.46430772543
20180508092600,343250.0,343497.5732937455
20180508092700,343375.0,342738.46512287855
20180508092800,343875.0,342626.5250816941
20180508092900,344375.0,342928.29812318087
20180508093000,345000.0,343402.7687087655
20180508093100,345000.0,343937.7480968833
20180508093200,344875.0,344225.4322618246
20180508093300,345500.0,344164.52553868294
20180508093400,345875.0,344411.485016346
20180508093500,345625.0,344881.4168199897
20180508093600,345500.0,344932.08952248096
20180508093700,345875.0,344756.3578337431
20180508093800,345875.0,344881.4168199897
20180508093900,345500.0,345053.7537485361
20180508094000,345250.0,344871.2698444724
20180508094100,345125.0,344577.1692097187
20180508094200,345375.0,344401.3131707907
20180508094300,345750.0,344465.58978408575
20180508094400,345750.0,344763.1100490689
20180508094500,345375.0,344935.4967176914
20180508094600,345250.0,344752.96307355165
20180508094700,345250.0,344519.6821168065
20180508094800,345500.0,344462.21989393234
20180508094900,346000.0,344583.94629508257
20180508095000,345750.0,344942.24893301725
20180508095100,345625.0,345050.35898834467
20180508095200,345625.0,344874.65216964483
20180508095300,346000.0,344817.2023817897
20180508095400,346250.0,344999.6987208724
20180508095500,346250.0,345293.6252653599
20180508095600,346125.0,345408.412925899
20180508095700,346125.0,345347.6305529475
20180508095800,347125.0,345290.2180701494
20180508095900,347125.0,345776.43974870443
20180508100000,346750.0,346235.1800352335
20180508100100,346875.0,346053.0194416642
20180508100200,346750.0,345941.73845648766
20180508100300,347000.0,345938.35613131523
20180508100400,347375.0,346002.4586543441
20180508100500,347375.0,346299.28255826235
20180508100600,347375.0,346471.1966961622
20180508100700,347250.0,346471.1966961622
20180508100800,347375.0,346410.52623838186
20180508100900,347375.0,346413.9085635543
20180508101000,347125.0,346471.1966961622
20180508101100,347250.0,346349.81847554445
20180508101200,347125.0,346295.8753630519
20180508101300,346625.0,346292.5179079175
20180508101400,347000.0,345992.2868087888
20180508101500,347125.0,345945.1332166791
20180508101600,347250.0,346177.8670325875
20180508101700,347250.0,346295.8753630519
20180508101800,347750.0,346353.2256707549
20180508101900,347750.0,346595.96967697144
20180508102000,347750.0,346825.0724673271
20180508102100,347875.0,346825.0724673271
20180508102200,347750.0,346885.70562005043
20180508102300,347750.0,346882.323294878
20180508102400,347875.0,346825.0724673271
20180508102500,347875.0,346885.70562005043
20180508102600,347875.0,346942.96888262033
20180508102700,347750.0,346942.96888262033
20180508102800,347750.0,346882.323294878
20180508102900,347625.0,346825.0724673271
20180508103000,347875.0,346764.4144445658
20180508103100,347875.0,346828.4423574805
20180508103200,347750.0,346942.96888262033
20180508103300,347875.0,346882.323294878
20180508103400,348125.0,346885.70562005043
20180508103500,348375.0,347064.260058105
20180508103600,348250.0,347299.9658435583
20180508103700,348375.0,347353.7597358227
20180508103800,348375.0,347357.17936605215
20180508103900,348125.0,347414.380453527
20180508104000,348125.0,347293.1638881564
20180508104100,347625.0,347178.7244081497
20180508104200,347250.0,346936.1544921994
20180508104300,347250.0,346525.10250359774
20180508104400,347250.0,346353.2256707549
20180508104500,347125.0,346353.2256707549
20180508104600,347250.0,346292.5179079175
20180508104700,347250.0,346295.8753630519
20180508104800,347375.0,346353.2256707549
20180508104900,347250.0,346413.9085635543
20180508105000,347375.0,346410.52623838186
20180508105100,347375.0,346413.9085635543
20180508105200,347125.0,346471.1966961622
20180508105300,347250.0,346349.81847554445
20180508105400,347375.0,346295.8753630519
20180508105500,347375.0,346413.9085635543
20180508105600,347375.0,346471.1966961622
20180508105700,347250.0,346471.1966961622
20180508105800,347250.0,346410.52623838186
20180508105900,347375.0,346353.2256707549
20180508110000,347125.0,346413.9085635543
20180508110100,347250.0,346349.81847554445
20180508110200,347125.0,346295.8753630519
20180508110300,347250.0,346292.5179079175
20180508110400,347250.0,346295.8753630519
20180508110500,347375.0,346353.2256707549
20180508110600,347250.0,346413.9085635543
20180508110700,347125.0,346410.52623838186
20180508110800,347250.0,346292.5179079175
20180508110900,347250.0,346295.8753630519
20180508111000,347250.0,346353.2256707549
20180508111100,347375.0,346353.2256707549
20180508111200,347375.0,346413.9085635543
20180508111300,347125.0,346471.1966961622
20180508111400,347250.0,346349.81847554445
20180508111500,347250.0,346295.8753630519
20180508111600,347250.0,346353.2256707549
20180508111700,347125.0,346353.2256707549
20180508111800,347250.0,346292.5179079175
20180508111900,347125.0,346295.8753630519
20180508112000,347250.0,346292.5179079175
20180508112100,348000.0,346295.8753630519
20180508112200,348375.0,346717.29815751314
20180508112300,348750.0,347242.73988604546
20180508112400,349250.0,347596.14312648773
20180508112500,349375.0,348009.90594923496
20180508112600,349125.0,348298.9828363061
20180508112700,349375.0,348235.0544035435
20180508112800,349250.0,348241.85635894537
20180508112900,349250.0,348295.5632060766
20180508113000,349250.0,348238.4491637349
20180508113100,349250.0,348238.4491637349
20180508113200,349250.0,348238.4491637349
20180508113300,349375.0,348238.4491637349
20180508113400,349250.0,348298.9828363061
20180508113500,349250.0,348295.5632060766
20180508113600,349375.0,348238.4491637349
20180508113700,349125.0,348298.9828363061
20180508113800,349375.0,348235.0544035435
20180508113900,349500.0,348241.85635894537
20180508114000,349875.0,348416.59324616194
20180508114100,349625.0,348655.171521008
20180508114200,349750.0,348705.43386787176
20180508114300,349750.0,348651.7767608166
20180508114400,349750.0,348708.85349810123
20180508114500,349875.0,348708.85349810123
20180508114600,349750.0,348769.32499557734
20180508114700,349875.0,348765.9178003669
20180508114800,349750.0,348769.32499557734
20180508114900,349875.0,348765.9178003669
20180508115000,349750.0,348769.32499557734
20180508115100,349750.0,348765.9178003669
20180508115200,350000.0,348708.85349810123
20180508115300,350375.0,348829.79649305344
20180508115400,350250.0,349125.2525448799
20180508115500,350250.0,349235.89934408665
20180508115600,350250.0,349178.88478189707
20180508115700,350250.0,349178.88478189707
20180508115800,350250.0,349178.88478189707
20180508115900,350250.0,349178.88478189707
20180508120000,350250.0,349178.88478189707
20180508120100,350250.0,349178.88478189707
20180508120200,350250.0,349178.88478189707
20180508120300,350375.0,349178.88478189707
20180508120400,350250.0,349239.3189743161
20180508120500,350125.0,349235.89934408665
20180508120600,350375.0,349118.450589478
20180508120700,350375.0,349182.2919771075
20180508120800,350375.0,349296.3335365057
20180508120900,350500.0,349296.3335365057
20180508121000,350625.0,349356.76772892475
20180508121100,350875.0,349474.20404851437
