datetime,original,predicted
20180504090200,45387.5,45475.648280233145
20180504090300,45400.0,45434.74638834596
20180504090400,45387.5,45406.67246431112
20180504090500,45437.5,45405.67055493593
20180504090600,45512.5,45427.12129354477
20180504090700,45562.5,45491.283005476
20180504090800,45587.5,45553.432431817055
20180504090900,45600.0,45590.316808223724
20180504091000,45575.0,45608.754763007164
20180504091100,45600.0,45600.937047600746
20180504091200,45675.0,45602.94368863106
20180504091300,45762.5,45655.45432344079
20180504091400,45725.0,45738.010950386524
20180504091500,45675.0,45758.229763805866
20180504091600,45612.5,45713.55307251215
20180504091700,45562.5,45656.24456182122
20180504091800,45587.5,45599.93161037564
20180504091900,45550.0,45590.316808223724
20180504092000,45487.5,45581.494361162186
20180504092100,45475.0,45529.975052177906
20180504092200,45475.0,45494.09329071641
20180504092300,45462.5,45488.280099630356
20180504092400,45437.5,45481.462882459164
20180504092500,45462.5,45462.015257030725
20180504092600,45475.0,45464.01978135109
20180504092700,45512.5,45482.464791834354
20180504092800,45562.5,45508.72751772404
20180504092900,45562.5,45553.432431817055
20180504093000,45550.0,45576.68519616127
20180504093100,45537.5,45569.870095700026
20180504093200,45537.5,45557.24250972271
20180504093300,45550.0,45551.42861306667
20180504093400,45525.0,45558.24371352792
20180504093500,45537.5,45550.42529255152
20180504093600,45537.5,45545.61542198062
20180504093700,45537.5,45551.42861306667
20180504093800,45525.0,45551.42861306667
20180504093900,45537.5,45544.612807035446
20180504094000,45562.5,45545.61542198062
20180504094100,45562.5,45565.06093069911
20180504094200,45525.0,45576.68519616127
20180504094300,45525.0,45556.237072497606
20180504094400,45525.0,45538.79961594939
20180504094500,45525.0,45538.79961594939
20180504094600,45537.5,45538.79961594939
20180504094700,45525.0,45545.61542198062
20180504094800,45612.5,45544.612807035446
20180504094900,45700.0,45586.508141458035
20180504095000,45675.0,45674.892776459455
20180504095100,45712.5,45701.93515717983
20180504095200,45700.0,45710.759015381336
20180504095300,45687.5,45721.37219905853
20180504095400,45637.5,45708.749552071095
20180504095500,45587.5,45675.68372040987
20180504095600,45562.5,45625.183960050344
20180504095700,45562.5,45588.30875605345
20180504095800,45587.5,45576.68519616127
20180504095900,45562.5,45590.316808223724
20180504100000,45587.5,45588.30875605345
20180504100100,45575.0,45590.316808223724
20180504100200,45587.5,45595.12597322464
20180504100300,45600.0,45596.12999930978
20180504100400,45612.5,45608.754763007164
20180504100500,45637.5,45621.38305455446
20180504100600,45650.0,45640.82291871309
20180504100700,45700.0,45659.25946235657
20180504100800,45737.5,45692.325999587774
20180504100900,45762.5,45736.00430935621
20180504101000,45762.5,45767.05432757735
20180504101100,45787.5,45778.66871505976
20180504101200,45787.5,45792.293271422386
20180504101300,45787.5,45803.90765890479
20180504101400,45775.0,45803.90765890479
20180504101500,45875.0,45797.09538072348
20180504101600,45937.5,45845.77829837799
20180504101700,45900.0,45926.26689970493
20180504101800,45837.5,45934.850158542395
20180504101900,45800.0,45883.39293971658
20180504102000,45775.0,45833.940245211124
20180504102100,45775.0,45802.90081053972
20180504102200,45800.0,45791.288539767265
20180504102300,45825.0,45804.91168498993
20180504102400,45825.0,45830.149217695
20180504102500,45800.0,45841.75937175751
20180504102600,45775.0,45828.13622653484
20180504102700,45762.5,45802.90081053972
20180504102800,45775.0,45784.47555601597
20180504102900,45750.0,45785.481698811054
20180504103000,45737.5,45777.66398340464
20180504103100,45712.5,45759.23590660095
20180504103200,45675.0,45739.80168700218
20180504103300,45650.0,45707.744820415974
20180504103400,45637.5,45676.68915763497
20180504103500,45600.0,45658.25473070145
20180504103600,45562.5,45631.99906051159
20180504103700,45550.0,45594.12124156952
20180504103800,45650.0,45569.870095700026
20180504103900,45712.5,45618.57629716396
20180504104000,45712.5,45699.139688909054
20180504104100,45700.0,45728.18588837981
20180504104200,45650.0,45721.37219905853
20180504104300,45675.0,45688.30707296729
20180504104400,45675.0,45678.6993265152
20180504104500,45712.5,45690.3179474175
20180504104600,45750.0,45710.759015381336
20180504104700,45725.0,45748.625545203686
20180504104800,45725.0,45752.42433398962
20180504104900,45737.5,45740.80782979727
20180504105000,45762.5,45747.620813548565
20180504105100,45787.5,45767.05432757735
20180504105200,45775.0,45792.293271422386
20180504105300,45787.5,45797.09538072348
20180504105400,45750.0,45798.10081794858
20180504105500,45712.5,45783.46941322088
20180504105600,45650.0,45745.60993909836
20180504105700,45650.0,45694.11603063345
20180504105800,45662.5,45665.06983116269
20180504105900,45675.0,45671.884931623936
20180504110000,45662.5,45684.50898975134
20180504110100,45675.0,45683.50425809622
20180504110200,45675.0,45684.50898975134
20180504110300,45675.0,45690.3179474175
20180504110400,45675.0,45690.3179474175
