datetime,original,predicted
20180504090200,102625.0,102394.57986652851
20180504090300,102125.0,102271.93892598152
20180504090400,101999.99999999999,101920.98400890827
20180504090500,101875.0,101648.43638837337
20180504090600,101750.0,101533.87950956821
20180504090700,101750.0,101419.20762956142
20180504090800,101999.99999999999,101366.26525819302
20180504090900,101625.0,101489.8497313261
20180504091000,101625.0,101410.31594574451
20180504091100,101750.0,101251.42087638378
20180504091200,101750.0,101313.28629553318
20180504091300,101750.0,101366.26525819302
20180504091400,101625.0,101366.26525819302
20180504091500,101499.99999999999,101304.41813468933
20180504091600,101750.0,101189.51363861561
20180504091700,101750.0,101260.28380990028
20180504091800,101875.0,101366.26525819302
20180504091900,101750.0,101428.07579040527
20180504092000,101250.0,101419.20762956142
20180504092100,100750.0,101118.65721642971
20180504092200,100625.0,100657.61478543282
20180504092300,100750.0,100381.90724551678
20180504092400,100750.0,100390.80415666103
20180504092500,100750.0,100444.23005580902
20180504092600,100750.0,100444.23005580902
20180504092700,100750.0,100444.23005580902
20180504092800,100625.0,100444.23005580902
20180504092900,100750.0,100381.90724551678
20180504093000,100750.0,100390.80415666103
20180504093100,100750.0,100444.23005580902
20180504093200,101000.0,100444.23005580902
20180504093300,101250.0,100568.7685161829
20180504093400,101375.0,100799.73797500134
20180504093500,101375.0,100968.22780370712
20180504093600,101250.0,101021.37142717838
20180504093700,101125.0,100959.3465745449
20180504093800,101125.0,100844.09184753895
20180504093900,101125.0,100790.86720049381
20180504094000,101250.0,100790.86720049381
20180504094100,101125.0,100852.97569036484
20180504094200,101250.0,100844.09184753895
20180504094300,101125.0,100852.97569036484
20180504094400,101125.0,100844.09184753895
20180504094500,101125.0,100790.86720049381
20180504094600,101000.0,100790.86720049381
20180504094700,100875.00000000001,100728.71950566769
20180504094800,100625.0,100613.2321625948
20180504094900,100750.0,100435.32530367374
20180504095000,100750.0,100390.80415666103
20180504095100,100750.0,100444.23005580902
20180504095200,100750.0,100444.23005580902
20180504095300,100875.00000000001,100444.23005580902
20180504095400,100750.0,100506.51627480984
20180504095500,100625.0,100497.6272046566
20180504095600,100750.0,100381.90724551678
20180504095700,100625.0,100390.80415666103
20180504095800,100875.00000000001,100381.90724551678
20180504095900,100750.0,100453.11389863491
20180504100000,100625.0,100497.6272046566
20180504100100,100750.0,100381.90724551678
20180504100200,100750.0,100390.80415666103
20180504100300,100750.0,100444.23005580902
20180504100400,100750.0,100444.23005580902
20180504100500,100875.00000000001,100444.23005580902
20180504100600,100625.0,100506.51627480984
20180504100700,100875.00000000001,100435.32530367374
20180504100800,100625.0,100453.11389863491
20180504100900,100750.0,100435.32530367374
20180504101000,100750.0,100390.80415666103
20180504101100,100750.0,100444.23005580902
20180504101200,100750.0,100444.23005580902
20180504101300,100875.00000000001,100444.23005580902
20180504101400,100625.0,100506.51627480984
20180504101500,100750.0,100435.32530367374
20180504101600,100875.00000000001,100390.80415666103
20180504101700,100750.0,100506.51627480984
20180504101800,100750.0,100497.6272046566
20180504101900,100750.0,100444.23005580902
20180504102000,100625.0,100444.23005580902
20180504102100,100625.0,100381.90724551678
20180504102200,100625.0,100328.45520973206
20180504102300,100875.00000000001,100328.45520973206
20180504102400,100750.0,100453.11389863491
20180504102500,100750.0,100497.6272046566
20180504102600,100750.0,100444.23005580902
20180504102700,100625.0,100444.23005580902
20180504102800,100875.00000000001,100381.90724551678
20180504102900,100625.0,100453.11389863491
20180504103000,100750.0,100435.32530367374
20180504103100,100875.00000000001,100390.80415666103
20180504103200,100750.0,100506.51627480984
20180504103300,100625.0,100497.6272046566
20180504103400,100750.0,100381.90724551678
20180504103500,100750.0,100390.80415666103
20180504103600,100625.0,100444.23005580902
20180504103700,100625.0,100381.90724551678
20180504103800,100625.0,100328.45520973206
20180504103900,100625.0,100328.45520973206
20180504104000,100625.0,100328.45520973206
20180504104100,100750.0,100328.45520973206
20180504104200,100875.00000000001,100390.80415666103
20180504104300,100875.00000000001,100506.51627480984
20180504104400,100875.00000000001,100559.89251434803
20180504104500,100750.0,100559.89251434803
20180504104600,100625.0,100497.6272046566
20180504104700,100875.00000000001,100381.90724551678
20180504104800,100625.0,100453.11389863491
20180504104900,100750.0,100435.32530367374
20180504105000,100875.00000000001,100390.80415666103
20180504105100,100875.00000000001,100506.51627480984
20180504105200,100750.0,100559.89251434803
20180504105300,100875.00000000001,100497.6272046566
20180504105400,100750.0,100506.51627480984
20180504105500,100750.0,100497.6272046566
20180504105600,100875.00000000001,100444.23005580902
20180504105700,100875.00000000001,100506.51627480984
20180504105800,100625.0,100559.89251434803
20180504105900,100750.0,100435.32530367374
20180504110000,100625.0,100390.80415666103
20180504110100,100625.0,100381.90724551678
20180504110200,100625.0,100328.45520973206
20180504110300,100750.0,100328.45520973206
20180504110400,100750.0,100390.80415666103
20180504110500,100750.0,100444.23005580902
20180504110600,100625.0,100444.23005580902
20180504110700,100750.0,100381.90724551678
20180504110800,100875.00000000001,100390.80415666103
20180504110900,100750.0,100506.51627480984
20180504111000,100625.0,100497.6272046566
20180504111100,100875.00000000001,100381.90724551678
20180504111200,100750.0,100453.11389863491
20180504111300,100625.0,100497.6272046566
20180504111400,100750.0,100381.90724551678
20180504111500,100875.00000000001,100390.80415666103
20180504111600,100750.0,100506.51627480984
20180504111700,100750.0,100497.6272046566
20180504111800,100750.0,100444.23005580902
20180504111900,100625.0,100444.23005580902
20180504112000,100750.0,100381.90724551678
20180504112100,100625.0,100390.80415666103
20180504112200,100625.0,100381.90724551678
20180504112300,100625.0,100328.45520973206
20180504112400,100750.0,100328.45520973206
20180504112500,100625.0,100390.80415666103
20180504112600,100750.0,100381.90724551678
20180504112700,100750.0,100390.80415666103
20180504112800,100750.0,100444.23005580902
20180504112900,100625.0,100444.23005580902
20180504113000,100750.0,100381.90724551678
20180504113100,100750.0,100390.80415666103
20180504113200,100875.00000000001,100444.23005580902
20180504113300,100750.0,100506.51627480984
20180504113400,100625.0,100497.6272046566
20180504113500,100625.0,100381.90724551678
20180504113600,100625.0,100328.45520973206
20180504113700,100750.0,100328.45520973206
20180504113800,100750.0,100390.80415666103
20180504113900,100750.0,100444.23005580902
20180504114000,100750.0,100444.23005580902
20180504114100,100750.0,100444.23005580902
20180504114200,100625.0,100444.23005580902
20180504114300,100750.0,100381.90724551678
20180504114400,100750.0,100390.80415666103
20180504114500,100625.0,100444.23005580902
20180504114600,100625.0,100381.90724551678
20180504114700,100750.0,100328.45520973206
20180504114800,100625.0,100390.80415666103
20180504114900,100750.0,100381.90724551678
20180504115000,100750.0,100390.80415666103
20180504115100,100750.0,100444.23005580902
20180504115200,100750.0,100444.23005580902
20180504115300,100750.0,100444.23005580902
20180504115400,100875.00000000001,100444.23005580902
20180504115500,100875.00000000001,100506.51627480984
20180504115600,100875.00000000001,100559.89251434803
20180504115700,100750.0,100559.89251434803
20180504115800,100875.00000000001,100497.6272046566
20180504115900,100750.0,100506.51627480984
20180504120000,100625.0,100497.6272046566
20180504120100,100625.0,100381.90724551678
20180504120200,100625.0,100328.45520973206
20180504120300,100750.0,100328.45520973206
20180504120400,100750.0,100390.80415666103
20180504120500,100875.00000000001,100444.23005580902
20180504120600,100375.00000000001,100506.51627480984
20180504120700,100125.0,100310.62479615211
20180504120800,100125.0,99971.53068482876
20180504120900,100250.0,99864.21365439892
20180504121000,100250.0,99926.79260373116
20180504121100,100125.0,99980.44589161873
20180504121200,100125.0,99917.8852379322
20180504121300,100125.0,99864.21365439892
20180504121400,100125.0,99864.21365439892
20180504121500,100125.0,99864.21365439892
20180504121600,100125.0,99864.21365439892
20180504121700,100375.00000000001,99864.21365439892
20180504121800,100125.0,99989.34018909931
20180504121900,100125.0,99971.53068482876
20180504122000,100250.0,99864.21365439892
20180504122100,100125.0,99926.79260373116
20180504122200,100250.0,99917.8852379322
20180504122300,100125.0,99926.79260373116
20180504122400,100250.0,99917.8852379322
20180504122500,100250.0,99926.79260373116
20180504122600,100125.0,99980.44589161873
20180504122700,100375.00000000001,99917.8852379322
20180504122800,100250.0,99989.34018909931
20180504122900,100125.0,100034.06258821487
20180504123000,100125.0,99917.8852379322
20180504123100,100125.0,99864.21365439892
20180504123200,100125.0,99864.21365439892
20180504123300,100125.0,99864.21365439892
20180504123400,100125.0,99864.21365439892
20180504123500,100125.0,99864.21365439892
20180504123600,100250.0,99864.21365439892
20180504123700,100375.00000000001,99926.79260373116
20180504123800,100125.0,100042.96734035015
20180504123900,100125.0,99971.53068482876
20180504124000,100125.0,99864.21365439892
20180504124100,100125.0,99864.21365439892
20180504124200,100375.00000000001,99864.21365439892
20180504124300,100250.0,99989.34018909931
20180504124400,100375.00000000001,100034.06258821487
20180504124500,100500.0,100042.96734035015
20180504124600,100125.0,100159.02968943119
20180504124700,100125.0,100025.14215409756
20180504124800,100250.0,99864.21365439892
20180504124900,100250.0,99926.79260373116
20180504125000,100250.0,99980.44589161873
20180504125100,100250.0,99980.44589161873
20180504125200,100375.00000000001,99980.44589161873
20180504125300,100125.0,100042.96734035015
20180504125400,100125.0,99971.53068482876
20180504125500,100250.0,99864.21365439892
20180504125600,100250.0,99926.79260373116
20180504125700,100125.0,99980.44589161873
20180504125800,100250.0,99917.8852379322
20180504125900,100250.0,99926.79260373116
20180504130000,100250.0,99980.44589161873
20180504130100,100375.00000000001,99980.44589161873
20180504130200,100250.0,100042.96734035015
20180504130300,100250.0,100034.06258821487
20180504130400,100375.00000000001,99980.44589161873
20180504130500,100375.00000000001,100042.96734035015
20180504130600,100250.0,100096.56312763691
20180504130700,100250.0,100034.06258821487
20180504130800,100375.00000000001,99980.44589161873
20180504130900,100250.0,100042.96734035015
20180504131000,100250.0,100034.06258821487
20180504131100,100250.0,99980.44589161873
20180504131200,100250.0,99980.44589161873
20180504131300,100375.00000000001,99980.44589161873
20180504131400,100250.0,100042.96734035015
20180504131500,100250.0,100034.06258821487
20180504131600,100125.0,99980.44589161873
20180504131700,100250.0,99917.8852379322
20180504131800,100250.0,99926.79260373116
20180504131900,100375.00000000001,99980.44589161873
20180504132000,100125.0,100042.96734035015
20180504132100,100375.00000000001,99971.53068482876
20180504132200,100250.0,99989.34018909931
20180504132300,100250.0,100034.06258821487
20180504132400,100125.0,99980.44589161873
20180504132500,100125.0,99917.8852379322
20180504132600,100250.0,99864.21365439892
20180504132700,100125.0,99926.79260373116
20180504132800,100250.0,99917.8852379322
20180504132900,100250.0,99926.79260373116
20180504133000,100125.0,99980.44589161873
20180504133100,100250.0,99917.8852379322
20180504133200,100375.00000000001,99926.79260373116
20180504133300,100250.0,100042.96734035015
20180504133400,100125.0,100034.06258821487
20180504133500,100250.0,99917.8852379322
20180504133600,100125.0,99926.79260373116
20180504133700,100250.0,99917.8852379322
20180504133800,100250.0,99926.79260373116
20180504133900,100125.0,99980.44589161873
20180504134000,100250.0,99917.8852379322
20180504134100,100375.00000000001,99926.79260373116
20180504134200,100125.0,100042.96734035015
