datetime,original,predicted
20180504090200,16275.0,16313.11993598938
20180504090300,16237.5,16293.875846266747
20180504090400,16237.5,16262.204340100288
20180504090500,16312.499999999998,16245.650532841682
20180504090600,16425.0,16286.991903185844
20180504090700,16437.5,16381.640174984932
20180504090800,16425.0,16437.4883800745
20180504090900,16425.0,16436.108669638634
20180504091000,16412.5,16430.679860711098
20180504091100,16412.5,16423.867604136467
20180504091200,16412.5,16418.432000279427
20180504091300,16400.0,16418.432000279427
20180504091400,16425.0,16411.61294877529
20180504091500,16412.5,16419.810011982918
20180504091600,16412.5,16423.867604136467
20180504091700,16412.5,16418.432000279427
20180504091800,16412.5,16418.432000279427
20180504091900,16412.5,16418.432000279427
20180504092000,16375.0,16418.432000279427
20180504092100,16375.0,16397.96295464039
20180504092200,16387.5,16381.609937548637
20180504092300,16362.5,16388.444277644157
20180504092400,16375.0,16380.229377746582
20180504092500,16362.5,16376.151230931282
20180504092600,16362.5,16374.77186024189
20180504092700,16362.5,16369.310435652733
20180504092800,16375.0,16369.310435652733
20180504092900,16375.0,16376.151230931282
20180504093000,16375.0,16381.609937548637
20180504093100,16387.5,16381.609937548637
20180504093200,16387.5,16388.444277644157
20180504093300,16375.0,16393.89686882496
20180504093400,16362.5,16387.064906954765
20180504093500,16387.5,16374.77186024189
20180504093600,16375.0,16382.988119125366
20180504093700,16362.5,16387.064906954765
20180504093800,16375.0,16374.77186024189
20180504093900,16362.5,16376.151230931282
20180504094000,16375.0,16374.77186024189
20180504094100,16375.0,16376.151230931282
20180504094200,16387.5,16381.609937548637
20180504094300,16375.0,16388.444277644157
20180504094400,16350.0,16387.064906954765
20180504094500,16312.499999999998,16367.92970597744
20180504094600,16325.0,16336.435887217522
20180504094700,16312.499999999998,16326.853507757187
20180504094800,16350.0,16325.474986433983
20180504094900,16375.0,16340.571960806847
20180504095000,16375.0,16370.688107609749
20180504095100,16412.5,16381.609937548637
20180504095200,16425.0,16402.10140645504
20180504095300,16425.0,16425.247314572334
20180504095400,16375.0,16430.679860711098
20180504095500,16362.5,16403.406032919884
20180504095600,16387.5,16374.77186024189
20180504095700,16375.0,16382.988119125366
20180504095800,16362.5,16387.064906954765
20180504095900,16362.5,16374.77186024189
20180504100000,16362.5,16369.310435652733
20180504100100,16362.5,16369.310435652733
20180504100200,16387.5,16369.310435652733
20180504100300,16362.5,16382.988119125366
20180504100400,16362.5,16380.229377746582
20180504100500,16362.5,16369.310435652733
20180504100600,16375.0,16369.310435652733
20180504100700,16400.0,16376.151230931282
20180504100800,16425.0,16395.275220274925
20180504100900,16412.5,16419.810011982918
20180504101000,16425.0,16423.867604136467
20180504101100,16437.5,16425.247314572334
20180504101200,16437.5,16437.4883800745
20180504101300,16412.5,16442.914471030235
20180504101400,16412.5,16429.29879128933
20180504101500,16412.5,16418.432000279427
20180504101600,16425.0,16418.432000279427
20180504101700,16425.0,16425.247314572334
20180504101800,16425.0,16430.679860711098
20180504101900,16412.5,16430.679860711098
20180504102000,16425.0,16423.867604136467
20180504102100,16437.5,16425.247314572334
20180504102200,16425.0,16437.4883800745
20180504102300,16425.0,16436.108669638634
20180504102400,16425.0,16430.679860711098
20180504102500,16437.5,16430.679860711098
20180504102600,16412.5,16437.4883800745
20180504102700,16412.5,16429.29879128933
20180504102800,16425.0,16418.432000279427
20180504102900,16387.5,16425.247314572334
20180504103000,16387.5,16410.230520367622
20180504103100,16412.5,16393.89686882496
20180504103200,16425.0,16407.54907131195
20180504103300,16425.0,16425.247314572334
20180504103400,16412.5,16430.679860711098
20180504103500,16412.5,16423.867604136467
20180504103600,16412.5,16418.432000279427
20180504103700,16425.0,16418.432000279427
20180504103800,16412.5,16425.247314572334
20180504103900,16437.5,16423.867604136467
20180504104000,16425.0,16432.058212161064
20180504104100,16412.5,16436.108669638634
20180504104200,16412.5,16423.867604136467
20180504104300,16412.5,16418.432000279427
20180504104400,16425.0,16418.432000279427
20180504104500,16412.5,16425.247314572334
20180504104600,16412.5,16423.867604136467
20180504104700,16425.0,16418.432000279427
20180504104800,16412.5,16425.247314572334
20180504104900,16412.5,16423.867604136467
20180504105000,16425.0,16418.432000279427
20180504105100,16425.0,16425.247314572334
20180504105200,16437.5,16430.679860711098
20180504105300,16412.5,16437.4883800745
20180504105400,16412.5,16429.29879128933
20180504105500,16375.0,16418.432000279427
20180504105600,16375.0,16397.96295464039
20180504105700,16387.5,16381.609937548637
20180504105800,16362.5,16388.444277644157
20180504105900,16350.0,16380.229377746582
20180504110000,16375.0,16362.466242909431
20180504110100,16375.0,16370.688107609749
20180504110200,16387.5,16381.609937548637
20180504110300,16387.5,16388.444277644157
20180504110400,16387.5,16393.89686882496
20180504110500,16362.5,16393.89686882496
20180504110600,16362.5,16380.229377746582
20180504110700,16375.0,16369.310435652733
20180504110800,16387.5,16376.151230931282
20180504110900,16362.5,16388.444277644157
20180504111000,16375.0,16380.229377746582
20180504111100,16375.0,16376.151230931282
20180504111200,16362.5,16381.609937548637
20180504111300,16362.5,16374.77186024189
20180504111400,16375.0,16369.310435652733
20180504111500,16362.5,16376.151230931282
20180504111600,16362.5,16374.77186024189
20180504111700,16362.5,16369.310435652733
20180504111800,16375.0,16369.310435652733
20180504111900,16362.5,16376.151230931282
20180504112000,16350.0,16374.77186024189
20180504112100,16362.5,16362.466242909431
20180504112200,16362.5,16363.845443725586
