datetime,original,predicted
20180504090200,437375.0,434830.8677375316
20180504090300,437375.0,436274.9634087085
20180504090400,436750.0,437389.0506923198
20180504090500,438500.0,437046.59901559347
20180504090600,439250.0,437740.2267158031
20180504090700,439375.0,438888.9754414558
20180504090800,440249.99999999994,439272.93658256525
20180504090900,440125.0,439801.8578290939
20180504091000,440500.0,440101.2214571237
20180504091100,441000.0,440252.58578360075
20180504091200,441125.0,440681.2360286712
20180504091300,441125.0,440958.29162001604
20180504091400,441375.0,441010.5702877044
20180504091500,442250.0,441146.0757404565
20180504091600,442875.0,441724.2364585399
20180504091700,443500.00000000006,442426.61097645754
20180504091800,444750.0,443023.4956145286
20180504091900,445749.99999999994,443955.1187753677
20180504092000,445749.99999999994,445007.7255368232
20180504092100,445500.0,445419.4551557302
20180504092200,445250.0,445285.73614358896
20180504092300,445374.99999999994,445049.02714490885
20180504092400,445749.99999999994,445012.97812163824
20180504092500,446499.99999999994,445265.1639878749
20180504092600,446750.0,445820.24142146105
20180504092700,447750.0,446261.4304572343
20180504092800,447625.0,446896.45953476423
20180504092900,447250.0,447238.65279555315
20180504093000,447750.0,446988.1915748119
20180504093100,448375.0,447100.8833944797
20180504093200,448375.0,447636.9841098785
20180504093300,447375.0,447891.65301620954
20180504093400,447625.0,447360.83297431463
20180504093500,447750.0,447085.49641072744
20180504093600,448250.00000000006,447254.0622502565
20180504093700,448125.0,447570.63862681383
20180504093800,447875.00000000006,447708.121523261
20180504093900,447750.0,447524.4720578193
20180504094000,447500.0,447356.09722137445
20180504094100,447000.0,447172.20619320864
20180504094200,447250.0,446804.0646016597
20180504094300,447375.0,446732.63506591314
20180504094400,447375.0,446901.4199972152
20180504094500,447125.0,446952.52455770964
20180504094600,447000.0,446819.4796741008
20180504094700,446625.0,446650.6610363721
20180504094800,447000.0,446399.682983756
20180504094900,447375.0,446445.9282010793
20180504095000,447250.0,446799.1659343242
20180504095100,447875.00000000006,446886.0105425119
20180504095200,448500.0,447167.34123229975
20180504095300,448875.0,447754.2712390422
20180504095400,448250.00000000006,448207.52155780786
20180504095500,448250.00000000006,448028.88873219484
20180504095600,448000.0,447774.4389176368
20180504095700,448375.0,447641.78165793413
20180504095800,448250.00000000006,447738.9011085033
20180504095900,448500.0,447825.3637105226
20180504100000,448625.00000000006,447907.0399999618
20180504100100,449250.0,448075.0665366649
20180504100200,449250.0,448456.8817019462
20180504100300,449375.00000000006,448710.67424118513
20180504100400,449125.0,448776.7669260501
20180504100500,448750.0,448695.2984929084
20180504100600,448750.0,448395.3899443149
20180504100700,448750.0,448242.9807186126
20180504100800,448750.0,448242.9807186126
20180504100900,448875.0,448242.9807186126
20180504101000,449125.0,448309.18014049524
20180504101100,449125.0,448492.3071563243
20180504101200,449375.00000000006,448593.8309133052
20180504101300,449250.0,448726.04437172407
20180504101400,449375.00000000006,448761.3967955112
20180504101500,449000.00000000006,448776.7669260501
20180504101600,448625.00000000006,448629.1889548301
20180504101700,448875.0,448278.40617299074
20180504101800,448750.0,448258.35084915155
20180504101900,449125.0,448293.79877448076
20180504102000,449250.0,448441.5228068828
20180504102100,449375.00000000006,448659.9516868591
20180504102200,449375.00000000006,448776.7669260501
20180504102300,449125.0,448827.4670094251
20180504102400,449000.00000000006,448695.2984929084
20180504102500,448875.0,448527.69890427584
20180504102600,448500.0,448410.7713103294
20180504102700,448125.0,448161.3774597644
20180504102800,447375.0,447809.9654912948
20180504102900,446874.99999999994,447258.8429450988
20180504103000,447000.0,446686.38423085207
20180504103100,447250.0,446548.32270741457
20180504103200,446874.99999999994,446732.63506591314
20180504103300,446000.0,446635.2515816688
20180504103400,445250.0,446015.06456732744
20180504103500,445125.0,445254.8385858535
20180504103600,444999.99999999994,444879.08495962614
20180504103700,445250.0,444760.5787813663
20180504103800,445125.0,444843.0022299289
20180504103900,445125.0,444879.08495962614
20180504104000,444999.99999999994,444827.55906879896
20180504104100,444624.99999999994,444760.5787813663
20180504104200,444375.0,444507.9659670591
20180504104300,444624.99999999994,444218.9558297395
20180504104400,444750.0,444249.87024068827
20180504104500,444875.0,444420.21128535265
20180504104600,444875.0,444538.8691425323
20180504104700,444999.99999999994,444590.45121073717
20180504104800,445125.0,444657.47082233423
20180504104900,444750.0,444776.0163247585
20180504105000,444875.0,444626.56202912325
20180504105100,444875.0,444538.8691425323
20180504105200,444875.0,444590.45121073717
20180504105300,444875.0,444590.45121073717
20180504105400,444750.0,444590.45121073717
20180504105500,444750.0,444523.42036366457
20180504105600,444624.99999999994,444471.8158245086
20180504105700,444125.0,444404.7625064849
20180504105800,444249.99999999994,444084.71436798567
20180504105900,444249.99999999994,443945.11920213694
20180504110000,444249.99999999994,443996.8136250972
20180504110100,442875.0,443996.8136250972
20180504110200,441750.0,443257.2047412395
20180504110300,442375.00000000006,442079.0752470493
20180504110400,442375.00000000006,441948.24375212187
20180504110500,442750.00000000006,442208.6315155029
20180504110600,442875.0,442411.13972663874
20180504110700,442875.0,442634.5796287059
20180504110800,443125.00000000006,442686.54370307917
20180504110900,443375.0,442821.3637918233
20180504111000,443250.0,443059.93226170534
20180504111100,443750.0,443096.34082019323
20180504111200,444249.99999999994,443313.76412510866
20180504111300,444000.0,443789.9179607629
20180504111400,443875.00000000006,443862.48227953905
20180504111500,444249.99999999994,443691.815406084
20180504111600,444125.0,443841.66294336313
20180504111700,444375.0,443929.6591877937
20180504111800,444624.99999999994,444012.2736394405
20180504111900,444750.0,444249.87024068827
20180504112000,444875.0,444420.21128535265
20180504112100,445125.0,444538.8691425323
20180504112200,444624.99999999994,444724.473580718
20180504112300,444750.0,444559.53118205065
20180504112400,444875.0,444420.21128535265
20180504112500,444875.0,444538.8691425323
20180504112600,444875.0,444590.45121073717
20180504112700,444500.0,444590.45121073717
20180504112800,443625.0,444389.30249214167
20180504112900,443375.0,443764.31792974466
20180504113000,443125.00000000006,443267.37284660334
20180504113100,443375.0,443028.98976206774
20180504113200,443500.00000000006,443059.93226170534
20180504113300,443250.0,443231.00361227983
20180504113400,443375.0,443148.2037752866
20180504113500,443375.0,443111.8176877498
20180504113600,443250.0,443163.6806428432
20180504113700,443250.0,443096.34082019323
20180504113800,443500.00000000006,443044.46101188654
20180504113900,443250.0,443179.1462749242
20180504114000,443250.0,443148.2037752866
20180504114100,443750.0,443044.46101188654
20180504114200,443875.00000000006,443313.76412510866
20180504114300,443875.00000000006,443588.2692635059
20180504114400,443875.00000000006,443640.0479525327
20180504114500,443625.0,443640.0479525327
20180504114600,443750.0,443505.5536925792
20180504114700,443625.0,443469.22940015787
20180504114800,443750.0,443453.7693858146
20180504114900,443750.0,443469.22940015787
20180504115000,444249.99999999994,443521.0305601358
20180504115100,444249.99999999994,443789.9179607629
20180504115200,444375.0,443996.8136250972
20180504115300,444375.0,444063.9568269252
20180504115400,444500.0,444115.64563214773
20180504115500,444375.0,444182.7607452869
20180504115600,444000.0,444167.31196641916
20180504115700,444125.0,443914.19355571264
20180504115800,444500.0,443826.2141644954
20180504115900,444125.0,444079.40560579294
20180504120000,444500.0,444033.04241597647
20180504120100,444624.99999999994,444079.40560579294
20180504120200,445125.0,444301.5197217464
20180504120300,445125.0,444621.32629752153
20180504120400,444750.0,444827.55906879896
20180504120500,445250.0,444626.56202912325
20180504120600,445125.0,444739.9055063724
20180504120700,445374.99999999994,444879.08495962614
20180504120800,445250.0,444961.47470176214
20180504120900,445374.99999999994,444997.5461959838
20180504121000,445374.99999999994,445012.97812163824
20180504121100,445125.0,445064.4703060388
20180504121200,445500.0,444930.59399724
20180504121300,445625.0,445028.4156650304
20180504121400,445749.99999999994,445249.74329769606
20180504121500,445250.0,445368.03600192064
20180504121600,445250.0,445151.9441008567
20180504121700,445500.0,444946.04277610773
20180504121800,445875.0,445079.91346716875
20180504121900,446000.0,445383.4735453128
20180504122000,446000.0,445604.4978201389
20180504122100,445749.99999999994,445655.8664143085
20180504122200,445875.0,445522.2485214471
20180504122300,446000.0,445486.3006174564
20180504122400,445749.99999999994,445604.4978201389
20180504122500,445875.0,445522.2485214471
20180504122600,445875.0,445486.3006174564
20180504122700,446250.0,445537.6916825771
20180504122800,446250.0,445738.07638883585
20180504122900,446000.0,445892.08105206484
20180504123000,445875.0,445758.5698962211
20180504123100,445875.0,445589.07151222223
20180504123200,445625.0,445537.6916825771
20180504123300,446000.0,445404.017612338
20180504123400,446250.0,445501.7156898975
20180504123500,446375.0,445789.42812979216
20180504123600,446250.0,445958.80854129785
20180504123700,446250.0,445943.3822333812
20180504123800,446375.0,445892.08105206484
20180504123900,446000.0,445958.80854129785
20180504124000,445875.0,445809.8991662263
20180504124100,445749.99999999994,445589.07151222223
20180504124200,445749.99999999994,445470.8630740642
