datetime,original,predicted
20180504090200,62100.0,61988.252475857735
20180504090300,62150.0,61959.08790528774
20180504090400,62425.0,61994.77781653404
20180504090500,62625.0,62154.14211452007
20180504090600,62500.0,62368.624064326286
20180504090800,62600.0,62388.80086541176
20180504090900,62750.0,62387.14872300625
20180504091000,62925.0,62503.384163975716
20180504091100,62850.0,62652.28266119957
20180504091200,62625.0,62686.832240223885
20180504091300,62650.0,62544.02189254761
20180504091400,62850.0,62463.783448934555
20180504091500,62850.0,62573.83603155613
20180504091600,62750.0,62656.05953335762
20180504091700,62650.0,62606.30393028259
20180504091800,62650.0,62515.32225608826
20180504091900,62625.0,62474.098098278046
20180504092000,62575.0,62461.61279976368
20180504092100,62500.0,62426.308420300484
20180504092200,62475.0,62368.12851727009
20180504092300,62475.0,62324.57012236118
20180504092400,62475.0,62314.21529352665
20180504092500,62575.0,62314.21529352665
20180504092600,62575.0,62364.296159148216
20180504092700,62650.0,62405.65233528614
20180504092800,62500.0,62443.14171373844
20180504092900,62550.0,62399.131777882576
20180504093000,62525.0,62362.13124990463
20180504093100,62525.0,62370.30012309551
20180504093200,62500.0,62359.95964407921
20180504093300,62575.0,62347.44181931019
20180504093400,62550.0,62374.64142143726
20180504093500,62600.0,62393.1479036808
20180504093600,62750.0,62407.82202780247
20180504093700,62750.0,62503.384163975716
20180504093800,62675.0,62565.18022119999
20180504093900,62650.0,62527.792248129845
20180504094000,62600.0,62484.40892100334
20180504094100,62575.0,62449.12367463112
20180504094200,62550.0,62415.98133444786
20180504094300,62550.0,62393.1479036808
20180504094400,62650.0,62382.81316459179
20180504094500,62500.0,62432.81558454037
20180504094600,62475.0,62399.131777882576
20180504094700,62425.0,62324.57012236118
20180504094800,62400.0,62289.15094435215
20180504094900,62425.0,62255.878499150276
20180504095000,62450.0,62258.0501049757
20180504095100,62450.0,62280.96006810665
20180504095200,62425.0,62291.32542014122
20180504095300,62400.0,62278.78750562668
20180504095400,62425.0,62255.878499150276
20180504095500,62425.0,62258.0501049757
20180504095600,62350.0,62268.42024028301
20180504095700,62375.0,62230.78162372112
20180504095800,62375.0,62212.19382584095
20180504095900,62350.0,62222.575441002846
20180504100000,62300.0,62210.02030670643
20180504100100,62350.0,62174.50833320618
20180504100200,62425.0,62178.852501511574
20180504100300,62425.0,62237.297397851944
20180504100400,62450.0,62268.42024028301
20180504100500,62425.0,62280.96006810665
20180504100600,62450.0,62278.78750562668
20180504100700,62425.0,62280.96006810665
20180504100800,62400.0,62278.78750562668
20180504100900,62425.0,62255.878499150276
20180504101000,62425.0,62258.0501049757
20180504101100,62400.0,62268.42024028301
20180504101200,62450.0,62255.878499150276
20180504101300,62425.0,62270.59088945389
20180504101400,62425.0,62278.78750562668
20180504101500,62450.0,62268.42024028301
20180504101600,62400.0,62280.96006810665
20180504101700,62450.0,62266.24959111214
20180504101800,62450.0,62270.59088945389
20180504101900,62400.0,62291.32542014122
20180504102000,62450.0,62266.24959111214
20180504102100,62425.0,62270.59088945389
20180504102200,62400.0,62278.78750562668
20180504102300,62425.0,62255.878499150276
20180504102400,62425.0,62258.0501049757
20180504102500,62425.0,62268.42024028301
20180504102600,62425.0,62268.42024028301
20180504102700,62450.0,62268.42024028301
20180504102800,62450.0,62280.96006810665
20180504102900,62475.0,62291.32542014122
20180504103000,62450.0,62303.85663807392
20180504103100,62425.0,62301.6850322485
20180504103200,62400.0,62278.78750562668
20180504103300,62325.0,62255.878499150276
20180504103400,62350.0,62207.84678757191
20180504103500,62275.0,62189.24559652805
20180504103600,62225.0,62161.93884909153
20180504103700,62275.0,62105.572763085365
20180504103800,62250.0,62109.91788804531
20180504103900,62250.0,62118.15564036369
20180504104000,62225.0,62107.74628221989
20180504104100,62275.0,62095.159578323364
20180504104200,62300.0,62109.91788804531
20180504104300,62350.0,62143.31374168396
20180504104400,62350.0,62178.852501511574
20180504104500,62300.0,62199.63582158089
20180504104600,62350.0,62174.50833320618
20180504104700,62325.0,62178.852501511574
20180504104800,62375.0,62187.07303404808
20180504104900,62425.0,62201.805514097214
20180504105000,62450.0,62247.676143050194
20180504105100,62475.0,62280.96006810665
20180504105200,62425.0,62303.85663807392
20180504105300,62425.0,62289.15094435215
20180504105400,62425.0,62268.42024028301
20180504105500,62425.0,62268.42024028301
20180504105600,62425.0,62268.42024028301
20180504105700,62350.0,62268.42024028301
20180504105800,62350.0,62230.78162372112
20180504105900,62325.0,62199.63582158089
20180504110000,62300.0,62187.07303404808
20180504110100,62275.0,62164.11428153515
20180504110200,62275.0,62141.14022254944
20180504110300,62275.0,62130.736604332924
20180504110400,62300.0,62130.736604332924
20180504110500,62275.0,62143.31374168396
20180504110600,62275.0,62141.14022254944
20180504110700,62275.0,62130.736604332924
20180504110800,62250.0,62130.736604332924
20180504110900,62225.0,62118.15564036369
20180504111000,62250.0,62095.159578323364
20180504111100,62225.0,62097.33214080334
20180504111200,62225.0,62095.159578323364
20180504111300,62200.0,62084.74256694317
20180504111400,62225.0,62072.150123119354
20180504111500,62250.0,62074.32268559933
20180504111600,62250.0,62097.33214080334
20180504111700,62200.0,62107.74628221989
20180504111800,62225.0,62082.56713449955
20180504111900,62225.0,62074.32268559933
20180504112000,62275.0,62084.74256694317
20180504112100,62275.0,62109.91788804531
20180504112200,62275.0,62130.736604332924
20180504112300,62225.0,62130.736604332924
20180504112400,62225.0,62105.572763085365
20180504112500,62225.0,62084.74256694317
20180504112600,62275.0,62084.74256694317
20180504112700,62225.0,62109.91788804531
20180504112800,62225.0,62105.572763085365
20180504112900,62250.0,62084.74256694317
20180504113000,62225.0,62097.33214080334
20180504113100,62250.0,62095.159578323364
20180504113200,62250.0,62097.33214080334
20180504113300,62250.0,62107.74628221989
20180504113400,62250.0,62107.74628221989
20180504113500,62275.0,62107.74628221989
20180504113600,62225.0,62120.329159498215
20180504113700,62250.0,62105.572763085365
20180504113800,62250.0,62097.33214080334
20180504113900,62225.0,62107.74628221989
20180504114000,62250.0,62095.159578323364
20180504114100,62275.0,62097.33214080334
20180504114200,62250.0,62120.329159498215
20180504114300,62200.0,62118.15564036369
20180504114400,62250.0,62082.56713449955
20180504114500,62275.0,62086.91512942314
20180504114600,62250.0,62120.329159498215
20180504114700,62275.0,62118.15564036369
20180504114800,62275.0,62120.329159498215
20180504114900,62225.0,62130.736604332924
20180504115000,62250.0,62105.572763085365
20180504115100,62250.0,62097.33214080334
20180504115200,62225.0,62107.74628221989
20180504115300,62250.0,62095.159578323364
20180504115400,62275.0,62097.33214080334
20180504115500,62225.0,62120.329159498215
20180504115600,62275.0,62105.572763085365
20180504115700,62250.0,62109.91788804531
20180504115800,62250.0,62118.15564036369
20180504115900,62250.0,62107.74628221989
20180504120000,62250.0,62107.74628221989
20180504120100,62275.0,62107.74628221989
