datetime,original,predicted
20180504090200,241250.0,239292.44647920132
20180504090300,241000.0,240086.37563884258
20180504090400,240250.0,240618.95962059498
20180504090500,240750.0,240141.40439033508
20180504090600,241375.0,240059.35190618038
20180504090700,241750.0,240584.87708866596
20180504090800,241750.0,241040.96920788288
20180504090900,241875.0,241204.03231680393
20180504091000,242125.0,241265.16281068325
20180504091100,242375.0,241441.64490699768
20180504091200,242250.0,241672.1502393484
20180504091300,242500.0,241719.47003901005
20180504091400,242500.0,241787.2878164053
20180504091500,242750.0,241895.52004635334
20180504091600,242875.0,242017.3570215702
20180504091700,242250.0,242186.28765642643
20180504091800,241625.0,241935.85777282715
20180504091900,241625.0,241360.00835895538
20180504092000,241500.0,241088.51918578148
20180504092100,241500.0,241027.3281186819
20180504092200,241500.0,240972.94951975346
20180504092300,241625.0,240972.94951975346
20180504092400,241625.0,241034.16077792645
20180504092500,241375.0,241088.51918578148
20180504092600,241750.0,240966.11282229424
20180504092700,241750.0,241040.96920788288
20180504092800,241875.0,241204.03231680393
20180504092900,241875.0,241265.16281068325
20180504093000,241875.0,241319.45256888866
20180504093100,241750.0,241319.45256888866
20180504093200,241625.0,241258.3301514387
20180504093300,241750.0,241142.86144077778
20180504093400,241625.0,241149.70217645168
20180504093500,241625.0,241142.86144077778
20180504093600,241750.0,241088.51918578148
20180504093700,241750.0,241149.70217645168
20180504093800,241750.0,241204.03231680393
20180504093900,241750.0,241204.03231680393
20180504094000,241625.0,241204.03231680393
20180504094100,242250.0,241142.86144077778
20180504094200,243750.0,241394.1918462515
20180504094300,243875.0,242395.92349529266
20180504094400,243875.0,243102.72413492203
20180504094500,243625.0,243156.40412271023
20180504094600,243625.0,243035.28191149235
20180504094700,243625.0,242927.82098054886
20180504094800,243750.0,242927.82098054886
20180504094900,243750.0,242988.430544734
20180504095000,243625.0,243042.1589910984
20180504095100,243750.0,242981.55750334263
20180504095200,243750.0,242988.430544734
20180504095300,243125.0,243042.1589910984
20180504095400,242625.0,242738.9859855175
20180504095500,242750.0,242226.54865682125
20180504095600,242750.0,242071.4085251093
20180504095700,242875.0,242125.4317611456
20180504095800,243250.0,242186.28765642643
20180504095900,243250.0,242422.67666757107
20180504100000,243250.0,242584.38293635845
20180504100100,243250.0,242584.38293635845
20180504100200,243250.0,242584.38293635845
20180504100300,243250.0,242584.38293635845
20180504100400,243125.0,242584.38293635845
20180504100500,242750.0,242523.6522257328
20180504100600,242750.0,242287.380322814
20180504100700,242750.0,242125.4317611456
20180504100800,242875.0,242125.4317611456
20180504100900,242625.0,242186.28765642643
20180504101000,242750.0,242118.57487261295
20180504101100,242750.0,242071.4085251093
20180504101200,242625.0,242125.4317611456
20180504101300,242750.0,242064.55163657665
20180504101400,242750.0,242071.4085251093
20180504101500,243125.0,242125.4317611456
20180504101600,243125.0,242307.93483555317
20180504101700,243250.0,242469.7541743517
20180504101800,243125.0,242530.50507605076
20180504101900,243125.0,242523.6522257328
20180504102000,243125.0,242469.7541743517
20180504102100,243250.0,242469.7541743517
20180504102200,243375.0,242530.50507605076
20180504102300,243375.0,242645.10153234005
20180504102400,243375.0,242698.93497228622
20180504102500,243375.0,242698.93497228622
20180504102600,243375.0,242698.93497228622
20180504102700,243375.0,242698.93497228622
20180504102800,243250.0,242698.93497228622
20180504102900,242875.0,242638.23656737804
20180504103000,242750.0,242402.11407840252
20180504103100,242625.0,242179.43884432316
20180504103200,242875.0,242064.55163657665
20180504103300,242875.0,242132.2724968195
20180504103400,242750.0,242240.27858674526
20180504103500,242750.0,242179.43884432316
20180504103600,242625.0,242125.4317611456
20180504103700,242750.0,242064.55163657665
20180504103800,242875.0,242071.4085251093
20180504103900,243125.0,242186.28765642643
20180504104000,243375.0,242361.90557479858
20180504104100,243375.0,242591.23174846172
20180504104200,243375.0,242698.93497228622
20180504104300,243250.0,242698.93497228622
20180504104400,243375.0,242638.23656737804
20180504104500,243125.0,242645.10153234005
20180504104600,243125.0,242577.51797139645
20180504104700,243250.0,242469.7541743517
20180504104800,243250.0,242530.50507605076
20180504104900,243375.0,242584.38293635845
20180504105000,243500.0,242645.10153234005
20180504105100,243875.0,242759.613186121
20180504105200,243875.0,242995.27935683727
20180504105300,243750.0,243156.40412271023
20180504105400,243750.0,243095.85916996002
20180504105500,243500.0,243042.1589910984
20180504105600,243250.0,242920.9479391575
20180504105700,243250.0,242692.06596910954
20180504105800,243250.0,242584.38293635845
20180504105900,243375.0,242584.38293635845
20180504110000,243125.0,242645.10153234005
20180504110100,243125.0,242577.51797139645
20180504110200,243250.0,242469.7541743517
20180504110300,243000.0,242530.50507605076
20180504110400,242250.0,242462.89324760437
20180504110500,242375.0,241989.90119993687
20180504110600,242250.0,241726.31077468395
20180504110700,242125.0,241719.47003901005
20180504110800,242250.0,241604.29207980633
20180504110900,242125.0,241611.12473905087
20180504111000,242125.0,241604.29207980633
20180504111100,242125.0,241550.09520053864
20180504111200,242125.0,241550.09520053864
20180504111300,242125.0,241550.09520053864
20180504111400,242250.0,241550.09520053864
20180504111500,242125.0,241611.12473905087
20180504111600,242375.0,241604.29207980633
20180504111700,242250.0,241672.1502393484
20180504111800,242250.0,241719.47003901005
20180504111900,242250.0,241665.31758010387
20180504112000,242250.0,241665.31758010387
20180504112100,242250.0,241665.31758010387
20180504112200,242250.0,241665.31758010387
20180504112300,242250.0,241665.31758010387
20180504112400,242375.0,241665.31758010387
20180504112500,242250.0,241726.31077468395
20180504112600,242250.0,241719.47003901005
20180504112700,242250.0,241665.31758010387
20180504112800,242000.0,241665.31758010387
20180504112900,241625.0,241543.2585030794
20180504113000,241625.0,241251.48133933544
20180504113100,241625.0,241088.51918578148
20180504113200,241875.0,241088.51918578148
20180504113300,241750.0,241210.85286140442
20180504113400,241625.0,241258.3301514387
20180504113500,241750.0,241142.86144077778
20180504113600,241750.0,241149.70217645168
20180504113700,241750.0,241204.03231680393
20180504113800,241625.0,241204.03231680393
20180504113900,241750.0,241142.86144077778
20180504114000,241750.0,241149.70217645168
20180504114100,242250.0,241204.03231680393
20180504114200,242125.0,241448.4573751688
20180504114300,242375.0,241604.29207980633
20180504114400,242375.0,241672.1502393484
20180504114500,242375.0,241780.45515716076
20180504114600,242250.0,241780.45515716076
20180504114700,242250.0,241719.47003901005
20180504114800,242250.0,241665.31758010387
20180504114900,242250.0,241665.31758010387
20180504115000,242250.0,241665.31758010387
20180504115100,242500.0,241665.31758010387
20180504115200,243250.0,241787.2878164053
20180504115300,243250.0,242260.7725262642
20180504115400,243375.0,242584.38293635845
20180504115500,243250.0,242645.10153234005
20180504115600,243250.0,242638.23656737804
20180504115700,243125.0,242584.38293635845
20180504115800,243375.0,242523.6522257328
20180504115900,243375.0,242591.23174846172
20180504120000,243375.0,242698.93497228622
20180504120100,243250.0,242698.93497228622
20180504120200,243250.0,242638.23656737804
20180504120300,243250.0,242584.38293635845
20180504120400,243250.0,242584.38293635845
20180504120500,243125.0,242584.38293635845
20180504120600,243250.0,242523.6522257328
20180504120700,243250.0,242530.50507605076
20180504120800,243375.0,242584.38293635845
20180504120900,243125.0,242645.10153234005
20180504121000,243250.0,242577.51797139645
20180504121100,243250.0,242530.50507605076
20180504121200,243250.0,242584.38293635845
20180504121300,243375.0,242584.38293635845
20180504121400,243875.0,242645.10153234005
20180504121500,243875.0,242941.52264297009
20180504121600,243750.0,243156.40412271023
20180504121700,243750.0,243095.85916996002
20180504121800,243750.0,243042.1589910984
20180504121900,243750.0,243042.1589910984
20180504122000,243625.0,243042.1589910984
20180504122100,243750.0,242981.55750334263
20180504122200,244250.0,242988.430544734
20180504122300,244250.0,243284.30245816708
20180504122400,244125.0,243498.7437725067
20180504122500,244375.0,243438.28766047955
20180504122600,244375.0,243505.60469925404
20180504122700,244375.0,243612.69815266132
20180504122800,244250.0,243612.69815266132
20180504122900,244250.0,243552.29453742504
20180504123000,244250.0,243498.7437725067
20180504123100,244250.0,243498.7437725067
20180504123200,244250.0,243498.7437725067
20180504123300,244250.0,243498.7437725067
20180504123400,244250.0,243498.7437725067
20180504123500,244250.0,243498.7437725067
20180504123600,244125.0,243498.7437725067
20180504123700,244125.0,243438.28766047955
20180504123800,244250.0,243384.70055162907
20180504123900,244125.0,243445.1647400856
20180504124000,244250.0,243438.28766047955
20180504124100,244375.0,243445.1647400856
20180504124200,244250.0,243559.1675788164
20180504124300,244375.0,243552.29453742504
20180504124400,244375.0,243559.1675788164
20180504124500,244375.0,243612.69815266132
20180504124600,244250.0,243612.69815266132
20180504124700,244250.0,243552.29453742504
20180504124800,244250.0,243498.7437725067
20180504124900,244375.0,243498.7437725067
20180504125000,244250.0,243559.1675788164
20180504125100,244250.0,243552.29453742504
20180504125200,243750.0,243498.7437725067
20180504125300,243125.0,243256.82644546032
20180504125400,242750.0,242738.9859855175
20180504125500,242750.0,242287.380322814
20180504125600,242750.0,242125.4317611456
20180504125700,242875.0,242125.4317611456
20180504125800,242750.0,242186.28765642643
20180504125900,242750.0,242179.43884432316
20180504130000,242625.0,242125.4317611456
20180504130100,242750.0,242064.55163657665
20180504130200,242750.0,242071.4085251093
20180504130300,242750.0,242125.4317611456
20180504130400,242625.0,242125.4317611456
20180504130500,242750.0,242064.55163657665
20180504130600,242625.0,242071.4085251093
20180504130700,242875.0,242064.55163657665
20180504130800,242750.0,242132.2724968195
20180504130900,242625.0,242179.43884432316
20180504131000,242750.0,242064.55163657665
20180504131100,242750.0,242071.4085251093
20180504131200,242625.0,242125.4317611456
20180504131300,242375.0,242064.55163657665
20180504131400,242250.0,241888.66719603539
20180504131500,242250.0,241719.47003901005
20180504131600,242125.0,241665.31758010387
20180504131700,242250.0,241604.29207980633
20180504131800,242375.0,241611.12473905087
20180504131900,242250.0,241726.31077468395
20180504132000,242375.0,241719.47003901005
20180504132100,242125.0,241726.31077468395
20180504132200,242375.0,241658.46069157124
20180504132300,242250.0,241672.1502393484
20180504132400,242375.0,241719.47003901005
20180504132500,242375.0,241726.31077468395
20180504132600,242250.0,241780.45515716076
20180504132700,242250.0,241719.47003901005
20180504132800,242250.0,241665.31758010387
20180504132900,242250.0,241665.31758010387
20180504133000,242250.0,241665.31758010387
20180504133100,242250.0,241665.31758010387
20180504133200,242250.0,241665.31758010387
20180504133300,242125.0,241665.31758010387
20180504133400,242125.0,241604.29207980633
20180504133500,242250.0,241550.09520053864
20180504133600,242250.0,241611.12473905087
20180504133700,242250.0,241665.31758010387
20180504133800,242250.0,241665.31758010387
20180504133900,242250.0,241665.31758010387
20180504134000,242625.0,241665.31758010387
20180504134100,242875.0,241848.24466705322
