datetime,original,predicted
20180504090200,58475.0,58926.558101177216
20180504090300,58425.0,58652.26343423128
20180504090400,58400.0,58518.3668628335
20180504090500,58700.0,58481.22619688511
20180504090600,59125.0,58628.558208048344
20180504090700,59150.0,58997.104431688786
20180504090800,59200.0,59212.76407688856
20180504090900,59300.0,59251.15691721439
20180504091000,59225.0,59327.928902208805
20180504091100,59175.0,59335.75890511274
20180504091200,59125.0,59273.59236031771
20180504091300,59225.0,59223.305819928646
20180504091400,59350.0,59252.50887423754
20180504091500,59500.0,59366.30609035492
20180504091600,59625.0,59505.18396794796
20180504091700,59650.0,59642.62771457434
20180504091800,59725.0,59715.21861106157
20180504091900,59750.0,59766.769064962864
20180504092000,59675.0,59815.58821350336
20180504092100,59450.0,59787.77820318937
20180504092200,59425.0,59633.11118930578
20180504092300,59400.0,59513.000275194645
20180504092400,59350.0,59487.87852674723
20180504092500,59275.0,59449.51699078083
20180504092600,59100.0,59386.02392375469
20180504092700,59150.0,59257.63496309519
20180504092800,59225.0,59200.86255073547
20180504092900,59150.0,59264.402574300766
20180504093000,59200.0,59260.346703231335
20180504093100,59175.0,59251.15691721439
20180504093200,59125.0,59261.69866025448
20180504093300,59100.0,59223.305819928646
20180504093400,59050.0,59186.26298010349
20180504093500,59050.0,59147.8623136878
20180504093600,59150.0,59124.059261381626
20180504093700,59200.0,59177.06536799669
20180504093800,59300.0,59251.15691721439
20180504093900,59400.0,59327.928902208805
20180504094000,59275.0,59428.4589394927
20180504094100,59250.0,59409.79371517897
20180504094200,59250.0,59337.11477518082
20180504094300,59275.0,59325.22107511759
20180504094400,59200.0,59338.46673220396
20180504094500,59150.0,59310.62150448561
20180504094600,59175.0,59248.45104664564
20180504094700,59175.0,59237.90930360556
20180504094800,59175.0,59249.80104714632
20180504094900,59175.0,59249.80104714632
20180504095000,59175.0,59249.80104714632
20180504095100,59150.0,59249.80104714632
20180504095200,59125.0,59236.55539005995
20180504095300,59100.0,59211.41016334295
20180504095400,59125.0,59186.26298010349
20180504095500,59150.0,59187.61493712664
20180504095600,59250.0,59212.76407688856
20180504095700,59250.0,59277.6501879096
20180504095800,59200.0,59325.22107511759
20180504095900,59100.0,59298.73171746731
20180504100000,59075.0,59221.95190638304
20180504100100,59050.0,59161.1118838191
20180504100200,59100.0,59135.95883101225
20180504100300,59100.0,59150.56231468916
20180504100400,59050.0,59174.361453950405
20180504100500,59150.0,59147.8623136878
20180504100600,59125.0,59177.06536799669
20180504100700,59125.0,59211.41016334295
20180504100800,59100.0,59199.512550234795
20180504100900,59050.0,59186.26298010349
20180504101000,59075.0,59147.8623136878
20180504101100,59175.0,59137.31078803539
20180504101200,59175.0,59202.21450775862
20180504101300,59150.0,59249.80104714632
20180504101400,59150.0,59236.55539005995
20180504101500,59200.0,59224.659733474255
20180504101600,59275.0,59251.15691721439
20180504101700,59300.0,59314.68324512243
20180504101800,59300.0,59363.60021978617
20180504101900,59325.0,59375.490006804466
20180504102000,59250.0,59388.733707368374
20180504102100,59225.0,59360.890436172485
20180504102200,59250.0,59311.97737455368
20180504102300,59275.0,59313.33128809929
20180504102400,59200.0,59338.46673220396
20180504102500,59275.0,59310.62150448561
20180504102600,59325.0,59314.68324512243
20180504102700,59300.0,59376.84587687254
20180504102800,59250.0,59387.3778373003
20180504102900,59250.0,59349.00260567665
20180504103000,59400.0,59325.22107511759
20180504103100,59450.0,59404.683278501034
20180504103200,59425.0,59502.47418433428
20180504103300,59500.0,59513.000275194645
20180504103400,59675.0,59540.82593768835
20180504103500,59800.0,59669.087724387646
20180504103600,59750.0,59818.311692774296
20180504103700,59750.0,59851.173444092274
20180504103800,59750.0,59827.44865268469
20180504103900,59825.0,59827.44865268469
20180504104000,60025.0,59867.119102180004
20180504104100,60075.0,60008.434806764126
20180504104200,60150.0,60129.65506911278
20180504104300,60200.0,60192.958353459835
20180504104400,60300.0,60254.88424599171
20180504104500,60350.0,60331.358839571476
20180504104600,60375.0,60405.06886690855
20180504104700,60425.0,60441.914097964764
20180504104800,60475.0,60480.12302517891
20180504104900,60600.0,60530.143478512764
20180504105000,60650.0,60619.70916390419
20180504105100,60600.0,60705.11723905802
20180504105200,60600.0,60702.370281517506
20180504105300,60650.0,60678.758968412876
20180504105400,60725.0,60705.11723905802
20180504105500,60750.0,60768.26595813036
20180504105600,60700.0,60816.8385848403
20180504105700,60600.0,60802.2898837924
20180504105800,60575.0,60725.97963809967
20180504105900,60675.0,60665.579833090305
20180504110000,60750.0,60706.49658739567
20180504110100,60575.0,60793.242923915386
20180504110200,60600.0,60736.405946314335
20180504110300,60675.0,60666.95331186056
20180504110400,60600.0,60718.30224394798
20180504110500,60550.0,60714.173981547356
20180504110600,60475.0,60652.392871677876
20180504110700,60475.0,60589.22067433596
20180504110800,60524.99999999999,60553.780226409435
20180504110900,60450.0,60580.154149234295
20180504111000,60475.0,60564.21631723642
20180504111100,60500.0,60541.96283072233
20180504111200,60450.0,60566.963274776936
20180504111300,60475.0,60552.404791116714
20180504111400,60524.99999999999,60541.96283072233
20180504111500,60524.99999999999,60580.154149234295
20180504111600,60550.0,60603.77915799618
20180504111700,60500.0,60616.96416288614
20180504111800,60450.0,60602.40372270346
20180504111900,60550.0,60552.404791116714
20180504112000,60550.0,60581.52371495962
20180504112100,60600.0,60628.77764552832
20180504112200,60450.0,60655.14178574085
20180504112300,60225.0,60599.656765162945
20180504112400,60125.0,60410.03452092409
20180504112500,60250.0,60250.77946186066
20180504112600,60375.0,60269.45446878672
20180504112700,60225.0,60394.61125433445
20180504112800,60225.0,60374.562768638134
20180504112900,60325.0,60303.58991622925
20180504113000,60350.0,60356.38863146305
20180504113100,60325.0,60416.89800173044
20180504113200,60250.0,60415.524522960186
20180504113300,60225.0,60364.10906910896
20180504113400,60175.0,60315.421007573605
20180504113500,60200.0,60277.18664556742
20180504113600,60225.0,60266.72120690346
20180504113700,60150.0,60291.75882488489
20180504113800,60250.0,60263.98403197527
20180504113900,60250.0,60281.289473176
20180504114000,60250.0,60328.62362116575
20180504114100,60250.0,60328.62362116575
20180504114200,60250.0,60328.62362116575
20180504114300,60250.0,60328.62362116575
20180504114400,60275.0,60328.62362116575
20180504114500,60250.0,60341.820365190506
20180504114600,60100.0,60340.452755987644
20180504114700,60050.0,60249.407939612865
20180504114800,60100.0,60151.973120868206
20180504114900,60175.0,60154.704426229
20180504115000,60225.0,60218.00575405359
20180504115100,60250.0,60279.92186397314
20180504115200,60250.0,60316.79057329893
20180504115300,60275.0,60328.62362116575
20180504115400,60275.0,60341.820365190506
20180504115500,60250.0,60353.6495000124
20180504115600,60250.0,60340.452755987644
20180504115700,60225.0,60328.62362116575
20180504115800,60150.0,60315.421007573605
20180504115900,60100.0,60263.98403197527
20180504120000,60025.0,60202.06792205572
20180504120100,60000.0,60138.7626811862
20180504120200,60050.0,60090.02179354429
20180504120300,60125.0,60104.597885906696
20180504120400,60150.0,60167.91095286608
20180504120500,60175.0,60216.640101373196
20180504120600,60175.0,60241.68163239956
20180504120700,60150.0,60253.516636788845
20180504120800,60175.0,60240.3140231967
20180504120900,60250.0,60241.68163239956
20180504121000,60225.0,60293.12447756529
20180504121100,60250.0,60315.421007573605
20180504121200,60300.0,60316.79057329893
20180504121300,60375.0,60355.02102226019
20180504121400,60450.0,60418.26365441084
20180504121500,60450.0,60493.31389963627
20180504121600,60375.0,60528.77391278744
20180504121700,60325.0,60489.20128941536
20180504121800,60275.0,60427.34778821468
20180504121900,60250.0,60377.30581313372
20180504122000,60250.0,60340.452755987644
20180504122100,60350.0,60328.62362116575
20180504122200,60375.0,60381.414510309696
20180504122300,60350.0,60441.914097964764
20180504122400,60375.0,60440.54061919451
20180504122500,60350.0,60441.914097964764
20180504122600,60350.0,60440.54061919451
20180504122700,60350.0,60428.719310462475
20180504122800,60350.0,60428.719310462475
20180504122900,60400.0,60428.719310462475
20180504123000,60350.0,60455.10888546705
20180504123100,60375.0,60452.36584097147
20180504123200,60375.0,60441.914097964764
20180504123300,60400.0,60453.7354066968
20180504123400,60475.0,60466.92823767662
20180504123500,60500.0,60518.324126303196
20180504123600,60575.0,60566.963274776936
20180504123700,60524.99999999999,60618.3376416564
20180504123800,60450.0,60627.402210235596
20180504123900,60475.0,60564.21631723642
20180504124000,60524.99999999999,60541.96283072233
20180504124100,60550.0,60580.154149234295
20180504124200,60575.0,60616.96416288614
20180504124300,60575.0,60641.95873737335
20180504124400,60575.0,60653.772220015526
20180504124500,60625.0,60653.772220015526
20180504124600,60675.0,60680.13244718313
20180504124700,60650.0,60730.10594397783
20180504124800,60600.0,60740.53420871496
20180504124900,60600.0,60702.370281517506
20180504125000,60675.0,60678.758968412876
20180504125100,60650.0,60718.30224394798
20180504125200,60675.0,60740.53420871496
20180504125300,60625.0,60741.91160053015
20180504125400,60725.0,60727.357029914856
20180504125500,60725.0,60756.460301578045
20180504125600,60750.0,60803.66531908512
20180504125700,60775.0,60816.8385848403
20180504125800,60750.0,60841.81359410286
20180504125900,60750.0,60840.43424576521
20180504130000,60750.0,60828.64032834768
20180504130100,60750.0,60828.64032834768
20180504130200,60825.0,60828.64032834768
20180504130300,60850.0,60868.15425604582
20180504130400,60850.0,60916.70340448618
20180504130500,60850.0,60928.493408858776
20180504130600,60850.0,60928.493408858776
20180504130700,60825.0,60928.493408858776
20180504130800,60875.0,60915.326012670994
20180504130900,60950.0,60929.87080067396
20180504131000,60975.0,60992.94908493757
20180504131100,61075.0,61041.46301597357
20180504131200,61100.0,61105.87956160307
20180504131300,61100.0,61166.14045351744
20180504131400,61050.0,61177.914805710316
20180504131500,61075.0,61151.60349160433
20180504131600,61000.0,61141.21240079403
20180504131700,60975.0,61113.515868783
20180504131800,61000.0,61065.023459494114
20180504131900,61025.0,61066.40476435423
20180504132000,61075.0,61091.34259968996
20180504132100,61050.0,61129.436092078686
20180504132200,61100.0,61139.827182888985
20180504132300,61150.0,61154.37001436949
20180504132400,61175.0,61204.218293726444
20180504132500,61200.0,61240.90700298548
20180504132600,61350.0,61265.82136005163
20180504132700,61375.0,61356.46117627621
20180504132800,61525.0,61440.139685571194
20180504132900,61675.0,61530.699284374714
20180504133000,61725.0,61679.915426671505
20180504133100,61800.0,61776.54611468315
20180504133200,61800.0,61839.34070318937
20180504133300,61875.0,61874.5033249259
20180504133400,61750.0,61913.82942646742
20180504133500,61725.0,61883.43289345503
20180504133600,61700.0,61811.72243207693
20180504133700,61725.0,61786.88242286444
20180504133800,61800.0,61788.27155381441
20180504133900,61825.0,61839.34070318937
20180504134000,61925.0,61887.61202543974
20180504134100,61950.0,61951.75661444664
20180504134200,61875.0,62011.70641928911
20180504134300,61775.0,61984.10771340132
20180504134400,61775.0,61896.5455070138
20180504134500,61775.0,61849.671141803265
20180504134600,61750.0,61849.671141803265
20180504134700,61675.0,61836.558528244495
20180504134800,61725.0,61785.49329191446
20180504134900,61775.0,61776.54611468315
20180504135000,61775.0,61826.228089630604
20180504135100,61750.0,61849.671141803265
20180504135200,61800.0,61836.558528244495
20180504135300,61800.0,61851.06027275324
20180504135400,61800.0,61874.5033249259
20180504135500,61850.0,61874.5033249259
20180504135600,61875.0,61900.722682476044
20180504135700,61875.0,61937.26073950529
20180504135800,61900.0,61948.97443950176
20180504135900,61850.0,61962.07727044821
20180504140000,61850.0,61947.58335202932
20180504140100,61825.0,61924.15203899145
20180504140200,61875.0,61911.04333847761
20180504140300,61925.0,61925.545082986355
20180504140400,61925.0,61975.18205791712
20180504140500,61975.0,61998.60358834267
20180504140600,61925.0,62024.80533719063
20180504140700,61975.0,62022.01924920082
20180504140800,61950.0,62024.80533719063
20180504140900,61975.0,62035.11816710234
20180504141000,61950.0,62036.51512414217
20180504141100,61975.0,62035.11816710234
20180504141200,62000.0,62036.51512414217
20180504141300,62075.0,62061.3199159503
20180504141400,62050.0,62112.308847904205
20180504141500,62125.0,62134.31385606527
20180504141600,62150.0,62161.891040205956
20180504141700,62175.0,62210.064536333084
20180504141800,62175.0,62234.84389334917
20180504141900,62225.0,62246.5321585536
20180504142000,62200.0,62272.70064651966
20180504142100,62250.0,62282.99195468426
20180504142200,62325.0,62297.470220923424
20180504142300,62325.0,62360.075026750565
20180504142400,62400.0,62395.11047452688
20180504142500,62475.0,62434.330923855305
20180504142600,62450.0,62508.55551660061
20180504142700,62450.0,62530.486176908016
20180504142800,62475.0,62518.82138997316
20180504142900,62400.0,62531.88704699278
20180504143000,62375.0,62504.35290634632
20180504143100,62400.0,62456.279192864895
20180504143200,62400.0,62457.67614990473
20180504143300,62400.0,62469.34876292944
20180504143400,62400.0,62469.34876292944
20180504143500,62400.0,62469.34876292944
20180504143600,62375.0,62469.34876292944
20180504143700,62425.0,62456.279192864895
20180504143800,62400.0,62470.74767649174
20180504143900,62450.0,62481.01746290922
20180504144000,62375.0,62495.48790305853
20180504144100,62325.0,62479.62050586939
20180504144200,62275.0,62418.463526666164
20180504144300,62250.0,62368.959595263004
20180504144400,62225.0,62332.52132087946
20180504144500,62225.0,62307.75761604309
20180504144600,62250.0,62296.075220406055
20180504144700,62325.0,62309.15652960539
20180504144800,62300.0,62360.075026750565
20180504144900,62325.0,62382.03699141741
20180504145000,62275.0,62383.43394845724
20180504145100,62225.0,62368.959595263004
20180504145200,62200.0,62319.44196820259
20180504145300,62250.0,62282.99195468426
20180504145400,62325.0,62297.470220923424
20180504145500,62325.0,62360.075026750565
20180504145600,62275.0,62395.11047452688
20180504145700,62300.0,62368.959595263004
20180504145800,62250.0,62358.67806971073
20180504145900,62200.0,62344.20175999403
20180504150000,62200.0,62294.67630684376
20180504150100,62150.0,62271.30564600229
20180504150200,62100.0,62245.13520151377
20180504150300,62050.0,62195.58235704899
20180504150400,61950.0,62146.00994735956
20180504150500,61900.0,62070.22991925478
20180504150600,61925.0,61997.2085878253
20180504150700,61925.0,61986.893801391125
20180504150800,61850.0,61998.60358834267
20180504150900,61800.0,61959.29509550333
20180504151000,61725.0,61897.9385510087
20180504151100,61700.0,61835.16744077206
