datetime,original,predicted
20180504090200,61125.0,61551.46721601486
20180504090300,61800.0,61253.00366282463
20180504090400,62499.99999999999,61516.26061499119
20180504090500,62675.0,62214.686235785484
20180504090600,62575.0,62637.6838222146
20180504090700,62950.0,62664.864192157984
20180504090800,62825.0,62822.88690879941
20180504090900,62675.0,62929.83049377799
20180504091000,62625.0,62789.550310373306
20180504091100,62925.0,62692.16880053282
20180504091200,63050.0,62832.60535299778
20180504091300,63225.0,63040.98747521639
20180504091400,63425.0,63194.87176686525
20180504091500,63550.0,63385.6977134943
20180504091600,63350.0,63547.19910621643
20180504091700,63000.0,63496.36845141649
20180504091800,62825.0,63212.07236349583
20180504091900,62850.0,62953.1787507236
20180504092000,62925.0,62885.09823232889
20180504092100,62775.0,62937.723918259144
20180504092200,62499.99999999999,62890.86032509804
20180504092300,62600.00000000001,62670.632711052895
20180504092400,62575.0,62596.73226475716
20180504092500,62450.0,62629.81610223651
20180504092600,62450.0,62549.87295567989
20180504092700,62400.0,62491.44233614206
20180504092800,62400.0,62464.13558572531
20180504092900,62525.0,62440.76162427664
20180504093000,62775.0,62509.024216234684
20180504093100,62725.0,62703.97145152092
20180504093200,62775.0,62793.493809551
20180504093300,62800.0,62797.43088260293
20180504093400,62525.0,62834.443224966526
20180504093500,62350.0,62695.96449881792
20180504093600,62425.0,62471.889777481556
20180504093700,62475.0,62431.03461191058
20180504093800,62425.0,62493.406588584185
20180504093900,62475.0,62489.47808369994
20180504094000,62625.0,62493.406588584185
20180504094100,62625.0,62598.694375157356
20180504094200,62475.0,62668.803407251835
20180504094300,62325.0,62586.893866211176
20180504094400,62250.0,62434.86244082451
20180504094500,62300.0,62323.77186268568
20180504094600,62325.0,62316.0048186779
20180504094700,62400.0,62353.040723502636
20180504094800,62450.0,62405.69211393595
20180504094900,62375.0,62468.068374693394
20180504095000,62350.0,62450.48649460077
20180504095100,62475.0,62401.763609051704
20180504095200,62425.0,62458.34136232734
20180504095300,62225.0,62489.47808369994
20180504095400,62000.0,62356.87497854233
20180504095500,62025.0,62140.46234115958
20180504095600,61925.0,62048.862202465534
20180504095700,61925.0,62005.9399664402
20180504095800,62025.0,61959.14920270443
20180504095900,62100.0,62013.766987621784
20180504100000,62150.0,62101.52216106653
20180504100100,62125.0,62163.919842243195
20180504100200,62050.0,62173.653280735016
20180504100300,61850.0,62120.99760621786
20180504100400,61724.99999999999,61976.66896358132
20180504100500,61775.0,61814.80556577444
20180504100600,61825.00000000001,61783.61100926995
20180504100700,62000.0,61834.325993806124
20180504100800,62125.0,61953.309996426105
20180504100900,62175.0,62103.47998738289
20180504101000,62125.0,62189.26876634359
20180504101100,62025.0,62185.34882962704
20180504101200,62025.0,62107.34208896756
20180504101300,61975.0,62060.557751357555
20180504101400,61950.0,62033.24885889888
20180504101500,62075.0,61996.19795978069
20180504101600,62125.0,62052.773571014404
20180504101700,62150.0,62138.56663405895
20180504101800,62275.0,62175.615391135216
20180504101900,62425.0,62255.57995811105
20180504102000,62450.0,62395.96295952797
20180504102100,62475.0,62479.75535541773
20180504102200,62499.99999999999,62505.09571135044
20180504102300,62450.0,62530.43606728315
20180504102400,62550.0,62514.81629759073
20180504102500,62675.0,62546.05155289173
20180504102600,62575.0,62661.05349957943
20180504102700,62575.0,62664.864192157984
20180504102800,62575.0,62618.131263554096
20180504102900,62475.0,62618.131263554096
20180504103000,62625.0,62563.52633088827
20180504103100,62875.0,62598.694375157356
20180504103200,63000.0,62805.30717074871
20180504103300,62925.0,62990.34103602171
20180504103400,63050.0,63007.77297317982
20180504103500,63100.0,63040.98747521639
20180504103600,63125.0,63126.6477316618
20180504103700,63300.0,63163.63222748041
20180504103800,63525.0,63270.81572115421
20180504103900,63425.0,63475.252202153206
20180504104000,63200.0,63525.633028149605
20180504104100,63300.0,63356.21893256903
20180504104200,63375.00000000001,63305.81882819533
20180504104300,63350.0,63393.404780328274
20180504104400,63200.0,63414.752370119095
20180504104500,63200.0,63321.2351039052
20180504104600,63225.0,63251.24174207449
20180504104700,63125.0,63264.88654911518
20180504104800,63000.0,63221.975023299456
20180504104900,63000.0,63107.07375258207
20180504105000,63325.0,63048.713820427656
20180504105100,63600.0,63226.109164208174
20180504105200,63775.0,63527.83718928695
20180504105300,64225.0,63751.532769203186
