datetime,original,predicted
20180504090200,406875.0,405890.9570276737
20180504090300,407625.0,406575.10955631733
20180504090400,408000.0,407610.2973073721
20180504090500,409750.0,408155.82098066807
20180504090600,412250.0,409268.1162506342
20180504090700,412875.0,411407.32161700726
20180504090800,413250.0,412878.22295725346
20180504090900,415500.0,413361.94111406803
20180504091000,420250.0,414731.16429150105
20180504091100,422625.0,418265.97785949707
20180504091200,422500.0,421641.9056355953
20180504091300,423500.0,422631.51527941227
20180504091400,425250.0,423100.3613471985
20180504091500,427000.0,424458.4286361933
20180504091600,428000.0,426142.2609835863
20180504091700,427000.0,427430.08479475975
20180504091800,426875.0,427348.94774854183
20180504091900,426125.0,426845.803335309
20180504092000,424250.0,426400.94497799873
20180504092100,423875.0,425094.0956771374
20180504092200,423500.0,424071.07666134834
20180504092300,423000.0,423709.133297205
20180504092400,422750.0,423281.3694626093
20180504092500,423375.0,422928.8769066334
20180504092600,423875.0,423145.6552743912
20180504092700,423875.0,423684.2056065798
20180504092800,423750.0,423905.3414016962
20180504092900,422875.0,423839.9435579777
20180504093000,422750.0,423326.56137645245
20180504093100,422625.0,422873.4763711691
20180504093200,422000.0,422752.5103986263
20180504093300,421750.0,422369.15151774883
20180504093400,421750.0,421960.37673950195
20180504093500,421500.0,421849.2769151926
20180504093600,421375.0,421717.9128676653
20180504093700,421875.0,421541.0362929106
20180504093800,423125.0,421748.2618391514
20180504093900,423250.0,422626.5967786312
20180504094000,422750.0,423246.28415703773
20180504094100,422875.0,423039.6561175585
20180504094200,423250.0,422883.59755277634
20180504094300,422875.0,423135.5486661196
20180504094400,422875.0,423105.16326129436
20180504094500,422375.0,422939.00537490845
20180504094600,422125.0,422676.8237799406
20180504094700,422250.0,422323.8138705492
20180504094800,421625.0,422278.4470766783
20180504094900,421625.0,422005.76539337635
20180504095000,421625.0,421728.04133594036
20180504095100,421250.0,421728.04133594036
20180504095200,421125.0,421530.9078246355
20180504095300,420375.0,421298.3465343714
20180504095400,420625.0,420847.9867428541
20180504095500,420750.0,420645.4100906849
20180504095600,420750.0,420822.6801455021
20180504095700,420375.0,420878.3648610115
20180504095800,420250.0,420680.89616298676
20180504095900,420375.0,420447.8685259819
20180504100000,420375.0,420457.9751342535
20180504100100,420875.0,420513.73271644115
20180504100200,421250.0,420777.06560492516
20180504100300,421375.0,421197.1638649702
20180504100400,421125.0,421429.8125952482
20180504100500,421625.0,421353.9656698704
20180504100600,421500.0,421505.65952062607
20180504100700,421250.0,421662.34473884106
20180504100800,421500.0,421475.31054914
20180504100900,421750.0,421495.5601990223
20180504101000,421750.0,421738.1552308798
20180504101100,421375.0,421849.2769151926
20180504101200,421250.0,421652.216270566
20180504101300,421125.0,421419.71327364445
20180504101400,421625.0,421298.3465343714
20180504101500,421625.0,421505.65952062607
20180504101600,421625.0,421728.04133594036
20180504101700,421625.0,421728.04133594036
20180504101800,421375.0,421728.04133594036
20180504101900,421500.0,421596.6262817383
20180504102000,421500.0,421551.15018785
20180504102100,421500.0,421606.7474633455
20180504102200,421500.0,421606.7474633455
20180504102300,421000.0,421606.7474633455
20180504102400,421125.0,421343.8299149275
20180504102500,420875.0,421187.0499700308
20180504102600,421625.0,421111.17389798164
20180504102700,421500.0,421394.41396296024
20180504102800,421000.0,421662.34473884106
20180504102900,421125.0,421343.8299149275
20180504103000,420750.0,421187.0499700308
20180504103100,421500.0,421045.3971475363
20180504103200,421375.0,421273.0180770159
20180504103300,421125.0,421541.0362929106
20180504103400,421125.0,421353.9656698704
20180504103500,421000.0,421242.69096553326
20180504103600,420375.0,421176.9433617592
20180504103700,420000.0,420792.3020273447
20180504103800,420250.0,420316.1182850599
20180504103900,421375.0,420280.5739194155
20180504104000,421625.0,420984.56075787544
20180504104100,421375.0,421616.86135828495
20180504104200,421625.0,421596.6262817383
20180504104300,421250.0,421616.86135828495
20180504104400,421875.0,421530.9078246355
20180504104500,422250.0,421692.6791369915
20180504104600,421125.0,422167.44197905064
20180504104700,421000.0,421743.0518716574
20180504104800,421125.0,421176.9433617592
20180504104900,421625.0,421187.0499700308
20180504105000,420875.0,421505.65952062607
20180504105100,421125.0,421333.7014466524
20180504105200,421125.0,421131.4089745283
20180504105300,421375.0,421242.69096553326
20180504105400,422125.0,421374.20074641705
20180504105500,421625.0,421879.61131334305
20180504105600,421375.0,421950.24098455906
20180504105700,420875.0,421596.6262817383
20180504105800,421125.0,421222.4558889866
20180504105900,421375.0,421131.4089745283
20180504110000,422000.0,421374.20074641705
20180504110100,421875.0,421813.9365762472
20180504110200,422000.0,422026.0296165943
20180504110300,422125.0,422036.15079820156
20180504110400,422000.0,422157.3207974434
20180504110500,422125.0,422147.19961583614
20180504110600,422000.0,422157.3207974434
20180504110700,421500.0,422147.19961583614
20180504110800,421875.0,421829.01997864246
20180504110900,421375.0,421803.83725464344
20180504111000,421375.0,421707.7698260546
20180504111100,421250.0,421485.43901741505
20180504111200,422125.0,421419.71327364445
20180504111300,421750.0,421824.02861118317
20180504111400,421500.0,422015.90114831924
20180504111500,421750.0,421717.9128676653
20180504111600,420750.0,421738.1552308798
20180504111700,420875.0,421323.5584050417
20180504111800,420375.0,420944.17075812817
20180504111900,420000.0,420736.60273849964
20180504112000,420125.0,420316.1182850599
20180504112100,420875.0,420214.68786895275
20180504112200,420250.0,420665.61602056026
20180504112300,419000.0,420670.7676947117
20180504112400,418750.0,419732.92253911495
20180504112500,418125.0,419042.1464294195
20180504112600,418500.0,418599.8311191797
20180504112700,419000.0,418518.147572875
20180504112800,418875.0,418950.4437148571
20180504112900,418875.0,419108.1782132387
20180504113000,418625.0,419052.23846435547
20180504113100,419375.0,418920.1311767101
20180504113200,420625.0,419204.4933885336
20180504113300,420750.0,420199.25470650196
20180504113400,420375.0,420822.6801455021
20180504113500,419375.0,420680.89616298676
20180504113600,419125.0,419986.5860193968
20180504113700,419000.0,419407.93715417385
20180504113800,419750.0,419230.1351726055
20180504113900,420000.0,419570.2112466097
20180504114000,420250.0,420037.1846407652
20180504114100,420625.0,420280.5739194155
20180504114200,420500.0,420589.6743685007
20180504114300,419375.0,420691.017344594
20180504114400,419250.0,420042.37274825573
20180504114500,420000.0,419473.9252179861
20180504114600,419750.0,419813.8628453016
20180504114700,419750.0,420016.971424222
20180504114800,418875.0,419905.3396731615
20180504114900,419000.0,419443.5689598322
20180504115000,418875.0,419118.2848215103
20180504115100,419000.0,419108.1782132387
20180504115200,419625.0,419118.2848215103
20180504115300,419500.0,419504.2377561331
20180504115400,419000.0,419717.60596334934
20180504115500,418000.0,419397.8232592344
20180504115600,418125.0,418645.678833127
20180504115700,418625.0,418263.74085247517
20180504115800,418500.0,418584.25222337246
20180504115900,418000.0,418742.13245511055
20180504120000,417875.0,418421.71581089497
20180504120100,417125.0,418131.42953813076
20180504120200,416500.0,417678.20608615875
20180504120300,416625.0,417009.9967867136
20180504120400,416750.0,416795.22953927517
20180504120500,416000.0,416917.7767187357
20180504120600,415750.0,416576.0174244642
20180504120700,415500.0,416105.56100308895
20180504120800,415250.0,415860.05859076977
20180504120900,414625.0,415614.4395917654
20180504121000,414875.0,415169.1513210535
20180504121100,415000.0,415019.9932307005
20180504121200,414625.0,415199.4128525257
20180504121300,414625.0,415056.27354979515
20180504121400,414625.0,414886.90224289894
20180504121500,414875.0,414886.90224289894
20180504121600,414750.0,415019.9932307005
20180504121700,414875.0,415066.3655847311
20180504121800,414750.0,415076.45033299923
20180504121900,414250.0,415066.3655847311
20180504122000,414250.0,414743.7119334936
20180504122100,414125.0,414517.7086442709
20180504122200,414125.0,414451.10850036144
20180504122300,413875.0,414394.57853138447
20180504122400,414000.0,414261.3563835621
20180504122500,414125.0,414214.8674428463
20180504122600,414000.0,414338.03398907185
