datetime,original,predicted
20180504090200,139875.0,139232.34162777662
20180504090300,139375.0,139185.61084270477
20180504090400,139625.0,138992.51466691494
20180504090500,139750.0,138898.92721921206
20180504090600,139875.0,139069.47620660067
20180504090700,140000.0,139185.61084270477
20180504090800,140250.0,139301.67498737574
20180504090900,139750.0,139479.4443115592
20180504091000,139125.0,139340.83297848701
20180504091100,138750.0,138814.3727451563
20180504091200,138625.0,138356.34962320328
20180504091300,138625.0,138130.7619318366
20180504091400,138500.0,138076.21666789055
20180504091500,138625.0,138014.10868018866
20180504091600,138375.0,138021.64622843266
20180504091700,137750.0,137951.97551697493
20180504091800,137875.0,137531.7811191082
20180504091900,137750.0,137320.52332907915
20180504092000,138125.0,137312.97067552805
20180504092100,138125.0,137445.05148082972
20180504092200,138250.0,137609.14546698332
20180504092300,138500.0,137671.34408652782
20180504092400,138250.0,137850.32687038183
20180504092500,138250.0,137835.23666858673
20180504092600,138625.0,137725.99005252123
20180504092700,138750.0,137912.47513890266
20180504092800,138750.0,138138.30955028534
20180504092900,138500.0,138192.8397089243
20180504093000,138375.0,138068.6690494418
20180504093100,138375.0,137897.40004241467
20180504093200,138250.0,137842.7943572402
20180504093300,138250.0,137780.63098341227
20180504093400,138250.0,137725.99005252123
20180504093500,138375.0,137725.99005252123
20180504093600,138250.0,137788.17356675863
20180504093700,138125.0,137780.63098341227
20180504093800,138125.0,137663.7964680791
20180504093900,138125.0,137609.14546698332
20180504094000,138000.0,137609.14546698332
20180504094100,137750.0,137546.91160172224
20180504094200,137750.0,137367.7022382617
20180504094300,137625.0,137258.21897238493
20180504094400,137875.0,137195.9146156907
20180504094500,137875.0,137265.7615557313
20180504094600,138125.0,137375.24985671043
20180504094700,138250.0,137499.7629031539
20180504094800,138250.0,137671.34408652782
20180504094900,138250.0,137725.99005252123
20180504095000,138250.0,137725.99005252123
20180504095100,138375.0,137725.99005252123
20180504095200,138375.0,137788.17356675863
20180504095300,138250.0,137842.7943572402
20180504095400,138250.0,137780.63098341227
20180504095500,138250.0,137725.99005252123
20180504095600,138125.0,137725.99005252123
20180504095700,137750.0,137663.7964680791
20180504095800,137625.0,137422.41366058588
20180504095900,137750.0,137195.9146156907
20180504100000,137750.0,137203.46223413944
20180504100100,137625.0,137258.21897238493
20180504100200,137750.0,137195.9146156907
20180504100300,137750.0,137203.46223413944
20180504100400,137875.0,137258.21897238493
20180504100500,137625.0,137320.52332907915
20180504100600,137625.0,137250.66128373146
20180504100700,137750.0,137141.13270193338
20180504100800,137625.0,137203.46223413944
20180504100900,137750.0,137195.9146156907
20180504101000,137750.0,137203.46223413944
20180504101100,137875.0,137258.21897238493
20180504101200,137750.0,137320.52332907915
20180504101300,137500.0,137312.97067552805
20180504101400,137625.0,137133.59011858702
20180504101500,137750.0,137086.35078817606
20180504101600,137750.0,137203.46223413944
20180504101700,137875.0,137258.21897238493
20180504101800,138000.0,137320.52332907915
20180504101900,138250.0,137437.51393258572
20180504102000,138375.0,137616.68805032969
20180504102100,138875.0,137788.17356675863
20180504102200,138750.0,138091.27665907145
20180504102300,138875.0,138247.35476225615
20180504102400,138750.0,138254.90238070488
20180504102500,138625.0,138247.35476225615
20180504102600,138750.0,138130.7619318366
20180504102700,138875.0,138138.30955028534
20180504102800,138875.0,138254.90238070488
20180504102900,138750.0,138309.41743403673
20180504103000,138750.0,138247.35476225615
20180504103100,138625.0,138192.8397089243
20180504103200,138750.0,138130.7619318366
20180504103300,138875.0,138138.30955028534
20180504103400,138750.0,138254.90238070488
20180504103500,139000.0,138247.35476225615
20180504103600,138625.0,138316.94994717836
20180504103700,138750.0,138239.81217890978
20180504103800,138750.0,138138.30955028534
20180504103900,139000.0,138192.8397089243
20180504104000,139375.0,138316.94994717836
20180504104100,139250.0,138611.88610345125
20180504104200,139500.0,138713.17725777626
20180504104300,139750.0,138782.6465651393
20180504104400,139500.0,139015.13738185167
20180504104500,139250.0,139000.0723555684
20180504104600,139250.0,138767.56643354893
20180504104700,139125.0,138658.77801179886
20180504104800,139375.0,138596.81604206562
20180504104900,139375.0,138666.3105249405
20180504105000,139250.0,138775.10398179293
20180504105100,139250.0,138713.17725777626
20180504105200,139125.0,138658.77801179886
20180504105300,139125.0,138596.81604206562
20180504105400,139250.0,138542.37651526928
20180504105500,139375.0,138604.35359030962
20180504105600,139125.0,138720.71984112263
20180504105700,139375.0,138651.2203231454
20180504105800,139250.0,138666.3105249405
20180504105900,139125.0,138713.17725777626
20180504110000,139125.0,138596.81604206562
20180504110100,139250.0,138542.37651526928
20180504110200,139375.0,138604.35359030962
20180504110300,139375.0,138720.71984112263
20180504110400,139375.0,138775.10398179293
20180504110500,139375.0,138775.10398179293
20180504110600,139000.0,138775.10398179293
20180504110700,138625.0,138589.25835341215
20180504110800,138625.0,138239.81217890978
20180504110900,138625.0,138076.21666789055
20180504111000,138625.0,138076.21666789055
20180504111100,138875.0,138076.21666789055
20180504111200,138750.0,138200.38229227066
20180504111300,138750.0,138247.35476225615
20180504111400,138750.0,138192.8397089243
20180504111500,138750.0,138192.8397089243
20180504111600,138875.0,138192.8397089243
20180504111700,138625.0,138254.90238070488
20180504111800,138625.0,138185.29209047556
20180504111900,138750.0,138076.21666789055
20180504112000,138750.0,138138.30955028534
20180504112100,138750.0,138192.8397089243
20180504112200,138750.0,138192.8397089243
20180504112300,138875.0,138192.8397089243
20180504112400,138625.0,138254.90238070488
20180504112500,138750.0,138185.29209047556
20180504112600,138875.0,138138.30955028534
20180504112700,138625.0,138254.90238070488
20180504112800,138750.0,138185.29209047556
20180504112900,138750.0,138138.30955028534
20180504113000,138625.0,138192.8397089243
20180504113100,138750.0,138130.7619318366
20180504113200,138750.0,138138.30955028534
20180504113300,138625.0,138192.8397089243
20180504113400,138750.0,138130.7619318366
20180504113500,138625.0,138138.30955028534
20180504113600,137750.0,138130.7619318366
20180504113700,137250.0,137641.0881564021
20180504113800,137125.0,137008.88070315123
20180504113900,137125.0,136727.11637467146
20180504114000,137125.0,136672.2337588668
20180504114100,137125.0,136672.2337588668
20180504114200,137125.0,136672.2337588668
20180504114300,137125.0,136672.2337588668
20180504114400,137125.0,136672.2337588668
20180504114500,137125.0,136672.2337588668
20180504114600,137250.0,136672.2337588668
20180504114700,137250.0,136734.6790984273
20180504114800,137250.0,136789.5566791296
20180504114900,137250.0,136789.5566791296
20180504115000,137125.0,136789.5566791296
20180504115100,137250.0,136727.11637467146
20180504115200,137250.0,136734.6790984273
20180504115300,137250.0,136789.5566791296
20180504115400,137250.0,136789.5566791296
20180504115500,137250.0,136789.5566791296
20180504115600,137250.0,136789.5566791296
20180504115700,137250.0,136789.5566791296
20180504115800,137250.0,136789.5566791296
20180504115900,137125.0,136789.5566791296
20180504120000,137375.0,136727.11637467146
20180504120100,137250.0,136797.08919227123
