datetime,original,predicted
20180504090200,89075.0,89284.32236909868
20180504090300,89050.00000000001,89150.49889385702
20180504090400,89200.0,89101.9304841757
20180504090500,89524.99999999999,89169.2139953375
20180504090600,89775.0,89411.11107468606
20180504090700,89875.0,89695.5724745989
20180504090800,89750.0,89865.58333635332
20180504090900,89550.0,89846.89609110357
20180504091000,89500.0,89683.08431208135
20180504091100,89400.0,89562.74110972883
20180504091200,89450.0,89486.59931719305
20180504091300,89850.0,89465.83571135999
20180504091400,89900.0,89699.71876740457
20180504091500,89875.0,89913.92246782781
20180504091600,89650.0,89924.26784336568
20180504091700,89250.0,89794.36781108381
20180504091800,89175.0,89478.25316190721
20180504091900,89200.0,89250.35705268384
20180504092000,89150.0,89228.17063629629
20180504092100,89150.0,89213.6103987694
20180504092200,89250.0,89190.02902805807
20180504092300,89200.0,89242.72658824922
20180504092400,89200.0,89263.52876424791
20180504092500,89225.0,89239.9559646845
20180504092600,89300.0,89253.12981903554
20180504092700,89250.0,89304.42385375501
20180504092800,89250.0,89313.43641579153
20180504092900,89250.0,89289.87004458906
20180504093000,89150.0,89289.87004458906
20180504093100,89150.0,89237.1831983328
20180504093200,89200.0,89190.02902805807
20180504093300,89150.0,89216.38102233411
20180504093400,89150.0,89213.6103987694
20180504093500,89150.0,89190.02902805807
20180504093600,89150.0,89190.02902805807
20180504093700,89125.0,89190.02902805807
20180504093800,89150.0,89176.85517370702
20180504093900,89175.0,89178.23727130891
20180504094100,89150.0,89203.20716798307
20180504094200,89150.0,89201.8229275942
20180504094300,89150.0,89190.02902805807
20180504094400,89150.0,89190.02902805807
20180504094500,89125.0,89190.02902805807
20180504094600,89025.0,89176.85517370702
20180504094700,89025.0,89112.34442889692
20180504094800,89025.0,89065.15168845655
20180504094900,89025.0,89065.15168845655
20180504095000,89075.0,89065.15168845655
20180504095100,89000.0,89091.51868224145
20180504095200,88850.0,89075.56563317777
20180504095300,88800.0,88961.02938354017
20180504095400,88725.0,88863.77685368063
20180504095500,88750.0,88800.53892433645
20180504095600,88725.0,88778.27965319158
20180504095700,88725.0,88776.89969837667
20180504095800,88775.0,88765.07579982282
20180504095900,88750.0,88791.48564934732
20180504100000,88750.0,88801.92316472532
20180504100100,88875.0,88790.10355174543
20180504100200,88900.0,88856.10353350641
20180504100300,88825.0,88928.37330996992
20180504100400,88925.0,88900.60064792635
20180504100500,88925.0,88917.94222295286
20180504100600,88925.0,88965.18210470678
20180504100700,88925.0,88965.18210470678
20180504100800,89100.0,88965.18210470678
20180504100900,89150.0,89057.49765336515
20180504101000,89225.0,89166.44765734674
20180504101100,89225.0,89229.55273389818
20180504101200,89175.0,89264.91514742376
20180504101300,89150.0,89238.57386708261
20180504101400,89150.0,89201.8229275942
20180504101500,89150.0,89190.02902805807
20180504101600,89150.0,89190.02902805807
20180504101700,89250.0,89190.02902805807
20180504101800,89225.0,89242.72658824922
20180504101900,89225.0,89276.70047581197
20180504102000,89275.0,89264.91514742376
20180504102100,89275.0,89291.2564277649
20180504102200,89275.0,89314.8206561804
20180504102300,89250.0,89314.8206561804
20180504102400,89275.0,89301.65537297727
20180504102500,89225.0,89303.03532779218
20180504102600,89225.0,89288.48580420019
20180504102700,89150.0,89264.91514742376
20180504102800,89200.0,89225.39786994459
20180504102900,89125.0,89216.38102233411
20180504103000,89250.0,89200.43654441835
20180504103100,89200.0,89230.93697428705
20180504103200,89050.00000000001,89263.52876424791
20180504103300,89075.0,89160.90426743032
20180504103400,89125.0,89103.31686735155
20180504103500,89200.0,89141.47347509862
20180504103600,89150.0,89204.59140837194
20180504103700,89125.0,89213.6103987694
20180504103800,89175.0,89176.85517370702
20180504103900,89325.0,89191.41326844694
20180504104000,89350.0,89294.02276575567
20180504104100,89450.0,89377.87430584432
20180504104200,89475.0,89442.29076802732
20180504104300,89625.00000000001,89502.52879559995
20180504104400,89625.00000000001,89593.19439828397
20180504104500,89625.00000000001,89663.7435168028
20180504104600,89475.0,89663.7435168028
20180504104700,89500.0,89584.87609922887
20180504104800,89524.99999999999,89527.44940817358
20180504104900,89450.0,89552.36787796022
20180504105000,89450.0,89524.6744990349
20180504105100,89475.0,89489.3763691187
20180504105200,89425.0,89502.52879559995
20180504105300,89475.0,89487.98998594286
20180504105400,89425.0,89490.76275229455
20180504105500,89300.0,89487.98998594286
20180504105600,89275.0,89398.65076839925
20180504105700,89250.0,89326.60169899465
20180504105800,89150.0,89301.65537297727
20180504105900,89275.0,89237.1831983328
20180504110000,89450.0,89255.89829981329
20180504110100,89524.99999999999,89406.9647818804
20180504110200,89550.0,89528.83364856245
20180504110300,89500.0,89577.27991938592
20180504110400,89400.0,89562.74110972883
20180504110500,89425.0,89486.59931719305
20180504110600,89524.99999999999,89452.67899930479
20180504110700,89400.0,89517.06760525705
20180504110800,89375.0,89498.36536049844
20180504110900,89350.0,89426.36128962041
20180504111000,89500.0,89401.42782032491
20180504111100,89550.0,89468.60633492471
20180504111200,89650.0,89565.51816165449
20180504111300,89625.00000000001,89641.62138402463
20180504111400,89625.00000000001,89675.50313174726
20180504111500,89650.0,89663.7435168028
20180504111600,89625.00000000001,89676.88737213613
20180504111700,89450.0,89675.50313174726
20180504111800,89475.0,89571.7258155346
20180504111900,89524.99999999999,89502.52879559995
20180504112000,89425.0,89540.60183465482
20180504112100,89375.0,89511.52207255365
20180504112200,89375.0,89438.13376128675
20180504112300,89350.0,89414.58881795408
20180504112400,89225.0,89401.42782032491
20180504112500,89225.0,89323.82893264295
20180504112600,89250.0,89264.91514742376
20180504112700,89425.0,89278.08471620084
20180504112800,89575.0,89382.02702701093
20180504112900,89550.0,89543.37245821954
20180504113000,89500.0,89600.80129206182
20180504113100,89550.0,89562.74110972883
20180504113200,89550.0,89565.51816165449
20180504113300,89550.0,89589.04167711736
20180504113400,89575.0,89589.04167711736
20180504113500,89550.0,89602.18338966371
20180504113600,89425.0,89600.80129206182
20180504113700,89325.0,89523.28811585905
20180504113800,89350.0,89411.81176602842
20180504113900,89325.0,89377.87430584432
20180504114000,89500.0,89376.49006545545
20180504114100,89650.0,89456.83600604536
20180504114200,89625.00000000001,89618.10215413572
20180504114300,89650.0,89675.50313174726
20180504114400,89675.0,89676.88737213613
20180504114500,89800.0,89701.782271266
20180504114600,89800.0,89779.21616435052
20180504114700,89675.0,89837.93495595457
20180504114800,89650.0,89772.27567732336
20180504114900,89750.0,89700.39588809015
20180504115000,89800.0,89741.19669497015
20180504115100,89775.0,89814.44786787035
20180504115200,89850.0,89824.80395734312
20180504115300,89950.0,89852.45448052885
20180504115400,89900.0,89940.16732275487
20180504115500,89750.0,89960.85593104364
20180504115600,89775.0,89858.63213539125
20180504115700,89750.0,89801.31901204587
20180504115800,89900.0,89799.93048608305
20180504115900,89975.0,89866.96757674219
20180504120000,89875.0,89976.75326764585
20180504120100,89650.0,89959.46097671987
20180504120200,89575.0,89794.36781108381
20180504120300,89575.0,89649.2154210806
20180504120400,89575.0,89613.94943296911
20180504120500,89625.00000000001,89613.94943296911
20180504120600,89650.0,89640.2328580618
20180504120700,89700.0,89676.88737213613
20180504120800,89750.0,89714.92184102537
20180504120900,89825.0,89764.69878256322
20180504121000,89850.0,89827.58100926878
20180504121100,89875.0,89875.93085467817
20180504121200,89950.0,89900.79575479032
20180504121300,89950.0,89951.89693868162
20180504121400,89950.0,89987.09221482278
20180504121500,89925.0,89987.09221482278
20180504121600,89875.0,89973.97407293321
20180504121700,89975.0,89935.99745929243
20180504121800,89950.0,89965.02150893213
20180504121900,89925.0,89998.81968796255
20180504122000,89950.0,89973.97407293321
20180504122100,89875.0,89975.36259889604
20180504122200,89725.0,89947.72921800615
20180504122300,89600.0,89833.76509249212
20180504122400,89675.0,89697.61669337751
20180504122500,89775.0,89678.27589809896
20180504122600,89750.0,89766.08088016511
20180504122700,89725.0,89799.93048608305
20180504122800,89700.0,89775.05058646204
20180504122900,89725.0,89750.16854405405
20180504123000,89750.0,89751.55921280386
20180504123100,89725.0,89776.43911242487
20180504123200,89725.0,89775.05058646204
20180504123300,89750.0,89763.30597102644
20180504123400,89750.0,89776.43911242487
20180504123500,89725.0,89788.18372786047
20180504123600,89750.0,89775.05058646204
20180504123700,89750.0,89776.43911242487
20180504123800,89775.0,89788.18372786047
20180504123900,89750.0,89801.31901204587
20180504124000,89775.0,89799.93048608305
20180504124100,89725.0,89801.31901204587
20180504124200,89900.0,89786.79520189764
20180504124300,90000.0,89855.22724688055
20180504124400,89875.0,89989.87140953542
20180504124500,89775.0,89971.19059264661
20180504124600,89750.0,89860.02494692804
20180504124700,89850.0,89799.93048608305
20180504124800,90050.0,89840.71200788023
20180504124900,90050.0,89992.64203310014
20180504125000,90075.0,90086.45110428335
20180504125100,90075.0,90099.560675025
20180504125200,90050.0,90111.28171980382
20180504125300,90025.0,90098.17429184915
20180504125400,90050.0,90073.3415335417
20180504125500,90075.0,90074.73005950452
20180504125600,90099.99999999999,90099.560675025
20180504125700,90150.0,90124.39129054548
20180504125800,90150.0,90162.32076287271
20180504125900,90099.99999999999,90185.7478529215
20180504130000,90125.0,90159.53728258611
20180504130100,90125.0,90149.21333491804
20180504130200,90125.0,90160.9300941229
20180504130300,90099.99999999999,90160.9300941229
20180504130400,90175.0,90147.82266616823
20180504130500,90125.0,90175.42390525342
20180504130600,90150.0,90184.35504138471
20180504130700,90150.0,90174.0353792906
20180504130800,90150.0,90185.7478529215
20180504130900,90175.0,90185.7478529215
20180504131000,90150.0,90198.85099530221
20180504131100,90175.0,90197.46246933939
20180504131200,90175.0,90198.85099530221
20180504131300,90125.0,90210.56346893312
20180504131400,90125.0,90184.35504138471
20180504131500,90175.0,90160.9300941229
20180504131600,90125.0,90187.13852167131
20180504131700,90125.0,90184.35504138471
20180504131800,90099.99999999999,90160.9300941229
20180504131900,90125.0,90147.82266616823
20180504132000,90150.0,90149.21333491804
20180504132100,90150.0,90174.0353792906
20180504132200,90125.0,90185.7478529215
20180504132300,90125.0,90172.6425677538
