datetime,original,predicted
20180504090200,11150.0,11124.945618212223
20180504090300,11150.0,11137.52945959568
20180504090400,11150.0,11143.267713859677
20180504090500,11125.0,11143.267713859677
20180504090600,11150.0,11129.574253410101
20180504090700,11187.5,11131.790936365724
20180504090800,11187.5,11163.815771788359
20180504090900,11187.5,11181.039275974035
20180504091000,11200.0,11181.039275974035
20180504091100,11187.5,11187.893335521221
20180504091200,11187.5,11186.780488863587
20180504091300,11187.5,11181.039275974035
20180504091400,11175.0,11181.039275974035
20180504091500,11162.5,11174.186292290688
20180504091600,11162.5,11161.594785377383
20180504091700,11150.0,11155.855320766568
20180504091800,11150.0,11149.006102606654
20180504091900,11150.0,11143.267713859677
20180504092000,11150.0,11143.267713859677
20180504092100,11150.0,11143.267713859677
20180504092200,11125.0,11143.267713859677
20180504092300,11137.5,11129.574253410101
20180504092400,11137.5,11124.945618212223
20180504092500,11150.0,11130.682931095362
20180504092600,11137.5,11137.52945959568
20180504092700,11150.0,11136.42037846148
20180504092800,11137.5,11137.52945959568
20180504092900,11137.5,11136.42037846148
20180504093000,11125.0,11130.682931095362
20180504093100,11125.0,11123.837747424841
20180504093200,11137.5,11118.10151040554
20180504093300,11150.0,11124.945618212223
20180504093400,11137.5,11137.52945959568
20180504093500,11150.0,11136.42037846148
20180504093600,11150.0,11137.52945959568
20180504093700,11112.5,11143.267713859677
20180504093800,11125.0,11122.72906973958
20180504093900,11137.5,11112.36513890326
20180504094000,11125.0,11124.945618212223
20180504094100,11125.0,11123.837747424841
20180504094200,11125.0,11118.10151040554
20180504094300,11125.0,11118.10151040554
20180504094400,11112.5,11118.10151040554
20180504094500,11112.5,11111.258343979716
20180504094600,11125.0,11105.523048341274
20180504094700,11125.0,11112.36513890326
20180504094800,11125.0,11118.10151040554
20180504094900,11137.5,11118.10151040554
20180504095000,11125.0,11124.945618212223
20180504095100,11137.5,11123.837747424841
20180504095200,11125.0,11124.945618212223
20180504095300,11125.0,11123.837747424841
20180504095400,11112.5,11118.10151040554
20180504095500,11112.5,11111.258343979716
20180504095600,11137.5,11105.523048341274
20180504095700,11125.0,11119.208305329084
20180504095800,11125.0,11123.837747424841
20180504095900,11137.5,11118.10151040554
20180504100000,11125.0,11124.945618212223
20180504100100,11125.0,11123.837747424841
20180504100200,11125.0,11118.10151040554
20180504100300,11125.0,11118.10151040554
20180504100400,11125.0,11118.10151040554
20180504100500,11112.5,11118.10151040554
20180504100600,11112.5,11111.258343979716
20180504100700,11125.0,11105.523048341274
20180504100800,11137.5,11112.36513890326
20180504100900,11125.0,11124.945618212223
20180504101000,11125.0,11123.837747424841
20180504101100,11125.0,11118.10151040554
20180504101200,11125.0,11118.10151040554
20180504101300,11137.5,11118.10151040554
20180504101400,11125.0,11124.945618212223
20180504101500,11112.5,11123.837747424841
20180504101600,11137.5,11111.258343979716
20180504101700,11137.5,11119.208305329084
20180504101800,11137.5,11130.682931095362
20180504101900,11125.0,11130.682931095362
20180504102000,11137.5,11123.837747424841
20180504102100,11125.0,11124.945618212223
20180504102200,11125.0,11123.837747424841
20180504102300,11125.0,11118.10151040554
20180504102400,11125.0,11118.10151040554
20180504102500,11125.0,11118.10151040554
20180504102600,11125.0,11118.10151040554
20180504102700,11125.0,11118.10151040554
20180504102800,11150.0,11118.10151040554
20180504102900,11125.0,11131.790936365724
20180504103000,11125.0,11129.574253410101
20180504103100,11137.5,11118.10151040554
20180504103200,11125.0,11124.945618212223
20180504103300,11137.5,11123.837747424841
20180504103400,11137.5,11124.945618212223
20180504103500,11125.0,11130.682931095362
20180504103600,11112.5,11123.837747424841
20180504103700,11150.0,11111.258343979716
20180504103800,11162.5,11126.052682101727
20180504103900,11187.5,11150.115990638733
20180504104000,11187.5,11169.556850194931
20180504104100,11175.0,11181.039275974035
20180504104200,11162.5,11174.186292290688
20180504104300,11187.5,11161.594785377383
20180504104400,11162.5,11169.556850194931
20180504104500,11175.0,11167.334115505219
20180504104600,11175.0,11162.70561479032
20180504104700,11162.5,11168.446020781994
20180504104800,11162.5,11161.594785377383
20180504104900,11175.0,11155.855320766568
20180504105000,11175.0,11162.70561479032
20180504105100,11175.0,11168.446020781994
20180504105200,11162.5,11168.446020781994
