datetime,original,predicted
20180504090200,264250.0,263669.1848039627
20180504090300,264875.0,263927.92904376984
20180504090400,265375.0,264474.6997356415
20180504090500,266500.0,265011.92581653595
20180504090600,267500.0,265814.4441843033
20180504090700,267875.0,266828.43935489655
20180504090800,267875.0,267463.9095067978
20180504090900,267875.0,267629.8303604126
20180504091000,267000.0,267629.8303604126
20180504091100,266375.0,267181.33878707886
20180504091200,267000.0,266472.5375175476
20180504091300,266750.0,266516.2009000778
20180504091400,266750.0,266665.19379615784
20180504091500,266875.0,266554.2508363724
20180504091600,266500.0,266618.46375465393
20180504091700,265625.0,266481.2877178192
20180504091800,265750.0,265864.64393138885
20180504091900,265875.0,265539.5956039429
20180504092000,266000.0,265659.6392393112
20180504092100,265500.0,265779.64198589325
20180504092200,265125.0,265577.7915716171
20180504092300,265625.0,265161.75401210785
20180504092400,266125.0,265252.35188007355
20180504092500,266250.0,265732.71918296814
20180504092600,267250.0,266019.513130188
20180504092700,267500.0,266589.0997648239
20180504092800,267500.0,267160.97033023834
20180504092900,267125.0,267271.69716358185
20180504093000,267375.0,267079.36799526215
20180504093100,267250.0,267041.4524078369
20180504093200,267375.0,267088.11819553375
20180504093300,267375.0,267096.8508720398
20180504093400,267375.0,267152.2259712219
20180504093500,267000.0,267152.2259712219
20180504093600,267250.0,266959.83254909515
20180504093700,267125.0,266921.89943790436
20180504093800,266875.0,266968.58274936676
20180504093900,267125.0,266784.828543663
20180504094000,267125.0,266802.2997379303
20180504094100,266750.0,266913.1726026535
20180504094200,266750.0,266720.6448316574
20180504094300,266750.0,266554.2508363724
20180504094400,266875.0,266554.2508363724
20180504094500,266750.0,266618.46375465393
20180504094600,266750.0,266609.7310781479
20180504094700,266875.0,266554.2508363724
20180504094800,266750.0,266618.46375465393
20180504094900,267000.0,266609.7310781479
20180504095000,266500.0,266682.6649904251
20180504095100,266750.0,266536.7796421051
20180504095200,266875.0,266443.2553052902
20180504095300,266875.0,266618.46375465393
20180504095400,266625.0,266673.93815517426
20180504095500,266750.0,266545.5240011215
20180504095600,266750.0,266498.7589120865
20180504095700,267125.0,266554.2508363724
20180504095800,267375.0,266746.8487024307
20180504095900,267875.0,267041.4524078369
20180504100000,268375.0,267408.575296402
20180504100100,268500.0,267885.8233690262
20180504100200,268125.0,268170.66049575806
20180504100300,268500.0,268034.0276956558
20180504100400,268500.0,268060.2549314499
20180504100500,268375.0,268225.84867477417
20180504100600,268500.0,268161.9219779968
20180504100700,268250.0,268170.66049575806
20180504100800,268875.0,268097.9777574539
20180504100900,268750.0,268307.22320079803
20180504101000,268250.0,268519.0621614456
20180504101100,268250.0,268208.3365917206
20180504101200,268125.0,267987.57803440094
20180504101300,268000.0,267923.5929250717
20180504101400,268125.0,267804.3729066849
20180504101500,268125.0,267813.1114244461
20180504101600,268500.0,267868.3580160141
20180504101700,268875.0,268060.2549314499
20180504101800,268625.0,268417.5353050232
20180504101900,268750.0,268455.1821947098
20180504102000,268750.0,268408.80262851715
20180504102100,269250.0,268463.94407749176
20180504102200,269125.0,268719.335436821
20180504102300,269000.0,268875.79929828644
20180504102400,268750.0,268756.93559646606
20180504102500,268875.0,268574.1744041443
20180504102600,269000.0,268527.80652046204
20180504102700,269125.0,268646.7636823654
20180504102800,269875.0,268765.6857967377
20180504102900,269750.0,269203.37104797363
20180504103000,269750.0,269469.4811105728
20180504103100,270000.0,269414.549946785
20180504103200,270000.0,269541.91267490387
20180504103300,269875.0,269651.7457962036
20180504103400,269625.0,269588.0819559097
20180504103500,269625.0,269405.7822227478
20180504103600,269625.0,269295.8673238754
20180504103700,269750.0,269295.8673238754
20180504103800,269625.0,269359.583735466
20180504103900,269875.0,269350.8335351944
20180504104000,269750.0,269423.282623291
20180504104100,269875.0,269469.4811105728
20180504104200,269875.0,269478.2313108444
20180504104300,269875.0,269533.16247463226
20180504104400,269875.0,269533.16247463226
20180504104500,270250.0,269533.16247463226
20180504104600,269875.0,269724.13063049316
20180504104700,269750.0,269697.87418842316
20180504104800,269500.0,269469.4811105728
20180504104900,269375.0,269287.122964859
20180504105000,269375.0,269113.4098768234
20180504105100,269250.0,269058.39693546295
20180504105200,269125.0,268994.6221113205
20180504105300,269125.0,268875.79929828644
20180504105400,269375.0,268820.73962688446
20180504105500,269250.0,268948.3360052109
20180504105600,269250.0,268994.6221113205
20180504105700,268750.0,268939.59748744965
20180504105800,269000.0,268684.34631824493
20180504105900,269375.0,268591.6689634323
20180504110000,269250.0,268893.29385757446
20180504110100,269125.0,268994.6221113205
20180504110200,269250.0,268875.79929828644
20180504110300,269375.0,268884.54949855804
20180504110400,269500.0,269003.3781528473
20180504110500,269250.0,269122.16007709503
20180504110600,269250.0,269049.64673519135
20180504110700,268875.0,268939.59748744965
20180504110800,268750.0,268748.1678724289
20180504110900,268625.0,268519.0621614456
20180504111000,268625.0,268400.0641107559
20180504111100,269000.0,268344.91097927094
20180504111200,269250.0,268536.5391969681
20180504111300,269250.0,268829.49566841125
20180504111400,269250.0,268939.59748744965
20180504111500,269250.0,268939.59748744965
20180504111600,269250.0,268939.59748744965
20180504111700,269375.0,268939.59748744965
20180504111800,269375.0,269003.3781528473
20180504111900,269500.0,269058.39693546295
20180504112000,269750.0,269122.16007709503
20180504112100,269375.0,269304.61752414703
20180504112200,269250.0,269223.38902950287
20180504112300,269125.0,268994.6221113205
20180504112400,269000.0,268875.79929828644
20180504112500,268875.0,268756.93559646606
20180504112600,269000.0,268638.0134820938
20180504112700,268750.0,268646.7636823654
20180504112800,268750.0,268574.1744041443
20180504112900,268750.0,268463.94407749176
20180504113000,268625.0,268463.94407749176
20180504113100,268750.0,268400.0641107559
20180504113200,268500.0,268408.80262851715
20180504113300,268375.0,268336.1666202545
20180504113400,268000.0,268161.9219779968
20180504113500,267750.0,267914.8485660553
20180504113600,267750.0,267621.0860013962
20180504113700,267750.0,267510.493516922
20180504113800,268125.0,267510.493516922
20180504113900,268250.0,267702.5715112686
20180504114000,268375.0,267932.3431253433
20180504114100,268375.0,268051.52809619904
20180504114200,268375.0,268106.7279577255
20180504114300,268500.0,268106.7279577255
20180504114400,268625.0,268170.66049575806
20180504114500,268375.0,268289.75200653076
20180504114600,268375.0,268217.0926332474
20180504114700,268500.0,268106.7279577255
20180504114800,268625.0,268170.66049575806
20180504114900,268625.0,268289.75200653076
20180504115000,268875.0,268344.91097927094
20180504115100,269125.0,268472.682595253
20180504115200,269250.0,268710.59691905975
20180504115300,269250.0,268884.54949855804
20180504115400,269375.0,268939.59748744965
20180504115500,269250.0,269003.3781528473
20180504115600,269375.0,268994.6221113205
20180504115700,269250.0,269003.3781528473
20180504115800,269375.0,268994.6221113205
20180504115900,269375.0,269003.3781528473
20180504120000,269375.0,269058.39693546295
20180504120100,268875.0,269058.39693546295
20180504120200,268875.0,268803.2275438309
20180504120300,268875.0,268582.9187631607
20180504120400,269375.0,268582.9187631607
20180504120500,269375.0,268838.2225036621
20180504120600,269375.0,269058.39693546295
20180504120700,269250.0,269058.39693546295
20180504120800,269375.0,268994.6221113205
20180504120900,269500.0,269003.3781528473
20180504121000,269125.0,269122.16007709503
20180504121100,268625.0,268985.8719110489
20180504121200,268875.0,268565.39499759674
20180504121300,269125.0,268472.682595253
20180504121400,269250.0,268710.59691905975
20180504121500,269500.0,268884.54949855804
20180504121600,269750.0,269067.15297698975
20180504121700,269875.0,269304.61752414703
20180504121800,269625.0,269478.2313108444
20180504121900,269500.0,269405.7822227478
20180504122000,269375.0,269232.1392297745
20180504122100,269625.0,269113.4098768234
20180504122200,269625.0,269185.89985370636
20180504122300,269625.0,269295.8673238754
20180504122400,269500.0,269295.8673238754
20180504122500,269875.0,269232.1392297745
20180504122600,269375.0,269368.3280944824
20180504122700,269250.0,269278.34939956665
20180504122800,269250.0,268994.6221113205
20180504122900,269125.0,268939.59748744965
20180504123000,268875.0,268875.79929828644
20180504123100,268875.0,268693.09651851654
20180504123200,269000.0,268582.9187631607
20180504123300,269000.0,268646.7636823654
20180504123400,269125.0,268701.85256004333
20180504123500,268875.0,268765.6857967377
20180504123600,269125.0,268693.09651851654
20180504123700,269250.0,268710.59691905975
20180504123800,269250.0,268884.54949855804
20180504123900,269250.0,268939.59748744965
20180504124000,269250.0,268939.59748744965
20180504124100,269250.0,268939.59748744965
20180504124200,269125.0,268939.59748744965
20180504124300,269250.0,268875.79929828644
20180504124400,269000.0,268884.54949855804
20180504124500,268625.0,268811.99526786804
20180504124600,268875.0,268510.30027866364
20180504124700,268750.0,268472.682595253
20180504124800,268875.0,268519.0621614456
20180504124900,268625.0,268527.80652046204
20180504125000,268875.0,268455.1821947098
20180504125100,268750.0,268472.682595253
20180504125200,268750.0,268519.0621614456
20180504125300,268625.0,268463.94407749176
20180504125400,268625.0,268400.0641107559
20180504125500,268750.0,268344.91097927094
20180504125600,268750.0,268408.80262851715
20180504125700,268875.0,268463.94407749176
20180504125800,268625.0,268527.80652046204
20180504125900,268250.0,268455.1821947098
20180504130000,268125.0,268153.16593647003
20180504130100,268000.0,267923.5929250717
20180504130200,268000.0,267804.3729066849
20180504130300,268250.0,267749.1204738617
20180504130400,268375.0,267877.1023750305
20180504130500,268375.0,268051.52809619904
20180504130600,268250.0,268106.7279577255
20180504130700,268375.0,268042.7837371826
20180504130800,268375.0,268051.52809619904
20180504130900,268500.0,268106.7279577255
20180504131000,268750.0,268170.66049575806
20180504131100,268750.0,268353.64949703217
20180504131200,268625.0,268463.94407749176
20180504131300,268500.0,268400.0641107559
20180504131400,268375.0,268281.00764751434
20180504131500,268250.0,268161.9219779968
20180504131600,268000.0,268042.7837371826
20180504131700,267500.0,267859.61949825287
20180504131800,267375.0,267492.998957634
20180504131900,267250.0,267207.60107040405
20180504132000,267000.0,267088.11819553375
20180504132100,266625.0,266904.4340848923
20180504132200,266750.0,266600.99256038666
20180504132300,267000.0,266498.7589120865
20180504132400,266875.0,266682.6649904251
20180504132500,266875.0,266729.395031929
20180504132600,266875.0,266673.93815517426
20180504132700,266875.0,266673.93815517426
20180504132800,267000.0,266673.93815517426
20180504132900,266875.0,266738.13354969025
20180504133000,267250.0,266729.395031929
20180504133100,267500.0,266866.46592617035
20180504133200,267375.0,267160.97033023834
20180504133300,266875.0,267207.60107040405
20180504133400,266750.0,266895.68388462067
20180504133500,266750.0,266609.7310781479
20180504133600,266875.0,266554.2508363724
20180504133700,267375.0,266618.46375465393
20180504133800,267500.0,266930.6262731552
20180504133900,267375.0,267216.3337469101
20180504134000,266875.0,267207.60107040405
20180504134100,267375.0,266895.68388462067
20180504134200,267250.0,266930.6262731552
20180504134300,266750.0,267088.11819553375
20180504134400,266875.0,266776.0841846466
20180504134500,266750.0,266618.46375465393
20180504134600,266875.0,266609.7310781479
20180504134700,266750.0,266618.46375465393
20180504134800,267125.0,266609.7310781479
20180504134900,267500.0,266746.8487024307
20180504135000,267000.0,267105.57186603546
20180504135100,267000.0,267015.2368545532
20180504135200,267000.0,266793.57290267944
20180504135300,266875.0,266793.57290267944
20180504135400,266875.0,266729.395031929
20180504135500,267125.0,266673.93815517426
20180504135600,267250.0,266802.2997379303
20180504135700,267375.0,266977.321267128
20180504135800,267250.0,267096.8508720398
20180504135900,267000.0,267088.11819553375
20180504140000,266750.0,266904.4340848923
20180504140100,266875.0,266665.19379615784
20180504140200,266875.0,266618.46375465393
20180504140300,266750.0,266673.93815517426
20180504140400,267125.0,266609.7310781479
20180504140500,267250.0,266746.8487024307
20180504140600,267250.0,266977.321267128
20180504140700,267375.0,267032.72557258606
20180504140800,267250.0,267096.8508720398
20180504140900,267500.0,267088.11819553375
20180504141000,267375.0,267160.97033023834
20180504141100,267125.0,267207.60107040405
20180504141200,267250.0,267023.97537231445
20180504141300,267125.0,266977.321267128
20180504141400,267125.0,266968.58274936676
20180504141500,267125.0,266913.1726026535
20180504141600,267375.0,266913.1726026535
20180504141700,267250.0,267041.4524078369
20180504141800,267375.0,267088.11819553375
20180504141900,267125.0,267096.8508720398
20180504142000,267250.0,267023.97537231445
20180504142100,267250.0,266977.321267128
20180504142200,267250.0,267032.72557258606
20180504142300,267375.0,267032.72557258606
20180504142400,267250.0,267096.8508720398
20180504142500,267125.0,267088.11819553375
20180504142600,267500.0,266968.58274936676
20180504142700,267250.0,267105.57186603546
20180504142800,267375.0,267143.4932947159
20180504142900,267750.0,267096.8508720398
20180504143000,267625.0,267344.50256824493
20180504143100,267625.0,267446.4441537857
20180504143200,267500.0,267391.1157846451
20180504143300,267125.0,267327.04305648804
20180504143400,267250.0,267079.36799526215
20180504143500,267250.0,266977.321267128
20180504143600,267375.0,267032.72557258606
20180504143700,267250.0,267096.8508720398
20180504143800,267250.0,267088.11819553375
20180504143900,267125.0,267032.72557258606
20180504144000,267250.0,266968.58274936676
20180504144100,267375.0,266977.321267128
20180504144200,267375.0,267096.8508720398
20180504144300,267250.0,267152.2259712219
20180504144400,267125.0,267088.11819553375
20180504144500,267125.0,266968.58274936676
20180504144600,267250.0,266913.1726026535
20180504144700,267250.0,266977.321267128
20180504144800,267125.0,267032.72557258606
20180504144900,267250.0,266968.58274936676
20180504145000,267125.0,266977.321267128
20180504145100,267250.0,266968.58274936676
20180504145200,267250.0,266977.321267128
20180504145300,267250.0,267032.72557258606
20180504145400,267125.0,267032.72557258606
20180504145500,267250.0,266968.58274936676
20180504145600,267250.0,266977.321267128
20180504145700,267250.0,267032.72557258606
20180504145800,267375.0,267032.72557258606
20180504145900,267375.0,267096.8508720398
20180504150000,267250.0,267152.2259712219
20180504150100,267125.0,267088.11819553375
20180504150200,267125.0,266968.58274936676
20180504150300,267125.0,266913.1726026535
20180504150400,267125.0,266913.1726026535
20180504150500,267125.0,266913.1726026535
20180504150600,267125.0,266913.1726026535
20180504150700,267125.0,266913.1726026535
20180504150800,267250.0,266913.1726026535
20180504150900,266875.0,266977.321267128
20180504151000,266750.0,266840.2737379074
20180504151100,266625.0,266609.7310781479
20180504151200,266875.0,266490.02623558044
20180504151300,266750.0,266562.97767162323
20180504151400,266750.0,266609.7310781479
20180504151500,266875.0,266554.2508363724
20180504151600,266750.0,266618.46375465393
20180504151700,266750.0,266609.7310781479
20180504151800,266625.0,266554.2508363724
20180504151900,266500.0,266490.02623558044
20180504153000,265500.0,266370.2863454819
20180504153500,265500.0,265800.2908229828
20180508090000,265500.0,265355.0820350647
20180508090100,266125.0,265355.0820350647
20180508090200,265000.0,265677.0578622818
20180508090300,263625.0,265375.8009672165
20180508090400,264125.0,264163.92743587494
20180508090500,264125.0,263807.27791786194
20180508090600,263750.0,264031.1323404312
20180508090700,263625.0,263837.13841438293
20180508090800,263875.0,263604.4753789902
20180508090900,263750.0,263677.8999567032
20180508091000,263750.0,263725.19075870514
20180508091100,263875.0,263669.1848039627
20180508091200,264250.0,263733.89422893524
20180508091300,264750.0,263983.89410972595
20180508091400,265250.0,264410.12465953827
20180508091500,265125.0,264891.6426897049
20180508091600,264750.0,265050.2678155899
20180508091700,264750.0,264800.9980916977
20180508091800,264750.0,264633.5526704788
20180508091900,264500.0,264633.5526704788
20180508092000,264125.0,264504.4375658035
20180508092100,264250.0,264198.89318943024
20180508092200,264250.0,264095.7775115967
20180508092300,264375.0,264151.6958475113
20180508092400,264250.0,264216.3234949112
20180508092500,264000.0,264207.6200246811
20180508092600,264125.0,264022.41718769073
20180508092700,264250.0,263975.18479824066
20180508092800,264000.0,264095.7775115967
20180508092900,263875.0,264022.41718769073
20180508093000,263750.0,263845.8535671234
20180508093100,263875.0,263725.19075870514
20180508093200,263625.0,263733.89422893524
20180508093300,263625.0,263660.4871749878
20180508093400,263875.0,263548.46942424774
20180508093500,263750.0,263677.8999567032
20180508093600,263750.0,263725.19075870514
