datetime,original,predicted
20180504090200,49237.5,49386.906576156616
20180504090300,49237.5,49286.65305376053
20180504090400,49362.50000000001,49200.84087997675
20180504090500,49575.0,49266.9866874814
20180504090600,49737.5,49432.64706879854
20180504090700,49825.0,49608.606722950935
20180504090800,49612.50000000001,49723.371666669846
20180504090900,49475.00000000001,49649.201472103596
20180504091000,49650.0,49486.684453487396
20180504091100,49850.0,49520.11125981808
20180504091200,49800.0,49699.369993805885
20180504091300,49850.0,49757.90972709656
20180504091400,49887.49999999999,49762.88842856884
20180504091500,49912.5,49803.60138118267
20180504091600,49900.0,49832.47487694025
20180504091700,49875.0,49836.505119502544
20180504091800,49749.99999999999,49818.19066107273
20180504091900,49600.0,49742.34650731087
20180504092000,49600.0,49610.832062363625
20180504092100,49600.0,49547.07722067833
20180504092200,49575.0,49547.07722067833
20180504092300,49575.0,49533.9424803853
20180504092400,49550.0,49523.297798633575
20180504092500,49600.0,49510.15668809414
20180504092600,49575.0,49525.79139620066
20180504092700,49537.5,49533.9424803853
20180504092800,49524.99999999999,49503.583301603794
20180504093000,49500.00000000001,49481.02696686983
20180504093100,49462.5,49462.53980398178
20180504093200,49400.0,49432.124000787735
20180504093300,49400.0,49383.161579072475
20180504093400,49350.0,49356.43202513456
20180504093500,49312.5,49330.03797084093
20180504093600,49312.5,49288.80690485239
20180504093700,49312.5,49272.72840291262
20180504093800,49325.0,49272.72840291262
20180504093900,49325.0,49279.3371796608
20180504094000,49325.0,49284.69597250223
20180504094100,49325.0,49284.69597250223
20180504094200,49325.0,49284.69597250223
20180504094300,49337.5,49284.69597250223
20180504094400,49325.0,49291.3033336401
20180504094500,49337.5,49290.05547314882
20180504094600,49337.5,49291.3033336401
20180504094700,49362.50000000001,49296.661418676376
20180504094800,49362.50000000001,49309.87047851086
20180504094900,49387.49999999999,49320.580278337
20180504095000,49400.0,49333.78296792507
20180504095100,49437.5,49351.08314156532
20180504095200,49437.5,49376.2158870697
20180504095300,49425.0,49392.24908947945
20180504095400,49375.0,49385.65871566534
20180504095500,49312.5,49353.935596346855
20180504095600,49250.00000000001,49299.52024370432
20180504095700,49237.5,49239.667531847954
20180504095800,49362.50000000001,49206.212413311005
20180504095900,49500.00000000001,49266.9866874814
20180504100000,49500.00000000001,49393.13243031502
20180504100100,49475.00000000001,49451.873180270195
20180504100200,49487.5,49438.70800435543
20180504100300,49462.5,49434.61972177029
20180504100400,49475.00000000001,49426.786442101
20180504100500,49475.00000000001,49422.69603610039
20180504100600,49475.00000000001,49428.03430259228
20180504100700,49462.5,49428.03430259228
20180504100800,49462.5,49421.44888341427
20180504100900,49487.5,49416.11061692238
20180504101000,49475.00000000001,49429.28287088871
20180504101100,49462.5,49433.37256908417
20180504101200,49475.00000000001,49421.44888341427
20180504101300,49475.00000000001,49422.69603610039
20180504101400,49487.5,49428.03430259228
20180504101500,49462.5,49434.61972177029
20180504101600,49475.00000000001,49426.786442101
20180504101700,49512.5,49422.69603610039
20180504101800,49524.99999999999,49447.78489768505
20180504101900,49537.5,49470.3660055995
20180504102000,49537.5,49482.27482736111
20180504102100,49524.99999999999,49487.602476775646
20180504102200,49537.5,49481.02696686983
20180504102300,49537.5,49482.27482736111
20180504102400,49537.5,49487.602476775646
20180504102500,49524.99999999999,49487.602476775646
20180504102600,49537.5,49481.02696686983
20180504102700,49524.99999999999,49482.27482736111
20180504102800,49524.99999999999,49481.02696686983
20180504102900,49537.5,49475.69719403982
20180504103000,49537.5,49482.27482736111
20180504103100,49537.5,49487.602476775646
20180504103200,49512.5,49487.602476775646
20180504103300,49537.5,49474.449333548546
20180504103400,49537.5,49476.943638920784
20180504103500,49537.5,49487.602476775646
20180504103600,49524.99999999999,49487.602476775646
20180504103700,49537.5,49481.02696686983
20180504103800,49524.99999999999,49482.27482736111
20180504103900,49537.5,49481.02696686983
20180504104000,49537.5,49482.27482736111
20180504104100,49537.5,49487.602476775646
20180504104200,49537.5,49487.602476775646
20180504104300,49537.5,49487.602476775646
20180504104400,49512.5,49487.602476775646
20180504104500,49524.99999999999,49474.449333548546
20180504104600,49524.99999999999,49470.3660055995
20180504104700,49524.99999999999,49475.69719403982
20180504104800,49537.5,49475.69719403982
20180504104900,49524.99999999999,49482.27482736111
20180504105000,49537.5,49481.02696686983
20180504105100,49537.5,49482.27482736111
20180504105200,49524.99999999999,49487.602476775646
20180504105300,49537.5,49481.02696686983
20180504105400,49537.5,49482.27482736111
20180504105500,49524.99999999999,49487.602476775646
20180504105600,49537.5,49481.02696686983
