datetime,original,predicted
20180504090200,456375.0,456802.2723570466
20180504090300,456375.0,456388.4175643325
20180504090400,455750.0,456388.4175643325
20180504090500,455999.99999999994,456051.9646182656
20180504090600,456750.0,455890.8342644572
20180504090700,456750.0,456412.850253284
20180504090800,455500.0,456767.65621453524
20180504090900,454000.0,456094.76932138205
20180504091000,452000.0,454695.7603916526
20180504091100,450375.0,452908.73528271914
20180504091200,450125.0,451086.38156950474
20180504091300,450750.0,450181.6026195884
20180504091400,451750.0,450399.55892413855
20180504091500,452000.0,451234.26013439894
20180504091600,451375.0,451842.8639769554
20180504091700,450125.0,451624.8221769929
20180504091800,450250.00000000006,450655.5986851454
20180504091900,450375.0,450130.3718686104
20180504092000,451000.0,450256.943076849
20180504092100,450500.0,450652.6823416352
20180504092200,450500.0,450679.7748878598
20180504092300,450250.00000000006,450442.75310635567
20180504092400,450375.0,450308.15482884645
20180504092500,450375.0,450256.943076849
20180504092600,450750.0,450316.2008970976
20180504092700,450875.00000000006,450518.0935636163
20180504092800,450875.00000000006,450763.16141337156
20180504092900,450625.0,450822.41923362017
20180504093000,451000.0,450687.8304556012
20180504093100,451000.0,450771.2074816227
20180504093200,451125.0,450948.9809423685
20180504093300,450875.00000000006,451016.2658318877
20180504093400,450750.0,450940.91587513685
20180504093500,450750.0,450755.1248446107
20180504093600,451500.0,450695.87652385235
20180504093700,452000.0,451099.67135638
20180504093800,452000.0,451724.38633441925
20180504093900,451625.0,451961.3416194916
20180504094000,451375.0,451759.42995399237
20180504094100,451875.0,451447.10571318865
20180504094200,452250.0,451597.8341251612
20180504094300,452375.0,452036.72007471323
20180504094400,452625.0,452281.7214280367
20180504094500,452125.0,452475.558526814
20180504094600,452375.0,452324.78261739016
20180504094700,452375.0,452222.4826067686
20180504094800,452750.0,452340.94125032425
20180504094900,452875.0,452542.85291582346
20180504095000,452750.0,452787.82577067614
20180504095100,452875.0,452779.7512039542
20180504095200,452625.0,452787.82577067614
20180504095300,452875.0,452712.45681494474
20180504095400,453375.0,452728.6249473691
20180504095500,453375.0,453116.26114696264
20180504095600,453375.0,453353.12143713236
20180504095700,454125.0,453353.12143713236
20180504095800,454500.0,453756.9447681308
20180504095900,454750.0,454314.05187398195
20180504100000,454750.0,454626.205123961
20180504100100,454375.00000000006,454744.55927312374
20180504100200,454750.0,454542.66660660505
20180504100300,455375.0,454567.02329963446
20180504100400,456500.0,455081.0407176614
20180504100500,455999.99999999994,455982.52334445715
20180504100600,455875.0,456245.6782236695
20180504100700,455750.0,455941.8465271592
20180504100800,455875.0,455815.38931280375
20180504100900,455875.0,455823.53987544775
20180504101000,455875.0,455882.6837018132
20180504101100,455999.99999999994,455882.6837018132
20180504101200,457125.0,455949.9780908227
20180504101300,457500.0,456614.69542235136
20180504101400,457375.0,457348.69253635406
20180504101500,458375.0,457458.7346315384
20180504101600,459500.0,457937.8034248948
20180504101700,459375.0,459015.82457870245
20180504101800,458375.0,459480.0456687808
20180504101900,458500.00000000006,458882.9742074013
20180504102000,458625.0,458477.773450315
20180504102100,459375.0,458604.0976718068
20180504102200,459750.0,459066.7038485408
20180504102300,459000.0,459622.7470114827
20180504102400,458750.0,459396.36465907097
20180504102500,459375.0,458907.60638564825
20180504102600,459500.0,459125.77167898417
20180504102700,459375.0,459488.2722273469
20180504102800,459500.0,459480.0456687808
20180504102900,459125.00000000006,459488.2722273469
20180504103000,459250.0,459345.5613851547
20180504103100,459375.0,459235.6617823243
20180504103200,459375.0,459361.97650432587
20180504103300,459375.0,459421.01583629847
20180504103400,459125.00000000006,459421.01583629847
20180504103500,458750.0,459286.51255369186
20180504103600,458750.0,458966.6647166014
20180504103700,458875.0,458789.49922323227
20180504103800,459000.0,458856.76511377096
20180504103900,458875.0,458983.07033628225
20180504104000,458750.0,458974.8627766967
20180504104100,458875.0,458848.5575541854
20180504104200,458750.0,458856.76511377096
20180504104300,458875.0,458848.5575541854
20180504104400,458500.00000000006,458856.76511377096
20180504104500,458250.0,458714.0447720885
20180504104600,458250.0,458402.31899917126
20180504104700,458375.0,458284.17383879423
20180504104800,458500.00000000006,458351.43022984266
20180504104900,458375.0,458477.773450315
20180504105000,458375.0,458469.58488970995
20180504105100,458875.0,458410.5075597763
20180504105200,458750.0,458679.5616224408
20180504105300,458625.0,458848.5575541854
20180504105400,458375.0,458722.2333326936
20180504105500,458250.0,458528.64322066307
20180504105600,458000.0,458343.2416692376
20180504105700,457125.0,458149.6325582266
20180504105800,456875.0,457560.5596676469
20180504105900,456875.0,457012.2870877385
20180504110000,457750.0,456894.05643194914
20180504110100,458250.0,457365.00316113234
20180504110200,458250.0,458047.8360205889
20180504110300,458625.0,458284.17383879423
20180504110400,458750.0,458485.96201092005
20180504110500,458625.0,458730.4313927889
20180504110600,458250.0,458722.2333326936
20180504110700,458000.0,458461.3773301244
20180504110800,457750.0,458149.6325582266
20180504110900,457750.0,457896.9271183014
20180504111000,457750.0,457778.73446047306
20180504111100,457875.00000000006,457778.73446047306
20180504111200,457750.0,457846.0193499923
20180504111300,457750.0,457837.8402888775
20180504111400,457750.0,457778.73446047306
20180504111500,457750.0,457778.73446047306
20180504111600,457625.0,457778.73446047306
20180504111700,457750.0,457711.46856993437
20180504111800,457875.00000000006,457719.6571305394
20180504111900,457750.0,457846.0193499923
20180504112000,457750.0,457837.8402888775
20180504112100,457625.0,457778.73446047306
20180504112200,457875.00000000006,457711.46856993437
20180504112300,457750.0,457786.9230210781
20180504112400,457750.0,457837.8402888775
20180504112500,457875.00000000006,457778.73446047306
20180504112600,457750.0,457846.0193499923
20180504112700,457000.0,457837.8402888775
20180504112800,456750.0,457375.0916197896
20180504112900,456875.0,456885.8963698149
20180504113000,456375.0,456834.94110405445
20180504113100,456250.0,456624.9168738723
20180504113200,456125.0,456321.123175323
20180504113300,455750.0,456194.7039589286
20180504113400,455250.0,455933.6769655347
20180504113500,455500.0,455487.0679304004
20180504113600,455999.99999999994,455385.0244060159
20180504113700,455999.99999999994,455772.52761274576
20180504113800,455750.0,456009.1314166784
20180504113900,455625.0,455874.5426386595
20180504114000,455999.99999999994,455688.96059691906
20180504114100,456125.0,455831.67143911123
20180504114200,455375.0,456076.41630619764
20180504114300,455625.0,455731.79379850626
20180504114400,455999.99999999994,455511.48162037134
20180504114500,455999.99999999994,455831.67143911123
20180504114600,455999.99999999994,456009.1314166784
20180504114700,455875.0,456009.1314166784
20180504114800,455999.99999999994,455941.8465271592
20180504114900,455625.0,455949.9780908227
20180504115000,455125.0,455807.23875015974
20180504115100,455375.0,455360.6297150254
20180504115200,455250.0,455258.5671916604
20180504115300,455125.0,455309.5984533429
20180504115400,455125.0,455183.14123898745
20180504115500,454625.0,455123.97841364145
20180504115600,454625.0,454854.781858623
20180504115700,454750.0,454618.08305978775
20180504115800,455375.0,454685.3869482875
20180504115900,455250.0,455081.0407176614
20180504120000,455000.00000000006,455309.5984533429
20180504120100,454625.0,455115.84684997797
20180504120200,454875.0,454795.6000342965
20180504120300,454625.0,454752.68133729696
20180504120400,454625.0,454736.42770946026
20180504120500,454750.0,454618.08305978775
20180504120600,454625.0,454685.3869482875
20180504120700,454750.0,454677.255384624
20180504120800,454500.0,454685.3869482875
20180504120900,454625.0,454609.9609956145
20180504121000,454750.0,454558.90123546124
20180504121100,454625.0,454685.3869482875
20180504121200,454750.0,454677.255384624
20180504121300,454375.00000000006,454685.3869482875
20180504121400,453500.0,454542.66660660505
20180504121500,453124.99999999994,453893.99391412735
20180504121600,453250.0,453277.7239829302
20180504121700,453124.99999999994,453167.396903038
20180504121800,453124.99999999994,453159.31283682585
20180504121900,453124.99999999994,453100.0930145383
20180504122000,453124.99999999994,453100.0930145383
20180504122100,453250.0,453100.0930145383
20180504122200,453250.0,453167.396903038
20180504122300,453250.0,453226.6072258353
20180504122400,453250.0,453226.6072258353
20180504122500,453375.0,453226.6072258353
20180504122600,453124.99999999994,453293.9206138253
20180504122700,453250.0,453218.5136601329
20180504122800,452875.0,453167.396903038
20180504122900,452875.0,453024.7050598264
20180504123000,452875.0,452847.05509245396
20180504123100,453250.0,452847.05509245396
20180504123200,453250.0,453048.9762574434
20180504123300,453500.0,453226.6072258353
20180504123400,453750.00000000006,453361.2150028348
20180504123500,453625.0,453614.24342542887
20180504123600,453750.00000000006,453665.33168405294
20180504123700,453750.00000000006,453673.4442487359
20180504123800,453750.00000000006,453732.64507204294
20180504123900,453750.00000000006,453732.64507204294
20180504124000,453750.00000000006,453732.64507204294
20180504124100,453625.0,453732.64507204294
20180504124200,453625.0,453665.33168405294
20180504124300,453625.0,453606.1308607459
20180504124400,453625.0,453606.1308607459
20180504124500,453124.99999999994,453606.1308607459
20180504124600,453250.0,453336.9343057275
20180504124700,453250.0,453167.396903038
20180504124800,453250.0,453226.6072258353
20180504124900,453250.0,453226.6072258353
20180504125000,453124.99999999994,453226.6072258353
20180504125100,453625.0,453159.31283682585
20180504125200,453875.0,453369.30856853724
