datetime,original,predicted
20180504090200,75675.0,75661.15837395193
20180504090300,75650.0,75611.4136427641
20180504090400,75525.0,75669.39575076105
20180504090500,75650.0,75589.62442278863
20180504090600,75725.0,75597.84338176252
20180504090700,75600.0,75698.18282723428
20180504090800,75450.0,75666.10264182092
20180504090900,75300.0,75525.0717520714
20180504091000,75250.0,75372.13004827501
20180504091100,75050.0,75273.45097064973
20180504091200,74950.0,75141.10961556436
20180504091300,74950.0,74991.47943854333
20180504091400,74850.0,74943.77448260786
20180504091500,74700.0,74889.55790102483
20180504091600,74525.0,74760.54372787477
20180504091700,74300.0,74594.16713416578
20180504091800,74200.0,74388.82853090765
20180504091900,74175.0,74227.39344239236
20180504092000,74125.0,74166.17439985277
20180504092100,74150.0,74127.19213068487
20180504092200,74225.0,74116.8790638447
20180504092300,74175.0,74169.39291656019
20180504092400,74150.0,74178.09626460077
20180504092500,74150.0,74140.7227933407
20180504092600,74350.0,74128.8009285927
20180504092700,74500.0,74237.05635964872
20180504092800,74500.0,74413.6806368828
20180504092900,74450.0,74485.23300588132
20180504093000,74475.0,74458.14773738386
20180504093100,74450.0,74447.84203767778
20180504093200,74425.0,74446.2249517441
20180504093300,74250.0,74420.76045274736
20180504093400,74150.0,74314.06869590284
20180504093500,74225.0,74176.48470401765
20180504093600,74250.0,74169.39291656019
20180504093700,74200.0,74218.69377791883
20180504093800,74150.0,74203.54971289636
20180504093900,74175.0,74152.64281630518
20180504094000,74200.0,74142.33159124853
20180504094100,74200.0,74167.7831977606
20180504094200,74275.0,74179.70598340036
20180504094300,74350.0,74220.30441761018
20180504094400,74325.0,74296.67857587339
20180504094500,74275.0,74318.9125865698
20180504094600,74275.0,74279.91742491724
20180504094700,74225.0,74256.07277452947
20180504094800,74150.0,74229.00500297548
20180504094900,74150.0,74164.56283926965
20180504095000,74100.0,74128.8009285927
20180504095100,74150.0,74101.74144506456
20180504095200,74150.0,74104.95811998846
20180504095300,74100.0,74128.8009285927
20180504095400,74250.0,74101.74144506456
20180504095500,74425.0,74159.07892882825
20180504095600,74525.0,74325.36343336107
20180504095700,74575.0,74462.99899518491
20180504095800,74650.0,74537.78553605081
20180504095900,74625.0,74602.27098166944
20180504100000,74550.0,74624.50222969057
20180504100100,74525.0,74571.94049060346
20180504100200,74575.0,74522.62397408487
20180504100300,74600.0,74537.78553605081
20180504100400,74550.0,74575.1801878214
20180504100500,74550.0,74560.0177049637
20180504100600,74550.0,74536.1666083336
20180504100700,74525.0,74536.1666083336
20180504100800,74525.0,74522.62397408487
20180504100900,74525.0,74510.69934666158
20180504101000,74525.0,74510.69934666158
20180504101100,74550.0,74510.69934666158
20180504101200,74625.0,74524.24198091032
20180504101300,74625.0,74576.80003643037
20180504101400,74700.0,74612.57760226728
20180504101500,74800.0,74653.21655571462
20180504101600,75250.0,74743.19044351579
20180504101700,75225.0,75034.8718583584
20180504101800,75150.0,75236.0379010439
20180504101900,75200.0,75183.42643380167
20180504102000,75200.0,75174.76913034917
20180504102100,75150.0,75198.62298965456
20180504102200,75200.0,75171.50180637838
20180504102300,75275.0,75174.76913034917
20180504102400,75300.0,75239.30706679822
20180504102500,75375.0,75288.65213096143
20180504102600,75425.0,75341.26912355424
20180504102700,75425.0,75404.17892336847
20180504102800,75350.0,75428.03370356561
20180504102900,75350.0,75387.33581304552
20180504103000,75300.0,75351.55824720861
20180504103100,75250.0,75324.4306176901
20180504103200,75250.0,75273.45097064973
20180504103300,75250.0,75249.59803223611
20180504103400,75250.0,75249.59803223611
20180504103500,75200.0,75249.59803223611
20180504103600,75225.0,75222.47592806818
20180504103700,75250.0,75212.18312084676
20180504103800,75225.0,75237.67248392107
20180504103900,75200.0,75236.0379010439
20180504104000,75050.0,75210.54945886137
20180504104100,75050.0,75117.26128160955
20180504104200,75050.0,75045.7070708275
20180504104300,75050.0,75045.7070708275
20180504104400,75025.0,75045.7070708275
20180504104500,75050.0,75032.14878141881
20180504104600,75125.0,75033.77968072893
20180504104700,75150.0,75086.38193905355
20180504104800,75225.0,75135.72239875795
20180504104900,75250.0,75188.33018243314
20180504105000,75275.0,75237.67248392107
20180504105100,75275.0,75263.16276788713
20180504105200,75275.0,75275.08739531042
20180504105300,75250.0,75275.08739531042
20180504105400,75225.0,75261.52542233469
20180504105500,75250.0,75236.0379010439
20180504105600,75100.0,75237.67248392107
20180504105700,75050.0,75168.22987794878
20180504105800,75000.0,75069.56000924112
20180504105900,75025.0,75018.59233379365
20180504110000,75025.0,75008.29676389696
20180504110100,75100.0,75020.22415399553
20180504110200,75050.0,75060.8962595463
