datetime,original,predicted
20180504090200,168250.0,167180.10130524632
20180504090300,168125.0,167310.14566123483
20180504090400,167250.0,167466.63546562192
20180504090500,167500.0,166995.78264355657
20180504090600,167750.0,166735.9996140003
20180504090700,167750.0,166963.70166540143
20180504090800,167500.0,167071.9563513994
20180504090900,167750.0,166952.7245312929
20180504091000,167500.0,166963.70166540143
20180504091100,167500.0,166952.7245312929
20180504091200,167500.0,166844.411060214
20180504091300,167250.0,166844.411060214
20180504091400,167625.0,166725.01072287557
20180504091500,168250.0,166795.69390416142
20180504091600,168750.0,167256.09865784642
20180504091700,168625.0,167763.64904642102
20180504091800,168375.0,167919.65681314465
20180504091900,168375.0,167747.16570973393
20180504092000,168125.0,167639.42441344258
20180504092100,168125.0,167520.58449387547
20180504092200,168250.0,167412.67859935758
20180504092300,168125.0,167472.14166820046
20180504092400,168375.0,167466.63546562192
20180504092500,168250.0,167531.581223011
20180504092600,168125.0,167580.01229166982
20180504092700,168250.0,167466.63546562192
20180504092800,168250.0,167472.14166820046
20180504092900,168500.0,167526.09069645402
20180504093000,168375.0,167644.91885900495
20180504093100,168375.0,167693.30681860444
20180504093200,168000.0,167639.42441344258
20180504093300,167750.0,167461.13318204877
20180504093400,167625.0,167180.10130524632
20180504093500,167750.0,167012.34827935693
20180504093600,167875.0,167017.8427249193
20180504093700,168000.0,167131.5330713987
20180504093800,168125.0,167245.14895677564
20180504093900,168250.0,167358.69038105008
20180504094000,168125.0,167472.14166820046
20180504094100,167625.0,167466.63546562192
20180504094200,167625.0,167174.59118366239
20180504094300,167750.0,166958.21505784985
20180504094400,167750.0,167017.8427249193
20180504094500,167875.0,167071.9563513994
20180504094600,167875.0,167131.5330713987
20180504094700,167875.0,167185.60358881947
20180504094800,167750.0,167185.60358881947
20180504094900,166750.0,167126.03862583634
20180504095000,166250.0,166594.47257220742
20180504095100,166500.0,165920.05093395707
20180504095200,166625.0,165822.00133800504
20180504095300,166125.0,165991.02412164208
20180504095400,165875.0,165805.53367733952
20180504095500,165875.0,165466.9943153858
20180504095600,165875.0,165357.63838887212
20180504095700,165875.0,165357.63838887212
20180504095800,166000.0,165357.63838887212
20180504095900,166000.0,165417.81079769132
20180504100000,166250.0,165472.48092293736
20180504100100,166250.0,165592.71208941934
20180504100200,166125.0,165701.92301273343
20180504100300,166125.0,165641.84857904908
20180504100400,166250.0,165587.23723888394
20180504100500,166625.0,165647.32342958447
20180504100600,166875.0,165882.0013105869
20180504100700,166750.0,166165.3414815664
