datetime,original,predicted
20180504090200,341625.0,341750.8963942528
20180504090300,341500.0,341808.6284324527
20180504090400,341625.0,341451.93207636476
20180504090500,342625.0,341463.395986706
20180504090600,343625.0,342073.11798632145
20180504090700,343000.0,343086.3455235958
20180504090800,342375.0,343201.44532620907
20180504090900,341500.0,342568.1982040405
20180504091000,341375.0,341797.129701823
20180504091100,341375.0,341325.40318369865
20180504091200,341750.0,341267.8693532944
20180504091300,341875.0,341474.85454007983
20180504091400,342250.0,341716.504663229
20180504091500,342750.0,341981.14421218634
20180504091600,342750.0,342430.0366565585
20180504091700,343250.0,342660.30590236187
20180504091800,343750.0,342936.6423897445
20180504091900,343375.0,343443.4007965028
20180504092000,343000.0,343466.3580805063
20180504092100,342625.0,343086.31606027484
20180504092200,342750.0,342706.3543945551
20180504092300,342375.0,342602.7399301529
20180504092400,341875.0,342453.0930444598
20180504092500,341750.0,342004.23274189234
20180504092600,341875.0,341705.03271743655
20180504092700,341750.0,341716.504663229
20180504092800,342125.0,341705.03271743655
20180504092900,342375.0,341854.55371439457
20180504093000,342250.0,342165.30603915453
20180504093100,342375.0,342211.3679237664
20180504093200,342250.0,342222.8612974286
20180504093300,342375.0,342211.3679237664
20180504093400,342000.0,342222.8612974286
20180504093500,341875.0,342073.2733383775
20180504093600,342125.0,341831.60446584225
20180504093700,342250.0,341912.10897266865
20180504093800,342500.0,342096.2547287345
20180504093900,342875.0,342291.91260784864
20180504094000,342875.0,342614.24669623375
20180504094100,342750.0,342786.960683763
20180504094200,342875.0,342717.87187457085
20180504094300,342875.0,342729.3866761029
20180504094400,342625.0,342786.960683763
20180504094500,342750.0,342648.79377931356
20180504094600,342375.0,342602.7399301529
20180504094700,342125.0,342453.0930444598
20180504094800,342375.0,342142.31929183006
20180504094900,342250.0,342165.30603915453
20180504095000,342250.0,342211.3679237664
20180504095100,342250.0,342153.8126654923
20180504095200,342250.0,342153.8126654923
20180504095300,342125.0,342153.8126654923
20180504095400,341750.0,342084.76939052343
20180504095500,341750.0,341820.11377066374
20180504095600,341625.0,341647.4881730974
20180504095700,342000.0,341578.4743614495
20180504095800,342125.0,341727.9766090214
20180504095900,342125.0,341969.6642309427
20180504100000,342125.0,342027.2168107331
20180504100100,342125.0,342027.2168107331
20180504100200,342250.0,342027.2168107331
20180504100300,342125.0,342096.2547287345
20180504100400,342250.0,342084.76939052343
20180504100500,342125.0,342096.2547287345
20180504100600,342125.0,342084.76939052343
20180504100700,342125.0,342027.2168107331
20180504100800,342125.0,342027.2168107331
20180504100900,342000.0,342027.2168107331
20180504101000,342250.0,341958.1815712154
20180504101100,342125.0,342038.70482742786
20180504101200,342250.0,342084.76939052343
20180504101300,342125.0,342096.2547287345
20180504101400,342125.0,342084.76939052343
20180504101500,342125.0,342027.2168107331
20180504101600,342125.0,342027.2168107331
20180504101700,342250.0,342027.2168107331
20180504101800,342125.0,342096.2547287345
20180504101900,342250.0,342084.76939052343
20180504102000,342250.0,342096.2547287345
20180504102100,342250.0,342153.8126654923
20180504102200,342125.0,342153.8126654923
20180504102300,342250.0,342084.76939052343
20180504102400,342250.0,342096.2547287345
20180504102500,342125.0,342153.8126654923
20180504102600,342125.0,342084.76939052343
20180504102700,342125.0,342027.2168107331
20180504102800,342125.0,342027.2168107331
20180504102900,342125.0,342027.2168107331
20180504103000,342125.0,342027.2168107331
20180504103100,342125.0,342027.2168107331
20180504103200,342250.0,342027.2168107331
20180504103300,342125.0,342096.2547287345
20180504103400,342125.0,342084.76939052343
20180504103500,342125.0,342027.2168107331
20180504103600,342125.0,342027.2168107331
20180504103700,342125.0,342027.2168107331
