datetime,original,predicted
20180504090200,381250.0,381826.81510969996
20180504090300,380375.0,382112.05603554845
20180504090400,380125.0,380800.91973021626
20180504090500,381625.0,380271.66517823935
20180504090600,381625.0,380934.652145952
20180504090700,380250.0,381620.4848662019
20180504090800,378625.0,380907.48749673367
20180504090900,376250.0,379437.94859200716
20180504091000,373125.0,377469.4923572242
20180504091100,372000.0,374778.52910757065
20180504091200,372000.0,372783.10196846724
20180504091300,371250.0,372273.67397770286
20180504091400,369375.0,371888.88853788376
20180504091500,368000.0,370588.81183713675
20180504091600,367125.0,369039.14327174425
20180504091700,364750.0,367972.65833616257
20180504091800,363500.0,366368.23261901736
20180504091900,366500.0,364666.3370728493
20180504092000,367750.0,365630.62964752316
20180504092100,368750.00000000006,367616.2080876529
20180504092200,369250.0,368689.7404938936
20180504092300,369500.0,369396.23126387596
20180504092400,369625.0,369749.7026845813
20180504092500,368375.0,369926.4949038625
20180504092600,366375.0,369343.5810878873
20180504092700,364500.0,367758.79625976086
20180504092800,363250.0,365904.0440618992
20180504092900,365625.0,364427.25586891174
20180504093000,366750.0,365073.4596848488
20180504093100,366000.0,366712.7675563097
20180504093200,365375.0,366836.4736735821
20180504093300,365625.0,366181.01853877306
20180504093400,366500.0,366027.50799804926
20180504093500,367500.0,366585.4125767946
20180504093600,368500.0,367488.70779946446
20180504093700,369125.0,368449.38380271196
20180504093800,369625.0,369219.55206245184
20180504093900,369625.0,369757.2264447808
20180504094000,369625.0,369982.93925076723
20180504094100,370125.0,369982.93925076723
20180504094200,371625.0,370238.8197518885
20180504094300,371375.0,371233.0216951668
20180504094400,370375.0,371783.32985937595
20180504094500,370750.0,371157.58227556944
20180504094600,371125.0,370897.70578593016
20180504094700,371875.0,371259.37907397747
20180504094800,373375.0,371813.52177262306
20180504094900,374125.0,372922.9292757809
20180504095000,373750.0,373988.405123353
20180504095100,373125.0,374135.7965543866
20180504095200,372375.0,373644.3384028971
20180504095300,372875.0,372975.69246962667
20180504095400,373500.0,372892.7050717175
20180504095500,373375.0,373440.3734616935
20180504095600,373000.0,373659.4908684492
20180504095700,372750.0,373410.0927487016
20180504095800,372500.0,373111.6771697998
20180504095900,371875.0,372869.99655514956
20180504100000,372375.0,372435.8949661255
20180504100100,373500.0,372409.52951461077
20180504100200,373375.0,373213.71614933014
20180504100300,373625.0,373659.4908684492
20180504100400,373625.0,373731.32986202836
20180504100500,373875.0,373844.7029180825
20180504100600,374375.0,373973.2526578009
20180504100700,374250.0,374343.8624292612
20180504100800,374250.0,374506.4709074795
20180504100900,374000.0,374449.7440159321
20180504101000,374875.0,374321.1135491729
20180504101100,376750.0,374657.8744724393
20180504101200,376750.0,376021.1604461074
20180504101300,375750.0,376874.10621345043
20180504101400,375125.0,376358.24427753687
20180504101500,375750.0,375581.4725458622
20180504101600,375875.0,375619.46269124746
20180504101700,376750.0,375967.9613262415
20180504101800,377250.0,376475.96852108836
20180504101900,376875.0,377132.1421265602
20180504102000,377250.0,377166.192792356
20180504102100,377750.0,377189.03854489326
20180504102200,377125.00000000006,377617.9655306041
20180504102300,376499.99999999994,377522.91751280427
20180504102400,376000.0,376915.7532937825
20180504102500,375625.0,376373.4774701297
20180504102600,375000.0,375952.768497169
20180504102700,375000.0,375460.26089414954
20180504102800,375125.0,375176.33581906557
20180504102900,375125.0,375240.7156340778
20180504103000,375375.0,375297.50710725784
20180504103100,375375.0,375426.2667372823
20180504103200,374500.0,375539.8739017546
20180504103300,373750.0,375089.1748331487
20180504103400,373750.0,374305.93686550856
20180504103500,373500.0,373965.6723886728
20180504103600,372750.0,373837.13072165847
20180504103700,371875.0,373338.27797323465
20180504103800,371125.0,372549.0904226899
20180504103900,371250.0,371768.21775734425
20180504104000,371125.0,371493.0354207754
20180504104100,370625.0,371485.4955151677
20180504104200,370125.0,371172.68630489707
20180504104300,369375.0,370690.54405391216
20180504104400,369750.0,370080.74006065726
20180504104500,370125.0,369934.0267367661
20180504104600,370750.0,370295.27217149734
20180504104700,370500.0,370784.7202196717
20180504104800,370125.0,370939.118757844
20180504104900,370125.0,370634.0674161911
20180504105000,370125.0,370464.65364843607
20180504105100,369250.0,370464.65364843607
20180504105200,368625.0,370016.78002625704
20180504105300,367875.0,369302.24077031016
20180504105400,366625.0,368637.1710449457
20180504105500,366375.0,367661.26184910536
20180504105600,367625.0,366971.3604860008
20180504105700,368375.0,367496.18312343955
20180504105800,368625.0,368441.8923333287
20180504105900,368875.0,368907.6389223337
20180504110000,369125.0,369148.14092218876
20180504110100,369375.0,369388.7075036764
20180504110200,369250.0,369629.35481220484
20180504110300,369125.0,369678.2592535019
20180504110400,369125.0,369557.8952357173
20180504110500,369500.0,369501.499325037
20180504110600,369625.0,369693.29062849283
20180504110700,369250.0,369926.4949038625
20180504110800,369250.0,369791.0752929747
20180504110900,369125.0,369621.8310520053
20180504111000,369125.0,369557.8952357173
20180504111100,369125.0,369501.499325037
20180504111200,368500.0,369501.499325037
20180504111300,368500.0,369181.9655522704
20180504111400,368000.0,368900.1313075423
20180504111500,368375.0,368644.6786597371
20180504111600,368500.0,368610.8782477677
20180504111700,369250.0,368843.76768767834
20180504111800,369375.0,369283.4555879235
20180504111900,369250.0,369685.7668682933
20180504112000,369000.0,369678.2592535019
20180504112100,368500.0,369493.97556483746
20180504112200,368000.0,369125.5857869983
20180504112300,368124.99999999994,368644.6786597371
20180504112400,368500.0,368483.19228738546
20180504112500,368500.0,368731.07273876667
20180504112600,368375.0,368900.1313075423
20180504112700,368375.0,368836.26007288694
20180504112800,368124.99999999994,368779.9125984311
20180504112900,367875.0,368652.20241993666
20180504113000,367625.0,368411.86187416315
20180504113100,367625.0,368171.58591002226
20180504113200,367625.0,368058.97976085544
20180504113300,367375.0,368058.97976085544
20180504113400,367125.0,367931.3987456262
20180504113500,367250.0,367691.2761628628
20180504113600,366875.0,367642.50088483095
20180504113700,366875.0,367507.47683644295
20180504113800,366750.0,367338.7250304222
20180504113900,366500.0,367274.98295903206
20180504114000,367750.0,367091.31279587746
20180504114100,368500.0,367616.2080876529
20180504114200,368875.0,368562.0545335114
20180504114300,369125.0,369091.7692296207
20180504114400,369250.0,369388.7075036764
20180504114500,369000.0,369565.41899591684
20180504114600,368625.0,369493.97556483746
20180504114700,368375.0,369189.4731670618
20180504114800,368250.0,368892.61562004685
20180504114900,368250.0,368716.0575091839
20180504115000,368124.99999999994,368659.71003472805
20180504115100,367875.0,368595.8549454808
20180504115200,367000.0,368411.86187416315
20180504115300,367000.0,367852.6010811329
20180504115400,367000.0,367458.72577652335
20180504115500,366750.0,367458.72577652335
20180504115600,366750.0,367331.233561039
20180504115700,366875.0,367218.7565751374
20180504115800,367250.0,367282.4825011194
20180504115900,367000.0,367529.9673900008
20180504120000,366875.0,367571.2511986494
20180504120100,366125.0,367394.9756324291
20180504120200,365750.0,366956.3856199384
20180504120300,365625.0,366428.1482286751
20180504120400,365625.0,366195.9853321314
20180504120500,365750.0,366139.8235298693
20180504120600,365625.0,366203.4606561065
20180504120700,365125.0,366195.9853321314
20180504120800,364750.0,365885.3153884411
20180504120900,364375.0,365470.0231999159
20180504121000,364125.0,365111.0461950302
20180504121100,364375.0,364815.76282531023
20180504121200,364375.0,364830.6811824441
20180504121300,364000.0,364942.81911477447
20180504121400,363750.0,364752.2467896342
20180504121500,363750.0,364457.0925831795
20180504121600,363500.0,364345.04345059395
20180504121700,363625.0,364218.0921062827
20180504121800,364000.0,364169.5267185569
20180504121900,364375.0,364415.9863740206
20180504122000,364125.0,364774.624325335
20180504122100,364125.0,364815.76282531023
20180504122200,363875.0,364703.6491110921
20180504122300,363375.0,364576.63318514824
20180504122400,363500.0,364210.64907312393
20180504122500,363250.0,364050.0668436289
20180504122600,363125.0,363979.16428372264
20180504122700,362875.0,363803.7444241345
20180504122800,362750.0,363620.92189490795
20180504122900,362500.0,363445.5746896565
20180504123000,362375.0,363262.8490328789
20180504123100,362500.0,363087.6067727804
20180504123200,362000.0,363095.0417332351
20180504123300,361875.0,362897.5188098848
20180504123400,361750.0,362610.55839806795
20180504123500,361625.0,362491.34877696633
20180504123600,361375.0,362372.171446681
20180504123700,362125.0,362189.71218913794
20180504123800,362875.0,362457.7582553029
20180504123900,362875.0,363173.27430844307
20180504124000,362625.0,363508.96963477135
20180504124100,362625.0,363382.17974454165
20180504124200,362875.0,363270.29206603765
20180504124300,363250.0,363397.0577381551
20180504124400,363000.0,363699.2271244526
20180504124500,362750.0,363740.31718820333
20180504124600,362500.0,363501.5427470207
20180504124700,362500.0,363262.8490328789
20180504124800,362875.0,363150.97749978304
20180504124900,362625.0,363341.11389890313
20180504125000,362625.0,363382.17974454165
20180504125100,362125.0,363270.29206603765
20180504125200,362000.0,363016.793012619
20180504125300,361875.0,362729.7922372818
20180504125400,362000.0,362610.55839806795
20180504125500,362500.0,362617.99335852265
20180504125600,362750.0,362927.2586517036
20180504125700,362750.0,363277.7189537883
20180504125800,362625.0,363389.6308504045
20180504125900,362625.0,363326.23590528965
20180504130000,362250.0,363270.29206603765
20180504130100,361875.0,363080.16373962164
20180504130200,362000.0,362722.3653495312
20180504130300,361875.0,362617.99335852265
20180504130400,362125.0,362610.55839806795
20180504130500,362250.0,362681.3237220049
20180504130600,362125.0,362856.4771823585
20180504130700,362125.0,362849.0422219038
20180504130800,362000.0,362793.1387461722
20180504130900,361875.0,362729.7922372818
20180504131000,361875.0,362610.55839806795
20180504131100,362250.0,362554.6629950404
20180504131200,362250.0,362744.6621581912
20180504131300,362250.0,362912.39680349827
20180504131400,363125.0,362912.39680349827
20180504131500,363875.0,363355.9918925166
20180504131600,363750.0,364128.420509398
20180504131700,363875.0,364401.0680168867
20180504131800,363250.0,364408.5352681577
20180504131900,363250.0,364147.1814736724
20180504132000,363125.0,363867.1878054738
20180504132100,363250.0,363803.7444241345
20180504132200,363125.0,363811.1874572933
20180504132300,362500.0,363803.7444241345
20180504132400,362250.0,363430.696696043
20180504132500,362500.0,363024.2360457778
20180504132600,362375.0,363039.1059666872
20180504132700,361875.0,363087.6067727804
20180504132800,362000.0,362778.2607525587
20180504132900,362000.0,362617.99335852265
20180504133000,361625.0,362673.89683425426
20180504133100,361500.0,362483.93803462386
20180504133200,361125.0,362252.9941163957
20180504133300,361375.0,362007.3013678193
20180504133400,360875.0,361966.3001038134
20180504133500,360625.0,361824.93091002107
20180504133600,361250.0,361475.18100589514
20180504133700,361750.0,361679.70296368
20180504133800,361500.0,362211.9928523898
20180504133900,361375.0,362308.865301311
20180504134000,361125.0,362133.8490769267
20180504134100,361125.0,361951.45440101624
20180504134200,360750.0,361839.77661281824
20180504134300,360375.0,361650.0357761979
20180504134400,360125.0,361292.9558567703
20180504134500,359625.0,360999.24666434526
20180504134600,359000.0,360635.0869834423
20180504134700,358375.0,360096.6214761138
20180504134800,358375.0,359502.9306001961
20180504134900,358625.0,359224.73714500666
20180504135000,358750.0,359350.7843464613
