datetime,original,predicted
20180504090200,36712.5,36810.7965901494
20180504090300,36725.0,36685.532677173615
20180504090400,36800.0,36659.03420895338
20180504090500,36962.5,36702.479764819145
20180504090600,37050.0,36817.36661493778
20180504090700,37000.0,36932.25593715906
20180504090800,36950.0,36945.12899965048
20180504090900,36887.5,36898.21013957262
20180504091000,36837.5,36844.928911328316
20180504091100,36825.0,36792.43875592947
20180504091200,36812.5,36764.29716348648
20180504091300,36812.5,36752.52006649971
20180504091400,36875.0,36747.05836772919
20180504091500,36912.5,36778.64524722099
20180504091600,36962.5,36824.85049366951
20180504091700,37000.0,36866.41477942467
20180504091800,37062.5,36907.08086788654
20180504091900,37087.5,36954.849307239056
20180504092000,37125.0,36994.57022845745
20180504092100,37125.0,37024.25935715437
20180504092200,37075.0,37040.52167236805
20180504092300,37037.5,37015.40593355894
20180504092400,37000.0,36974.856857955456
20180504092500,36975.0,36939.696142077446
20180504092600,36962.5,36910.80220639706
20180504092700,36950.0,36893.62768530846
20180504092800,36925.0,36881.88849389553
20180504092900,36850.0,36863.8421446085
20180504093000,36825.0,36815.10711312294
20180504093100,36812.5,36769.75556612015
20180504093200,36825.0,36752.52006649971
20180504093300,36862.5,36753.37706208229
20180504093400,36912.5,36777.78825163841
20180504093500,36975.0,36819.40033137798
20180504093600,37037.5,36872.71699309349
20180504093700,37087.5,36931.399765610695
20180504093800,37112.5,36983.712753653526
20180504093900,37075.0,37017.979392409325
20180504094000,37050.0,37009.98296439648
20180504094100,37087.5,36981.14094287157
20180504094200,37075.0,36989.14149105549
20180504094300,37037.5,36999.136202037334
20180504094400,37025.0,36974.856857955456
20180504094500,37012.5,36952.278320491314
20180504094600,37037.5,36940.554785728455
20180504094700,37012.5,36947.70410656929
20180504094800,37012.5,36945.9884673357
20180504094900,37012.5,36935.122752189636
20180504095000,37000.0,36935.122752189636
20180504095100,37025.0,36928.82795482874
20180504095200,37025.0,36935.978923738
20180504095300,37025.0,36946.846286952496
20180504095400,37000.0,36946.846286952496
20180504095500,37025.0,36934.26410853863
20180504095600,37012.5,36935.978923738
20180504095700,37025.0,36940.554785728455
20180504095800,37050.0,36941.41342937946
