datetime,original,predicted
20180504090200,356250.0,358320.7923620939
20180504090300,355000.0,357462.94647455215
20180504090400,354125.0,356012.66944408417
20180504090500,356500.0,354983.69213193655
20180504090600,358375.0,355830.79393208027
20180504090700,357875.0,357892.7515819669
20180504090800,357875.0,358482.18669742346
20180504090900,358125.0,358255.5205747485
20180504091000,358875.0,358386.0558271408
20180504091100,359250.0,358890.71168750525
20180504091200,359125.0,359425.73561519384
20180504091300,360375.00000000006,359530.2387177944
20180504091400,360375.00000000006,360124.60063397884
20180504091500,360125.0,360688.97730857134
20180504091600,359500.0,360558.9913278818
20180504091700,358750.0,360120.9721118212
20180504091800,359000.0,359447.90621846914
20180504091900,359875.0,359238.88336867094
20180504092000,359875.0,359807.83730745316
20180504092100,359375.0,360203.2297104597
20180504092200,359625.0,359942.97479093075
20180504092300,359250.0,359847.16849029064
20180504092400,359250.0,359764.9025693536
20180504092500,359750.0,359595.3523814678
20180504092600,361125.0,359855.75710237026
20180504092700,361750.0,360796.8426197767
20180504092800,361000.0,361741.1405444145
20180504092900,360500.0,361633.31684470177
20180504093000,360000.0,361035.8007773757
20180504093100,359500.0,360550.39439350367
20180504093200,359750.0,360064.5136386156
20180504093300,359750.0,359968.75727176666
20180504093400,359625.0,360081.6991850734
20180504093500,359625.0,360016.6520997882
20180504093600,360750.0,359960.16865968704
20180504093700,362125.0,360545.47591507435
20180504093800,363000.0,361766.8148353696
20180504093900,363374.99999999994,362838.6686295271
20180504094000,363000.0,363425.4406094551
20180504094100,362000.0,363399.67477321625
20180504094200,361750.0,362713.8008624315
20180504094300,362125.0,362134.85184311867
20180504094400,362125.0,362216.8514505029
20180504094500,361750.0,362385.44457405806
20180504094600,362250.0,362191.0772919655
20180504094700,362250.0,362281.6322222352
20180504094800,362374.99999999994,362506.40918314457
20180504094900,362250.0,362571.1566656828
20180504095000,362500.0,362562.5680536032
20180504095100,362875.0,362635.904148221
20180504095200,362374.99999999994,362942.3727914691
