datetime,original,predicted
20180504090200,1344500.0,1336046.9719469547
20180504090300,1345750.0,1338238.2535636425
20180504090400,1346000.0,1340217.4357771873
20180504090500,1351000.0,1340733.577877283
20180504090600,1355750.0,1344448.955476284
20180504090700,1356500.0,1349249.4192421436
20180504090800,1355000.0,1351071.3746845722
20180504090900,1350750.0,1350179.8669695854
20180504091000,1349000.0,1346676.8763661385
20180504091100,1344000.0,1344260.6974840164
20180504091200,1341250.0,1340139.6420300007
20180504091300,1343000.0,1336795.2298820019
20180504091400,1345750.0,1337342.3169255257
20180504091500,1343750.0,1339817.2796964645
20180504091600,1340500.0,1339089.5846188068
20180504091700,1337000.0,1336180.0409555435
20180504091800,1335000.0,1332754.3839514256
20180504091900,1329500.0,1330361.2987399101
20180504092000,1327750.0,1325801.549822092
20180504092100,1326500.0,1323066.057085991
20180504092200,1326500.0,1321688.2881224155
20180504092300,1327250.0,1321358.937293291
20180504092400,1326500.0,1321908.7277054787
20180504092500,1323000.0,1321556.5420389175
20180504092600,1325000.0,1318791.7723953724
20180504092700,1328250.0,1319338.1979763508
20180504092800,1328000.0,1322246.2749183178
20180504092900,1328250.0,1322919.672548771
20180504093000,1322500.0,1323037.0102524757
20180504093100,1319500.0,1318885.1248919964
20180504093200,1321000.0,1315171.9329953194
20180504093300,1320750.0,1315485.7250750065
20180504093400,1321500.0,1315695.8113312721
20180504093500,1322000.0,1316180.4908216
20180504093600,1320750.0,1316744.1431879997
20180504093700,1320500.0,1315958.2394063473
20180504093800,1319500.0,1315446.8138217926
20180504093900,1318000.0,1314647.36443758
20180504094000,1315000.0,1313284.1764092445
20180504094100,1313500.0,1310688.3673071861
20180504094200,1312000.0,1308802.3075163364
20180504094300,1309750.0,1307308.7538480759
20180504094400,1309250.0,1305264.2018795013
20180504094500,1308500.0,1304310.660481453
20180504094600,1308750.0,1303629.296541214
20180504094700,1309750.0,1303617.8216040134
20180504094800,1310000.0,1304417.6736176014
20180504094900,1309250.0,1304861.716300249
20180504095000,1309500.0,1304375.7138848305
20180504095100,1309250.0,1304364.1814291477
20180504095200,1308750.0,1304245.5495595932
20180504095300,1308000.0,1303813.0105733871
20180504095400,1307500.0,1303131.7041516304
20180504095500,1307250.0,1302569.1158771515
20180504095600,1307500.0,1302255.3237974644
20180504095700,1307500.0,1302374.0419447422
20180504095800,1307000.0,1302439.0953481197
20180504095900,1307500.0,1302071.58100605
20180504100000,1306500.0,1302309.074819088
20180504100100,1306500.0,1301704.0379047394
20180504100200,1306750.0,1301444.1118836403
20180504100300,1308500.0,1301627.8546750546
20180504100400,1309500.0,1302978.848785162
20180504100500,1309250.0,1304168.9061820507
20180504100600,1309250.0,1304245.5495595932
20180504100700,1308250.0,1304180.4673969746
20180504100800,1308500.0,1303445.5537497997
20180504100900,1307750.0,1303369.0829277039
20180504101000,1308500.0,1302882.9079568386
20180504101100,1309000.0,1303238.9761209488
20180504101200,1308750.0,1303801.5068769455
20180504101300,1308000.0,1303747.9571700096
