datetime,original,predicted
20180504090200,348375.0,345050.11028796434
20180504090300,350000.0,345605.44580221176
20180504090400,350000.0,346886.33980602026
20180504090500,349125.0,347520.2770754695
20180504090600,348750.0,347015.0546878576
20180504090700,348125.0,346456.8715542555
20180504090800,347750.0,345949.0502476692
20180504090900,347125.0,345487.91000247
20180504091000,346125.0,344979.50424999
20180504091100,345375.0,344155.6220650673
20180504091200,345000.0,343329.25287634134
20180504091300,345250.0,342817.9497644305
20180504091400,345250.0,342816.3332119584
20180504091500,344000.0,342914.1968116164
20180504091600,343375.0,342187.9046559334
20180504091700,342625.0,341334.63852107525
20180504091800,342125.0,340653.03782373667
20180504091900,341625.0,340067.6095634699
20180504092000,341250.0,339580.0200328231
20180504092100,340750.0,339165.0758832693
20180504092200,341500.0,338726.1197119951
20180504092300,341875.0,338967.5331711769
20180504092400,341875.0,339480.552315712
20180504092500,341375.0,339627.68346071243
20180504092600,341750.0,339336.10713481903
20180504092700,342375.0,339358.60208421946
20180504092800,342000.0,339870.11659145355
20180504092900,341750.0,339896.71509712934
20180504093000,341250.0,339603.84552925825
20180504093100,340750.0,339214.1444683075
20180504093200,340750.0,338726.1197119951
20180504093300,340500.0,338529.8453718424
20180504093400,340500.0,338383.87068361044
20180504093500,340625.0,338285.70864349604
20180504093600,340500.0,338358.6897701025
20180504093700,340375.0,338334.78966355324
20180504093800,340125.0,338212.70264685154
20180504093900,340000.0,338017.60963350534
20180504094000,339375.0,337846.3918566704
20180504094100,338875.0,337432.03215301037
20180504094200,338875.0,336894.0932303667
20180504094300,339875.0,336697.58262485266
20180504094400,339875.0,337282.33939409256
20180504094500,339875.0,337675.1740798354
20180504094600,339750.0,337675.1740798354
20180504094700,339875.0,337602.10590809584
20180504094800,340375.0,337626.0681897402
20180504094900,340000.0,337967.2602415085
20180504095000,340000.0,337944.59120184183
20180504095100,340500.0,337797.29840159416
20180504095200,340875.0,338089.3472582102
20180504095300,340875.0,338504.65202331543
20180504095400,341000.0,338651.870213449
20180504095500,341375.0,338724.82647001743
20180504095600,341250.0,338992.72651970387
20180504095700,341250.0,339066.963583231
20180504095800,341250.0,339017.9198682308
20180504095900,341500.0,339017.9198682308
