datetime,original,predicted
20180504090200,102625.0,102346.58777415752
20180504090300,102125.0,102209.44361388683
20180504090400,101999.99999999999,101849.27553236485
20180504090500,101875.0,101609.96325910091
20180504090600,101750.0,101497.96777069569
20180504090700,101750.0,101385.78409850597
20180504090800,101999.99999999999,101342.79717206955
20180504090900,101625.0,101482.08453655243
20180504091000,101625.0,101358.93131792545
20180504091100,101750.0,101224.71707463264
20180504091200,101750.0,101297.32203781605
20180504091300,101750.0,101342.79717206955
20180504091400,101625.0,101342.79717206955
20180504091500,101499.99999999999,101270.21050453186
20180504091600,101750.0,101152.04415619373
20180504091700,101750.0,101251.83906257153
20180504091800,101875.0,101342.79717206955
20180504091900,101750.0,101412.61074244976
20180504092000,101250.0,101385.78409850597
20180504092100,100750.0,101052.0767480135
20180504092200,100625.0,100577.58701741695
20180504092300,100750.0,100321.38002216816
20180504092400,100750.0,100348.90451431274
20180504092500,100750.0,100394.66192424297
20180504092600,100750.0,100394.66192424297
20180504092700,100750.0,100394.66192424297
20180504092800,100625.0,100394.66192424297
20180504092900,100750.0,100321.38002216816
20180504093000,100750.0,100348.90451431274
20180504093100,100750.0,100394.66192424297
20180504093200,101000.0,100394.66192424297
20180504093300,101250.0,100541.04538559914
20180504093400,101375.0,100778.4679800272
20180504093500,101375.0,100942.59037673473
20180504093600,101250.0,100988.17267119884
20180504093700,101125.0,100915.32463729382
20180504093800,101125.0,100796.77930772305
20180504093900,101125.0,100751.13428533077
20180504094000,101250.0,100751.13428533077
20180504094100,101125.0,100824.09732043743
20180504094200,101250.0,100796.77930772305
20180504094300,101125.0,100824.09732043743
20180504094400,101125.0,100796.77930772305
20180504094500,101125.0,100751.13428533077
20180504094600,101000.0,100751.13428533077
20180504094700,100875.00000000001,100678.10852229595
20180504094800,100625.0,100559.31750833988
20180504094900,100750.0,100367.14788675308
20180504095000,100750.0,100348.90451431274
20180504095100,100750.0,100394.66192424297
20180504095200,100750.0,100394.66192424297
20180504095300,100875.00000000001,100394.66192424297
20180504095400,100750.0,100467.88109838963
20180504095500,100625.0,100440.41149318218
20180504095600,100750.0,100321.38002216816
20180504095700,100625.0,100348.90451431274
20180504095800,100875.00000000001,100321.38002216816
20180504095900,100750.0,100422.15505242348
20180504100000,100625.0,100440.41149318218
20180504100100,100750.0,100321.38002216816
20180504100200,100750.0,100348.90451431274
20180504100300,100750.0,100394.66192424297
20180504100400,100750.0,100394.66192424297
20180504100500,100875.00000000001,100394.66192424297
20180504100600,100625.0,100467.88109838963
20180504100700,100875.00000000001,100367.14788675308
20180504100800,100625.0,100422.15505242348
20180504100900,100750.0,100367.14788675308
20180504101000,100750.0,100348.90451431274
20180504101100,100750.0,100394.66192424297
20180504101200,100750.0,100394.66192424297
20180504101300,100875.00000000001,100394.66192424297
20180504101400,100625.0,100467.88109838963
20180504101500,100750.0,100367.14788675308
20180504101600,100875.00000000001,100348.90451431274
20180504101700,100750.0,100467.88109838963
20180504101800,100750.0,100440.41149318218
20180504101900,100750.0,100394.66192424297
20180504102000,100625.0,100394.66192424297
20180504102100,100625.0,100321.38002216816
20180504102200,100625.0,100275.59386193752
20180504102300,100875.00000000001,100275.59386193752
20180504102400,100750.0,100422.15505242348
20180504102500,100750.0,100440.41149318218
20180504102600,100750.0,100394.66192424297
20180504102700,100625.0,100394.66192424297
20180504102800,100875.00000000001,100321.38002216816
20180504102900,100625.0,100422.15505242348
20180504103000,100750.0,100367.14788675308
20180504103100,100875.00000000001,100348.90451431274
20180504103200,100750.0,100467.88109838963
20180504103300,100625.0,100440.41149318218
20180504103400,100750.0,100321.38002216816
20180504103500,100750.0,100348.90451431274
20180504103600,100625.0,100394.66192424297
20180504103700,100625.0,100321.38002216816
20180504103800,100625.0,100275.59386193752
20180504103900,100625.0,100275.59386193752
20180504104000,100625.0,100275.59386193752
20180504104100,100750.0,100275.59386193752
20180504104200,100875.00000000001,100348.90451431274
20180504104300,100875.00000000001,100467.88109838963
20180504104400,100875.00000000001,100513.60975801945
20180504104500,100750.0,100513.60975801945
20180504104600,100625.0,100440.41149318218
20180504104700,100875.00000000001,100321.38002216816
20180504104800,100625.0,100422.15505242348
20180504104900,100750.0,100367.14788675308
20180504105000,100875.00000000001,100348.90451431274
20180504105100,100875.00000000001,100467.88109838963
20180504105200,100750.0,100513.60975801945
20180504105300,100875.00000000001,100440.41149318218
20180504105400,100750.0,100467.88109838963
20180504105500,100750.0,100440.41149318218
20180504105600,100875.00000000001,100394.66192424297
20180504105700,100875.00000000001,100467.88109838963
20180504105800,100625.0,100513.60975801945
20180504105900,100750.0,100367.14788675308
20180504110000,100625.0,100348.90451431274
20180504110100,100625.0,100321.38002216816
20180504110200,100625.0,100275.59386193752
20180504110300,100750.0,100275.59386193752
20180504110400,100750.0,100348.90451431274
20180504110500,100750.0,100394.66192424297
20180504110600,100625.0,100394.66192424297
20180504110700,100750.0,100321.38002216816
20180504110800,100875.00000000001,100348.90451431274
20180504110900,100750.0,100467.88109838963
20180504111000,100625.0,100440.41149318218
20180504111100,100875.00000000001,100321.38002216816
20180504111200,100750.0,100422.15505242348
20180504111300,100625.0,100440.41149318218
20180504111400,100750.0,100321.38002216816
20180504111500,100875.00000000001,100348.90451431274
20180504111600,100750.0,100467.88109838963
20180504111700,100750.0,100440.41149318218
20180504111800,100750.0,100394.66192424297
20180504111900,100625.0,100394.66192424297
20180504112000,100750.0,100321.38002216816
20180504112100,100625.0,100348.90451431274
20180504112200,100625.0,100321.38002216816
20180504112300,100625.0,100275.59386193752
20180504112400,100750.0,100275.59386193752
20180504112500,100625.0,100348.90451431274
20180504112600,100750.0,100321.38002216816
20180504112700,100750.0,100348.90451431274
20180504112800,100750.0,100394.66192424297
20180504112900,100625.0,100394.66192424297
20180504113000,100750.0,100321.38002216816
20180504113100,100750.0,100348.90451431274
20180504113200,100875.00000000001,100394.66192424297
20180504113300,100750.0,100467.88109838963
20180504113400,100625.0,100440.41149318218
20180504113500,100625.0,100321.38002216816
20180504113600,100625.0,100275.59386193752
20180504113700,100750.0,100275.59386193752
20180504113800,100750.0,100348.90451431274
20180504113900,100750.0,100394.66192424297
20180504114000,100750.0,100394.66192424297
20180504114100,100750.0,100394.66192424297
20180504114200,100625.0,100394.66192424297
20180504114300,100750.0,100321.38002216816
20180504114400,100750.0,100348.90451431274
20180504114500,100625.0,100394.66192424297
20180504114600,100625.0,100321.38002216816
20180504114700,100750.0,100275.59386193752
20180504114800,100625.0,100348.90451431274
20180504114900,100750.0,100321.38002216816
20180504115000,100750.0,100348.90451431274
20180504115100,100750.0,100394.66192424297
20180504115200,100750.0,100394.66192424297
