datetime,original,predicted
20180504090200,398500.0,398489.14524912834
20180504090300,397375.0,396631.67810440063
20180504090400,399500.0,395317.08085536957
20180504090500,400125.0,396247.29466438293
20180504090600,399875.0,397226.7700135708
20180504090700,399625.0,397259.86847281456
20180504090800,398625.0,397041.2163734436
20180504090900,397750.0,396380.8837234974
20180504091000,397625.0,395575.28561353683
20180504091100,397875.00000000006,395236.6332113743
20180504091200,398125.0,395353.5994887352
20180504091300,398625.0,395580.15844225883
20180504091400,398750.0,395947.8271603584
20180504091500,398500.0,396165.9827828407
20180504091600,397500.0,396054.6064674854
20180504091700,397125.0,395391.12946391106
20180504091800,396750.0,394841.3824439049
20180504091900,396625.0,394484.26845669746
20180504092000,396499.99999999994,394284.61119532585
20180504092100,395750.0,394165.4935181141
20180504092200,395000.0,393651.73187851906
20180504092300,394250.0,392935.6099367142
20180504092400,394500.0,392218.58698129654
20180504092500,395000.0,392135.1236999035
20180504092600,394500.0,392532.470703125
20180504092700,394250.0,392377.05504894257
20180504092800,394125.0,392057.2871565819
20180504092900,393125.0,391897.3480463028
20180504093000,391750.0,391222.08431363106
20180504093100,391250.0,390023.9936411381
20180504093200,391875.00000000006,389261.0006034374
20180504093300,392000.0,389498.26139211655
20180504093400,392000.0,389779.727011919
20180504093500,391625.0,389820.0887441635
20180504093600,391875.00000000006,389581.007540226
20180504093700,392000.0,389619.3282008171
20180504093800,391500.0,389779.727011919
20180504093900,391250.0,389501.2770295143
20180504094000,391000.0,389180.2587509155
20180504094100,390375.0,388939.908772707
20180504094200,390375.0,388459.7236812115
20180504094300,390499.99999999994,388257.8598558903
20180504094400,390125.0,388337.7742469311
20180504094500,390499.99999999994,388138.3008658886
20180504094600,390625.0,388257.0323944092
20180504094700,390375.0,388458.0687582493
20180504094800,390499.99999999994,388338.6200964451
20180504094900,391000.0,388337.7742469311
20180504095000,391125.0,388697.7016031742
20180504095100,391125.0,388938.9893710613
20180504095200,389500.0,388979.3511033058
20180504095300,388125.0,387940.11464715004
20180504095400,388125.0,386532.91526436806
20180504095500,387875.0,386088.5500609875
20180504095600,388250.0,385927.8938174248
20180504095700,388375.0,386088.09036016464
20180504095800,388250.0,386289.54964876175
20180504095900,389500.0,386249.6476173401
20180504100000,390625.0,387011.316716671
20180504100100,391375.0,388135.1197361946
20180504100200,390875.0,388977.5123000145
20180504100300,391125.0,388900.4296660423
20180504100400,391625.0,388898.62763881683
20180504100500,391750.0,389298.47541451454
20180504100600,391875.00000000006,389539.63446617126
20180504100700,391875.00000000006,389659.6715450287
20180504100800,392000.0,389700.0332772732
20180504100900,390875.0,389779.727011919
20180504101000,390125.0,389102.31187939644
20180504101100,390125.0,388259.4412267208
20180504101200,390125.0,388017.1605050564
20180504101300,390125.0,388017.1605050564
20180504101400,390125.0,388017.1605050564
20180504101500,390625.0,388017.1605050564
20180504101600,391250.0,388336.9651734829
20180504101700,391250.0,388897.7082371712
20180504101800,391375.0,389099.53528642654
20180504101900,391250.0,389179.32096123695
20180504102000,391375.0,389139.89701867104
20180504102100,391375.0,389179.32096123695
20180504102200,391250.0,389219.68269348145
20180504102300,391375.0,389139.89701867104
20180504102400,391125.0,389179.32096123695
