datetime,original,predicted
20180504090200,121125.0,119688.00244927406
20180504090300,121125.0,120466.3331836462
20180504090400,121125.0,120740.76244831085
20180504090500,122375.00000000001,120740.76244831085
20180504090600,123624.99999999999,121628.72335016727
20180504090700,123250.0,122861.59093976021
20180504090800,124124.99999999999,122940.61964005232
20180504090900,125125.00000000001,123459.19640511274
20180504091000,125000.0,124413.180616498
20180504091100,125249.99999999999,124602.75824218988
20180504091200,125375.0,124745.83306014538
20180504091300,125625.0,124904.51745092869
20180504091400,126000.0,125117.30612963438
20180504091500,126000.0,125453.97503525019
20180504091600,125249.99999999999,125558.91519188881
20180504091700,124750.0,125024.92129653692
20180504091800,124625.00000000001,124459.59651470184
20180504091900,125000.0,124231.40932917595
20180504092000,125125.00000000001,124463.47019672394
20180504092100,125125.00000000001,124656.8842574954
20180504092200,125125.00000000001,124691.73187613487
20180504092300,125125.00000000001,124691.73187613487
20180504092400,125125.00000000001,124691.73187613487
20180504092500,125249.99999999999,124691.73187613487
20180504092600,125000.0,124780.68999052048
20180504092700,125125.00000000001,124637.5996530056
20180504092800,125375.0,124656.8842574954
20180504092900,125500.0,124869.63568925858
20180504093000,125749.99999999999,125028.3573269844
20180504093100,125749.99999999999,125241.16773307323
20180504093200,126125.0,125311.05541288853
20180504093300,126374.99999999999,125577.87388563156
20180504093400,126374.99999999999,125860.75199842453
20180504093500,126374.99999999999,125930.85074424744
20180504093600,126250.00000000001,125930.85074424744
20180504093700,126125.0,125841.89573377371
20180504093800,126250.00000000001,125717.90066212416
20180504093900,126374.99999999999,125771.82492315769
20180504094000,126125.0,125895.80137133598
20180504094100,125875.0,125752.9252037406
20180504094200,125749.99999999999,125504.93816435337
20180504094300,125875.0,125346.01166844368
20180504094400,125875.0,125400.00731945038
20180504094500,125625.0,125434.97599065304
20180504094600,125749.99999999999,125257.02872276306
20180504094700,125625.0,125276.10536515713
20180504094800,125375.0,125222.08798676729
20180504094900,125375.0,125009.19687896967
20180504095000,125249.99999999999,124939.3992125988
20180504095100,125375.0,124850.43178647757
20180504095200,125375.0,124904.51745092869
20180504095300,125625.0,124939.3992125988
20180504095400,125875.0,125117.30612963438
20180504095500,125625.0,125365.04485607147
20180504095600,125625.0,125257.02872276306
20180504095700,125875.0,125187.15345859528
20180504095800,125875.0,125365.04485607147
20180504095900,125749.99999999999,125434.97599065304
20180504100000,125749.99999999999,125346.01166844368
20180504100100,125749.99999999999,125311.05541288853
20180504100200,125749.99999999999,125311.05541288853
20180504100300,125875.0,125311.05541288853
20180504100400,125625.0,125400.00731945038
20180504100500,125749.99999999999,125257.02872276306
20180504100600,125375.0,125276.10536515713
20180504100700,125625.0,125044.10967975855
20180504100800,125500.0,125117.30612963438
20180504100900,125500.0,125098.17982465029
20180504101000,125625.0,125063.26702386141
20180504101100,125875.0,125152.22203433514
20180504101200,125875.0,125365.04485607147
20180504101300,125875.0,125434.97599065304
20180504101400,125875.0,125434.97599065304
20180504101500,125749.99999999999,125434.97599065304
20180504101600,125875.0,125346.01166844368
20180504101700,125875.0,125400.00731945038
20180504101800,125875.0,125434.97599065304
20180504101900,125749.99999999999,125434.97599065304
20180504102000,125875.0,125346.01166844368
20180504102100,125875.0,125400.00731945038
20180504102200,125625.0,125434.97599065304
20180504102300,125375.0,125257.02872276306
20180504102400,125249.99999999999,125009.19687896967
20180504102500,125375.0,124850.43178647757
20180504102600,125249.99999999999,124904.51745092869
20180504102700,125249.99999999999,124850.43178647757
20180504102800,125125.00000000001,124815.55933654308
20180504102900,125375.0,124726.5857025981
20180504103000,125125.00000000001,124869.63568925858
20180504103100,125375.0,124761.44573688507
20180504103200,125249.99999999999,124869.63568925858
20180504103300,125249.99999999999,124850.43178647757
20180504103400,125000.0,124815.55933654308
20180504103500,125249.99999999999,124637.5996530056
20180504103600,125375.0,124745.83306014538
20180504103700,125249.99999999999,124904.51745092869
20180504103800,125125.00000000001,124850.43178647757
20180504103900,125375.0,124726.5857025981
20180504104000,125125.00000000001,124869.63568925858
20180504104100,124875.0,124761.44573688507
20180504104200,124875.0,124513.77219259739
20180504104300,124875.0,124444.13903355598
20180504104400,125000.0,124444.13903355598
20180504104500,124875.0,124533.10025185347
20180504104600,124875.0,124478.95250916481
20180504104700,124875.0,124444.13903355598
20180504104800,124750.0,124444.13903355598
20180504104900,124875.0,124355.16850352287
20180504105000,124875.0,124409.33176577091
20180504105100,124875.0,124444.13903355598
20180504105200,124875.0,124444.13903355598
20180504105300,124875.0,124444.13903355598
20180504105400,124750.0,124444.13903355598
20180504105500,124750.0,124355.16850352287
20180504105600,124875.0,124320.37675529718
20180504105700,124875.0,124409.33176577091
20180504105800,124875.0,124444.13903355598
20180504105900,124875.0,124444.13903355598
20180504110000,124875.0,124444.13903355598
20180504110100,124875.0,124444.13903355598
20180504110200,124750.0,124444.13903355598
20180504110300,124875.0,124355.16850352287
20180504110400,124875.0,124409.33176577091
20180504110500,124875.0,124444.13903355598
20180504110600,124875.0,124444.13903355598
20180504110700,124750.0,124444.13903355598
20180504110800,124875.0,124355.16850352287
20180504110900,124750.0,124409.33176577091
20180504111000,124750.0,124355.16850352287
