datetime,original,predicted
20180504090200,83750.0,83204.3868035078
20180504090300,83650.0,83361.64538860321
20180504090400,83650.0,83344.31798309088
20180504090500,83575.0,83311.49612665176
20180504090600,83350.0,83261.56747639179
20180504090700,83300.0,83087.18566894531
20180504090800,83250.0,82980.13267219067
20180504090900,83200.00000000001,82930.46687841415
20180504091000,83075.00000000001,82880.8081254363
20180504091100,83050.0,82781.24419152737
20180504091200,83125.0,82723.6668869853
20180504091300,83125.0,82765.38361907005
20180504091400,83225.0,82789.94661867619
20180504091500,83350.0,82856.48685991764
20180504091600,83600.0,82972.43473231792
20180504091700,83650.0,83179.78625297546
20180504091800,83825.0,83295.08637189865
20180504091900,83875.0,83427.9814466834
20180504092000,83850.0,83518.73499453068
20180504092100,83850.0,83518.5143828392
20180504092200,83825.0,83510.30481159687
20180504092300,83799.99999999999,83493.66036355495
20180504092400,83674.99999999999,83468.8086912036
20180504092500,83600.0,83377.37922668457
20180504092600,83600.0,83286.41680181026
20180504092700,83674.99999999999,83261.8021696806
20180504092800,83625.0,83311.72612607479
20180504092900,83650.0,83303.06124985218
20180504093000,83500.0,83303.29124927521
20180504093100,83500.0,83211.64117306471
20180504093200,83500.0,83162.43303120136
20180504093300,83500.0,83162.43303120136
20180504093400,83425.0,83162.43303120136
20180504093500,83375.0,83112.51142174006
20180504093600,83400.0,83054.6384036541
20180504093700,83549.99999999999,83054.88248467445
20180504093800,83525.0,83162.90945857763
20180504093900,83525.0,83195.47549933195
20180504094000,83525.0,83187.27296888828
20180504094100,83400.0,83187.27296888828
20180504094200,83250.0,83104.06950414181
20180504094300,83225.0,82963.2441431284
20180504094400,83350.0,82897.44553267956
20180504094500,83425.0,82972.43473231792
20180504094600,83325.00000000001,83063.3244022727
20180504094700,83375.0,83021.3635891676
20180504094800,83425.0,83021.8517512083
20180504094900,83500.0,83071.5222388506
20180504095000,83475.0,83137.83248066902
20180504095100,83475.0,83145.79327702522
20180504095200,83500.0,83137.59309351444
20180504095300,83500.0,83154.23284769058
20180504095400,83450.0,83162.43303120136
20180504095500,83450.0,83129.15352284908
20180504095600,83425.0,83112.75315582752
20180504095700,83450.0,83096.11340165138
20180504095800,83450.0,83104.55766618252
20180504095900,83400.0,83112.75315582752
20180504100000,83275.0,83079.47364747524
20180504100100,83225.0,82979.88389730453
20180504100200,83325.00000000001,82905.63632845879
20180504100300,83350.0,82955.79967200756
20180504100400,83300.0,83005.21669089794
20180504100500,83225.0,82980.13267219067
20180504100600,83225.0,82913.83181810379
20180504100700,83225.0,82889.25238996744
20180504100800,83225.0,82889.25238996744
20180504100900,83275.0,82889.25238996744
20180504101000,83350.0,82922.52485752106
20180504101100,83300.0,82988.82336467505
20180504101200,83275.0,82980.13267219067
20180504101300,83225.0,82947.1066325903
20180504101400,83325.00000000001,82905.63632845879
20180504101500,83325.00000000001,82955.79967200756
20180504101600,83350.0,82988.5769367218
20180504101700,83375.0,83005.21669089794
20180504101800,83300.0,83030.04724085331
20180504101900,83300.0,82988.32816183567
20180504102000,83275.0,82963.74638676643
20180504102100,83250.0,82947.1066325903
20180504102200,83275.0,82922.27138876915
20180504102300,83300.0,82930.71565330029
20180504102400,83225.0,82955.55089712143
20180504102500,83225.0,82913.83181810379
20180504102600,83175.0,82889.25238996744
20180504102700,83125.0,82855.97992241383
20180504102800,83150.0,82806.32351636887
20180504102900,83150.0,82806.58167898655
20180504103000,83100.0,82814.77247476578
20180504103100,83050.0,82781.50235414505
20180504103200,83125.0,82731.85533583164
20180504103300,83150.0,82765.38361907005
20180504103400,83150.0,82806.58167898655
20180504103500,83100.0,82814.77247476578
20180504103600,83050.0,82781.50235414505
20180504103700,83050.0,82731.85533583164
20180504103800,83075.00000000001,82715.47843813896
20180504103900,83075.00000000001,82732.11349844933
20180504104000,83025.0,82740.29960036278
20180504104100,83050.0,82707.02947974205
20180504104200,83025.0,82707.2946831584
20180504104300,83100.0,82698.8433778286
20180504104400,83125.0,82740.55776298046
20180504104500,83125.0,82781.75582289696
20180504104600,83125.0,82789.94661867619
20180504104700,83175.0,82789.94661867619
20180504104800,83075.00000000001,82823.21673929691
20180504104900,83025.0,82773.05339574814
20180504105000,83000.0,82707.02947974205
20180504105100,82925.0,82674.02456253767
20180504105200,82925.0,82615.94032049179
20180504105300,82925.0,82591.38670861721
20180504105400,82875.0,82591.38670861721
20180504105500,82750.0,82558.12128186226
20180504105600,82725.0,82458.59724581242
20180504105700,82699.99999999999,82401.07392072678
20180504105800,82699.99999999999,82376.26918703318
20180504105900,82675.0,82368.09481978416
20180504110000,82725.0,82351.46445333958
20180504110100,82699.99999999999,82376.54377818108
20180504110200,82650.0,82376.26918703318
20180504110300,82625.0,82334.83408689499
20180504110400,82625.0,82301.85498595238
20180504110500,82699.99999999999,82293.67827177048
20180504110600,82675.0,82343.56467723846
20180504110700,82650.0,82351.46445333958
20180504110800,82650.0,82326.65737271309
20180504110900,82650.0,82318.48535239697
20180504111000,82675.0,82318.48535239697
20180504111100,82725.0,82335.11571884155
20180504111200,82750.0,82376.54377818108
20180504111300,82699.99999999999,82409.52757298946
20180504111400,82625.0,82384.44824814796
20180504111500,82699.99999999999,82318.2037204504
20180504111600,82725.0,82343.56467723846
20180504111700,82775.0,82384.72283929586
20180504111800,82875.0,82426.15793943405
20180504111900,82875.0,82509.03518050909
20180504112000,82850.0,82541.7608126998
20180504112100,82824.99999999999,82525.12809932232
20180504112200,82875.0,82500.31632483006
20180504112300,82925.0,82525.39564967155
20180504112400,82949.99999999999,82575.02389252186
20180504112500,82949.99999999999,82608.02176892757
20180504112600,82949.99999999999,82616.20317697525
20180504112700,82949.99999999999,82616.20317697525
20180504112800,82949.99999999999,82616.20317697525
20180504112900,82949.99999999999,82616.20317697525
20180504113000,82824.99999999999,82616.20317697525
20180504113100,82850.0,82533.03726315498
