datetime,original,predicted
20180504090200,437375.0,433958.6409181356
20180504090300,437375.0,436109.27385091776
20180504090400,436750.0,436577.8100341558
20180504090500,438500.0,436066.0846829414
20180504090600,439250.0,437383.084654808
20180504090700,439375.0,438308.68560075754
20180504090800,440249.99999999994,438546.338379383
20180504090900,440125.0,439278.8632959127
20180504091000,440500.0,439337.36079931253
20180504091100,441000.0,439618.32633614534
20180504091200,441125.0,440091.4241224527
20180504091300,441125.0,440284.29791331285
20180504091400,441375.0,440307.285696268
20180504091500,442250.0,440509.19842720026
20180504091600,442875.0,441260.3124380111
20180504091700,443500.00000000006,441924.6885776519
20180504091800,444750.0,442542.0948117971
20180504091900,445749.99999999994,443657.27755427355
20180504092000,445749.99999999994,444687.6717805862
20180504092100,445500.0,444876.80977582926
20180504092200,445250.0,444678.1440973281
20180504092300,445374.99999999994,444432.0085346698
20180504092400,445749.99999999994,444484.2647314071
20180504092500,446499.99999999994,444805.85213005537
20180504092600,446750.0,445471.30125761026
20180504092700,447750.0,445811.5620166063
20180504092800,447625.0,446647.9476690292
20180504092900,447250.0,446740.6403422355
20180504093000,447750.0,446420.98544538015
20180504093100,448375.0,446743.4941530227
20180504093200,448375.0,447330.4578661918
20180504093300,447375.0,447450.3291547298
20180504093400,447625.0,446662.9470288753
20180504093500,447750.0,446668.9580082893
20180504093600,448250.00000000006,446815.19895792
20180504093700,448125.0,447232.3103696107
20180504093800,447875.00000000006,447229.9115955829
20180504093900,447750.0,447009.28056240076
20180504094000,447500.0,446863.01714181894
20180504094100,447000.0,446642.1052217483
20180504094200,447250.0,446199.65219497675
20180504094300,447375.0,446301.7321079969
20180504094400,447375.0,446448.0348527431
20180504094500,447125.0,446471.8933850526
20180504094600,447000.0,446274.5815813541
20180504094700,446625.0,446128.1664818525
20180504094800,447000.0,445807.79251456255
20180504094900,447375.0,446032.9065024852
20180504095000,447250.0,446400.317788124
20180504095100,447875.00000000006,446373.2683807611
20180504095200,448500.0,446841.8495059013
20180504095300,448875.0,447452.5088369846
20180504095400,448250.00000000006,447866.47431552404
20180504095500,448250.00000000006,447448.0595886707
20180504095600,448000.0,447328.16021144384
20180504095700,448375.0,447131.5955668687
20180504095800,448250.00000000006,447378.38840484613
20180504095900,448500.0,447352.1310985088
20180504100000,448625.00000000006,447524.46644008154
20180504100100,449250.0,447670.52200436586
20180504100200,449250.0,448183.9832365512
20180504100300,449375.00000000006,448304.348886013
20180504100400,449125.0,448402.0919054746
20180504100500,448750.0,448230.61607778067
20180504100600,448750.0,447888.6812329292
20180504100700,448750.0,447816.5775686502
20180504100800,448750.0,447816.5775686502
20180504100900,448875.0,447816.5775686502
20180504101000,449125.0,447914.5452976226
20180504101100,449125.0,448134.339287877
20180504101200,449375.00000000006,448182.4664473533
20180504101300,449250.0,448377.9974281787
20180504101400,449375.00000000006,448328.42651009554
20180504101500,449000.00000000006,448402.0919054746
20180504101600,448625.00000000006,448132.7326148748
20180504101700,448875.0,447766.5965557098
20180504101800,448750.0,447890.5126154422
20180504101900,449125.0,447840.6102508306
20180504102000,449250.0,448110.27289927
20180504102100,449375.00000000006,448280.26002645487
20180504102200,449375.00000000006,448402.0919054746
20180504102300,449125.0,448426.17514729494
20180504102400,449000.00000000006,448230.61607778067
20180504102500,448875.0,448084.6054553985
20180504102600,448500.0,447962.621897459
20180504102700,448125.0,447644.4557011127
20180504102800,447375.0,447277.84213423723
20180504102900,446874.99999999994,446615.162551403
20180504103000,447000.0,446077.00574398035
20180504103100,447250.0,446080.5280655622
20180504103200,446874.99999999994,446301.7321079969
20180504103300,446000.0,446053.1865358352
20180504103400,445250.0,445288.545012474
20180504103500,445125.0,444526.4539420604
20180504103600,444999.99999999994,444285.3181660175
20180504103700,445250.0,444162.18858957285
20180504103800,445125.0,444337.641775608
20180504103900,445125.0,444285.3181660175
20180504104000,444999.99999999994,444261.7349028587
20180504104100,444624.99999999994,444162.18858957285
20180504104200,444375.0,443839.6180868148
20180504104300,444624.99999999994,443569.51725482935
20180504104400,444750.0,443722.0781594514
20180504104500,444875.0,443868.77414584154
20180504104600,444875.0,443991.9374287128
20180504104700,444999.99999999994,444015.47013223165
20180504104800,445125.0,444115.0557696819
20180504104900,444750.0,444238.1684929132
20180504105000,444875.0,443962.89372444147
20180504105100,444875.0,443991.9374287128
20180504105200,444875.0,444015.47013223165
20180504105300,444875.0,444015.47013223165
20180504105400,444750.0,444015.47013223165
20180504105500,444750.0,443915.8170819282
20180504105600,444624.99999999994,443892.2899961471
20180504105700,444125.0,443792.5863862037
20180504105800,444249.99999999994,443369.69994008535
20180504105900,444249.99999999994,443375.80080330366
20180504110000,444249.99999999994,443399.25485849375
20180504110100,442875.0,443399.25485849375
20180504110200,441750.0,442297.0210015773
20180504110300,442375.00000000006,441134.9975615739
20180504110400,442375.00000000006,441430.2602410316
20180504110500,442750.00000000006,441546.09799385065
20180504110600,442875.0,441847.5458025932
20180504110700,442875.0,442017.6396667957
20180504110800,443125.00000000006,442040.90833663935
20180504110900,443375.0,442241.5626943111
20180504111000,443250.0,442488.6027127504
20180504111100,443750.0,442435.02072989935
20180504111200,444249.99999999994,442812.2237324714
20180504111300,444000.0,443305.47234416
20180504111400,443875.00000000006,443199.39821958536
20180504111500,444249.99999999994,443052.5561720132
20180504111600,444125.0,443328.9095461368
20180504111700,444375.0,443299.3546277284
20180504111800,444624.99999999994,443475.6223857402
20180504111900,444750.0,443722.0781594514
20180504112000,444875.0,443868.77414584154
20180504112100,445125.0,443991.9374287128
20180504112200,444624.99999999994,444214.59084749216
20180504112300,444750.0,443863.1451725959
20180504112400,444875.0,443868.77414584154
20180504112500,444875.0,443991.9374287128
20180504112600,444875.0,444015.47013223165
20180504112700,444500.0,444015.47013223165
20180504112800,443625.0,443716.3199782371
20180504112900,443375.0,442945.93712687487
20180504113000,443125.00000000006,442581.92457258696
20180504113100,443375.0,442334.73287522787
20180504113200,443500.00000000006,442488.6027127504
20180504113300,443250.0,442635.42228937143
20180504113400,443375.0,442458.3455771207
20180504113500,443375.0,442511.92755997175
20180504113600,443250.0,442535.2580249309
20180504113700,443250.0,442435.02072989935
20180504113800,443500.00000000006,442411.7127358913
20180504113900,443250.0,442612.0862066745
20180504114000,443250.0,442458.3455771207
20180504114100,443750.0,442411.7127358913
20180504114200,443875.00000000006,442812.2237324714
20180504114300,443875.00000000006,443005.74356317514
20180504114400,443875.00000000006,443029.1470587253
20180504114500,443625.0,443029.1470587253
20180504114600,443750.0,442828.99829745287
20180504114700,443625.0,442882.333099842
20180504114800,443750.0,442805.62850832933
20180504114900,443750.0,442882.333099842
20180504115000,444249.99999999994,442905.7141244411
20180504115100,444249.99999999994,443305.47234416
20180504115200,444375.0,443399.25485849375
20180504115300,444375.0,443499.0932941436
20180504115400,444500.0,443522.564202547
20180504115500,444375.0,443622.3464608192
20180504115600,444000.0,443546.0351109504
20180504115700,444125.0,443222.8241860866
20180504115800,444500.0,443252.4858415126
20180504115900,444125.0,443575.39340853685
20180504120000,444500.0,443346.24588489527
20180504120100,444624.99999999994,443575.39340853685
20180504120200,445125.0,443745.5715388059
20180504120300,445125.0,444167.4692630767
20180504120400,444750.0,444261.7349028587
20180504120500,445250.0,443962.89372444147
20180504120600,445125.0,444290.48648476595
20180504120700,445374.99999999994,444285.3181660175
20180504120800,445250.0,444460.6589972972
20180504120900,445374.99999999994,444408.4140360355
20180504121000,445374.99999999994,444484.2647314071
20180504121100,445125.0,444507.8648477792
20180504121200,445500.0,444308.89019370073
20180504121300,445625.0,444560.0255429744
20180504121400,445749.99999999994,444730.22614419454
20180504121500,445250.0,444853.1478643417
20180504121600,445250.0,444479.2200028896
20180504121700,445500.0,444384.8139196634
20180504121800,445875.0,444583.64251255983
20180504121900,446000.0,444928.7176728248
20180504122000,446000.0,445098.91265630716
20180504122100,445749.99999999994,445122.60827422136
20180504122200,445875.0,444924.1335988044
20180504122300,446000.0,444976.04149579996
20180504122400,445749.99999999994,445098.91265630716
20180504122500,445875.0,444924.1335988044
20180504122600,445875.0,444976.04149579996
20180504122700,446250.0,444999.7258782386
20180504122800,446250.0,445297.09520936006
20180504122900,446000.0,445368.2550936937
20180504123000,445875.0,445169.9882745742
20180504123100,445875.0,445023.39902520174
20180504123200,445625.0,444999.7258782386
20180504123300,446000.0,444801.1557012796
20180504123400,446250.0,445051.54389142984
20180504123500,446375.0,445320.8189159631
20180504123600,446250.0,445467.2901928424
20180504123700,446250.0,445391.9788002967
20180504123800,446375.0,445368.2550936937
20180504123900,446000.0,445467.2901928424
20180504124000,445875.0,445193.6895102262
20180504124100,445749.99999999994,445023.39902520174
20180504124200,445749.99999999994,444900.46606957907
20180504124300,445625.0,444876.80977582926
20180504124400,445749.99999999994,444777.50502526754
20180504124500,445875.0,444853.1478643417
20180504124600,445749.99999999994,444976.04149579996
20180504124700,445875.0,444900.46606957907
20180504124800,445749.99999999994,444976.04149579996
20180504124900,445749.99999999994,444900.46606957907
20180504125000,445875.0,444876.80977582926
20180504125100,445875.0,444976.04149579996
20180504125200,445749.99999999994,444999.7258782386
20180504125300,445374.99999999994,444900.46606957907
20180504125400,445250.0,444578.7101387977
20180504125500,445374.99999999994,444408.4140360355
20180504125600,445250.0,444484.2647314071
20180504125700,444999.99999999994,444408.4140360355
20180504125800,444875.0,444185.74938178057
20180504125900,444624.99999999994,444039.01407122606
20180504130000,444249.99999999994,443816.10223650926
20180504130100,444125.0,443469.6394950151
20180504130200,444375.0,443299.3546277284
20180504130300,444375.0,443475.6223857402
20180504130400,444375.0,443522.564202547
20180504130500,444249.99999999994,443522.564202547
20180504130600,444624.99999999994,443422.70329594606
20180504130700,444249.99999999994,443698.5791623592
20180504130800,443875.00000000006,443469.6394950151
20180504130900,443875.00000000006,443099.3743985891
20180504131000,443875.00000000006,443029.1470587253
20180504131100,444249.99999999994,443029.1470587253
20180504131200,444375.0,443328.9095461368
20180504131300,444000.0,443499.0932941436
20180504131400,443875.00000000006,443222.8241860866
20180504131500,443750.0,443052.5561720132
20180504131600,443750.0,442929.1063845157
20180504131700,443875.00000000006,442905.7141244411
20180504131800,444249.99999999994,443005.74356317514
20180504131900,444249.99999999994,443328.9095461368
20180504132000,444500.0,443399.25485849375
20180504132100,444750.0,443598.86431694025
20180504132200,444750.0,443845.24706006044
20180504132300,444875.0,443892.2899961471
20180504132400,444875.0,443991.9374287128
20180504132500,444875.0,444015.47013223165
20180504132600,444875.0,444015.47013223165
20180504132700,444875.0,444015.47013223165
20180504132800,444875.0,444015.47013223165
20180504132900,444750.0,444015.47013223165
20180504133000,444875.0,443915.8170819282
20180504133100,444875.0,443991.9374287128
20180504133200,444875.0,444015.47013223165
20180504133300,445374.99999999994,444015.47013223165
20180504133400,445749.99999999994,444413.47000002855
20180504133500,445749.99999999994,444805.85213005537
20180504133600,445749.99999999994,444876.80977582926
20180504133700,445125.0,444876.80977582926
20180504133800,444249.99999999994,444379.668071866
20180504133900,444375.0,443563.5512173175
20180504134000,444249.99999999994,443499.0932941436
20180504134100,444375.0,443422.70329594606
20180504134200,444375.0,443499.0932941436
20180504134300,444500.0,443522.564202547
20180504134400,444500.0,443622.3464608192
20180504134500,444375.0,443645.8342224359
20180504134600,444375.0,443546.0351109504
20180504134700,444125.0,443522.564202547
20180504134800,444500.0,443322.79744744295
20180504134900,444875.0,443575.39340853685
20180504135000,444875.0,443944.8664039373
20180504135100,444875.0,444015.47013223165
20180504135200,444875.0,444015.47013223165
20180504135300,444750.0,444015.47013223165
20180504135400,444750.0,443915.8170819282
20180504135500,444750.0,443892.2899961471
20180504135600,444750.0,443892.2899961471
20180504135700,444875.0,443892.2899961471
20180504135800,444750.0,443991.9374287128
20180504135900,444624.99999999994,443915.8170819282
20180504140000,444875.0,443792.5863862037
20180504140100,444624.99999999994,443968.39910745615
20180504140200,444875.0,443816.10223650926
20180504140300,444875.0,443968.39910745615
20180504140400,444875.0,444015.47013223165
20180504140500,444875.0,444015.47013223165
20180504140600,444875.0,444015.47013223165
20180504140700,444750.0,444015.47013223165
20180504140800,444999.99999999994,443915.8170819282
20180504140900,445125.0,444091.5062129497
20180504141000,445250.0,444238.1684929132
20180504141100,445125.0,444361.2250387668
20180504141200,445125.0,444285.3181660175
20180504141300,445250.0,444261.7349028587
20180504141400,445125.0,444361.2250387668
20180504141500,445125.0,444285.3181660175
20180504141600,445250.0,444261.7349028587
20180504141700,445374.99999999994,444361.2250387668
20180504141800,445374.99999999994,444484.2647314071
20180504141900,445500.0,444507.8648477792
20180504142000,445500.0,444607.25948214525
20180504142100,445250.0,444630.88206946844
20180504142200,445374.99999999994,444432.0085346698
20180504142300,445250.0,444484.2647314071
20180504142400,445625.0,444408.4140360355
20180504142500,445749.99999999994,444682.9528808593
20180504142600,446000.0,444853.1478643417
20180504142700,445625.0,445075.2282738685
20180504142800,445749.99999999994,444824.8119950294
20180504142900,446000.0,444853.1478643417
20180504143000,446000.0,445075.2282738685
20180504143100,445749.99999999994,445122.60827422136
20180504143200,445875.0,444924.1335988044
20180504143300,445875.0,444976.04149579996
20180504143400,445875.0,444999.7258782386
20180504143500,446000.0,444999.7258782386
20180504143600,446375.0,445098.91265630716
20180504143700,446250.0,445419.8315441608
20180504143800,445500.0,445391.9788002967
20180504143900,445500.0,444772.7243304252
20180504144000,445749.99999999994,444630.88206946844
20180504144100,445500.0,444829.49718832964
20180504144200,445374.99999999994,444678.1440973281
20180504144300,445250.0,444531.48181736463
20180504144400,444999.99999999994,444408.4140360355
20180504144500,444875.0,444185.74938178057
20180504144600,444875.0,444039.01407122606
20180504144700,444750.0,444015.47013223165
20180504144800,444624.99999999994,443915.8170819282
20180504144900,444750.0,443792.5863862037
20180504145000,445374.99999999994,443868.77414584154
20180504145100,445749.99999999994,444389.8755013942
20180504145200,445625.0,444805.85213005537
20180504145300,445500.0,444777.50502526754
20180504145400,445125.0,444654.51589226717
20180504145500,445374.99999999994,444332.4790745973
20180504145600,444999.99999999994,444460.6589972972
20180504145700,444875.0,444209.31579172605
20180504145800,444750.0,444039.01407122606
20180504145900,444750.0,443915.8170819282
20180504150000,444875.0,443892.2899961471
20180504150100,444875.0,443991.9374287128
20180504150200,444875.0,444015.47013223165
20180504150300,444875.0,444015.47013223165
20180504150400,444875.0,444015.47013223165
20180504150500,444999.99999999994,444015.47013223165
20180504150600,445374.99999999994,444115.0557696819
20180504150700,445374.99999999994,444437.05326318735
20180504150800,445374.99999999994,444507.8648477792
20180504150900,445125.0,444507.8648477792
20180504151000,444624.99999999994,444308.89019370073
20180504151100,444875.0,443863.1451725959
20180504151200,444875.0,443968.39910745615
20180504151300,444875.0,444015.47013223165
20180504151400,444750.0,444015.47013223165
20180504151500,444750.0,443915.8170819282
20180504151600,444624.99999999994,443892.2899961471
20180504151700,444624.99999999994,443792.5863862037
20180504151800,444875.0,443769.0817713737
20180504151900,445125.0,443968.39910745615
20180504153000,443500.00000000006,444214.59084749216
20180504153500,443500.00000000006,442962.70607411856
20180508090000,445250.0,442658.7696075439
20180508090100,443500.00000000006,444054.9628287553
20180508090200,439874.99999999994,442986.10395193094
20180508090300,435625.0,439729.2654216289
20180508090400,436500.00000000006,435585.7287794351
20180508090500,438500.0,435549.97187852854
20180508090600,438125.0,437338.12028169626
20180508090700,437750.0,437392.55616068834
20180508090800,437000.0,437018.8249200582
20180508090900,436000.0,436337.9213958978
20180508091000,435875.0,435383.74301791185
20180508091100,436000.0,435103.90102863306
20180508091200,436125.00000000006,435184.39759314054
20180508091300,435750.00000000006,435309.10575389856
20180508091400,436500.00000000006,435023.320198059
20180508091500,437750.0,435572.1563249826
20180508091600,436375.0,436727.4160087108
20180508091700,434750.0,435825.17361640924
20180508091800,434500.0,434243.89278888697
20180508091900,434125.0,433752.6777982711
20180508092000,434125.0,433399.7265696525
20180508092100,433249.99999999994,433334.33610200876
20180508092200,432250.0,432611.5242540836
20180508092300,432750.0,431632.0772916078
20180508092400,433249.99999999994,431874.11190569395
20180508092500,432750.0,432373.5119402408
20180508092600,432750.0,432046.3966876268
