datetime,original,predicted
20180504090200,62100.0,61925.48732757568
20180504090300,62150.0,61913.137874007225
20180504090400,62425.0,61954.271149635315
20180504090500,62625.0,62154.104804992676
20180504090600,62500.0,62356.16746544838
20180504090800,62600.0,62329.21085357666
20180504090900,62750.0,62359.8926782608
20180504091000,62925.0,62480.2388638258
20180504091100,62850.0,62628.35673093796
20180504091200,62625.0,62626.83565020561
20180504091300,62650.0,62466.573053598404
20180504091400,62850.0,62423.89478087425
20180504091500,62850.0,62555.76769709587
20180504091600,62750.0,62607.46339559555
20180504091700,62650.0,62544.997680187225
20180504091800,62650.0,62456.34545981884
20180504091900,62625.0,62430.38663864136
20180504092000,62575.0,62414.64775800705
20180504092100,62500.0,62376.62073969841
20180504092200,62475.0,62316.187915205956
20180504092300,62475.0,62280.79743683338
20180504092400,62475.0,62274.27974939346
20180504092500,62575.0,62274.27974939346
20180504092600,62575.0,62337.59880065918
20180504092700,62650.0,62363.61789107323
20180504092800,62500.0,62410.91106534004
20180504092900,62550.0,62335.72184443474
20180504093000,62525.0,62328.30011844635
20180504093100,62525.0,62325.50381720066
20180504093200,62500.0,62318.991869688034
20180504093300,62575.0,62303.161150217056
20180504093400,62550.0,62344.105008244514
20180504093500,62600.0,62347.821611166
20180504093600,62750.0,62372.895526885986
20180504093700,62750.0,62480.2388638258
20180504093800,62675.0,62519.1048681736
20180504093900,62650.0,62472.05659747124
20180504094000,62600.0,62436.87849640846
20180504094100,62575.0,62398.89070093632
20180504094200,62550.0,62370.12027204037
20180504094300,62550.0,62347.821611166
20180504094400,62650.0,62341.315403580666
20180504094500,62500.0,62404.41729426384
20180504094600,62475.0,62335.72184443474
20180504094700,62425.0,62280.79743683338
20180504094800,62400.0,62242.53029823303
20180504094900,62425.0,62213.57619166374
20180504095000,62450.0,62222.95140624046
20180504095100,62450.0,62245.366778969765
20180504095200,62425.0,62251.890206336975
20180504095300,62400.0,62236.004000902176
20180504095400,62425.0,62213.57619166374
20180504095500,62425.0,62222.95140624046
20180504095600,62350.0,62229.47961688042
20180504095700,62375.0,62181.72342181206
20180504095800,62375.0,62178.05560827255
20180504095900,62350.0,62184.5895588398
20180504100000,62300.0,62168.65073740482
20180504100100,62350.0,62128.63674759865
20180504100200,62425.0,62147.62825369835
20180504100300,62425.0,62209.894984960556
20180504100400,62450.0,62229.47961688042
20180504100500,62425.0,62245.366778969765
20180504100600,62450.0,62236.004000902176
20180504100700,62425.0,62245.366778969765
20180504100800,62400.0,62236.004000902176
20180504100900,62425.0,62213.57619166374
20180504101000,62425.0,62222.95140624046
20180504101100,62400.0,62229.47961688042
20180504101200,62450.0,62213.57619166374
20180504101300,62425.0,62238.843351602554
20180504101400,62425.0,62236.004000902176
20180504101500,62450.0,62229.47961688042
20180504101600,62400.0,62245.366778969765
20180504101700,62450.0,62220.104402303696
20180504101800,62450.0,62238.843351602554
20180504101900,62400.0,62251.890206336975
20180504102000,62450.0,62220.104402303696
20180504102100,62425.0,62238.843351602554
20180504102200,62400.0,62236.004000902176
20180504102300,62425.0,62213.57619166374
20180504102400,62425.0,62222.95140624046
20180504102500,62425.0,62229.47961688042
20180504102600,62425.0,62229.47961688042
20180504102700,62450.0,62229.47961688042
20180504102800,62450.0,62245.366778969765
20180504102900,62475.0,62251.890206336975
20180504103000,62450.0,62267.761105298996
20180504103100,62425.0,62258.41267704964
20180504103200,62400.0,62236.004000902176
20180504103300,62325.0,62213.57619166374
20180504103400,62350.0,62159.23438668251
20180504103500,62275.0,62154.94857430458
20180504103600,62225.0,62111.80345416069
20180504103700,62275.0,62056.14050924778
20180504103800,62250.0,62075.20376443863
20180504103900,62250.0,62072.997719049454
20180504104000,62225.0,62065.67739844322
20180504104100,62275.0,62048.8211452961
20180504104200,62300.0,62075.20376443863
20180504104300,62350.0,62106.673872470856
20180504104400,62350.0,62147.62825369835
20180504104500,62300.0,62162.112003564835
20180504104600,62350.0,62128.63674759865
20180504104700,62325.0,62147.62825369835
20180504104800,62375.0,62145.45760452747
20180504104900,62425.0,62171.51974439621
20180504105000,62450.0,62216.42415225506
20180504105100,62475.0,62245.366778969765
20180504105200,62425.0,62267.761105298996
20180504105300,62425.0,62242.53029823303
20180504105400,62425.0,62229.47961688042
20180504105500,62425.0,62229.47961688042
20180504105600,62425.0,62229.47961688042
20180504105700,62350.0,62229.47961688042
20180504105800,62350.0,62181.72342181206
20180504105900,62325.0,62162.112003564835
20180504110000,62300.0,62145.45760452747
20180504110100,62275.0,62121.31451368332
20180504110200,62275.0,62097.16281294823
20180504110300,62275.0,62089.842492341995
20180504110400,62300.0,62089.842492341995
20180504110500,62275.0,62106.673872470856
20180504110600,62275.0,62097.16281294823
20180504110700,62275.0,62089.842492341995
20180504110800,62250.0,62089.842492341995
20180504110900,62225.0,62072.997719049454
20180504111000,62250.0,62048.8211452961
20180504111100,62225.0,62058.35707783699
20180504111200,62225.0,62048.8211452961
20180504111300,62200.0,62041.500824689865
20180504111400,62225.0,62024.634048342705
20180504111500,62250.0,62034.18146073818
20180504111600,62250.0,62058.35707783699
20180504111700,62200.0,62065.67739844322
20180504111800,62225.0,62031.95341229439
20180504111900,62225.0,62034.18146073818
20180504112000,62275.0,62041.500824689865
20180504112100,62275.0,62075.20376443863
20180504112200,62275.0,62089.842492341995
20180504112300,62225.0,62089.842492341995
20180504112400,62225.0,62056.14050924778
