datetime,original,predicted
20180504090200,241250.0,239690.9455806017
20180504090300,241000.0,240754.1752010584
20180504090400,240250.0,241039.1277819872
20180504090500,240750.0,240450.95373690128
20180504090600,241375.0,240564.99291956425
20180504090700,241750.0,241142.66760647297
20180504090800,241750.0,241587.27504312992
20180504090900,241875.0,241701.17692649364
20180504091000,242125.0,241786.00366413593
20180504091100,242375.0,241993.44271421432
20180504091200,242250.0,242238.622918725
20180504091300,242500.0,242229.98113930225
20180504091400,242500.0,242361.1181229353
20180504091500,242750.0,242437.06886470318
20180504091600,242875.0,242605.93084990978
20180504091700,242250.0,242766.22374355793
20180504091800,241625.0,242381.92300498486
20180504091900,241625.0,241768.21532845497
20180504092000,241500.0,241578.31828296185
20180504092100,241500.0,241493.37847530842
20180504092200,241500.0,241455.41118085384
20180504092300,241625.0,241455.41118085384
20180504092400,241625.0,241540.35906493664
20180504092500,241375.0,241578.31828296185
20180504092600,241750.0,241408.3861708641
20180504092700,241750.0,241587.27504312992
20180504092800,241875.0,241701.17692649364
20180504092900,241875.0,241786.00366413593
20180504093000,241875.0,241823.9709585905
20180504093100,241750.0,241823.9709585905
20180504093200,241625.0,241739.1482591629
20180504093300,241750.0,241616.2936538458
20180504093400,241625.0,241663.2055938244
20180504093500,241625.0,241616.2936538458
20180504093600,241750.0,241578.31828296185
20180504093700,241750.0,241663.2055938244
20180504093800,241750.0,241701.17692649364
20180504093900,241750.0,241701.17692649364
20180504094000,241625.0,241701.17692649364
20180504094100,242250.0,241616.2936538458
20180504094200,243750.0,242002.1773725748
20180504094300,243875.0,243203.198954463
20180504094400,243875.0,243742.52271652222
20180504094500,243625.0,243780.49404919147
20180504094600,243625.0,243612.76276409626
20180504094700,243625.0,243536.803945899
20180504094800,243750.0,243536.803945899
20180504094900,243750.0,243620.70189416409
20180504095000,243625.0,243658.67726504803
20180504095100,243750.0,243574.77527856827
20180504095200,243750.0,243620.70189416409
20180504095300,243125.0,243658.67726504803
20180504095400,242625.0,243238.57775330544
20180504095500,242750.0,242711.44132316113
20180504095600,242750.0,242643.90622079372
20180504095700,242875.0,242681.88159167767
20180504095800,243250.0,242766.22374355793
20180504095900,243250.0,243056.86213076115
20180504100000,243250.0,243170.78824341297
20180504100100,243250.0,243170.78824341297
20180504100200,243250.0,243170.78824341297
20180504100300,243250.0,243170.78824341297
20180504100400,243125.0,243170.78824341297
20180504100500,242750.0,243086.63184940815
