datetime,original,predicted
20180504090200,61125.0,61259.64185073972
20180504090300,61800.0,61007.48495981097
20180504090400,62499.99999999999,61500.25099366903
20180504090500,62675.0,62189.654333889484
20180504090600,62575.0,62465.44865742326
20180504090700,62950.0,62419.769613444805
20180504090800,62825.0,62699.26752746105
20180504090900,62675.0,62672.47058302164
20180504091000,62625.0,62528.61533164978
20180504091100,62925.0,62459.61801931262
20180504091200,63050.0,62689.05427157879
20180504091300,63225.0,62847.02986329794
20180504091400,63425.0,63010.88964417577
20180504091500,63550.0,63204.43598404527
20180504091600,63350.0,63343.00896003842
20180504091700,63000.0,63207.655473053455
20180504091800,62825.0,62889.64364528656
20180504091900,62850.0,62682.17617496848
20180504092000,62925.0,62668.12437996268
20180504092100,62775.0,62732.78191536665
20180504092200,62499.99999999999,62627.75117382407
20180504092300,62600.00000000001,62379.43282201886
20180504092400,62575.0,62405.674977600574
20180504092500,62450.0,62405.19087612629
20180504092600,62450.0,62300.72563365102
20180504092700,62400.0,62276.419883966446
20180504092800,62400.0,62236.58218830824
20180504092900,62525.0,62226.85517594218
20180504093000,62775.0,62326.45369917154
20180504093100,62725.0,62550.02289861441
20180504093200,62775.0,62558.758145570755
20180504093300,62800.0,62588.90095949173
20180504093400,62525.0,62618.54681968689
20180504093500,62350.0,62404.20982092619
20180504093600,62425.0,62211.333940178156
20180504093700,62475.0,62237.04486936331
20180504093800,62425.0,62291.47415459156
20180504093900,62475.0,62261.36347129941
20180504094000,62625.0,62291.47415459156
20180504094100,62625.0,62420.735674351454
20180504094200,62475.0,62449.90171715617
20180504094300,62325.0,62330.36506772041
20180504094400,62250.0,62181.69450610876
20180504094500,62300.0,62092.774061858654
20180504094600,62325.0,62118.00303161144
20180504094700,62400.0,62147.6488918066
20180504094800,62450.0,62212.26358637214
20180504094900,62375.0,62266.69287160039
20180504095000,62350.0,62216.66548252106
20180504095100,62475.0,62182.15932920575
20180504095200,62425.0,62276.882565021515
20180504095300,62225.0,62261.36347129941
20180504095400,62000.0,62092.31994897127
20180504095500,62025.0,61874.236518889666
20180504095600,61925.0,61850.3077685833
20180504095700,61925.0,61775.57406798005
20180504095800,62025.0,61756.07934445143
20180504095900,62100.0,61835.68619042635
20180504100000,62150.0,61914.89461660385
20180504100100,62125.0,61969.323901832104
20180504100200,62050.0,61959.15348678827
20180504100300,61850.0,61894.56663876772
20180504100400,61724.99999999999,61720.75064703822
20180504100500,61775.0,61582.284773141146
20180504100600,61825.00000000001,61597.675344347954
20180504100700,62000.0,61647.225058078766
20180504100800,62125.0,61796.276903152466
20180504100900,62175.0,61929.92746680975
20180504101000,62125.0,61994.10090073943
20180504101100,62025.0,61964.02449011803
20180504101200,62025.0,61874.66278523207
