datetime,original,predicted
20180504090200,262250.0,261396.87218517065
20180504090300,262875.0,261302.31550335884
20180504090400,263500.0,261746.3842779398
20180504090500,263500.0,262361.9839772582
20180504090600,263250.0,262505.28252869844
20180504090700,263250.0,262316.2696361542
20180504090800,262500.0,262258.95423442125
20180504090900,261875.0,261691.70121848583
20180504091000,260750.00000000003,261047.17254638672
20180504091100,259624.99999999997,260052.7834817767
20180504091200,258874.99999999997,258944.1922903061
20180504091300,259375.0,258119.86057460308
20180504091400,260375.0,258327.98976451159
20180504091500,260250.0,259198.91326874495
20180504091600,259749.99999999997,259332.10442960262
20180504091700,259250.0,258924.98891800642
20180504091800,258500.0,258432.41270631552
20180504091900,258125.00000000003,257750.40162354708
20180504092000,258749.99999999997,257295.7097068429
20180504092100,259375.0,257684.0438246727
20180504092200,259250.0,258299.55644905567
20180504092300,259500.0,258347.079269588
20180504092400,259500.0,258507.98035413027
20180504092500,259500.0,258564.88047540188
20180504092600,259624.99999999997,258564.88047540188
20180504092700,259624.99999999997,258659.544326365
20180504092800,259875.00000000003,258687.99773603678
20180504092900,259624.99999999997,258877.31873989105
20180504093000,259000.00000000003,258744.91795152426
20180504093100,258500.0,258214.56461399794
20180504093200,258250.0,257693.55508685112
20180504093300,258500.0,257390.44053852558
20180504093400,258749.99999999997,257523.055665195
20180504093500,258749.99999999997,257769.29688453674
20180504093600,258625.0,257826.13672316074
20180504093700,258749.99999999997,257731.4326837659
20180504093800,258749.99999999997,257797.71680384874
20180504093900,258500.0,257826.13672316074
20180504094000,258250.0,257636.72194629908
20180504094100,257750.0,257390.44053852558
20180504094200,257625.0,256954.6706750989
20180504094300,257625.0,256746.34724110365
20180504094400,257625.0,256717.96081215143
20180504094500,257500.0,256717.96081215143
20180504094600,257125.00000000003,256623.20988625288
20180504094700,256875.0,256310.53049117327
20180504094800,256875.0,256035.84925830364
20180504094900,257625.0,255979.10319268703
20180504095000,258250.0,256547.64223843813
20180504095100,258500.0,257191.6082724929
20180504095200,258375.0,257523.055665195
20180504095300,258125.00000000003,257485.1646721363
20180504095400,258125.00000000003,257267.3031836748
20180504095500,258250.0,257210.49013733864
20180504095600,258625.0,257305.22096902132
20180504095700,259125.0,257617.75970458984
20180504095800,259375.0,258081.7820355296
20180504095900,259500.0,258384.86979156733
20180504100000,259375.0,258536.43376380205
20180504100100,259749.99999999997,258470.2099263668
20180504100200,259749.99999999997,258725.74806958437
20180504100300,259624.99999999997,258811.12169474363
20180504100400,259749.99999999997,258716.45784378052
20180504100500,259875.00000000003,258782.66828507185
20180504100600,260000.0,258905.78554570675
20180504100700,260125.0,259028.90280634165
20180504100800,260125.0,259152.02006697655
20180504100900,260125.0,259180.4935708642
20180504101000,260250.0,259180.4935708642
20180504101100,260375.0,259275.13732761145
20180504101200,260375.0,259398.25458824635
20180504101300,260250.0,259426.7414882779
20180504101400,260750.00000000003,259332.10442960262
20180504101500,261375.0,259682.11217969656
20180504101600,261625.00000000003,260269.10441368818
20180504101700,261499.99999999997,260600.94029456377
20180504101800,261375.0,260563.44448775053
20180504101900,260875.0,260440.30713289976
20180504102000,260624.99999999997,260033.31888467073
20180504102100,260499.99999999997,259729.99669611454
20180504102200,260125.0,259578.36574316025
20180504102300,260250.0,259265.940874815
20180504102400,260125.0,259275.13732761145
20180504102500,260125.0,259208.9737728238
20180504102600,260125.0,259180.4935708642
20180504102700,259875.00000000003,259180.4935708642
20180504102800,259624.99999999997,258991.18596315384
20180504102900,259749.99999999997,258744.91795152426
20180504103000,259749.99999999997,258782.66828507185
20180504103100,259875.00000000003,258811.12169474363
20180504103200,259624.99999999997,258905.78554570675
20180504103300,259624.99999999997,258744.91795152426
20180504103400,259624.99999999997,258687.99773603678
20180504103500,259749.99999999997,258687.99773603678
20180504103600,259749.99999999997,258782.66828507185
20180504103700,259749.99999999997,258811.12169474363
20180504103800,259624.99999999997,258811.12169474363
20180504103900,259500.0,258716.45784378052
20180504104000,259624.99999999997,258593.3271870017
20180504104100,259875.00000000003,258659.544326365
20180504104200,259624.99999999997,258877.31873989105
20180504104300,259125.0,258744.91795152426
20180504104400,259375.0,258309.2686533928
20180504104500,259250.0,258384.86979156733
20180504104600,259125.0,258347.079269588
20180504104700,259250.0,258223.94861280918
20180504104800,259250.0,258290.1925444603
20180504104900,259250.0,258318.63255798817
20180504105000,259250.0,258318.63255798817
20180504105100,259000.00000000003,258318.63255798817
20180504105200,258874.99999999997,258129.25127148628
20180504105300,258375.0,257977.6939973235
20180504105400,258250.0,257570.4110339284
20180504105500,258125.00000000003,257362.02731728554
20180504105600,258250.0,257238.89666050673
20180504105700,257874.99999999997,257305.22096902132
20180504105800,258250.0,257049.42160099745
20180504105900,258125.00000000003,257248.4146207571
20180504110000,258125.00000000003,257238.89666050673
20180504110100,258125.00000000003,257210.49013733864
20180504110200,257874.99999999997,257210.49013733864
20180504110300,257750.0,257021.02177590132
20180504110400,257625.0,256869.48459595442
20180504110500,257874.99999999997,256746.34724110365
20180504110600,257625.0,256907.44256973267
20180504110700,257750.0,256774.74036812782
20180504110800,257874.99999999997,256812.70503997803
20180504110900,257750.0,256935.83569675684
20180504111000,257750.0,256869.48459595442
20180504111100,257750.0,256841.09146893024
20180504111200,257874.99999999997,256841.09146893024
20180504111300,257750.0,256935.83569675684
20180504111400,257625.0,256869.48459595442
20180504111500,257375.0,256746.34724110365
20180504111600,256875.0,256528.44556421041
20180504111700,256750.0,256092.59532392025
20180504111800,256750.0,255884.32547450066
20180504111900,256750.0,255855.9591397643
20180504112000,256875.0,255855.9591397643
20180504112100,257375.0,255950.7368579507
20180504112200,257250.00000000003,256358.1604808569
20180504112300,256999.99999999997,256376.91508233547
20180504112400,256999.99999999997,256159.00670737028
20180504112500,257250.00000000003,256102.25394368172
20180504112600,256999.99999999997,256291.7892858386
20180504112700,256875.0,256159.00670737028
20180504112800,256750.0,256007.47622549534
20180504112900,256875.0,255884.32547450066
20180504113000,256875.0,255950.7368579507
20180504113100,256750.0,255979.10319268703
20180504113200,256875.0,255884.32547450066
20180504113300,256750.0,255950.7368579507
20180504113400,256875.0,255884.32547450066
20180504113500,256875.0,255950.7368579507
20180504113600,256625.0,255979.10319268703
20180504113700,256625.0,255789.54105824232
20180504113800,256750.0,255732.80169069767
20180504113900,256750.0,255827.59280502796
20180504114000,256750.0,255855.9591397643
20180504114100,256625.0,255855.9591397643
20180504114200,256750.0,255761.17472350597
20180504114300,257125.00000000003,255827.59280502796
20180504114400,257125.00000000003,256140.27220010757
20180504114500,257125.00000000003,256225.39799660444
20180504114600,257125.00000000003,256225.39799660444
20180504114700,257250.00000000003,256225.39799660444
20180504114800,257125.00000000003,256320.16901671886
20180504114900,257375.0,256253.7777274847
20180504115000,257250.00000000003,256414.91324454546
20180504115100,257375.0,256376.91508233547
