datetime,original,predicted
20180504090200,139875.0,139186.17477416992
20180504090300,139375.0,139150.95926821232
20180504090400,139625.0,138923.06549996138
20180504090500,139750.0,138852.69994437695
20180504090600,139875.0,139028.17326188087
20180504090700,140000.0,139150.95926821232
20180504090800,140250.0,139273.70499372482
20180504090900,139750.0,139466.46381765604
20180504091000,139125.0,139291.50911569595
20180504091100,138750.0,138729.98442947865
20180504091200,138625.0,138255.66771626472
20180504091300,138625.0,138027.19491124153
20180504091400,138500.0,137974.47235435247
20180504091500,138625.0,137904.11686897278
20180504091600,138375.0,137921.75483256578
20180504091700,137750.0,137833.74627828598
20180504091800,137875.0,137376.0756134987
20180504091900,137750.0,137182.80824422836
20180504092000,138125.0,137165.04943817854
20180504092100,138125.0,137323.7608999014
20180504092200,138250.0,137481.97892159224
20180504092300,138500.0,137552.40993350744
20180504092400,138250.0,137745.94416320324
20180504092500,138250.0,137710.6128498912
20180504092600,138625.0,137605.14256060123
20180504092700,138750.0,137816.3197889924
20180504092800,138750.0,138044.80266422033
20180504092900,138500.0,138097.5252211094
20180504093000,138375.0,137956.8444609642
20180504093100,138375.0,137781.00861608982
20180504093200,138250.0,137728.2810240984
20180504093300,138250.0,137657.8802227974
20180504093400,138250.0,137605.14256060123
20180504093500,138375.0,137605.14256060123
20180504093600,138250.0,137675.55343210697
20180504093700,138125.0,137657.8802227974
20180504093800,138125.0,137534.71154868603
20180504093900,138125.0,137481.97892159224
20180504094000,138000.0,137481.97892159224
20180504094100,137750.0,137411.5227341652
20180504094200,137750.0,137217.80724078417
20180504094300,137625.0,137112.30674088
20180504094400,137875.0,137041.78006201982
20180504094500,137875.0,137130.0554767251
20180504094600,138125.0,137235.55597662926
20180504094700,138250.0,137376.49856209755
20180504094800,138250.0,137552.40993350744
20180504094900,138250.0,137605.14256060123
20180504095000,138250.0,137605.14256060123
20180504095100,138375.0,137605.14256060123
20180504095200,138375.0,137675.55343210697
20180504095300,138250.0,137728.2810240984
20180504095400,138250.0,137657.8802227974
20180504095500,138250.0,137605.14256060123
20180504095600,138125.0,137605.14256060123
20180504095700,137750.0,137534.71154868603
20180504095800,137625.0,137270.57007849216
20180504095900,137750.0,137041.78006201982
20180504100000,137750.0,137059.55397337675
20180504100100,137625.0,137112.30674088
20180504100200,137750.0,137041.78006201982
20180504100300,137750.0,137059.55397337675
20180504100400,137875.0,137112.30674088
20180504100500,137625.0,137182.80824422836
20180504100600,137625.0,137094.54289972782
20180504100700,137750.0,136989.02729451656
20180504100800,137625.0,137059.55397337675
20180504100900,137750.0,137041.78006201982
20180504101000,137750.0,137059.55397337675
20180504101100,137875.0,137112.30674088
20180504101200,137750.0,137182.80824422836
20180504101300,137500.0,137165.04943817854
20180504101400,137625.0,136971.23827785254
20180504101500,137750.0,136936.2594217062
20180504101600,137750.0,137059.55397337675
20180504101700,137875.0,137112.30674088
20180504101800,138000.0,137182.80824422836
20180504101900,138250.0,137306.03733956814
20180504102000,138375.0,137499.67730641365
20180504102100,138875.0,137675.55343210697
20180504102200,138750.0,138009.71807092428
20180504102300,138875.0,138150.24274289608
20180504102400,138750.0,138167.8454607725
20180504102500,138625.0,138150.24274289608
20180504102600,138750.0,138027.19491124153
20180504102700,138875.0,138044.80266422033
20180504102800,138875.0,138167.8454607725
20180504102900,138750.0,138220.54284214973
20180504103000,138750.0,138150.24274289608
20180504103100,138625.0,138097.5252211094
20180504103200,138750.0,138027.19491124153
20180504103300,138875.0,138044.80266422033
20180504103400,138750.0,138167.8454607725
20180504103500,139000.0,138150.24274289608
20180504103600,138625.0,138238.13548982143
20180504103700,138750.0,138132.62491971254
20180504103800,138750.0,138044.80266422033
20180504103900,139000.0,138097.5252211094
20180504104000,139375.0,138238.13548982143
20180504104100,139250.0,138554.27949726582
20180504104200,139500.0,138642.1218931675
20180504104300,139750.0,138729.84344661236
20180504104400,139500.0,138975.50609111786
20180504104500,139250.0,138940.55241048336
20180504104600,139250.0,138694.8041692376
20180504104700,139125.0,138589.42954689264
20180504104800,139375.0,138519.19490396976
20180504104900,139375.0,138606.96177333593
20180504105000,139250.0,138712.33136057854
20180504105100,139250.0,138642.1218931675
20180504105200,139125.0,138589.42954689264
20180504105300,139125.0,138519.19490396976
20180504105400,139250.0,138466.49752259254
20180504105500,139375.0,138536.7372006178
20180504105600,139125.0,138659.63901430368
20180504105700,139375.0,138571.89228534698
20180504105800,139250.0,138606.96177333593
20180504105900,139125.0,138642.1218931675
20180504110000,139125.0,138519.19490396976
20180504110100,139250.0,138466.49752259254
20180504110200,139375.0,138536.7372006178
20180504110300,139375.0,138659.63901430368
20180504110400,139375.0,138712.33136057854
20180504110500,139375.0,138712.33136057854
20180504110600,139000.0,138712.33136057854
20180504110700,138625.0,138501.64757221937
20180504110800,138625.0,138132.62491971254
20180504110900,138625.0,137974.47235435247
20180504111000,138625.0,137974.47235435247
20180504111100,138875.0,137974.47235435247
20180504111200,138750.0,138115.1329740882
20180504111300,138750.0,138150.24274289608
20180504111400,138750.0,138097.5252211094
20180504111500,138750.0,138097.5252211094
20180504111600,138875.0,138097.5252211094
20180504111700,138625.0,138167.8454607725
20180504111800,138625.0,138079.9174681306
20180504111900,138750.0,137974.47235435247
20180504112000,138750.0,138044.80266422033
20180504112100,138750.0,138097.5252211094
20180504112200,138750.0,138097.5252211094
20180504112300,138875.0,138097.5252211094
20180504112400,138625.0,138167.8454607725
20180504112500,138750.0,138079.9174681306
20180504112600,138875.0,138044.80266422033
20180504112700,138625.0,138167.8454607725
20180504112800,138750.0,138079.9174681306
20180504112900,138750.0,138044.80266422033
20180504113000,138625.0,138097.5252211094
20180504113100,138750.0,138027.19491124153
20180504113200,138750.0,138044.80266422033
20180504113300,138625.0,138097.5252211094
20180504113400,138750.0,138027.19491124153
20180504113500,138625.0,138044.80266422033
20180504113600,137750.0,138027.19491124153
20180504113700,137250.0,137481.59121870995
20180504113800,137125.0,136830.10939359665
20180504113900,137125.0,136548.4054863453
20180504114000,137125.0,136495.6275433302
20180504114100,137125.0,136495.6275433302
20180504114200,137125.0,136495.6275433302
20180504114300,137125.0,136495.6275433302
20180504114400,137125.0,136495.6275433302
20180504114500,137125.0,136495.6275433302
20180504114600,137250.0,136495.6275433302
20180504114700,137250.0,136566.244854033
20180504114800,137250.0,136619.01776194572
20180504114900,137250.0,136619.01776194572
20180504115000,137125.0,136619.01776194572
20180504115100,137250.0,136548.4054863453
20180504115200,137250.0,136566.244854033
20180504115300,137250.0,136619.01776194572
20180504115400,137250.0,136619.01776194572
20180504115500,137250.0,136619.01776194572
20180504115600,137250.0,136619.01776194572
20180504115700,137250.0,136619.01776194572
20180504115800,137250.0,136619.01776194572
20180504115900,137125.0,136619.01776194572
20180504120000,137375.0,136548.4054863453
20180504120100,137250.0,136636.84202432632
20180504120200,137250.0,136671.7856347561
20180504120300,137250.0,136619.01776194572
20180504120400,137375.0,136619.01776194572
20180504120500,137250.0,136689.61996734142
20180504120600,137250.0,136671.7856347561
20180504120700,137250.0,136619.01776194572
20180504120800,137125.0,136619.01776194572
20180504120900,137250.0,136548.4054863453
20180504121000,137250.0,136566.244854033
20180504121100,137125.0,136619.01776194572
20180504121200,137125.0,136548.4054863453
20180504121300,137250.0,136495.6275433302
20180504121400,137375.0,136566.244854033
20180504121500,137250.0,136689.61996734142
