datetime,original,predicted
20180504090200,89075.0,88983.18151533605
20180504090300,89050.00000000001,88870.73234021665
20180504090400,89200.0,88830.73079288007
20180504090500,89524.99999999999,88925.95196068288
20180504090600,89775.0,89194.04032528402
20180504090700,89875.0,89464.042198658
20180504090800,89750.0,89608.85602831842
20180504090900,89550.0,89554.3413847685
20180504091000,89500.0,89379.41711246969
20180504091100,89400.0,89283.96666646005
20180504091200,89450.0,89200.27583539487
20180504091300,89850.0,89203.89285981657
20180504091400,89900.0,89492.17484891416
20180504091500,89875.0,89648.91543090345
20180504091600,89650.0,89647.24619984628
20180504091700,89250.0,89486.08933389188
20180504091800,89175.0,89143.45341026784
20180504091900,89200.0,88969.80195343496
20180504092000,89150.0,88964.05928432943
20180504092100,89150.0,88937.41158545019
20180504092200,89250.0,88922.16779887678
20180504092300,89200.0,88990.6834125519
20180504092400,89200.0,88986.93782091142
20180504092500,89225.0,88971.68332040311
20180504092600,89300.0,88988.81275951864
20180504092700,89250.0,89047.8036850691
20180504092800,89250.0,89036.45548522474
20180504092900,89250.0,89021.19455635549
20180504093000,89150.0,89021.19455635549
20180504093100,89150.0,88952.66394317152
20180504093200,89200.0,88922.16779887678
20180504093300,89150.0,88956.43310546876
20180504093400,89150.0,88937.41158545019
20180504093500,89150.0,88922.16779887678
20180504093600,89150.0,88922.16779887678
20180504093700,89125.0,88922.16779887678
20180504093800,89150.0,88905.02550303937
20180504093900,89175.0,88914.54376280309
20180504094100,89150.0,88939.30152356626
20180504094200,89150.0,88929.7875493765
20180504094300,89150.0,88922.16779887678
20180504094400,89150.0,88922.16779887678
20180504094500,89125.0,88922.16779887678
20180504094600,89025.0,88905.02550303937
20180504094700,89025.0,88828.80657017232
20180504094800,89025.0,88798.3511388302
20180504094900,89025.0,88798.3511388302
20180504095000,89075.0,88798.3511388302
20180504095100,89000.0,88832.65501558782
20180504095200,88850.0,88796.41620218755
20180504095300,88800.0,88670.55746614934
20180504095400,88725.0,88590.58865606786
20180504095500,88750.0,88523.8279849291
20180504095600,88725.0,88518.2610243559
20180504095700,88725.0,88508.65276753904
20180504095800,88775.0,88501.06730163099
20180504095900,88750.0,88535.45046150686
20180504100000,88750.0,88533.43624174596
20180504100100,88875.0,88525.84649026395
20180504100200,88900.0,88611.75939142705
20180504100300,88825.0,88666.90615713598
20180504100400,88925.0,88622.97045290472
20180504100500,88925.0,88668.87752115728
20180504100600,88925.0,88699.27509725095
20180504100700,88925.0,88699.27509725095
20180504100800,89100.0,88699.27509725095
20180504100900,89150.0,88819.35687959196
20180504101000,89225.0,88906.92615509035
20180504101100,89225.0,88973.56254458429
20180504101200,89175.0,88996.44108116628
