datetime,original,predicted
20180504090200,61900.0,62123.187094181776
20180504090300,62375.0,61932.634833455086
20180504090400,62175.0,62285.714729875326
20180504090500,62025.0,62228.950525820255
20180504090600,62275.0,62068.38966831565
20180504090700,62350.0,62233.371717482805
20180504090800,62400.0,62345.69072723389
20180504090900,62500.0,62401.010881364346
20180504091000,62450.0,62490.51474034786
20180504091100,62500.0,62472.083593159914
20180504091200,62425.0,62501.038444042206
20180504091300,62450.0,62452.3576721549
20180504091400,62500.0,62456.29699006677
20180504091500,62474.99999999999,62501.038444042206
20180504091600,62200.0,62491.814751923084
20180504091700,62050.0,62269.79037374258
20180504091800,62125.0,62093.38686913252
20180504091900,62250.0,62120.40427327156
20180504092000,62350.0,62234.949854016304
20180504092100,62275.0,62340.39587751031
20180504092200,62300.0,62302.42055952549
20180504092300,62250.0,62306.24621808529
20180504092400,62250.0,62272.12536633015
20180504092500,62275.0,62261.51890605688
20180504092600,62275.0,62281.22963756323
20180504092700,62275.0,62286.53182014823
20180504092800,62250.0,62286.53182014823
20180504092900,62300.0,62266.82370752096
20180504093000,62250.0,62300.94665437937
20180504093100,62250.0,62272.12536633015
20180504093200,62275.0,62261.51890605688
20180504093300,62275.0,62281.22963756323
20180504093400,62300.0,62286.53182014823
20180504093500,62275.0,62306.24621808529
20180504093600,62300.0,62291.830860078335
20180504093700,62250.0,62306.24621808529
20180504093800,62250.0,62272.12536633015
20180504093900,62050.0,62261.51890605688
20180504094000,62050.0,62104.04465943575
20180504094100,62050.0,62061.3370269537
20180504094200,62075.0,62061.3370269537
20180504094300,62100.0,62081.020522117615
20180504094400,62225.0,62106.053863465786
20180504094500,62175.0,62209.90656092763
20180504094600,62175.0,62197.10600376129
20180504094700,62200.0,62186.46654561162
20180504094800,62175.0,62206.167325377464
20180504094900,62225.0,62191.787584125996
20180504095000,62275.0,62225.8743904531
20180504095100,62275.0,62275.92483609915
20180504095200,62275.0,62286.53182014823
20180504095300,62275.0,62286.53182014823
20180504095400,62175.0,62286.53182014823
20180504095500,62150.00000000001,62207.73289129138
20180504095600,62150.00000000001,62166.77205115557
20180504095700,62175.0,62161.445251107216
20180504095800,62150.00000000001,62181.14236444235
20180504095900,62150.00000000001,62166.77205115557
20180504100000,62150.00000000001,62161.445251107216
20180504100100,62150.00000000001,62161.445251107216
20180504100200,62150.00000000001,62161.445251107216
20180504100300,62150.00000000001,62161.445251107216
20180504100400,62125.0,62161.445251107216
20180504100500,62150.00000000001,62141.75337553024
20180504100600,62150.00000000001,62156.11478462815
20180504100700,62150.00000000001,62161.445251107216
20180504100800,62225.0,62161.445251107216
20180504100900,62250.0,62220.55492326617
20180504101000,62325.0,62256.210961937904
20180504101100,62350.0,62320.66838517785
20180504101200,62250.0,62356.272046267986
20180504101300,62275.0,62282.71925598383
20180504101400,62275.0,62281.22963756323
20180504101500,62250.0,62286.53182014823
20180504101600,62275.0,62266.82370752096
20180504101700,62275.0,62281.22963756323
20180504101800,62275.0,62286.53182014823
20180504101900,62250.0,62286.53182014823
20180504102000,62275.0,62266.82370752096
20180504102100,62300.0,62281.22963756323
20180504102200,62375.0,62306.24621808529
20180504102300,62450.0,62370.711497962475
20180504102400,62450.0,62445.758620649576
20180504102500,62474.99999999999,62461.56250834465
20180504102600,62474.99999999999,62481.29733353853
20180504102700,62474.99999999999,62486.557614058256
20180504102800,62525.0,62486.557614058256
20180504102900,62575.0,62526.03931128979
20180504103000,62550.0,62576.03423669934
20180504103100,62575.0,62566.77178516984
20180504103200,62550.0,62581.276708841324
20180504103300,62550.0,62566.77178516984
20180504103400,62550.0,62561.529836803675
20180504103500,62550.0,62561.529836803675
20180504103600,62550.0,62561.529836803675
20180504103700,62575.0,62561.529836803675
20180504103800,62600.00000000001,62581.276708841324
20180504103900,62675.0,62606.266053020954
20180504104000,62675.0,62670.77061608434
20180504104100,62675.0,62686.43884584308
20180504104200,62725.0,62686.43884584308
20180504104300,62625.0,62725.962445139885
20180504104400,62474.99999999999,62657.37400203943
20180504104500,62525.0,62518.0569678545
20180504104600,62550.0,62526.03931128979
20180504104700,62550.0,62556.28526955843
20180504104800,62550.0,62561.529836803675
20180504104900,62550.0,62561.529836803675
20180504105000,62550.0,62561.529836803675
20180504105100,62550.0,62561.529836803675
20180504105200,62550.0,62561.529836803675
20180504105300,62575.0,62561.529836803675
20180504105400,62550.0,62581.276708841324
20180504105500,62500.0,62566.77178516984
20180504105600,62375.0,62522.05128222704
20180504105700,62350.0,62412.92259097099
20180504105800,62350.0,62366.84131845832
20180504105900,62325.0,62361.55799180269
20180504110000,62350.0,62341.83992743492
20180504110100,62350.0,62356.272046267986
20180504110200,62325.0,62361.55799180269
20180504110300,62350.0,62341.83992743492
20180504110400,62325.0,62356.272046267986
20180504110500,62375.0,62341.83992743492
20180504110600,62325.0,62375.99849104881
20180504110700,62275.0,62347.12587296963
20180504110800,62250.0,62297.12728112936
20180504110900,62250.0,62266.82370752096
20180504111000,62250.0,62261.51890605688
20180504111100,62275.0,62261.51890605688
20180504111200,62275.0,62281.22963756323
20180504111300,62250.0,62286.53182014823
20180504111400,62275.0,62266.82370752096
20180504111500,62225.0,62281.22963756323
20180504111600,62225.0,62247.12135642767
20180504111700,62250.0,62236.50389686227
20180504111800,62275.0,62256.210961937904
20180504111900,62250.0,62281.22963756323
20180504112000,62275.0,62266.82370752096
20180504112100,62250.0,62281.22963756323
20180504112200,62225.0,62266.82370752096
20180504112300,62200.0,62241.81393608451
20180504112400,62225.0,62216.801545768976
20180504112500,62250.0,62231.190191209316
20180504112600,62275.0,62256.210961937904
20180504112700,62250.0,62281.22963756323
20180504112800,62400.0,62266.82370752096
20180504112900,62375.0,62379.86762300134
20180504113000,62250.0,62391.84061437845
20180504113100,62275.0,62288.01201060414
20180504113200,62250.0,62281.22963756323
20180504113300,62250.0,62266.82370752096
20180504113400,62250.0,62261.51890605688
20180504113500,62225.0,62261.51890605688
20180504113600,62225.0,62241.81393608451
20180504113700,62250.0,62236.50389686227
20180504113800,62250.0,62256.210961937904
20180504113900,62250.0,62261.51890605688
20180504114000,62250.0,62261.51890605688
20180504114100,62275.0,62261.51890605688
20180504114200,62300.0,62281.22963756323
20180504114300,62350.0,62306.24621808529
20180504114400,62325.0,62350.982958078384
20180504114500,62350.0,62341.83992743492
20180504114600,62350.0,62356.272046267986
20180504114700,62350.0,62361.55799180269
20180504114800,62375.0,62361.55799180269
20180504114900,62350.0,62381.282341480255
20180504115000,62350.0,62366.84131845832
20180504115100,62350.0,62361.55799180269
20180504115200,62350.0,62361.55799180269
20180504115300,62350.0,62361.55799180269
20180504115400,62325.0,62361.55799180269
20180504115500,62275.0,62341.83992743492
20180504115600,62325.0,62297.12728112936
20180504115700,62375.0,62325.96585378051
