datetime,original,predicted
20180504090200,264250.0,264006.3420534134
20180504090300,264875.0,264345.70729732513
20180504090400,265375.0,264927.84678936005
20180504090500,266500.0,265464.5062685013
20180504090600,267500.0,266383.04364681244
20180504090700,267875.0,267413.8032197952
20180504090800,267875.0,267983.63518714905
20180504090900,267875.0,268102.8376817703
20180504091000,267000.0,268102.8376817703
20180504091100,266375.0,267514.21439647675
20180504091200,267000.0,266814.782500267
20180504091300,266750.0,267037.5562906265
20180504091400,266750.0,267067.6621198654
20180504091500,266875.0,266988.2210493088
20180504091600,266500.0,267072.46363162994
20180504091700,265625.0,266859.3863248825
20180504091800,265750.0,266149.42264556885
20180504091900,265875.0,265956.0478925705
20180504092000,266000.0,266080.197930336
20180504092100,265500.0,266204.31876182556
20180504092200,265125.0,265906.1110019684
20180504092300,265625.0,265493.6658143997
20180504092400,266125.0,265712.87643909454
20180504092500,266250.0,266209.3539237976
20180504092600,267250.0,266452.48448848724
20180504092700,267500.0,267166.1924123764
20180504092800,267500.0,267652.091383934
20180504092900,267125.0,267731.54413700104
20180504093000,267375.0,267479.1843891144
20180504093100,267250.0,267528.26845645905
20180504093200,267375.0,267523.60129356384
20180504093300,267375.0,267567.99483299255
20180504093400,267375.0,267607.72120952606
20180504093500,267000.0,267607.72120952606
20180504093600,267250.0,267355.2738428116
20180504093700,267125.0,267404.4338464737
20180504093800,266875.0,267399.7257947922
20180504093900,267125.0,267191.6193962097
20180504094000,267125.0,267280.5641889572
20180504094100,266750.0,267360.00525951385
20180504094200,266750.0,267107.38265514374
20180504094300,266750.0,266988.2210493088
20180504094400,266875.0,266988.2210493088
20180504094500,266750.0,267072.46363162994
20180504094600,266750.0,267027.9415845871
20180504094700,266875.0,266988.2210493088
20180504094800,266750.0,267072.46363162994
20180504094900,267000.0,267027.9415845871
20180504095000,266500.0,267156.6770076752
20180504095100,266750.0,266899.1068601608
20180504095200,266875.0,266908.81502628326
20180504095300,266875.0,267072.46363162994
20180504095400,266625.0,267112.1783256531
20180504095500,266750.0,266943.68147850037
20180504095600,266750.0,266948.5238790512
20180504095700,267125.0,266988.2210493088
20180504095800,267375.0,267240.85533618927
20180504095900,267875.0,267528.26845645905
20180504100000,268375.0,267943.90881061554
20180504100100,268500.0,268438.55798244476
20180504100200,268125.0,268681.36727809906
20180504100300,268500.0,268469.4699048996
20180504100400,268500.0,268601.8853187561
20180504100500,268375.0,268721.11117839813
