datetime,original,predicted
20180504090200,49237.5,49365.273219347
20180504090300,49237.5,49214.42861557007
20180504090400,49362.50000000001,49170.75491398573
20180504090500,49575.0,49266.74603372812
20180504090600,49737.5,49456.50081038475
20180504090700,49825.0,49626.87800526619
20180504090800,49612.50000000001,49729.1912406683
20180504090900,49475.00000000001,49587.21543550491
20180504091000,49650.0,49435.21852493286
20180504091100,49850.0,49538.35281431675
20180504091200,49800.0,49728.647646307945
20180504091300,49850.0,49735.282611846924
20180504091400,49887.49999999999,49761.9980096817
20180504091500,49912.5,49801.44965350628
20180504091600,49900.0,49828.64211201668
20180504091700,49875.0,49824.77537244558
20180504091800,49749.99999999999,49803.12715172768
20180504091900,49600.0,49702.9274225235
20180504092000,49600.0,49561.07335984707
20180504092100,49600.0,49527.90561020374
20180504092200,49575.0,49527.90561020374
20180504092300,49575.0,49508.85007977486
20180504092400,49550.0,49503.33273857832
20180504092500,49600.0,49484.26234424114
20180504092600,49575.0,49516.865265369415
20180504092700,49537.5,49508.85007977486
20180504092800,49524.99999999999,49474.72183853388
20180504093000,49500.00000000001,49456.9120451808
20180504093100,49462.5,49435.06139218807
20180504093200,49400.0,49400.885728001595
20180504093300,49400.0,49344.78650689125
20180504093400,49350.0,49331.07065856457
20180504093500,49312.5,49292.72885322571
20180504093600,49312.5,49252.988424897194
20180504093700,49312.5,49244.78779435158
20180504093800,49325.0,49244.78779435158
20180504093900,49325.0,49254.385632276535
20180504094000,49325.0,49257.11917579174
20180504094100,49325.0,49257.11917579174
20180504094200,49325.0,49257.11917579174
20180504094300,49337.5,49257.11917579174
20180504094400,49325.0,49266.713474690914
20180504094500,49337.5,49259.85413491726
20180504094600,49337.5,49266.713474690914
20180504094700,49362.50000000001,49269.44843381643
20180504094800,49362.50000000001,49288.62783014774
20180504094900,49387.49999999999,49294.103410840034
20180504095000,49400.0,49313.26935887337
20180504095100,49437.5,49328.32932919264
20180504095200,49437.5,49359.783482551575
20180504095300,49425.0,49368.01808774471
20180504095400,49375.0,49358.44926983118
20180504095500,49312.5,49317.39020049572
20180504095600,49250.00000000001,49258.459758758545
20180504095700,49237.5,49196.73914909363
20180504095800,49362.50000000001,49173.48067164421
20180504095900,49500.00000000001,49266.74603372812
20180504100000,49500.00000000001,49399.31723177433
20180504100100,49475.00000000001,49429.5560836792
20180504100200,49487.5,49410.44817566872
20180504100300,49462.5,49414.50389921665
20180504100400,49475.00000000001,49398.1373205781
20180504100500,49475.00000000001,49402.199414372444
