datetime,original,predicted
20180504090200,456375.0,455434.72573906183
20180504090300,456375.0,455246.2368533015
20180504090400,455750.0,455246.2368533015
20180504090500,455999.99999999994,454763.44425976276
20180504090600,456750.0,454822.0656141639
20180504090700,456750.0,455455.0926461816
20180504090800,455500.0,455616.69797450304
20180504090900,454000.0,454650.9512960911
20180504091000,452000.0,453223.5578894615
20180504091100,450375.0,451357.6395139098
20180504091200,450125.0,449676.17274075747
20180504091300,450750.0,449136.96267455816
20180504091400,451750.0,449565.798163414
20180504091500,452000.0,450470.4726189375
20180504091600,451375.0,450876.87031179667
20180504091700,450125.0,450447.9493275285
20180504091800,450250.00000000006,449350.03624111414
20180504091900,450375.0,449180.1283583045
20180504092000,451000.0,449303.1847551465
20180504092100,450500.0,449811.92995607853
20180504092200,450500.0,449559.46200340986
20180504092300,450250.00000000006,449452.87772268057
20180504092400,450375.0,449260.01907140017
20180504092500,450375.0,449303.1847551465
20180504092600,450750.0,449329.82132583857
20180504092700,450875.00000000006,449619.09030377865
20180504092800,450875.00000000006,449795.47683894634
20180504092900,450625.0,449822.1324086189
20180504093000,451000.0,449629.24525886774
20180504093100,451000.0,449865.25059491396
20180504093200,451125.0,449945.226803422
20180504093300,450875.00000000006,450041.6561290622
20180504093400,450750.0,449875.4435479641
20180504093500,450750.0,449725.69358348846
20180504093600,451500.0,449699.0380138159
20180504093700,452000.0,450277.62346714735
20180504093800,452000.0,450823.4831765294
20180504093900,451625.0,450930.2669465542
20180504094000,451375.0,450640.88397473097
20180504094100,451875.0,450367.90662258863
20180504094200,452250.0,450700.34128427505
20180504094300,452375.0,451096.47952765226
20180504094400,452625.0,451273.0750516057
20180504094500,452125.0,451492.7317649126
20180504094600,452375.0,451160.2686047554
20180504094700,452375.0,451246.3529855013
20180504094800,452750.0,451299.7971177101
20180504094900,452875.0,451589.19908851385
20180504095000,452750.0,451765.8706083894
20180504095100,452875.0,451696.12535089254
20180504095200,452625.0,451765.8706083894
20180504095300,452875.0,451599.64852780104
20180504095400,453375.0,451739.1390427947
20180504095500,453375.0,452178.51896584034
20180504095600,453375.0,452285.55922210217
20180504095700,454125.0,452285.55922210217
20180504095800,454500.0,452864.4771575928
20180504095900,454750.0,453314.75299596786
20180504100000,454750.0,453588.2243216038
20180504100100,454375.00000000006,453641.8869420886
20180504100200,454750.0,453352.3044809699
20180504100300,455375.0,453561.3977611065
20180504100400,456500.0,454124.46104735136
20180504100500,455999.99999999994,455127.455227077
20180504100600,455875.0,454983.47145318985
20180504100700,455750.0,454779.30840849876
20180504100800,455875.0,454655.8815315366
20180504100900,455875.0,454725.5317941308
20180504101000,455875.0,454752.41535156965
20180504101100,455999.99999999994,454752.41535156965
20180504101200,457125.0,454848.96817058325
20180504101300,457500.0,455744.6751073003
20180504101400,457375.0,456276.950545609
20180504101500,458375.0,456261.3238841295
20180504101600,459500.0,457006.83438032866
20180504101700,459375.0,458092.2746360302
20180504101800,458375.0,458239.57373201847
20180504101900,458500.00000000006,457439.4791647792
20180504102000,458625.0,457319.6715936065
20180504102100,459375.0,457443.3074593544
20180504102200,459750.0,458049.88791048527
20180504102300,459000.0,458502.2821351886
20180504102400,458750.0,458003.8913786411
20180504102500,459375.0,457648.16396683455
20180504102600,459500.0,458076.9709572196
20180504102700,459375.0,458309.0815022588
20180504102800,459500.0,458239.57373201847
20180504102900,459125.00000000006,458309.0815022588
20180504103000,459250.0,458046.3351011276
20180504103100,459375.0,458061.65777891874
20180504103200,459375.0,458185.36964058876
20180504103300,459375.0,458212.46218681335
20180504103400,459125.00000000006,458212.46218681335
20180504103500,458750.0,458019.24255490303
20180504103600,458750.0,457675.22801458836
20180504103700,458875.0,457594.02637183666
20180504103800,459000.0,457690.6171888113
20180504103900,458875.0,457814.2910525203
20180504104000,458750.0,457744.76428329945
20180504104100,458875.0,457621.0904195905
20180504104200,458750.0,457690.6171888113
20180504104300,458875.0,457621.0904195905
20180504104400,458500.00000000006,457690.6171888113
20180504104500,458250.0,457427.87078768015
20180504104600,458250.0,457153.5255089402
20180504104700,458375.0,457099.45441037416
20180504104800,458500.00000000006,457196.03572785854
20180504104900,458375.0,457319.6715936065
20180504105000,458375.0,457250.11632591486
20180504105100,458875.0,457223.08077663183
20180504105200,458750.0,457609.43454504013
20180504105300,458625.0,457621.0904195905
20180504105400,458375.0,457497.4165558815
20180504105500,458250.0,457277.16137468815
20180504105600,458000.0,457126.4899596572
20180504105700,457125.0,456906.2632769346
20180504105800,456875.0,456176.0564595461
20180504105900,456875.0,455794.11045461893
20180504110000,457750.0,455740.2103468776
20180504110100,458250.0,456416.089579463
20180504110200,458250.0,456991.34071171284
20180504110300,458625.0,457099.45441037416
20180504110400,458750.0,457389.2173618078
