datetime,original,predicted
20180504090200,75675.0,75461.62783503534
20180504090300,75650.0,75491.22345447542
20180504090400,75525.0,75515.66392183305
20180504090500,75650.0,75419.34416890146
20180504090600,75725.0,75473.37380945684
20180504090700,75600.0,75562.17079758646
20180504090800,75450.0,75494.0524339676
20180504090900,75300.0,75351.68256759645
20180504091000,75250.0,75202.2697210312
20180504091100,75050.0,75124.29229021074
20180504091200,74950.0,74967.3281311989
20180504091300,74950.0,74839.55255746843
20180504091400,74850.0,74811.39076650144
20180504091500,74700.0,74739.93969559671
20180504091600,74525.0,74604.59254980089
20180504091700,74300.0,74437.28861808778
20180504091800,74200.0,74227.1853208542
20180504091900,74175.0,74092.33453571798
20180504092000,74125.0,74046.29639387132
20180504092100,74150.0,74003.50807905199
20180504092200,74225.0,74007.29662775995
20180504092300,74175.0,74067.9576098919
20180504092400,74150.0,74053.33753228189
20180504092500,74150.0,74021.38074636461
20180504092600,74350.0,74014.33960795404
20180504092700,74500.0,74157.31357932092
20180504092800,74500.0,74320.86027264596
20180504092900,74450.0,74363.10341954233
20180504093000,74475.0,74327.36545205118
20180504093100,74450.0,74331.15400075914
20180504093200,74425.0,74320.32431364061
20180504093300,74250.0,74295.41603326799
20180504093400,74150.0,74163.28279972078
20180504093500,74225.0,74042.50600337984
20180504093600,74250.0,74067.9576098919
20180504093700,74200.0,74106.95553421976
20180504093800,74150.0,74078.2531797886
20180504093900,74175.0,74028.4237265587
20180504094000,74200.0,74032.21227526666
20180504094100,74200.0,74057.12792277338
20180504094200,74275.0,74064.16906118394
20180504094300,74350.0,74117.78337955476
20180504094400,74325.0,74192.52203404905
20180504094500,74275.0,74195.77554464342
20180504094600,74275.0,74152.99275517465
20180504094700,74225.0,74138.91047835351
20180504094800,74150.0,74103.1669855118
20180504094900,74150.0,74035.46486496927
20180504095000,74100.0,74014.33960795404
20180504095100,74150.0,73978.59243154527
20180504095200,74150.0,74000.25364756586
20180504095300,74100.0,74014.33960795404
20180504095400,74250.0,73978.59243154527
20180504095500,74425.0,74071.74431681634
