datetime,original,predicted
20180504090200,157500.0,158034.24760103226
20180504090300,157375.0,157465.9722417593
20180504090400,157375.0,157141.02681279182
20180504090500,157625.0,157090.74962735176
20180504090600,157750.0,157237.87267506123
20180504090700,158250.0,157411.92184090614
20180504090800,157750.0,157755.96790909767
20180504090900,157750.0,157663.23092877865
20180504091000,157375.0,157462.18284964561
20180504091100,157250.00000000003,157241.59736037254
20180504091200,157500.0,157017.15372800827
20180504091300,157875.0,157114.0521645546
20180504091400,157875.0,157435.1515829563
20180504091500,157875.0,157585.92247664928
20180504091600,157750.0,157585.92247664928
20180504091700,157500.0,157512.4438583851
20180504091800,157625.0,157315.14472961426
20180504091900,157750.0,157288.14581632614
20180504092000,157875.0,157411.92184090614
20180504092100,157750.0,157535.66551208496
20180504092200,157750.0,157512.4438583851
20180504092300,157750.0,157462.18284964561
20180504092400,157750.0,157462.18284964561
20180504092500,157625.0,157462.18284964561
20180504092600,157625.0,157388.68401050568
20180504092700,157750.0,157338.4149134159
20180504092800,157750.0,157411.92184090614
20180504092900,157750.0,157462.18284964561
20180504093000,157625.0,157462.18284964561
20180504093100,157625.0,157388.68401050568
20180504093200,157500.0,157338.4149134159
20180504093300,157625.0,157264.8756325245
20180504093400,157625.0,157288.14581632614
20180504093500,157500.0,157338.4149134159
20180504093600,157625.0,157264.8756325245
20180504093700,157625.0,157288.14581632614
20180504093800,157750.0,157338.4149134159
20180504093900,157625.0,157411.92184090614
20180504094000,157625.0,157388.68401050568
20180504094100,157625.0,157338.4149134159
20180504094200,157625.0,157338.4149134159
20180504094300,157750.0,157338.4149134159
20180504094400,157625.0,157411.92184090614
20180504094500,157000.0,157388.68401050568
20180504094600,156625.0,156970.49203515053
20180504094700,156750.0,156497.84928560257
20180504094800,156750.0,156420.64598202705
20180504094900,156750.0,156470.9555208683
20180504095000,156625.0,156470.9555208683
20180504095100,156875.0,156397.2059428692
20180504095200,156875.0,156494.37938332558
20180504095300,156625.0,156594.99441683292
20180504095400,156625.0,156447.53165841103
20180504095500,156625.0,156346.8761831522
20180504095600,156625.0,156346.8761831522
20180504095700,156625.0,156346.8761831522
20180504095800,156625.0,156346.8761831522
20180504095900,156750.0,156346.8761831522
20180504100000,156625.0,156420.64598202705
20180504100100,156750.0,156397.2059428692
20180504100200,156750.0,156420.64598202705
20180504100300,156625.0,156470.9555208683
20180504100400,156750.0,156397.2059428692
20180504100500,156875.0,156420.64598202705
20180504100600,156750.0,156544.68487799168
20180504100700,156750.0,156521.27314805984
20180504100800,156750.0,156470.9555208683
20180504100900,156750.0,156470.9555208683
20180504101000,156625.0,156470.9555208683
20180504101100,156750.0,156397.2059428692
20180504101200,156625.0,156420.64598202705
20180504101300,156625.0,156397.2059428692
20180504101400,156625.0,156346.8761831522
20180504101500,156625.0,156346.8761831522
20180504101600,156750.0,156346.8761831522
20180504101700,156625.0,156420.64598202705
20180504101800,156750.0,156397.2059428692
20180504101900,156750.0,156420.64598202705
20180504102000,156625.0,156470.9555208683
20180504102100,156625.0,156397.2059428692
20180504102200,156875.0,156346.8761831522
20180504102300,156875.0,156494.37938332558
20180504102400,156625.0,156594.99441683292
20180504102500,156750.0,156447.53165841103
20180504102600,156625.0,156420.64598202705
20180504102700,156750.0,156397.2059428692
20180504102800,156750.0,156420.64598202705
20180504102900,156625.0,156470.9555208683
20180504103000,156875.0,156397.2059428692
20180504103100,156625.0,156494.37938332558
20180504103200,156625.0,156447.53165841103
20180504103300,156750.0,156346.8761831522
20180504103400,156625.0,156420.64598202705
20180504103500,156750.0,156397.2059428692
20180504103600,156625.0,156420.64598202705
20180504103700,156750.0,156397.2059428692
20180504103800,156750.0,156420.64598202705
20180504103900,157000.0,156470.9555208683
20180504104000,157125.0,156618.38188171387
20180504104100,157250.00000000003,156792.64943301678
20180504104200,157250.00000000003,156916.58318042755
20180504104300,157250.00000000003,156966.8765425682
20180504104400,157250.00000000003,156966.8765425682
