datetime,original,predicted
20180504090200,341625.0,341452.250815928
20180504090300,341500.0,341046.9212308526
20180504090400,341625.0,340854.4293195009
20180504090500,342625.0,340942.4764364958
20180504090600,343625.0,341803.373247385
20180504090700,343000.0,342786.1196398735
20180504090800,342375.0,342398.5912576318
20180504090900,341500.0,341784.1899469495
20180504091000,341375.0,340958.83125811815
20180504091100,341375.0,340731.55120015144
20180504091200,341750.0,340714.1410559416
20180504091300,341875.0,341030.51283955574
20180504091400,342250.0,341188.22463974357
20180504091500,342750.0,341521.97978273034
20180504091600,342750.0,341995.98836898804
20180504091700,343250.0,342065.7200142741
20180504091800,343750.0,342487.4097779393
20180504091900,343375.0,342978.81511598825
20180504092000,343000.0,342732.3731854558
20180504092100,342625.0,342363.73882740736
20180504092200,342750.0,341995.12054026127
20180504092300,342375.0,342048.28844219446
20180504092400,341875.0,341749.36965852976
20180504092500,341750.0,341275.2780392766
20180504092600,341875.0,341100.18020123243
20180504092700,341750.0,341188.22463974357
20180504092800,342125.0,341100.18020123243
20180504092900,342375.0,341399.1150557995
20180504093000,342250.0,341662.2707247734
20180504093100,342375.0,341591.6658937931
20180504093200,342250.0,341679.69158291817
20180504093300,342375.0,341591.6658937931
20180504093400,342000.0,341679.69158291817
20180504093500,341875.0,341380.74869289994
20180504093600,342125.0,341223.05296361446
20180504093700,342250.0,341416.53591394424
20180504093800,342500.0,341556.8268559873
20180504093900,342875.0,341785.13277322054
20180504094000,342875.0,342136.28466799855
20180504094100,342750.0,342188.584741205
20180504094200,342875.0,342083.14622938633
20180504094300,342875.0,342171.15584760904
20180504094400,342625.0,342188.584741205
20180504094500,342750.0,341977.6970036328
20180504094600,342375.0,342048.28844219446
20180504094700,342125.0,341749.36965852976
20180504094800,342375.0,341486.2086325884
20180504094900,342250.0,341662.2707247734
20180504095000,342250.0,341591.6658937931
20180504095100,342250.0,341574.2503926158
20180504095200,342250.0,341574.2503926158
20180504095300,342125.0,341574.2503926158
20180504095400,341750.0,341468.7984883785
20180504095500,341750.0,341134.9951326847
20180504095600,341625.0,341082.7647000551
20180504095700,342000.0,340977.3074388504
20180504095800,342125.0,341276.2476503849
20180504095900,342125.0,341433.96212905645
20180504100000,342125.0,341451.3829872012
20180504100100,342125.0,341451.3829872012
20180504100200,342250.0,341451.3829872012
20180504100300,342125.0,341556.8268559873
20180504100400,342250.0,341468.7984883785
20180504100500,342125.0,341556.8268559873
20180504100600,342125.0,341468.7984883785
20180504100700,342125.0,341451.3829872012
20180504100800,342125.0,341451.3829872012
20180504100900,342000.0,341451.3829872012
20180504101000,342250.0,341345.9257259965
20180504101100,342125.0,341539.4033193588
20180504101200,342250.0,341468.7984883785
20180504101300,342125.0,341556.8268559873
20180504101400,342125.0,341468.7984883785
20180504101500,342125.0,341451.3829872012
20180504101600,342125.0,341451.3829872012
20180504101700,342250.0,341451.3829872012
20180504101800,342125.0,341556.8268559873
20180504101900,342250.0,341468.7984883785
20180504102000,342250.0,341556.8268559873
20180504102100,342250.0,341574.2503926158
20180504102200,342125.0,341574.2503926158
20180504102300,342250.0,341468.7984883785
20180504102400,342250.0,341556.8268559873
20180504102500,342125.0,341574.2503926158
20180504102600,342125.0,341468.7984883785
20180504102700,342125.0,341451.3829872012
20180504102800,342125.0,341451.3829872012
20180504102900,342125.0,341451.3829872012
20180504103000,342125.0,341451.3829872012
20180504103100,342125.0,341451.3829872012
20180504103200,342250.0,341451.3829872012
20180504103300,342125.0,341556.8268559873
20180504103400,342125.0,341468.7984883785
20180504103500,342125.0,341451.3829872012
20180504103600,342125.0,341451.3829872012
20180504103700,342125.0,341451.3829872012
20180504103800,342125.0,341451.3829872012
20180504103900,342250.0,341451.3829872012
20180504104000,342250.0,341556.8268559873
20180504104100,342125.0,341574.2503926158
20180504104200,342125.0,341468.7984883785
20180504104300,342250.0,341451.3829872012
20180504104400,342125.0,341556.8268559873
20180504104500,342250.0,341468.7984883785
20180504104600,342250.0,341556.8268559873
20180504104700,342125.0,341574.2503926158
20180504104800,342250.0,341468.7984883785
20180504104900,342125.0,341556.8268559873
20180504105000,342250.0,341468.7984883785
20180504105100,342250.0,341556.8268559873
20180504105200,342125.0,341574.2503926158
20180504105300,342125.0,341468.7984883785
20180504105400,341875.0,341451.3829872012
20180504105500,341625.0,341240.4631078243
20180504105600,341625.0,340994.7122260928
20180504105700,341625.0,340959.8919376731
20180504105800,341625.0,340959.8919376731
20180504105900,341750.0,340959.8919376731
20180504110000,341625.0,341065.3491988778
20180504110100,341625.0,340977.3074388504
20180504110200,341375.0,340959.8919376731
20180504110300,341125.0,340748.95598739386
20180504110400,341250.0,340503.1997486949
