datetime,original,predicted
20180504090200,381250.0,381051.16548389196
20180504090300,380375.0,380592.30491146445
20180504090400,380125.0,379431.8617731333
20180504090500,381625.0,378998.55130910873
20180504090600,381625.0,379949.14450496435
20180504090700,380250.0,380399.1412483156
20180504090800,378625.0,379458.87304097414
20180504090900,376250.0,377936.8373416364
20180504091000,373125.0,375830.676920712
20180504091100,372000.0,372994.0336532891
20180504091200,372000.0,371292.6547601819
20180504091300,371250.0,370954.5053318143
20180504091400,369375.0,370446.5707913041
20180504091500,368000.0,368953.08017358184
20180504091600,367125.0,367461.1718058586
20180504091700,364750.0,366457.75083452463
20180504091800,363500.0,364596.63734585047
20180504091900,366500.0,363042.88399219513
20180504092000,367750.0,364681.9335371256
20180504092100,368750.00000000006,366427.51048505306
20180504092200,369250.0,367478.3020839095
20180504092300,369500.0,368116.8045401573
20180504092400,369625.0,368436.0961318016
20180504092500,368375.0,368595.766145736
20180504092600,366375.0,367789.33529928327
20180504092700,364500.0,366065.45777991414
20180504092800,363250.0,364203.0768766999
20180504092900,365625.0,362799.96825382113
20180504093000,366750.0,364018.0504992604
20180504093100,366000.0,365490.3502687812
20180504093200,365375.0,365324.2140188813
20180504093300,365625.0,364678.1716570258
20180504093400,366500.0,364658.11098739505
20180504093500,367500.0,365322.05053418875
20180504093600,368500.0,366259.0008601546
20180504093700,369125.0,367234.3530394137
20180504093800,369625.0,367957.16681703925
20180504093900,369625.0,368482.95010626316
20180504094000,369625.0,368633.3607286215
20180504094100,370125.0,368633.3607286215
20180504094200,371625.0,368971.292193979
20180504094300,371375.0,370136.61124557257
20180504094400,370375.0,370418.45356300473
20180504094500,370750.0,369666.6103415191
20180504094600,371125.0,369619.5706948638
20180504094700,371875.0,369986.1198961735
20180504094800,373375.0,370606.73324018717
20180504094900,374125.0,371849.162761122
20180504095000,373750.0,372809.22523885965
20180504095100,373125.0,372780.01012280583
20180504095200,372375.0,372243.191447109
20180504095300,372875.0,371546.7915572226
20180504095400,373500.0,371660.3502854705
20180504095500,373375.0,372234.6424534917
20180504095600,373000.0,372337.68244832754
20180504095700,372750.0,372045.70888727903
20180504095800,372500.0,371763.45486193895
20180504095900,371875.0,371518.8196375966
20180504100000,372375.0,371020.12027055025
20180504100100,373500.0,371171.0475459695
20180504100200,373375.0,372084.3287035823
20180504100300,373625.0,372337.68244832754
20180504100400,373625.0,372469.7680324316
20180504100500,373875.0,372544.90876197815
20180504100600,374375.0,372714.61314707994
20180504100700,374250.0,373129.2918100953
20180504100800,374250.0,373194.64034959674
20180504100900,374000.0,373157.07805752754
20180504101000,374875.0,372987.292945385
20180504101100,376750.0,373506.56156241894
20180504101200,376750.0,375045.0090691447
20180504101300,375750.0,375608.27392339706
20180504101400,375125.0,374927.63195186853
20180504101500,375750.0,374202.2752724588
20180504101600,375875.0,374439.5562633872
20180504101700,376750.0,374712.3490795493
20180504101800,377250.0,375345.475114882
20180504101900,376875.0,375948.8532356918
20180504102000,377250.0,375843.54481101036
20180504102100,377750.0,375986.3993823528
20180504102200,377125.00000000006,376439.7462978959
20180504102300,376499.99999999994,376163.94236311316
20180504102400,376000.0,375550.6509616971
20180504102500,375625.0,375022.65575155616
20180504102600,375000.0,374617.3817887902
20180504102700,375000.0,374079.7558426857
20180504102800,375125.0,373892.0170366764
20180504102900,375125.0,373976.99031978846
20180504103000,375375.0,374014.5364664495
20180504103100,375375.0,374184.5153234899
20180504103200,374500.0,374259.61568951607
20180504103300,373750.0,373664.86728936434
20180504103400,373750.0,372892.68085360527
20180504103500,373500.0,372667.32324659824
20180504103600,372750.0,372497.6350069046
20180504103700,371875.0,371913.7201756239
20180504103800,371125.0,371095.2610000968
20180504103900,371250.0,370324.38234239817
20180504104000,371125.0,370183.49751085043
20180504104100,370625.0,370136.4659368992
20180504104200,370125.0,369760.55239886045
20180504104300,369375.0,369272.0650024712
20180504104400,369750.0,368614.8419454694
20180504104500,370125.0,368642.62012019753
20180504104600,370750.0,369008.9029222727
20180504104700,370500.0,369544.3815290928
20180504104800,370125.0,369563.2393658161
20180504104900,370125.0,369234.4704195857
20180504105000,370125.0,369121.69474363327
20180504105100,369250.0,369121.69474363327
20180504105200,368625.0,368530.41760623455
20180504105300,367875.0,367845.2629931271
20180504105400,366625.0,367151.29298716784
20180504105500,366375.0,366083.37918296456
20180504105600,367625.0,365538.9479473233
20180504105700,368375.0,366305.6126534939
20180504105800,368625.0,367187.63630092144
20180504105900,368875.0,367582.0201858878
20180504110000,369125.0,367825.99344849586
20180504110100,369375.0,368069.9990019202
20180504110200,369250.0,368314.05299156904
20180504110300,369125.0,368304.84203621745
20180504110400,369125.0,368182.80696868896
20180504110500,369500.0,368145.2043130994
20180504110600,369625.0,368398.493476212
20180504110700,369250.0,368595.766145736
20180504110800,369250.0,368380.03120198846
20180504110900,369125.0,368267.2313079238
20180504111000,369125.0,368182.80696868896
20180504111100,369125.0,368145.2043130994
20180504111200,368500.0,368145.2043130994
20180504111300,368500.0,367723.3005799353
20180504111400,368000.0,367535.27922928333
20180504111500,368375.0,367197.98550754786
20180504111600,368500.0,367300.49270391464
20180504111700,369250.0,367497.67657369375
20180504111800,369375.0,368041.58308357
20180504111900,369250.0,368351.6637198627
20180504112000,369000.0,368304.84203621745
20180504112100,368500.0,368098.41492027044
20180504112200,368000.0,367685.7059970498
20180504112300,368124.99999999994,367197.98550754786
20180504112400,368500.0,367131.853915751
20180504112500,368500.0,367422.45511710644
20180504112600,368375.0,367535.27922928333
20180504112700,368375.0,367450.9356170893
20180504112800,368124.99999999994,367413.3329614997
20180504112900,367875.0,367244.6780279279
20180504113000,367625.0,367000.86621940136
20180504113100,367625.0,366757.0947743952
20180504113200,367625.0,366681.86524510384
20180504113300,367375.0,366681.86524510384
20180504113400,367125.0,366513.37176561356
20180504113500,367250.0,366269.69719305634
20180504113600,366875.0,366278.6740399897
20180504113700,366875.0,366063.6737123132
20180504113800,366750.0,365950.81730932
20180504113900,366500.0,365866.6512966156
20180504114000,367750.0,365660.7166156173
20180504114100,368500.0,366427.51048505306
20180504114200,368875.0,367309.59871411324
20180504114300,369125.0,367788.37464749813
20180504114400,369250.0,368069.9990019202
20180504114500,369000.0,368229.6286523342
20180504114600,368625.0,368098.41492027044
20180504114700,368375.0,367770.065754652
20180504114800,368250.0,367488.5463453829
20180504114900,368250.0,367329.0054947138
20180504115000,368124.99999999994,367291.38669371605
20180504115100,367875.0,367207.0753723383
20180504115200,367000.0,367000.86621940136
20180504115300,367000.0,366335.9337300062
20180504115400,367000.0,366072.6344138384
20180504115500,366750.0,366072.6344138384
20180504115600,366750.0,365904.27009761333
20180504115700,366875.0,365829.0244229138
20180504115800,367250.0,365913.19850832224
20180504115900,367000.0,366203.42836529016
20180504120000,366875.0,366147.87201583385
20180504120100,366125.0,365988.4361103177
20180504120200,365750.0,365445.9423236549
20180504120300,365625.0,364967.94136986136
20180504120400,365625.0,364771.00775390863
20180504120500,365750.0,364733.3808802068
20180504120600,365625.0,364817.4338750541
20180504120700,365125.0,364771.00775390863
20180504120800,364750.0,364397.2577005625
20180504120900,364375.0,363994.7849661112
20180504121000,364125.0,363630.06019592285
20180504121100,364375.0,363349.3238389492
20180504121200,364375.0,363441.86931848526
20180504121300,364000.0,363517.13921129704
20180504121400,363750.0,363265.43229818344
20180504121500,363750.0,362984.77666825056
20180504121600,363500.0,362909.49063003063
20180504121700,363625.0,362741.804420948
20180504121800,364000.0,362750.3534145653
20180504121900,364375.0,363039.5903289318
20180504122000,364125.0,363404.2182266712
20180504122100,364125.0,363349.3238389492
20180504122200,363875.0,363274.04587343335
20180504122300,363375.0,363106.27893731
20180504122400,363500.0,362695.6285536289
20180504122500,363250.0,362628.87536361814
20180504122600,363125.0,362498.88868257403
20180504122700,362875.0,362339.7999033332
20180504122800,362750.0,362134.6079111099
20180504122900,362500.0,361975.55949538946
20180504123000,362375.0,361770.44823020697
20180504123100,362500.0,361611.4321053028
20180504123200,362000.0,361657.49495476484
20180504123300,361875.0,361360.37100851536
20180504123400,361750.0,361126.1011362076
20180504123500,361625.0,361004.8006847501
20180504123600,361375.0,360883.51637870073
20180504123700,362125.0,360678.63922193646
20180504123800,362875.0,361105.12825101614
20180504123900,362875.0,361833.38303118944
20180504124000,362625.0,362059.30572748184
20180504124100,362625.0,361891.8132632971
20180504124200,362875.0,361816.5191523731
20180504124300,363250.0,361984.00354385376
20180504124400,363000.0,362310.649368912
20180504124500,362750.0,362256.0213804245
20180504124600,362500.0,362013.2105872035
20180504124700,362500.0,361770.44823020697
20180504124800,362875.0,361695.1460465789
20180504124900,362625.0,361946.3524520397
20180504125000,362625.0,361891.8132632971
20180504125100,362125.0,361816.5191523731
20180504125200,362000.0,361481.687605381
20180504125300,361875.0,361247.41773307323
20180504125400,362000.0,361126.1011362076
20180504125500,362500.0,361172.1074767411
20180504125600,362750.0,361544.52553391457
20180504125700,362750.0,361862.60621994734
20180504125800,362625.0,361937.9084035754
20180504125900,362625.0,361854.1702441871
20180504130000,362250.0,361816.5191523731
20180504130100,361875.0,361565.37732854486
20180504130200,362000.0,361201.40331983566
20180504130300,361875.0,361172.1074767411
20180504130400,362125.0,361126.1011362076
20180504130500,362250.0,361255.7729817927
20180504130600,362125.0,361414.7729612887
20180504130700,362125.0,361368.74240264297
20180504130800,362000.0,361331.08323812485
20180504130900,361875.0,361247.41773307323
20180504131000,361875.0,361126.1011362076
20180504131100,362250.0,361088.45004439354
20180504131200,362250.0,361339.45463225245
20180504131300,362250.0,361452.42405310273
20180504131400,363125.0,361452.42405310273
20180504131500,363875.0,362038.5830961168
20180504131600,363750.0,362805.11056631804
20180504131700,363875.0,362947.1336491406
20180504131800,363250.0,362993.35795268416
20180504131900,363250.0,362611.80966719985
20180504132000,363125.0,362423.6026443541
20180504132100,363250.0,362339.7999033332
20180504132200,363125.0,362385.95155254006
20180504132300,362500.0,362339.7999033332
20180504132400,362250.0,361883.37728753686
20180504132500,362500.0,361527.7262367308
20180504132600,362375.0,361619.8438629508
20180504132700,361875.0,361611.4321053028
20180504132800,362000.0,361239.0544116497
20180504132900,362000.0,361172.1074767411
20180504133000,361625.0,361209.7666412592
20180504133100,361500.0,360958.8266350329
20180504133200,361125.0,360762.24821805954
20180504133300,361375.0,360473.81857410073
20180504133400,360875.0,360528.002563864
20180504133500,360625.0,360269.04636248946
20180504133600,361250.0,359951.36123895645
20180504133700,361750.0,360293.75690966845
