datetime,original,predicted
20180504090200,356250.0,356825.6248533726
20180504090300,355000.0,355704.3366059661
20180504090400,354125.0,354305.6827932596
20180504090500,356500.0,353317.98408180475
20180504090600,358375.0,354615.6301572919
20180504090700,357875.0,356628.7026256323
20180504090800,357875.0,356904.81152385473
20180504090900,358125.0,356742.74308234453
20180504091000,358875.0,356908.5066244006
20180504091100,359250.0,357486.4320009947
20180504091200,359125.0,357977.7721837163
20180504091300,360375.00000000006,358016.6456401348
20180504091400,360375.00000000006,358802.6368021965
20180504091500,360125.0,359208.0159634352
20180504091600,359500.0,359042.851626873
20180504091700,358750.0,358548.5487058759
20180504091800,359000.0,357849.4506627321
20180504091900,359875.0,357771.78697288036
20180504092000,359875.0,358431.6953122616
20180504092100,359375.0,358715.43575823307
20180504092200,359625.0,358384.7741931677
20180504092300,359250.0,358387.96995580196
20180504092400,359250.0,358220.9747135639
20180504092500,359750.0,358099.36928749084
20180504092600,361125.0,358430.1140755415
20180504092700,361750.0,359500.42824447155
20180504092800,361000.0,360358.49883407354
20180504092900,360500.0,360066.7440146208
20180504093000,360000.0,359493.33764612675
20180504093100,359500.0,359000.79073011875
20180504093200,359750.0,358508.0024674535
20180504093300,359750.0,358511.1732631922
20180504093400,359625.0,358592.2490954399
20180504093500,359625.0,358509.5920264721
20180504093600,360750.0,358469.0457880497
20180504093700,362125.0,359212.39349246025
20180504093800,363000.0,360483.9241951704
20180504093900,363374.99999999994,361505.8358758688
20180504094000,363000.0,362036.2658947706
20180504094100,362000.0,361911.48967295885
20180504094200,361750.0,361131.6653341055
20180504094300,362125.0,360642.4140483141
20180504094400,362125.0,360808.32739174366
20180504094500,361750.0,360930.016040802
20180504094600,362250.0,360682.9602867365
20180504094700,362250.0,360890.6432464719
20180504094800,362374.99999999994,361052.88645625114
20180504094900,362250.0,361135.1773440838
20180504095000,362500.0,361093.44101697206
20180504095100,362875.0,361217.4515873194
20180504095200,362374.99999999994,361545.3002154827
20180504095300,362374.99999999994,361338.0167260766
20180504095400,362374.99999999994,361175.74022710323
20180504095500,362250.0,361175.74022710323
20180504095600,362125.0,361093.44101697206
20180504095700,362250.0,360970.57892382145
20180504095800,362250.0,361012.3235732317
20180504095900,362125.0,361052.88645625114
20180504100000,362125.0,360970.57892382145
20180504100100,362250.0,360930.016040802
20180504100200,362250.0,361012.3235732317
20180504100300,362374.99999999994,361052.88645625114
20180504100400,362374.99999999994,361135.1773440838
20180504100500,362374.99999999994,361175.74022710323
20180504100600,362250.0,361175.74022710323
20180504100700,362125.0,361093.44101697206
20180504100800,362250.0,360970.57892382145
20180504100900,362125.0,361012.3235732317
20180504101000,362125.0,360970.57892382145
20180504101100,362250.0,360930.016040802
20180504101200,362374.99999999994,361012.3235732317
20180504101300,362125.0,361135.1773440838
20180504101400,362250.0,361011.1418068409
20180504101500,362125.0,361012.3235732317
20180504101600,362625.0,360970.57892382145
20180504101700,363250.0,361259.1629475355
20180504101800,362875.0,361832.4361592531
20180504101900,362625.0,361788.7108027935
20180504102000,362875.0,361502.55689024925
20180504102100,363374.99999999994,361585.8797430992
20180504102200,363374.99999999994,361995.7030117512
20180504102300,363750.0,362157.9878330231
20180504102400,363374.99999999994,362404.31122481823
20180504102500,363750.0,362279.69312667847
20180504102600,363625.0,362404.31122481823
20180504102700,364000.0,362443.9253658056
20180504102800,364374.99999999994,362649.56936240196
20180504102900,364750.0,363017.33173429966
20180504103000,364750.0,363384.9276602268
20180504103100,364625.0,363506.6495984793
20180504103200,364750.0,363424.70824718475
20180504103300,365125.0,363466.07007086277
20180504103400,365625.0,363752.3488178849
20180504103500,365875.0,364201.40340179205
20180504103600,366125.0,364527.2380337119
20180504103700,366375.0,364771.838709712
20180504103800,366250.0,365016.38112962246
20180504103900,366375.0,365015.84850251675
20180504104000,365750.0,365056.9440126419
20180504104100,365500.0,364688.956938684
20180504104200,365500.0,364322.4678784609
20180504104300,365625.0,364241.3088232279
20180504104400,365875.0,364323.117017746
20180504104500,365875.0,364527.2380337119
20180504104600,365750.0,364608.37212204933
20180504104700,365750.0,364526.6138613224
