datetime,original,predicted
20180504090200,132375.0,131515.1152253151
20180504090300,132250.0,131574.0010857582
20180504090400,131875.0,131566.79243445396
20180504090500,131875.0,131338.07092308998
20180504090600,132125.0,131182.25281834602
20180504090700,132125.0,131300.65024495125
20180504090800,132125.0,131404.38269376755
20180504090900,132000.0,131404.38269376755
20180504091000,131625.0,131345.31868100166
20180504091100,131750.0,131115.69771766663
20180504091200,131625.0,131018.70898604393
20180504091300,131625.0,131011.45688295364
20180504091400,131625.0,130959.25390720367
20180504091500,131750.0,130959.25390720367
20180504091600,131750.0,131018.70898604393
20180504091700,131875.0,131070.86416482925
20180504091800,131750.0,131130.2062690258
20180504091900,131750.0,131122.95851111412
20180504092000,131750.0,131070.86416482925
20180504092100,131875.0,131070.86416482925
20180504092200,131625.0,131130.2062690258
20180504092300,131875.0,131063.60337138176
20180504092400,131750.0,131078.10757756233
20180504092500,131625.0,131122.95851111412
20180504092600,131750.0,131011.45688295364
20180504092700,131625.0,131018.70898604393
20180504092800,131750.0,131011.45688295364
20180504092900,131750.0,131018.70898604393
20180504093000,131625.0,131070.86416482925
20180504093100,131625.0,131011.45688295364
20180504093200,131625.0,130959.25390720367
20180504093300,131500.0,130959.25390720367
20180504093400,131250.0,130899.72930550575
20180504093500,131125.0,130728.09040546417
20180504093600,130750.0,130563.26474547386
20180504093700,130750.0,130330.54566979408
20180504093800,130750.0,130171.95099592209
20180504093900,130750.0,130171.95099592209
20180504094000,130500.0,130171.95099592209
20180504094100,130500.0,130051.2766957283
20180504094200,130875.0,129945.09791135788
20180504094300,130625.0,130126.30054950714
20180504094400,130750.0,130164.61198925972
20180504094500,130750.0,130118.97892355919
20180504094600,130750.0,130171.95099592209
20180504094700,130625.0,130171.95099592209
20180504094800,130625.0,130111.64860725403
20180504094900,130750.0,130058.62873792648
20180504095000,130750.0,130118.97892355919
20180504095100,130750.0,130171.95099592209
20180504095200,130625.0,130171.95099592209
20180504095300,130625.0,130111.64860725403
20180504095400,130750.0,130058.62873792648
20180504095500,130625.0,130118.97892355919
20180504095600,130750.0,130111.64860725403
20180504095700,130625.0,130118.97892355919
20180504095800,130250.0,130111.64860725403
20180504095900,130125.0,129877.2001504898
20180504100000,130125.0,129656.6693007946
20180504100100,130125.0,129603.25402021408
20180504100200,129875.0,129603.25402021408
20180504100300,129625.0,129481.50211572647
20180504100400,129625.0,129252.15055346489
20180504100500,129625.0,129144.59869265556
20180504100600,129625.0,129144.59869265556
20180504100700,129875.0,129144.59869265556
20180504100800,129875.0,129266.96326732635
20180504100900,130125.0,129374.33263063431
20180504101000,130125.0,129496.2757229805
20180504101100,130250.0,129603.25402021408
20180504101200,130250.0,129664.0430688858
20180504101300,130375.0,129717.41055250168
20180504101400,130250.0,129778.0866265297
20180504101500,130125.0,129770.7215487957
20180504101600,130250.0,129656.6693007946
20180504101700,130250.0,129664.0430688858
20180504101800,130250.0,129717.41055250168
20180504101900,130125.0,129717.41055250168
20180504102000,130125.0,129656.6693007946
20180504102100,130125.0,129603.25402021408
20180504102200,130375.0,129603.25402021408
20180504102300,130250.0,129724.77128505707
20180504102400,130125.0,129770.7215487957
20180504102500,130250.0,129656.6693007946
20180504102600,130250.0,129664.0430688858
20180504102700,130125.0,129717.41055250168
20180504102800,130125.0,129656.6693007946
20180504102900,130125.0,129603.25402021408
20180504103000,130250.0,129603.25402021408
20180504103100,130125.0,129664.0430688858
20180504103200,130125.0,129656.6693007946
20180504103300,130125.0,129603.25402021408
20180504103400,130125.0,129603.25402021408
20180504103500,130125.0,129603.25402021408
20180504103600,130125.0,129603.25402021408
20180504103700,130125.0,129603.25402021408
20180504103800,130250.0,129603.25402021408
20180504103900,130250.0,129664.0430688858
20180504104000,130125.0,129717.41055250168
20180504104100,130250.0,129656.6693007946
20180504104200,130125.0,129664.0430688858
20180504104300,130250.0,129656.6693007946
20180504104400,130125.0,129664.0430688858
20180504104500,130125.0,129656.6693007946
20180504104600,130125.0,129603.25402021408
20180504104700,130125.0,129603.25402021408
20180504104800,130125.0,129603.25402021408
20180504104900,130125.0,129603.25402021408
20180504105000,130125.0,129603.25402021408
20180504105100,130125.0,129603.25402021408
20180504105200,130125.0,129603.25402021408
20180504105300,130125.0,129603.25402021408
20180504105400,130250.0,129603.25402021408
20180504105500,130125.0,129664.0430688858
20180504105600,130250.0,129656.6693007946
20180504105700,130250.0,129664.0430688858
20180504105800,130250.0,129717.41055250168
20180504105900,130250.0,129717.41055250168
20180504110000,130125.0,129717.41055250168
20180504110100,130125.0,129656.6693007946
20180504110200,130125.0,129603.25402021408
20180504110300,130250.0,129603.25402021408
20180504110400,130250.0,129664.0430688858
20180504110500,130250.0,129717.41055250168
20180504110600,130125.0,129717.41055250168
20180504110700,130125.0,129656.6693007946
20180504110800,130125.0,129603.25402021408
20180504110900,130125.0,129603.25402021408
20180504111000,130125.0,129603.25402021408
20180504111100,130125.0,129603.25402021408
20180504111200,130125.0,129603.25402021408
20180504111300,130125.0,129603.25402021408
20180504111400,130125.0,129603.25402021408
20180504111500,130125.0,129603.25402021408
20180504111600,130125.0,129603.25402021408
20180504111700,130000.0,129603.25402021408
20180504111800,129625.0,129542.4084842205
20180504111900,129750.0,129305.85261583328
20180504112000,129750.0,129205.80922365189
20180504112100,129750.0,129259.56342816353
20180504112200,129750.0,129259.56342816353
20180504112300,129875.0,129259.56342816353
20180504112400,129875.0,129320.66967487335
20180504112500,129875.0,129374.33263063431
20180504112600,129750.0,129374.33263063431
20180504112700,129875.0,129313.26983571053
20180504112800,130125.0,129320.66967487335
20180504112900,130125.0,129496.2757229805
20180504113000,130125.0,129603.25402021408
20180504113100,130125.0,129603.25402021408
20180504113200,130125.0,129603.25402021408
20180504113300,130125.0,129603.25402021408
20180504113400,130125.0,129603.25402021408
20180504113500,130125.0,129603.25402021408
20180504113600,129875.0,129603.25402021408
20180504113700,129625.0,129481.50211572647
20180504113800,129625.0,129252.15055346489
20180504113900,129750.0,129144.59869265556
20180504114000,130125.0,129205.80922365189
20180504114100,130125.0,129442.70836114883
20180504114200,130125.0,129603.25402021408
20180504114300,130125.0,129603.25402021408
20180504114400,130125.0,129603.25402021408
20180504114500,130125.0,129603.25402021408
20180504114600,130125.0,129603.25402021408
20180504114700,130375.0,129603.25402021408
20180504114800,130250.0,129724.77128505707
20180504114900,130125.0,129770.7215487957
20180504115000,130250.0,129656.6693007946
20180504115100,130125.0,129664.0430688858
20180504115200,130000.0,129656.6693007946
20180504115300,130250.0,129542.4084842205
20180504115400,130250.0,129610.62778830528
20180504115500,130125.0,129717.41055250168
20180504115600,130125.0,129656.6693007946
20180504115700,130125.0,129603.25402021408
20180504115800,130125.0,129603.25402021408
20180504115900,130125.0,129603.25402021408
20180504120000,130125.0,129603.25402021408
20180504120100,130125.0,129603.25402021408
20180504120200,130125.0,129603.25402021408
