datetime,original,predicted
20180504090200,1344500.0,1340381.7948400974
20180504090300,1345750.0,1341211.9878530502
20180504090400,1346000.0,1343736.0138893127
20180504090500,1351000.0,1344449.8182535172
20180504090600,1355750.0,1347199.4317770004
20180504090700,1356500.0,1352015.109181404
20180504090800,1355000.0,1354606.5468788147
20180504090900,1350750.0,1354167.6233410835
20180504091000,1349000.0,1351244.4190382957
20180504091100,1344000.0,1348353.7701964378
20180504091200,1341250.0,1344907.981723547
20180504091300,1343000.0,1341127.8958320618
20180504091400,1345750.0,1340769.5844471455
20180504091500,1343750.0,1343037.279367447
20180504091600,1340500.0,1343263.240724802
20180504091700,1337000.0,1340615.061044693
20180504091800,1335000.0,1337246.2323009968
20180504091900,1329500.0,1334549.3632256985
20180504092000,1327750.0,1330693.0653452873
20180504092100,1326500.0,1327179.9227297306
20180504092200,1326500.0,1325691.6607618332
20180504092300,1327250.0,1325103.563040495
20180504092400,1326500.0,1325503.0576586723
20180504092500,1323000.0,1325456.4101696014
20180504092600,1325000.0,1323238.3249402046
20180504092700,1328250.0,1322656.180381775
20180504092800,1328000.0,1325329.8407495022
20180504092900,1328250.0,1326725.38292408
20180504093000,1322500.0,1326740.9129142761
20180504093100,1319500.0,1323795.6790328026
20180504093200,1321000.0,1319485.3014945984
20180504093300,1320750.0,1318870.917826891
20180504093400,1321500.0,1319445.2111124992
20180504093500,1322000.0,1319727.7706563473
20180504093600,1320750.0,1320348.4813570976
20180504093700,1320500.0,1319916.9489443302
20180504093800,1319500.0,1319193.6827898026
20180504093900,1318000.0,1318541.5382385254
20180504094000,1315000.0,1317267.8489685059
20180504094100,1313500.0,1314954.6281695366
20180504094200,1312000.0,1312732.9480350018
20180504094300,1309750.0,1311219.464212656
20180504094400,1309250.0,1309302.948385477
20180504094500,1308500.0,1307968.4908390045
20180504094600,1308750.0,1307329.0291130543
20180504094700,1309750.0,1307107.5541973114
20180504094800,1310000.0,1307762.6897096634
20180504094900,1309250.0,1308370.8326220512
20180504095000,1309500.0,1308086.9789123535
20180504095100,1309250.0,1307865.590274334
20180504095200,1308750.0,1307850.0027656555
20180504095300,1308000.0,1307463.190972805
20180504095400,1307500.0,1306823.6142098904
20180504095500,1307250.0,1306199.5386779308
20180504095600,1307500.0,1305828.113079071
20180504095700,1307500.0,1305843.7293469906
20180504095800,1307000.0,1305962.361216545
20180504095900,1307500.0,1305693.9224600792
20180504100000,1306500.0,1305725.1262366772
20180504100100,1306500.0,1305425.426185131
20180504100200,1306750.0,1304950.898706913
20180504100300,1308500.0,1305085.146844387
20180504100400,1309500.0,1306143.3718800545
20180504100500,1309250.0,1307510.0110173225
20180504100600,1309250.0,1307850.0027656555
20180504100700,1308250.0,1307731.4571738243
20180504100800,1308500.0,1307194.8672533035
20180504100900,1307750.0,1306854.8755049706
20180504101000,1308500.0,1306570.8492398262
20180504101100,1309000.0,1306617.6980435848
20180504101200,1308750.0,1307241.7448163033
20180504101300,1308000.0,1307344.6453809738
20180504101400,1308250.0,1306823.6142098904
20180504101500,1308500.0,1306602.1105349064
20180504101600,1310750.0,1306854.8755049706
20180504101700,1312000.0,1308180.6190013885
20180504101800,1312250.0,1309917.159497738
20180504101900,1313000.0,1310643.2152986526
20180504102000,1314000.0,1311163.4987294674
20180504102100,1316500.0,1312054.2874634266
20180504102200,1320000.0,1313866.0908937454
20180504102300,1323250.0,1316920.0347065926
20180504102400,1321500.0,1320308.275938034
20180504102500,1320750.0,1320906.784504652
