datetime,original,predicted
20180504090200,203250.0,203786.13567352295
20180504090300,203250.0,203121.08516693115
20180504090400,203250.0,203003.01861763
20180504090500,203125.0,203003.01861763
20180504090600,203000.0,202935.94193458557
20180504090700,202875.0,202809.8223209381
20180504090800,203000.0,202683.68339538574
20180504090900,203125.0,202691.72036647797
20180504091000,203500.0,202817.85607337952
20180504091100,203875.0,203078.11295986176
20180504091200,203750.0,203456.33339881897
20180504091300,203875.0,203566.31469726562
20180504091400,203875.0,203574.34844970703
20180504091500,203750.0,203633.3431005478
20180504091600,204250.0,203566.31469726562
20180504091700,204250.0,203775.3918170929
20180504091800,203875.0,204011.2931728363
20180504091900,203750.0,203810.2948665619
20180504092000,203375.0,203566.31469726562
20180504092100,203125.0,203306.18333816528
20180504092200,203375.0,202994.9848651886
20180504092300,203375.0,203011.0491514206
20180504092400,203250.0,203129.1253566742
20180504092500,203250.0,203062.0551109314
20180504092600,202375.0,203003.01861763
20180504092700,202250.0,202533.38527679443
20180504092800,202625.0,202052.82139778137
20180504092900,202875.0,202195.07932662964
20180504093000,203125.0,202506.50310516357
20180504093100,202750.0,202758.80348682404
20180504093200,202375.0,202675.6432056427
20180504093300,202125.0,202297.1556186676
20180504093400,202250.0,201985.70609092712
20180504093500,202375.0,201934.66472625732
20180504093600,202375.0,202060.8583688736
20180504093700,202250.0,202119.93992328644
20180504093800,202250.0,202052.82139778137
20180504093900,202375.0,201993.74628067017
20180504094000,202375.0,202060.8583688736
20180504094100,202250.0,202119.93992328644
20180504094200,202375.0,202052.82139778137
20180504094300,202375.0,202060.8583688736
20180504094400,202250.0,202119.93992328644
20180504094500,202750.0,202052.82139778137
20180504094600,202625.0,202262.18497753143
20180504094700,202875.0,202431.37335777283
20180504094800,202750.0,202506.50310516357
20180504094900,202875.0,202557.53803253174
20180504095000,202750.0,202565.56856632233
20180504095100,202625.0,202557.53803253174
20180504095200,202250.0,202431.37335777283
20180504095300,202250.0,202170.97163200378
20180504095400,202375.0,201993.74628067017
20180504095500,202250.0,202060.8583688736
