datetime,original,predicted
20180504090200,53150.0,53052.27857530117
20180504090300,53225.0,52944.95106339455
20180504090400,53125.0,52857.91656076908
20180504090500,52550.0,52842.221814394
20180504090600,52200.0,52533.73445868492
20180504090700,52550.0,52129.17501330376
20180504090800,52575.0,52148.97659122944
20180504090900,52600.0,52307.241237163544
20180504091000,52550.0,52329.474395513535
20180504091100,52500.0,52316.24959409237
20180504091200,52350.0,52271.73943221569
20180504091300,52200.0,52179.63533103466
20180504091400,52300.0,52045.07996439934
20180504091500,52600.0,52029.679346084595
20180504091600,52875.0,52214.667627215385
20180504091700,52825.0,52469.39348876476
20180504091800,52850.0,52559.515422582626
20180504091900,53050.0,52550.611197948456
20180504092000,53150.0,52654.27581071854
20180504092100,53225.0,52782.53756761551
20180504092200,53200.0,52857.91656076908
20180504092300,53100.0,52876.839408278465
20180504092400,53025.0,52820.49835622311
20180504092500,52900.0,52744.99513506889
20180504092600,52800.0,52656.181249022484
20180504092700,52825.0,52558.116030693054
20180504092800,52925.0,52528.59543859959
20180504092900,52975.0,52585.68368554115
20180504093000,52975.0,52650.10869204998
20180504093100,52950.0,52670.61361968517
20180504093200,52975.0,52658.97272527218
20180504093300,52975.0,52660.36298274994
20180504093400,52925.0,52670.61361968517
20180504093500,52800.0,52647.324523329735
20180504093600,52800.0,52568.41233968735
20180504093700,52775.0,52516.87781512737
20180504093800,52725.0,52505.156537890434
20180504093900,52625.0,52471.355560421944
20180504094000,52600.0,52403.60562801361
20180504094100,52450.0,52350.278931856155
20180504094200,52350.0,52268.916898965836
20180504094300,52500.0,52158.67916345596
20180504094400,52650.0,52188.110238313675
20180504094500,52650.0,52321.87091112137
20180504094600,52600.0,52384.257116913795
20180504094700,52575.0,52360.673892498016
20180504094800,52575.0,52328.06769609451
20180504094900,52575.0,52317.65812039375
20180504095000,52675.0,52317.65812039375
20180504095100,52675.0,52364.88668322563
20180504095200,52775.0,52406.41537308693
20180504095300,52800.0,52453.46672832966
20180504095400,52800.0,52506.55775666237
20180504095500,52800.0,52516.87781512737
20180504095600,52775.0,52516.87781512737
20180504095700,52700.0,52505.156537890434
20180504095800,52675.0,52459.610533714294
20180504095900,52625.0,52416.78475737572
20180504100000,52575.0,52382.852244377136
20180504100100,52525.0,52338.47361803055
20180504100200,52475.0,52294.005474448204
20180504100300,52450.0,52249.45329427719
20180504100400,52400.0,52216.68815910816
20180504100500,52375.0,52182.46699869633
20180504100600,52425.0,52149.60869252682
20180504100700,52500.0,52162.921184301376
20180504100800,52575.0,52219.51069235802
20180504100900,52550.0,52286.39468252659
20180504101000,52625.0,52305.83453774452
20180504101100,52650.0,52330.879268050194
20180504101200,52675.0,52373.87311756611
20180504101300,52625.0,52396.040508151054
20180504101400,52575.0,52382.852244377136
20180504101500,52600.0,52338.47361803055
20180504101600,52600.0,52329.474395513535
20180504101700,52600.0,52339.87849056721
20180504101800,52525.0,52339.87849056721
20180504101900,52475.0,52304.424184560776
20180504102000,52500.0,52249.45329427719
20180504102100,52500.0,52240.41753411293
20180504102200,52475.0,52250.86364746094
20180504102300,52475.0,52239.007180929184
20180504102400,52450.0,52228.55558693409
20180504102500,52475.0,52216.68815910816
20180504102600,52400.0,52218.10216605663
20180504102700,52375.0,52192.936861515045
20180504102800,52375.0,52149.60869252682
20180504102900,52425.0,52139.11690711975
20180504103000,52450.0,52162.921184301376
20180504103100,52425.0,52195.763048529625
20180504103200,52350.0,52194.350868463516
20180504103300,52350.0,52148.192858695984
20180504103400,52375.0,52116.70471429825
20180504103500,52375.0,52128.62146794796
20180504103600,52325.0,52139.11690711975
20180504103700,52250.0,52115.288880467415
20180504103800,52200.0,52058.452743291855
20180504103900,52200.0,52002.906385064125
20180504104000,52200.0,51981.78762495518
20180504104100,52250.0,51981.78762495518
20180504104200,52250.0,52005.74536025524
20180504104300,52275.0,52026.8440246582
20180504104400,52225.0,52038.80462348461
20180504104500,52175.0,52025.424537062645
20180504104600,52225.0,51980.36631047726
20180504104700,52225.0,51983.2089394331
20180504104800,52250.0,52004.32587265968
20180504104900,52175.0,52016.297432780266
20180504105000,52150.0,51990.92751741409
20180504105100,52075.0,51947.23214507103
20180504105200,52050.0,51900.60462653637
20180504105300,52050.0,51856.74483478069
20180504105400,52025.0,51846.12516760826
20180504105500,51975.0,51834.073224663734
20180504105600,51900.0,51799.31130707264
20180504105700,51875.0,51741.74807071686
20180504105800,51975.0,51697.612419724464
20180504105900,52050.0,51735.36859750748
20180504110000,52100.0,51814.235109090805
20180504110100,52075.0,51870.21078467369
20180504110200,52000.0,51879.39817607403
20180504110300,51975.0,51832.644602656364
20180504110400,51975.0,51788.666063547134
20180504110500,51975.0,51778.017166256905
20180504110600,51975.0,51778.017166256905
20180504110700,52075.0,51778.017166256905
20180504110800,52050.0,51826.29435956478
20180504110900,52050.0,51856.74483478069
20180504111000,52050.0,51846.12516760826
20180504111100,52050.0,51846.12516760826
20180504111200,52025.0,51846.12516760826
20180504111300,52000.0,51834.073224663734
20180504111400,52050.0,51811.38151884079
20180504111500,52050.0,51824.869391322136
20180504111600,52100.0,51846.12516760826
20180504111700,52075.0,51870.21078467369
20180504111800,52050.0,51879.39817607403
20180504111900,52075.0,51856.74483478069
20180504112000,52025.0,51858.1716299057
20180504112100,52025.0,51844.69837248325
20180504112200,52100.0,51823.44259619713
20180504112300,52175.0,51859.596598148346
20180504112400,52175.0,51927.48537361622
20180504112500,52200.0,51959.229281544685
20180504112600,52175.0,51971.220937371254
20180504112700,52175.0,51969.801449775696
20180504112800,52200.0,51959.229281544685
20180504112900,52175.0,51971.220937371254
20180504113000,52175.0,51969.801449775696
20180504113100,52175.0,51959.229281544685
20180504113200,52125.0,51959.229281544685
20180504113300,52150.0,51935.22587418556
20180504113400,52125.0,51926.062232255936
20180504113500,52100.0,51924.640917778015
20180504113600,52050.0,51902.029594779015
20180504113700,52075.0,51867.3608481884
20180504113800,52050.0,51858.1716299057
20180504113900,52025.0,51856.74483478069
20180504114000,52025.0,51834.073224663734
20180504114100,52050.0,51823.44259619713
20180504114200,52050.0,51835.50001978874
20180504114300,52075.0,51846.12516760826
20180504114400,52050.0,51858.1716299057
20180504114500,52050.0,51856.74483478069
20180504114600,52050.0,51846.12516760826
20180504114700,51975.0,51846.12516760826
20180504114800,51950.0,51809.95106995106
20180504114900,52025.0,51765.93416631222
20180504115000,52025.0,51791.523307561874
20180504115100,52075.0,51823.44259619713
20180504115200,52050.0,51847.55196273327
20180504115300,52075.0,51856.74483478069
20180504115400,52025.0,51858.1716299057
20180504115500,52050.0,51844.69837248325
20180504115600,52075.0,51835.50001978874
20180504115700,52050.0,51858.1716299057
20180504115800,52050.0,51856.74483478069
20180504115900,52050.0,51846.12516760826
20180504120000,52075.0,51846.12516760826
20180504120100,52075.0,51858.1716299057
20180504120200,52050.0,51868.78764331341
20180504120300,52050.0,51856.74483478069
20180504120400,51975.0,51846.12516760826
20180504120500,51925.0,51809.95106995106
20180504120600,51975.0,51753.84385883808
20180504120700,51925.0,51756.702929735184
20180504120800,51925.0,51753.84385883808
20180504120900,51950.0,51732.51135349274
20180504121000,51950.0,51744.60896849632
20180504121100,51975.0,51755.274307727814
20180504121200,51925.0,51767.36461520195
20180504121300,51925.0,51753.84385883808
20180504121400,51975.0,51732.51135349274
20180504121500,51950.0,51756.702929735184
20180504121600,51925.0,51765.93416631222
20180504121700,51950.0,51743.18034648895
20180504121800,51925.0,51744.60896849632
20180504121900,51975.0,51743.18034648895
20180504122000,51900.0,51756.702929735184
20180504122100,51850.0,51741.74807071686
20180504122200,51825.0,51685.489228367805
20180504122300,51850.0,51651.96228325367
20180504122400,51875.0,51653.39638590813
20180504122500,51950.0,51676.230588555336
20180504122600,51875.0,51723.265501856804
20180504122700,51850.0,51718.972328305244
20180504122800,51900.0,51674.79648590088
20180504122900,51950.0,51688.35560679436
20180504123000,51950.0,51733.93997550011
20180504123100,51925.0,51755.274307727814
20180504123200,51900.0,51743.18034648895
20180504123300,51900.0,51720.4064309597
20180504123400,51900.0,51709.728303551674
20180504123500,51875.0,51709.728303551674
20180504123600,51950.0,51697.612419724464
20180504123700,51975.0,51723.265501856804
20180504123800,51950.0,51767.36461520195
20180504123900,51925.0,51765.93416631222
20180504124000,51950.0,51743.18034648895
20180504124100,51975.0,51744.60896849632
20180504124200,51925.0,51767.36461520195
20180504124300,51950.0,51753.84385883808
20180504124400,51975.0,51744.60896849632
20180504124500,52050.0,51767.36461520195
