datetime,original,predicted
20180504090200,80250.0,80073.20226430893
20180504090300,79999.99999999999,79935.02737283707
20180504090400,79950.0,79786.0267996788
20180504090500,80100.00000000001,79658.32323431969
20180504090600,80400.0,79708.66788625717
20180504090700,80375.0,79912.65065073967
20180504090800,80300.0,80024.67695474625
20180504090900,80225.0,79979.16723489761
20180504091000,80300.0,79912.92890310287
20180504091100,80250.0,79917.24776029587
20180504091200,80175.0,79924.70111846924
20180504091300,80150.0,79868.68677735329
20180504091400,80100.00000000001,79825.81688761711
20180504091500,80075.0,79791.81777834892
20180504091600,80050.00000000001,79759.22420024872
20180504091700,80025.0,79736.99254989624
20180504091800,80075.0,79714.74187374115
20180504091900,80075.0,79728.0361533165
20180504092000,80025.0,79748.83135557175
20180504092100,79950.0,79725.14660954475
20180504092200,79975.0,79668.74461770058
20180504092300,79950.0,79649.34305548668
20180504092400,79975.0,79647.89471626282
20180504092500,79975.0,79649.34305548668
20180504092600,79850.0,79659.77395176888
20180504092700,79825.0,79600.34447908401
20180504092800,79850.0,79536.14666461945
20180504092900,79800.0,79537.59976029396
20180504093000,79750.0,79524.22224283218
20180504093100,79700.0,79479.38793897629
20180504093200,79750.0,79434.48942303658
20180504093300,79775.0,79437.40037083626
20180504093400,79775.0,79470.35306096077
20180504093500,79775.0,79480.84341287613
20180504093600,79725.0,79480.84341287613
20180504093700,79725.0,79456.94700479507
20180504093800,79750.0,79435.94727516174
20180504093900,79700.0,79447.90499210358
20180504094000,79650.0,79434.48942303658
20180504094100,79625.0,79389.52431678772
20180504094200,79650.0,79356.4812541008
20180504094300,79675.0,79357.9414844513
20180504094400,79625.0,79380.45614361763
20180504094500,79625.0,79367.01441407204
20180504094600,79700.0,79345.95047235489
20180504094700,79650.0,79381.9139957428
20180504094800,79650.0,79389.52431678772
20180504094900,79725.0,79368.4722661972
20180504095000,79700.0,79404.40962910652
20180504095100,79625.0,79423.98242354393
20180504095200,79625.0,79377.54281759262
20180504095300,79625.0,79345.95047235489
20180504095400,79550.0,79345.95047235489
20180504095500,79525.0,79309.94176268578
20180504095600,79575.0,79266.25376343727
20180504095700,79575.0,79279.73830103874
20180504095800,79700.0,79300.84980726242
20180504095900,79625.0,79360.8548104763
20180504100000,79525.0,79377.54281759262
20180504100100,79550.0,79297.92934656143
20180504100200,79575.0,79267.71637201309
20180504100300,79575.0,79290.29762148857
20180504100400,79600.0,79300.84980726242
20180504100500,79525.0,79312.85984516144
20180504100600,79525.0,79287.37716078758
20180504100700,79525.0,79255.68730831146
20180504100800,79550.0,79255.68730831146
20180504100900,79525.0,79267.71637201309
20180504101000,79600.0,79266.25376343727
20180504101100,79625.0,79291.75785183907
20180504101200,79550.0,79335.41017770767
20180504101300,79475.0,79309.94176268578
20180504101400,79500.0,79242.19325780869
20180504101500,79625.0,79222.5063085556
20180504101600,79650.0,79293.2133257389
20180504101700,79550.0,79357.9414844513
20180504101800,79550.0,79320.48681378365
20180504101900,79625.0,79278.27807068825
20180504102000,79650.0,79314.32007551193
20180504102100,79625.0,79357.9414844513
20180504102200,79575.0,79356.4812541008
20180504102300,79525.0,79321.94704413414
20180504102400,79525.0,79276.81784033775
20180504102500,79475.0,79255.68730831146
20180504102600,79425.0,79231.6196680069
20180504102700,79425.0,79186.35728359222
20180504102800,79425.0,79165.16491770744
20180504102900,79375.0,79165.16491770744
20180504103000,79350.0,79141.02830886841
20180504103100,79325.0,79107.7260196209
20180504103200,79325.0,79085.01158952713
20180504103300,79325.0,79074.38330054283
20180504103400,79325.0,79074.38330054283
20180504103500,79325.0,79074.38330054283
20180504103600,79350.0,79074.38330054283
20180504103700,79375.0,79086.4789545536
20180504103800,79425.0,79109.19100642204
20180504103900,79425.0,79143.96066069603
20180504104000,79400.0,79165.16491770744
20180504104100,79425.0,79153.10018062592
20180504104200,79375.0,79154.56516742706
20180504104300,79350.0,79141.02830886841
20180504104400,79300.0,79107.7260196209
20180504104500,79325.0,79072.91593551636
20180504104600,79325.0,79063.7526333332
20180504104700,79300.0,79074.38330054283
20180504104800,79425.0,79062.28526830673
20180504104900,79325.0,79112.11860179901
20180504105000,79275.0,79116.87267422676
20180504105100,79250.0,79050.17772316933
20180504105200,79225.0,79016.77792668343
20180504105300,79250.0,78994.00166273117
20180504105400,79225.0,78995.46902775764
20180504105500,79150.0,78994.00166273117
20180504105600,79125.0,78946.92707061768
20180504105700,79125.0,78902.73250937462
20180504105800,79150.0,78892.04476475716
20180504105900,79100.0,78904.20700907707
20180504110000,79050.0,78890.5702650547
20180504110100,79025.0,78844.82510089874
20180504110200,79025.0,78811.21126413345
20180504110300,78975.0,78800.49022436142
20180504110400,78975.0,78776.08725428581
20180504110500,78925.0,78754.61901426315
20180504110600,78925.0,78730.18274903297
20180504110700,78925.0,78708.6859703064
20180504110800,78925.0,78708.6859703064
20180504110900,78925.0,78708.6859703064
20180504111000,78925.0,78708.6859703064
20180504111100,78925.0,78708.6859703064
20180504111200,78875.0,78708.6859703064
20180504111300,78850.0,78684.21640992165
20180504111400,78875.0,78650.43847560883
20180504111500,78925.0,78651.92010998726
20180504111600,79025.0,78687.17492222786
20180504111700,79025.0,78757.57277011871
20180504111800,79050.0,78800.49022436142
20180504111900,79025.0,78812.68814206123
20180504112000,79025.0,78811.21126413345
20180504112100,79025.0,78800.49022436142
20180504112200,79025.0,78800.49022436142
20180504112300,79025.0,78800.49022436142
20180504112400,79050.0,78800.49022436142
20180504112500,79025.0,78812.68814206123
20180504112600,79050.0,78811.21126413345
20180504112700,79025.0,78812.68814206123
20180504112800,79025.0,78811.21126413345
20180504112900,79025.0,78800.49022436142
20180504113000,78950.0,78800.49022436142
20180504113100,78925.0,78763.87744545937
20180504113200,78925.0,78719.43554878235
20180504113300,78925.0,78708.6859703064
20180504113400,78925.0,78708.6859703064
20180504113500,78925.0,78708.6859703064
20180504113600,78875.0,78708.6859703064
20180504113700,78825.0,78684.21640992165
20180504113800,78825.0,78638.1858587265
20180504113900,78825.0,78616.62724614143
20180504114000,78825.0,78616.62724614143
20180504114100,78850.0,78616.62724614143
20180504114200,78825.0,78628.89175415039
20180504114300,78900.0,78627.40774154663
20180504114400,78925.0,78653.39936614037
20180504114500,78925.0,78697.93163537979
20180504114600,78900.0,78708.6859703064
20180504114700,78825.0,78696.45237922668
20180504114800,78900.0,78648.95684123039
20180504114900,78975.0,78653.39936614037
20180504115000,79025.0,78722.39168286324
20180504115100,78975.0,78779.04101014137
20180504115200,78950.0,78776.08725428581
20180504115300,78925.0,78742.40207076073
20180504115400,78950.0,78719.43554878235
20180504115500,78925.0,78720.91480493546
20180504115600,78950.0,78719.43554878235
20180504115700,78875.0,78720.91480493546
20180504115800,78775.0,78694.97312307358
20180504115900,78750.0,78613.66159915924
20180504120000,78750.0,78558.22516679764
20180504120100,78750.0,78547.4232673645
20180504120200,78725.0,78547.4232673645
20180504120300,78725.0,78535.13259887695
20180504120400,78725.0,78524.32356476784
20180504120500,78725.0,78524.32356476784
20180504120600,78675.0,78524.32356476784
20180504120700,78650.0,78499.7208237648
20180504120800,78725.0,78465.76214432716
20180504120900,78650.0,78491.8703019619
20180504121000,78650.0,78487.41350769997
20180504121100,78650.0,78454.93170619011
20180504121200,78700.0,78454.93170619011
20180504121300,78725.0,78479.56060767174
20180504121400,78750.0,78513.50739598274
20180504121500,78725.0,78536.61661148071
20180504121600,78725.0,78535.13259887695
20180504121700,78725.0,78524.32356476784
20180504121800,78725.0,78524.32356476784
20180504121900,78750.0,78524.32356476784
20180504122000,78750.0,78536.61661148071
20180504122100,78750.0,78547.4232673645
20180504122200,78725.0,78547.4232673645
20180504122300,78825.0,78535.13259887695
20180504122400,78975.0,78573.46959114075
20180504122500,78950.0,78690.1262998581
20180504122600,78975.0,78742.40207076073
20180504122700,78925.0,78743.88370513916
20180504122800,78925.0,78730.18274903297
20180504122900,79000.0,78708.6859703064
20180504123000,79025.0,78745.35820484161
20180504123100,79025.0,78789.76918458939
20180504123200,79050.0,78800.49022436142
20180504123300,79050.0,78812.68814206123
20180504123400,79025.0,78823.40442538261
20180504123500,79050.0,78811.21126413345
20180504123600,79050.0,78812.68814206123
20180504123700,79025.0,78823.40442538261
20180504123800,79050.0,78811.21126413345
20180504123900,79050.0,78812.68814206123
20180504124000,78925.0,78823.40442538261
20180504124100,78925.0,78762.39818930626
20180504124200,78950.0,78708.6859703064
20180504124300,78925.0,78720.91480493546
20180504124400,78925.0,78719.43554878235
20180504124500,78900.0,78708.6859703064
20180504124600,78950.0,78696.45237922668
20180504124700,78925.0,78710.16284823418
20180504124800,78900.0,78719.43554878235
20180504124900,78825.0,78696.45237922668
20180504125000,78850.0,78648.95684123039
20180504125100,78825.0,78628.89175415039
20180504125200,78825.0,78627.40774154663
20180504125300,78825.0,78616.62724614143
20180504125400,78825.0,78616.62724614143
20180504125500,78850.0,78616.62724614143
20180504125600,78800.0,78628.89175415039
20180504125700,78725.0,78615.14798998833
20180504125800,78950.0,78556.74115419388
20180504125900,78975.0,78634.80164408684
20180504130000,78900.0,78743.88370513916
20180504130100,78925.0,78717.95629262924
20180504130200,78825.0,78697.93163537979
20180504130300,78825.0,78659.72782373428
20180504130400,78750.0,78616.62724614143
20180504130500,78775.0,78579.81707453728
20180504130600,78825.0,78559.7091794014
20180504130700,78825.0,78595.05674242973
20180504130800,78925.0,78616.62724614143
20180504130900,78975.0,78665.64484834671
20180504131000,78950.0,78733.13888311386
20180504131100,78875.0,78742.40207076073
20180504131200,78825.0,78694.97312307358
20180504131300,78825.0,78638.1858587265
20180504131400,78825.0,78616.62724614143
20180504131500,78825.0,78616.62724614143
20180504131600,78775.0,78616.62724614143
20180504131700,78725.0,78592.09347367287
20180504131800,78725.0,78545.93687653542
20180504131900,78825.0,78524.32356476784
20180504132000,78825.0,78573.46959114075
20180504132100,78775.0,78616.62724614143
20180504132200,78725.0,78592.09347367287
20180504132300,78725.0,78545.93687653542
20180504132400,78725.0,78524.32356476784
20180504132500,78725.0,78524.32356476784
20180504132600,78725.0,78524.32356476784
20180504132700,78725.0,78524.32356476784
20180504132800,78750.0,78524.32356476784
20180504132900,78725.0,78536.61661148071
20180504133000,78750.0,78535.13259887695
20180504133100,78750.0,78536.61661148071
20180504133200,78750.0,78547.4232673645
20180504133300,78725.0,78547.4232673645
20180504133400,78750.0,78535.13259887695
20180504133500,78750.0,78536.61661148071
20180504133600,78750.0,78547.4232673645
20180504133700,78700.0,78547.4232673645
20180504133800,78700.0,78522.83717393875
20180504133900,78850.0,78501.20721459389
20180504134000,78925.0,78574.95122551918
20180504134100,78975.0,78676.41107439995
20180504134200,78950.0,78733.13888311386
20180504134300,78925.0,78742.40207076073
20180504134400,78925.0,78719.43554878235
20180504134500,78950.0,78708.6859703064
20180504134600,78950.0,78720.91480493546
20180504134700,78950.0,78731.66200518608
20180504134800,78925.0,78731.66200518608
20180504134900,78925.0,78719.43554878235
20180504135000,78925.0,78708.6859703064
20180504135100,78875.0,78708.6859703064
20180504135200,78950.0,78684.21640992165
20180504135300,78950.0,78699.4108915329
20180504135400,78900.0,78731.66200518608
20180504135500,78825.0,78707.20671415329
20180504135600,78825.0,78648.95684123039
20180504135700,78800.0,78616.62724614143
20180504135800,78725.0,78604.36273813248
20180504135900,78775.0,78556.74115419388
20180504140000,78775.0,78548.90490174294
20180504140100,78975.0,78570.50632238388
20180504140200,79050.0,78668.6009824276
20180504140300,79050.0,78791.24130606651
20180504140400,79125.0,78823.40442538261
20180504140500,79225.0,78859.95299220085
20180504140600,79175.0,78940.66758155823
20180504140700,79100.0,78959.07028913498
20180504140800,79125.0,78901.26038789749
20180504140900,79175.0,78881.35226368904
20180504141000,79275.0,78916.36687517166
20180504141100,79200.0,78986.28194332123
20180504141200,79150.0,78992.53191947937
20180504141300,79125.0,78936.25359535217
20180504141400,79050.0,78902.73250937462
20180504141500,79075.0,78855.52949309349
20180504141600,79000.0,78835.5904519558
20180504141700,78975.0,78809.73438620567
20180504141800,79050.0,78765.35432338715
20180504141900,79100.0,78791.24130606651
20180504142000,79075.0,78847.77410030365
20180504142100,79100.0,78857.00399279594
20180504142200,79050.0,78858.48087072372
20180504142300,79050.0,78844.82510089874
20180504142400,79075.0,78823.40442538261
20180504142500,79075.0,78835.5904519558
20180504142600,79075.0,78846.2996006012
20180504142700,79025.0,78846.2996006012
20180504142800,79000.0,78821.92992568016
20180504142900,79075.0,78788.2923066616
20180504143000,79125.0,78814.16264176369
20180504143100,79050.0,78870.65500617027
20180504143200,79075.0,78855.52949309349
20180504143300,79075.0,78835.5904519558
20180504143400,79025.0,78846.2996006012
20180504143500,79000.0,78821.92992568016
20180504143600,79075.0,78788.2923066616
20180504143700,79075.0,78814.16264176369
20180504143800,79050.0,78846.2996006012
20180504143900,79075.0,78834.11833047867
20180504144000,79100.0,78835.5904519558
20180504144100,79125.0,78858.48087072372
20180504144200,79175.0,78881.35226368904
20180504144300,79075.0,78916.36687517166
20180504144400,79125.0,78889.09576535225
20180504144500,79100.0,78870.65500617027
20180504144600,79050.0,78879.87776398659
20180504144700,79075.0,78844.82510089874
20180504144800,79075.0,78835.5904519558
20180504144900,79125.0,78846.2996006012
20180504145000,79225.0,78870.65500617027
20180504145100,79150.0,78940.66758155823
20180504145200,79100.0,78946.92707061768
20180504145300,79050.0,78890.5702650547
20180504145400,79075.0,78844.82510089874
20180504145500,79075.0,78835.5904519558
20180504145600,79025.0,78846.2996006012
20180504145700,78950.0,78821.92992568016
20180504145800,78900.0,78763.87744545937
20180504145900,78925.0,78707.20671415329
20180504150000,78900.0,78697.93163537979
20180504150100,78925.0,78696.45237922668
20180504150200,78900.0,78697.93163537979
20180504150300,78925.0,78696.45237922668
20180504150400,78950.0,78697.93163537979
20180504150500,78875.0,78720.91480493546
20180504150600,78825.0,78694.97312307358
20180504150700,78850.0,78638.1858587265
20180504150800,78800.0,78628.89175415039
20180504150900,78750.0,78615.14798998833
20180504151000,78750.0,78569.02468800545
20180504151100,78700.0,78547.4232673645
20180504151200,78600.0,78522.83717393875
20180504151300,78650.0,78451.95416808128
20180504151400,78675.0,78433.25656056404
20180504151500,78625.0,78467.24615693092
20180504151600,78625.0,78453.4429371357
20180504151700,78600.0,78431.76779150963
20180504151800,78575.0,78419.43907141685
20180504151900,78600.0,78396.25375270844
20180504153000,78400.0,78397.74252176285
20180504153500,78400.0,78309.76007580757
20180508090000,78225.0,78222.63141274452
20180508090100,78475.0,78135.7286810875
20180508090200,78625.0,78183.4501504898
20180508090300,78475.0,78366.65436029434
20180508090400,78525.0,78357.71936774254
20180508090500,78650.0,78317.22294688225
20180508090600,78750.0,78400.71530342102
20180508090700,78875.0,78504.1752398014
20180508090800,78875.0,78608.80526304245
20180508090900,78800.0,78662.68871426582
20180508091000,78775.0,78625.9261071682
20180508091100,78825.0,78581.30346536636
20180508091200,78875.0,78595.05674242973
20180508091300,78900.0,78641.14674925804
20180508091400,78975.0,78674.93419647217
20180508091500,79075.0,78722.39168286324
20180508091600,78900.0,78803.44160199165
20180508091700,78775.0,78760.91893315315
20180508091800,78800.0,78624.44447278976
20180508091900,78800.0,78582.7850997448
20180508092000,78825.0,78593.5751080513
20180508092100,78825.0,78605.84675073624
20180508092200,78825.0,78616.62724614143
20180508092300,78850.0,78616.62724614143
20180508092400,78775.0,78628.89175415039
20180508092500,78750.0,78602.88110375404
20180508092600,78775.0,78558.22516679764
20180508092700,78850.0,78559.7091794014
20180508092800,78825.0,78607.32600688934
20180508092900,78825.0,78627.40774154663
20180508093000,78725.0,78616.62724614143
20180508093100,78750.0,78567.53829717636
20180508093200,78800.0,78536.61661148071
20180508093300,78775.0,78571.99033498764
20180508093400,78825.0,78581.30346536636
20180508093500,78825.0,78595.05674242973
20180508093600,78825.0,78616.62724614143
20180508093700,78875.0,78616.62724614143
20180508093800,78700.0,78641.14674925804
20180508093900,78650.0,78576.84667110443
20180508094000,78700.0,78476.59020423889
20180508094100,78725.0,78479.56060767174
20180508094200,78650.0,78513.50739598274
20180508094300,78575.0,78487.41350769997
20180508094400,78500.0,78417.95030236244
20180508094500,78450.0,78348.34678173065
20180508094600,78425.0,78290.98636507988
