datetime,original,predicted
20180504090200,348375.0,344203.29792797565
20180504090300,350000.0,344672.30954021215
20180504090400,350000.0,345810.3500455618
20180504090500,349125.0,346488.79224807024
20180504090600,348750.0,346074.5817646384
20180504090700,348125.0,345531.1465635896
20180504090800,347750.0,345077.41758972406
20180504090900,347125.0,344637.14330643415
20180504091000,346125.0,344182.145960629
20180504091100,345375.0,343442.33693927526
20180504091200,345000.0,342662.23845630884
20180504091300,345250.0,342165.8324971795
20180504091400,345250.0,342127.1595880389
20180504091500,344000.0,342232.83237963915
20180504091600,343375.0,341633.24063271284
20180504091700,342625.0,340802.92954295874
20180504091800,342125.0,340176.12997442484
20180504091900,341625.0,339615.6587973237
20180504092000,341250.0,339160.9350219369
20180504092100,340750.0,338766.0982981324
20180504092200,341500.0,338363.676212728
20180504092300,341875.0,338513.30679655075
20180504092400,341875.0,339015.1592940092
20180504092500,341375.0,339175.1606836915
20180504092600,341750.0,338933.31199884415
20180504092700,342375.0,338901.3291299343
20180504092800,342000.0,339363.55122178793
20180504092900,341750.0,339448.7559720874
20180504093000,341250.0,339168.0478528142
20180504093100,340750.0,338819.46939975023
20180504093200,340750.0,338363.676212728
20180504093300,340500.0,338149.85606074333
20180504093400,340500.0,338028.5897552967
20180504093500,340625.0,337921.58641666174
20180504093600,340500.0,337982.20713436604
20180504093700,340375.0,337975.0818684697
20180504093800,340125.0,337860.9283939004
20180504093900,340000.0,337686.0298514366
20180504094000,339375.0,337518.1943997741
20180504094100,338875.0,337160.8368232846
20180504094200,338875.0,336649.18553084135
20180504094300,339875.0,336434.28353220224
20180504094400,339875.0,336921.1518317461
20180504094500,339875.0,337350.2719029784
20180504094600,339750.0,337350.2719029784
20180504094700,339875.0,337289.52683508396
20180504094800,340375.0,337296.6521009803
20180504094900,340000.0,337593.17756444216
20180504095000,340000.0,337625.3345236182
20180504095100,340500.0,337464.59946781397
20180504095200,340875.0,337707.4305191636
20180504095300,340875.0,338103.4858748317
20180504095400,341000.0,338263.8976201415
20180504095500,341375.0,338324.5059028268
20180504095600,341250.0,338559.62724238634
20180504095700,341250.0,338659.31878983974
20180504095800,341250.0,338605.88551312685
20180504095900,341500.0,338605.88551312685
20180504100000,341875.0,338726.9528582692
20180504100100,342125.0,339015.1592940092
20180504100200,342375.0,339296.0166335106
20180504100300,342875.0,339523.366086185
20180504100400,343125.0,339871.235743165
20180504100500,343250.0,340204.556427896
20180504100600,342750.0,340371.08620256186
20180504100700,343125.0,340183.24280530214
20180504100800,343625.0,340151.38428658247
20180504100900,344125.0,340551.71728879213
20180504101000,344250.0,341004.62555140257
20180504101100,344125.0,341276.75350755453
20180504101200,344125.0,341269.65311169624
20180504101300,344125.0,341216.67993068695
20180504101400,344375.0,341216.67993068695
20180504101500,345125.0,341336.8270844221
20180504101600,345375.0,341802.81698703766
20180504101700,345500.0,342239.8954704404
20180504101800,346000.0,342405.4304435849
20180504101900,346625.0,342697.56634533405
20180504102000,347000.0,343207.31507986784
20180504102100,347125.0,343649.57896620035
20180504102200,347500.0,343866.9430986047
20180504102300,347750.0,344098.25932234526
20180504102400,347875.0,344374.8638853431
20180504102500,348000.0,344539.3045768142
20180504102600,348500.0,344651.21974796057
20180504102700,348375.0,344941.3784816861
20180504102800,347875.0,345091.4940312505
20180504102900,347875.0,344801.43477767706
20180504103000,348375.0,344591.7554870248
20180504103100,348875.0,344829.57522571087
20180504103200,348625.0,345276.63902938366
20180504103300,348875.0,345367.22814291716
20180504103400,349000.0,345381.27971440554
20180504103500,349125.0,345545.1732650399
20180504103600,349250.0,345656.7651256919
20180504103700,349125.0,345768.2948112488
20180504103800,349375.0,345761.2814605236
20180504103900,349500.0,345827.5725468993
20180504104000,349750.0,345991.2422671914
20180504104100,349750.0,346161.8631631136
20180504104200,349625.0,346266.2302777171
20180504104300,349875.0,346207.01471716166
20180504104400,349875.0,346273.21875840425
20180504104500,349625.0,346377.5112628937
20180504104600,349625.0,346259.1796219349
20180504104700,349875.0,346154.86224740744
