datetime,original,predicted
20180504090200,15212.5,15306.864225119352
20180504090300,15175.0,15261.85473576188
20180504090400,15187.5,15219.04224678874
20180504090500,15200.0,15209.764015302062
20180504090600,15237.5,15220.558159425855
20180504090700,15237.5,15243.037241697311
20180504090800,15250.0,15258.287457749248
20180504090900,15287.5,15264.15740288794
20180504091000,15262.5,15286.979554593563
20180504091100,15275.0,15290.583749860525
20180504091200,15287.5,15286.206563562155
20180504091300,15262.5,15297.292452305555
20180504091400,15262.5,15290.583749860525
20180504091500,15275.0,15280.293090641499
20180504091600,15262.5,15286.206563562155
20180504091700,15262.5,15285.433911532164
20180504091800,15275.0,15280.293090641499
20180504091900,15275.0,15286.206563562155
20180504092000,15275.0,15291.357486695051
20180504092100,15262.5,15291.357486695051
20180504092200,15275.0,15285.433911532164
20180504092300,15250.0,15286.206563562155
20180504092400,15225.0,15279.521760717034
20180504092500,15212.5,15257.520873844624
20180504092600,15212.5,15241.510752215981
20180504092700,15225.0,15236.448071151972
20180504092800,15237.5,15242.273810505867
20180504092900,15212.5,15253.194741159678
20180504093000,15225.0,15246.582789719105
20180504093100,15237.5,15242.273810505867
20180504093200,15212.5,15253.194741159678
20180504093300,15225.0,15246.582789719105
20180504093400,15212.5,15242.273810505867
20180504093500,15225.0,15241.510752215981
20180504093600,15237.5,15242.273810505867
20180504093700,15225.0,15253.194741159678
20180504093800,15225.0,15252.429242059588
20180504093900,15237.5,15247.3468311131
20180504094000,15212.5,15253.194741159678
20180504094100,15187.5,15246.582789719105
20180504094200,15162.5,15224.832255393267
20180504094300,15175.0,15203.251492977142
20180504094400,15137.5,15199.012687057257
20180504094500,15162.5,15186.803754419088
20180504094600,15187.5,15183.3416685462
20180504094700,15212.5,15204.760388284922
20180504094800,15225.0,15226.350981742144
20180504094900,15225.0,15242.273810505867
20180504095000,15212.5,15247.3468311131
20180504095100,15225.0,15241.510752215981
20180504095200,15200.0,15242.273810505867
20180504095300,15162.5,15235.68647056818
20180504095400,15187.5,15208.253052085638
20180504095500,15175.0,15204.760388284922
20180504095600,15175.0,15209.00834724307
20180504095700,15162.5,15204.005669429898
20180504095800,15162.5,15198.259561508894
20180504095900,15162.5,15193.277155980468
20180504100000,15162.5,15193.277155980468
20180504100100,15175.0,15193.277155980468
20180504100200,15175.0,15199.012687057257
20180504100300,15200.0,15204.005669429898
20180504100400,15212.5,15215.534327924252
20180504100500,15237.5,15231.394780427217
20180504100600,15237.5,15248.111279308796
20180504100700,15275.0,15258.287457749248
20180504100800,15312.5,15275.932040810585
20180504100900,15325.0,15309.196317568421
20180504101000,15325.0,15330.791114643216
