datetime,original,predicted
20180504090200,398500.0,397819.12210583687
20180504090300,397375.0,396048.0051636696
20180504090400,399500.0,394626.6102194786
20180504090500,400125.0,395147.06510305405
20180504090600,399875.0,396287.4541282654
20180504090700,399625.0,396424.11398887634
20180504090800,398625.0,396210.00373363495
20180504090900,397750.0,395653.10376882553
20180504091000,397625.0,394849.30768609047
20180504091100,397875.00000000006,394438.1144940853
20180504091200,398125.0,394502.4542212486
20180504091300,398625.0,394718.40327978134
20180504091400,398750.0,395048.76267910004
20180504091500,398500.0,395307.6845705509
20180504091600,397500.0,395243.5838878155
20180504091700,397125.0,394684.03604626656
20180504091800,396750.0,394106.7621409893
20180504091900,396625.0,393781.7904353142
20180504092000,396499.99999999994,393571.7439353466
20180504092100,395750.0,393463.180989027
20180504092200,395000.0,393065.521389246
20180504092300,394250.0,392411.7900431156
20180504092400,394500.0,391756.0176253319
20180504092500,395000.0,391564.7269189358
20180504092600,394500.0,391900.1246392727
20180504092700,394250.0,391872.3954856396
20180504092800,394125.0,391550.8623421192
20180504092900,393125.0,391389.9118900299
20180504093000,391750.0,390871.53485417366
20180504093100,391250.0,389814.31490182877
20180504093200,391875.00000000006,389008.93744826317
20180504093300,392000.0,389095.80251574516
20180504093400,392000.0,389414.04420137405
20180504093500,391625.0,389465.8800661564
20180504093600,391875.00000000006,389289.41011428833
20180504093700,392000.0,389251.4939904213
20180504093800,391500.0,389414.04420137405
20180504093900,391250.0,389230.53163290024
20180504094000,391000.0,388905.04506230354
20180504094100,390375.0,388683.1015050411
20180504094200,390375.0,388283.6766541004
20180504094300,390499.99999999994,388023.0262875557
20180504094400,390125.0,388082.1805894375
20180504094500,390499.99999999994,387956.81098103523
20180504094600,390625.0,387977.84689068794
20180504094700,390375.0,388193.48335266113
20180504094800,390499.99999999994,388127.3232102394
20180504094900,391000.0,388082.1805894375
20180504095000,391125.0,388370.8175420761
20180504095100,391125.0,388638.1059885025
20180504095200,389500.0,388690.10734558105
20180504095300,388125.0,387921.6714501381
20180504095400,388125.0,386588.1345272064
20180504095500,387875.0,386009.9596083164
20180504095600,388250.0,385890.56611061096
20180504095700,388375.0,385964.3756747246
20180504095800,388250.0,386181.92449212074
20180504095900,389500.0,386174.8634874821
20180504100000,390625.0,386718.101143837
20180504100100,391375.0,387776.0382294655
20180504100200,390875.0,388600.0611484051
20180504100300,391125.0,388676.1140525341
20180504100400,391625.0,388586.0678553581
20180504100500,391750.0,388926.0074198246
20180504100600,391875.00000000006,389192.6155090332
20180504100700,391875.00000000006,389303.34824323654
20180504100800,392000.0,389355.2208840847
20180504100900,390875.0,389414.04420137405
20180504101000,390125.0,388935.95534563065
20180504101100,390125.0,388113.29314112663
20180504101200,390125.0,387800.21849274635
20180504101300,390125.0,387800.21849274635
20180504101400,390125.0,387800.21849274635
20180504101500,390625.0,387800.21849274635
20180504101600,391250.0,388037.03796863556
20180504101700,391250.0,388541.01717472076
20180504101800,391375.0,388801.0975122452
20180504101900,391250.0,388860.06793379784
20180504102000,391375.0,388853.0620932579
20180504102100,391375.0,388860.06793379784
20180504102200,391250.0,388912.03251481056
20180504102300,391375.0,388853.0620932579
20180504102400,391125.0,388860.06793379784
20180504102500,391125.0,388794.09167170525
20180504102600,391125.0,388690.10734558105
20180504102700,391125.0,388690.10734558105
20180504102800,390750.0,388690.10734558105
20180504102900,390625.0,388513.01220059395
20180504103000,390750.0,388297.7067232132
20180504103100,390625.0,388304.7125637531
20180504103200,390625.0,388297.7067232132
20180504103300,390875.0,388245.6134259701
20180504103400,390750.0,388363.8117015362
20180504103500,390499.99999999994,388408.89915823936
