datetime,original,predicted
20180504090200,83750.0,83333.8623970747
20180504090300,83650.0,83495.8289295435
20180504090400,83650.0,83513.21735531092
20180504090500,83575.0,83466.2200242281
20180504090600,83350.0,83426.38083845377
20180504090700,83300.0,83271.53959423304
20180504090800,83250.0,83139.07635509968
20180504090900,83200.00000000001,83088.93648087978
20180504091000,83075.00000000001,83038.79191279411
20180504091100,83050.0,82948.7119346857
20180504091200,83125.0,82876.50385051966
20180504091300,83125.0,82904.65531051159
20180504091400,83225.0,82939.99073207378
20180504091500,83350.0,82993.21916997433
20180504091600,83600.0,83106.82480335236
20180504091700,83650.0,83298.58095496893
20180504091800,83825.0,83442.71783828735
20180504091900,83875.0,83559.14683192968
20180504092000,83850.0,83667.88727343082
20180504092100,83850.0,83678.10112535954
20180504092200,83825.0,83666.3617670536
20180504092300,83799.99999999999,83653.09690237045
20180504092400,83674.99999999999,83628.0879855156
20180504092500,83600.0,83549.9867528677
20180504092600,83600.0,83451.4155715704
20180504092700,83674.99999999999,83416.1599457264
20180504092800,83625.0,83455.99678456783
20180504092900,83650.0,83464.69217091799
20180504093000,83500.0,83454.47127819061
20180504093100,83500.0,83386.53461188078
20180504093200,83500.0,83315.99285006523
20180504093300,83500.0,83315.99285006523
20180504093400,83425.0,83315.99285006523
20180504093500,83375.0,83276.12784802914
20180504093600,83400.0,83214.25800323486
20180504093700,83549.99999999999,83204.02068197727
20180504093800,83525.0,83295.5275952816
20180504093900,83525.0,83352.79510468245
20180504094000,83525.0,83341.0393178463
20180504094100,83400.0,83341.0393178463
20180504094200,83250.0,83274.59999471903
20180504094300,83225.0,83136.0136076808
20180504094400,83350.0,83052.09198147058
20180504094500,83425.0,83106.82480335236
20180504094600,83325.00000000001,83205.54853528738
20180504094700,83375.0,83187.66725361347
20180504094800,83425.0,83167.19495803118
20180504094900,83500.0,83217.31605678797
20180504095000,83475.0,83280.71375489235
20180504095100,83475.0,83302.7045160532
20180504095200,83500.0,83290.94638228416
20180504095300,83500.0,83304.2347162962
20180504095400,83450.0,83315.99285006523
20180504095500,83450.0,83289.41852897406
20180504095600,83425.0,83265.89756757021
20180504095700,83450.0,83252.6045396924
20180504095800,83450.0,83254.13239300251
20180504095900,83400.0,83265.89756757021
20180504100000,83275.0,83239.31385874748
