datetime,original,predicted
20180504090200,437375.0,434272.2736001014
20180504090300,437375.0,435594.1553860902
20180504090400,436750.0,436748.3870238065
20180504090500,438500.0,436436.3891035318
20180504090600,439250.0,437035.27927398676
20180504090700,439375.0,438170.5173403024
20180504090800,440249.99999999994,438557.7199161052
20180504090900,440125.0,439043.01942884916
20180504091000,440500.0,439359.26997661585
20180504091100,441000.0,439489.5059913396
20180504091200,441125.0,439895.9268480539
20180504091300,441125.0,440171.75215482706
20180504091400,441375.0,440225.35660862917
20180504091500,442250.0,440347.44128584856
20180504091600,442875.0,440880.7556033134
20180504091700,443500.00000000006,441556.9065213203
20180504091800,444750.0,442124.185681343
20180504091900,445749.99999999994,442989.38471078867
20180504092000,445749.99999999994,443991.6003644466
20180504092100,445500.0,444408.7454825639
20180504092200,445250.0,444289.95841741556
20180504092300,445374.99999999994,444066.73198938364
20180504092400,445749.99999999994,444021.8687355518
20180504092500,446499.99999999994,444252.4881064891
20180504092600,446750.0,444764.5168155431
20180504092700,447750.0,445193.81310045713
20180504092800,447625.0,445768.3672308921
20180504092900,447250.0,446121.3240772485
20180504093000,447750.0,445893.8394039869
20180504093100,448375.0,445974.33596849436
20180504093200,448375.0,446472.6517796516
20180504093300,447375.0,446728.607147932
20180504093400,447625.0,446260.82374155516
20180504093500,447750.0,445967.0778512954
20180504093600,448250.00000000006,446128.5765767097
20180504093700,448125.0,446414.1598939895
20180504093800,447875.00000000006,446560.6311708688
20180504093900,447750.0,446392.4417197704
20180504094000,447500.0,446231.29129409784
20180504094100,447000.0,446062.6748949289
20180504094200,447250.0,445724.7960567474
20180504094300,447375.0,445636.2436562776
20180504094400,447375.0,445798.1356233358
20180504094500,447125.0,445849.6334254741
20180504094600,447000.0,445732.0766448974
20180504094700,446625.0,445570.10041177267
20180504094800,447000.0,445341.6775763034
20180504094900,447375.0,445363.53057622904
20180504095000,447250.0,445695.0669884681
20180504095100,447875.00000000006,445790.87188839907
20180504095200,448500.0,446033.03009271616
20180504095300,448875.0,446582.3212563991
20180504095400,448250.00000000006,447012.88715004915
20180504095500,448250.00000000006,446874.6683299541
20180504095600,448000.0,446619.0612614154
20180504095700,448375.0,446502.1842271089
20180504095800,448250.00000000006,446575.0968456268
20180504095900,448500.0,446670.2276170253
20180504100000,448625.00000000006,446735.8371764421
20180504100100,449250.0,446896.36403322214
20180504100200,449250.0,447238.42808604235
20180504100300,449375.00000000006,447492.8329586982
20180504100400,449125.0,447550.84171891207
20180504100500,448750.0,447485.6254011392
20180504100600,448750.0,447209.58662033075
20180504100700,448750.0,447056.69426918024
20180504100800,448750.0,447056.69426918024
20180504100900,448875.0,447056.69426918024
20180504101000,449125.0,447114.9052679538
20180504101100,449125.0,447282.1509391069
20180504101200,449375.00000000006,447383.92749428743
20180504101300,449250.0,447500.0236630439
20180504101400,449375.00000000006,447543.63416135305
20180504101500,449000.00000000006,447550.84171891207
20180504101600,448625.00000000006,447427.5829344987
20180504101700,448875.0,447100.45644640917
20180504101800,448750.0,447063.907444477
20180504101900,449125.0,447107.6808571815
20180504102000,449250.0,447231.2261462211
20180504102100,449375.00000000006,447441.992431879
20180504102200,449375.00000000006,447550.84171891207
20180504102300,449125.0,447601.6260683536
20180504102400,449000.00000000006,447485.6254011392
20180504102500,448875.0,447325.8400857448
20180504102600,448500.0,447216.8110311031
20180504102700,448125.0,446991.2307709455
20180504102800,447375.0,446662.9863530397
20180504102900,446874.99999999994,446158.15958380693
20180504103000,447000.0,445614.4075095653
20180504103100,447250.0,445466.85762703413
20180504103200,446874.99999999994,445636.2436562776
20180504103300,446000.0,445562.8254413604
20180504103400,445250.0,444994.65306103224
20180504103500,445125.0,444275.27365088457
20180504103600,444999.99999999994,443902.73898839945
20180504103700,445250.0,443790.86735844606
20180504103800,445125.0,443857.8195571899
20180504103900,445125.0,443902.73898839945
20180504104000,444999.99999999994,443850.4884093999
20180504104100,444624.99999999994,443790.86735844606
20180504104200,444375.0,443559.483975172
20180504104300,444624.99999999994,443282.61376917356
20180504104400,444750.0,443297.33785986895
20180504104500,444875.0,443462.03869581217
20180504104600,444875.0,443574.1855949163
20180504104700,444999.99999999994,443626.554146409
20180504104800,445125.0,443686.2369924783
20180504104900,444750.0,443798.2041239738
20180504105000,444875.0,443671.54660820955
20180504105100,444875.0,443574.1855949163
20180504105200,444875.0,443626.554146409
20180504105300,444875.0,443626.554146409
20180504105400,444750.0,443626.554146409
20180504105500,444750.0,443566.83197617525
20180504105600,444624.99999999994,443514.452189207
20180504105700,444125.0,443454.6906948089
20180504105800,444249.99999999994,443162.8716886043
20180504105900,444249.99999999994,443012.563496828
20180504110000,444249.99999999994,443065.145522356
20180504110100,442875.0,443065.145522356
20180504110200,441750.0,442404.31979298586
20180504110300,442375.00000000006,441277.33418345446
20180504110400,442375.00000000006,441101.53269767755
20180504110500,442750.00000000006,441367.74605512613
20180504110600,442875.0,441549.5023429393
20180504110700,442875.0,441769.26824450487
20180504110800,443125.00000000006,441822.31092453
20180504110900,443375.0,441943.1259930133
20180504111000,443250.0,442169.706210494
20180504111100,443750.0,442215.20988643164
20180504111200,444249.99999999994,442403.3198356628
20180504111300,444000.0,442854.70506548876
20180504111400,443875.00000000006,442945.22929191584
20180504111500,444249.99999999994,442779.93859350675
20180504111600,444125.0,442907.3488861322
20180504111700,444375.0,443005.1930248737
20180504111800,444624.99999999994,443072.5159943103
20180504111900,444750.0,443297.33785986895
20180504112000,444875.0,443462.03869581217
20180504112100,445125.0,443574.1855949163
20180504112200,444624.99999999994,443745.89736759657
20180504112300,444750.0,443611.84129118914
20180504112400,444875.0,443462.03869581217
20180504112500,444875.0,443574.1855949163
20180504112600,444875.0,443626.554146409
20180504112700,444500.0,443626.554146409
20180504112800,443625.0,443447.32022285456
20180504112900,443375.0,442870.4459667205
20180504113000,443125.00000000006,442381.15224242205
20180504113100,443375.0,442154.91470694536
20180504113200,443500.00000000006,442169.706210494
20180504113300,443250.0,442335.71597933763
20180504113400,443375.0,442268.07841658586
20180504113500,443375.0,442222.60844707483
20180504113600,443250.0,442275.48259496683
20180504113700,443250.0,442215.20988643164
20180504113800,443500.00000000006,442162.31326758856
20180504113900,443250.0,442282.87553787226
20180504114000,443250.0,442268.07841658586
20180504114100,443750.0,442162.31326758856
20180504114200,443875.00000000006,442403.3198356628
20180504114300,443875.00000000006,442674.5385974645
20180504114400,443875.00000000006,442727.24983096117
20180504114500,443625.0,442727.24983096117
20180504114600,443750.0,442607.0527136325
20180504114700,443625.0,442561.68386340135
20180504114800,443750.0,442554.313391447
20180504114900,443750.0,442561.68386340135
20180504115000,444249.99999999994,442614.4344210624
20180504115100,444249.99999999994,442854.70506548876
20180504115200,444375.0,443065.145522356
20180504115300,444375.0,443125.0699311494
20180504115400,444500.0,443177.6070147752
20180504115500,444375.0,443237.48086392874
20180504115600,444000.0,443230.1272451877
20180504115700,444125.0,442997.82255291933
20180504115800,444500.0,442899.9840319156
20180504115900,444125.0,443132.434785366
20180504120000,444500.0,443110.3346049785
20180504120100,444624.99999999994,443132.434785366
20180504120200,445125.0,443349.8075306415
20180504120300,445125.0,443641.2276774644
20180504120400,444750.0,443850.4884093999
20180504120500,445250.0,443671.54660820955
20180504120600,445125.0,443753.23975086206
20180504120700,445374.99999999994,443902.73898839945
20180504120800,445250.0,443969.6518629789
20180504120900,445374.99999999994,444014.5263522863
20180504121000,445374.99999999994,444021.8687355518
20180504121100,445125.0,444074.0631371736
20180504121200,445500.0,443954.9783319234
20180504121300,445625.0,444029.1886478662
20180504121400,445749.99999999994,444245.1738119125
20180504121500,445250.0,444356.6859066486
20180504121600,445250.0,444171.0421442985
20180504121700,445500.0,443962.3207151889
20180504121800,445875.0,444081.3886672258
20180504121900,446000.0,444364.0002012252
20180504122000,446000.0,444579.4460624456
20180504122100,445749.99999999994,444631.4157545566
20180504122200,445875.0,444512.81407475466
20180504122300,446000.0,444468.10811758036
20180504122400,445749.99999999994,444579.4460624456
20180504122500,445875.0,444512.81407475466
20180504122600,445875.0,444468.10811758036
20180504122700,446250.0,444520.13960480684
20180504122800,446250.0,444697.9915648698
20180504122900,446000.0,444853.7433445453
20180504123000,445875.0,444735.321432352
20180504123100,445875.0,444572.12615013117
20180504123200,445625.0,444520.13960480684
20180504123300,446000.0,444401.4255702495
20180504123400,446250.0,444475.422412157
20180504123500,446375.0,444749.93878602976
20180504123600,446250.0,444912.9093587398
20180504123700,446250.0,444905.61753511423
20180504123800,446375.0,444853.7433445453
20180504123900,446000.0,444912.9093587398
20180504124000,445875.0,444787.22932934755
20180504124100,445749.99999999994,444572.12615013117
20180504124200,445749.99999999994,444460.78258752817
20180504124300,445625.0,444408.7454825639
20180504124400,445749.99999999994,444349.36599433416
20180504124500,445875.0,444356.6859066486
20180504124600,445749.99999999994,444468.10811758036
20180504124700,445875.0,444460.78258752817
20180504124800,445749.99999999994,444468.10811758036
20180504124900,445749.99999999994,444460.78258752817
20180504125000,445875.0,444408.7454825639
20180504125100,445875.0,444468.10811758036
20180504125200,445749.99999999994,444520.13960480684
