datetime,original,predicted
20180504090200,29087.5,29034.882479161024
20180504090300,29087.5,29020.958126336336
20180504090400,29075.0,29049.250496178865
20180504090500,29075.0,29042.984936386347
20180504090600,29075.0,29037.328749895096
20180504090700,29025.0,29037.328749895096
20180504090800,29025.0,29012.2380502522
20180504090900,28987.5,28989.56223502755
20180504091000,28987.5,28970.698527246714
20180504091100,28975.0,28953.653629869223
20180504091200,29037.5,28947.356151789427
20180504091300,29062.5,28973.146925866604
20180504091400,29037.5,29014.072553813457
20180504091500,29025.0,29012.849817425013
20180504091600,28950.0,28995.234114676714
20180504091700,28825.0,28951.8146045506
20180504091800,28812.5,28854.480319470167
20180504091900,28825.0,28790.907602757215
20180504092000,28812.5,28791.52415767312
20180504092100,28712.5,28790.907602757215
20180504092200,28700.0,28734.29972231388
20180504092300,28737.5,28681.877925246954
20180504092400,28787.5,28695.2564753592
20180504092500,28800.0,28738.007297366858
20180504092600,28850.0,28767.34552308917
20180504092700,28875.0,28798.488195985556
20180504092800,28912.5,28834.075490385294
20180504092900,28900.0,28864.50133174658
20180504093000,28787.5,28875.3064699471
20180504093100,28850.0,28812.59182319045
20180504093200,28787.5,28792.755937576294
20180504093300,28787.5,28789.67396095395
20180504093400,28775.0,28760.987400263548
20180504093500,28775.0,28754.62768152356
20180504093600,28775.0,28748.883187770844
20180504093700,28825.0,28748.883187770844
20180504093800,28787.5,28774.317540973425
20180504093900,28775.0,28778.20439040661
20180504094000,28825.0,28754.62768152356
20180504094100,28862.5,28774.317540973425
20180504094200,28887.5,28816.289822757244
20180504094300,28825.0,28846.128633618355
20180504094400,28850.0,28825.890577584505
20180504094500,28825.0,28809.947127103806
20180504094600,28837.5,28808.715879172087
20180504094700,28825.0,28803.602569550276
20180504094800,28850.0,28802.986812591553
20180504094900,28850.0,28809.947127103806
20180504095000,28825.0,28821.399142593145
20180504095100,28862.5,28808.715879172087
20180504095200,28862.5,28816.289822757244
20180504095300,28875.0,28833.460265398026
20180504095400,28900.0,28839.795779436827
20180504095500,28887.5,28858.174063265324
20180504095600,28900.0,28863.272211700678
20180504095700,28875.0,28863.88717070222
20180504095800,28862.5,28856.943879276514
20180504095900,28862.5,28839.180022478104
20180504100000,28875.0,28833.460265398026
20180504100100,28875.0,28839.795779436827
20180504100200,28862.5,28845.513408631086
20180504100300,28887.5,28839.180022478104
20180504100400,28912.5,28846.128633618355
20180504100500,28925.0,28870.212045311928
20180504100600,28937.5,28887.948239594698
20180504100700,28912.5,28899.96760264039
20180504100800,28925.0,28893.03761050105
20180504100900,28925.0,28887.948239594698
20180504101000,28912.5,28893.652037531137
20180504101100,28912.5,28887.334344536066
20180504101200,28912.5,28881.628684699535
20180504101300,28912.5,28881.628684699535
20180504101400,28925.0,28881.628684699535
20180504101500,28925.0,28887.948239594698
20180504101600,28925.0,28893.652037531137
20180504101700,28925.0,28893.652037531137
20180504101800,28900.0,28893.652037531137
20180504101900,28925.0,28881.01399168372
20180504102000,28925.0,28882.242579758167
20180504102100,28887.5,28893.652037531137
20180504102200,28837.5,28874.691776931286
20180504102300,28900.0,28832.228485494852
20180504102400,28875.0,28841.024899482727
20180504102500,28875.0,28856.943879276514
20180504102600,28875.0,28845.513408631086
20180504102700,28887.5,28845.513408631086
20180504102800,28900.0,28851.844932883978
20180504102900,28862.5,28863.88717070222
20180504103000,28800.0,28850.61448290944
20180504103100,28812.5,28801.753170788288
20180504103200,28925.0,28779.4382981956
20180504103300,28975.0,28842.2537535429
20180504103400,28925.0,28918.902594596148
20180504103500,28912.5,28916.44807830453
20180504103600,28987.5,28887.334344536066
20180504103700,29025.0,28919.514893740416
20180504103800,29037.5,28972.53515869379
20180504103900,29012.5,28995.845881849527
20180504104000,29037.5,28988.95046785474
