datetime,original,predicted
20180504090200,23337.5,23149.934142827988
20180504090300,23250.0,23172.76179790497
20180504090400,23212.5,23147.084091603756
20180504090500,23200.0,23093.03042292595
20180504090600,23187.5,23071.482323110104
20180504090700,23200.0,23060.336083173752
20180504090800,23200.0,23061.052244901657
20180504090900,23187.5,23066.267770528793
20180504091000,23237.5,23060.336083173752
20180504091100,23262.5,23078.836603462696
20180504091200,23250.0,23111.484237015247
20180504091300,23275.0,23115.967059135437
20180504091400,23237.5,23122.58474379778
20180504091500,23250.0,23115.252843499184
20180504091600,23237.5,23105.574929714203
20180504091700,23225.0,23104.86071407795
20180504091800,23225.0,23093.744638562202
20180504091900,23237.5,23088.53981643915
20180504092000,23225.0,23094.458854198456
20180504092100,23212.5,23093.744638562202
20180504092200,23200.0,23082.618832588196
20180504092300,23175.0,23071.482323110104
20180504092400,23175.0,23054.40244972706
20180504092500,23112.5,23043.956802785397
20180504092600,23087.5,23014.21663016081
20180504092700,23112.5,22976.06253027916
20180504092800,23087.5,22977.498745918274
20180504092900,23075.0,22976.06253027916
20180504093000,23062.5,22959.570376574993
20180504093100,23075.0,22948.324885964394
20180504093200,23062.5,22949.043966829777
20180504093300,23075.0,22948.324885964394
20180504093400,23075.0,22949.043966829777
20180504093500,23087.5,22954.309117794037
20180504093600,23087.5,22960.290430486202
20180504093700,23062.5,22965.549743175507
20180504093800,23062.5,22953.589063882828
20180504093900,23025.0,22943.058761954308
20180504094000,23012.5,22925.082713365555
20180504094100,23012.5,22903.242699801922
20180504094200,23012.5,22897.957114875317
20180504094300,23012.5,22897.957114875317
20180504094400,22987.5,22897.957114875317
20180504094500,22975.0,22885.935133695602
20180504094600,22962.5,22869.328160583973
20180504094700,22975.0,22858.002880215645
20180504094800,22975.0,22858.726826310158
20180504094900,22987.5,22864.02797996998
20180504095000,22962.5,22870.050160586834
20180504095100,22962.5,22863.30500692129
20180504095200,22962.5,22852.699780464172
20180504095300,22975.0,22852.699780464172
20180504095400,22962.5,22858.726826310158
20180504095500,22962.5,22858.002880215645
20180504095600,22962.5,22852.699780464172
20180504095700,22962.5,22852.699780464172
20180504095800,22975.0,22852.699780464172
20180504095900,22962.5,22858.726826310158
20180504100000,22962.5,22858.002880215645
20180504100100,22962.5,22852.699780464172
20180504100200,22975.0,22852.699780464172
20180504100300,22962.5,22858.726826310158
20180504100400,22962.5,22858.002880215645
20180504100500,22962.5,22852.699780464172
20180504100600,22975.0,22852.699780464172
20180504100700,22962.5,22858.726826310158
20180504100800,22975.0,22858.002880215645
20180504100900,22975.0,22858.726826310158
20180504101000,22962.5,22864.02797996998
20180504101100,22975.0,22858.002880215645
20180504101200,22962.5,22858.726826310158
20180504101300,22975.0,22858.002880215645
20180504101400,22987.5,22858.726826310158
20180504101500,22975.0,22870.050160586834
20180504101600,22975.0,22869.328160583973
20180504101700,22937.5,22864.02797996998
20180504101800,22937.5,22845.945869386196
20180504101900,22925.0,22830.011270940304
20180504102000,22912.5,22823.97157549858
20180504102100,22925.0,22812.60834634304
20180504102200,22912.5,22813.332292437553
20180504102300,22925.0,22812.60834634304
20180504102400,22925.0,22813.332292437553
20180504102500,22912.5,22818.65388005972
20180504102600,22925.0,22812.60834634304
20180504102700,22937.5,22813.332292437553
20180504102800,22925.0,22824.695521593094
20180504102900,22912.5,22823.97157549858
20180504103000,22925.0,22812.60834634304
20180504103100,22925.0,22813.332292437553
