datetime,original,predicted
20180504090200,62100.0,61722.11787700653
20180504090300,62150.0,61693.77985596657
20180504090400,62425.0,61726.22192502022
20180504090500,62625.0,61869.35466527939
20180504090600,62500.0,62065.82854986191
20180504090800,62600.0,62088.212352991104
20180504090900,62750.0,62083.911234140396
20180504091000,62925.0,62188.785445690155
20180504091100,62850.0,62323.17245006561
20180504091200,62625.0,62357.43790268898
20180504091300,62650.0,62230.24685382843
20180504091400,62850.0,62154.42624092102
20180504091500,62850.0,62251.960998773575
20180504091600,62750.0,62328.73826622963
20180504091700,62650.0,62285.03254652023
20180504091800,62650.0,62202.700942754745
20180504091900,62625.0,62164.09419178963
20180504092000,62575.0,62153.07927131653
20180504092100,62500.0,62121.34895324707
20180504092200,62475.0,62068.7980055809
20180504092300,62475.0,62028.54772210121
20180504092400,62475.0,62018.808978796005
20180504092500,62575.0,62018.808978796005
20180504092600,62575.0,62063.13461065292
20180504092700,62650.0,62101.96713209152
20180504092800,62500.0,62135.076946020126
20180504092900,62550.0,62097.91091680527
20180504093000,62525.0,62061.785727739334
20180504093100,62525.0,62070.150715112686
20180504093200,62500.0,62060.43301820755
20180504093300,62575.0,62049.36069846153
20180504093400,62550.0,62072.85230755806
20180504093500,62600.0,62090.91777205467
20180504093600,62750.0,62103.31601500511
20180504093700,62750.0,62188.785445690155
20180504093800,62675.0,62246.601819992065
20180504093900,62650.0,62213.687163591385
20180504094000,62600.0,62173.75257611275
20180504094100,62575.0,62142.05669760704
20180504094200,62550.0,62111.65995597839
20180504094300,62550.0,62090.91777205467
20180504094400,62650.0,62081.21346831322
20180504094500,62500.0,62125.39368867874
20180504094600,62475.0,62097.91091680527
20180504094700,62425.0,62028.54772210121
20180504094800,62400.0,61996.60694003105
20180504094900,62425.0,61965.97103476524
20180504095000,62450.0,61967.325657606125
20180504095100,62450.0,61988.20751309395
20180504095200,62425.0,61997.96156287193
20180504095300,62400.0,61986.85097694397
20180504095400,62425.0,61965.97103476524
20180504095500,62425.0,61967.325657606125
20180504095600,62350.0,61977.09310054779
20180504095700,62375.0,61943.70585680008
20180504095800,62375.0,61925.49498081207
20180504095900,62350.0,61935.28155684471
20180504100000,62300.0,61924.136531353
20180504100100,62350.0,61892.019724845886
20180504100200,62425.0,61894.74045038223
20180504100300,62425.0,61947.77737855911
20180504100400,62450.0,61977.09310054779
20180504100500,62425.0,61988.20751309395
20180504100600,62450.0,61986.85097694397
20180504100700,62425.0,61988.20751309395
20180504100800,62400.0,61986.85097694397
20180504100900,62425.0,61965.97103476524
20180504101000,62425.0,61967.325657606125
20180504101100,62400.0,61977.09310054779
20180504101200,62450.0,61965.97103476524
20180504101300,62425.0,61978.445810079575
20180504101400,62425.0,61986.85097694397
20180504101500,62450.0,61977.09310054779
20180504101600,62400.0,61988.20751309395
20180504101700,62450.0,61975.734651088715
20180504101800,62450.0,61978.445810079575
20180504101900,62400.0,61997.96156287193
20180504102000,62450.0,61975.734651088715
20180504102100,62425.0,61978.445810079575
20180504102200,62400.0,61986.85097694397
