datetime,original,predicted
20180504090200,58475.0,58781.17674291134
20180504090300,58425.0,58509.40012037754
20180504090400,58400.0,58376.91224515438
20180504090500,58700.0,58340.10027498007
20180504090600,59125.0,58487.00967729092
20180504090700,59150.0,58852.59372591972
20180504090800,59200.0,59065.3225004673
20180504090900,59300.0,59103.36512327194
20180504091000,59225.0,59179.42297756672
20180504091100,59175.0,59186.83819770813
20180504091200,59125.0,59125.376001000404
20180504091300,59225.0,59075.6138086319
20180504091400,59350.0,59104.80121076107
20180504091500,59500.0,59217.430382966995
20180504091600,59625.0,59354.78999912739
20180504091700,59650.0,59490.55896252394
20180504091800,59725.0,59562.079641222954
20180504091900,59750.0,59613.066616654396
20180504092000,59675.0,59661.17750406265
20180504092100,59450.0,59633.55140686035
20180504092200,59425.0,59480.53961098194
20180504092300,59400.0,59362.19348013401
20180504092400,59350.0,59337.36325353384
20180504092500,59275.0,59299.393022060394
20180504092600,59100.0,59236.55539005995
20180504092700,59150.0,59109.348168969154
20180504092800,59225.0,59053.59314829111
20180504092900,59150.0,59116.524693369865
20180504093000,59200.0,59112.22034394741
20180504093100,59175.0,59103.36512327194
20180504093200,59125.0,59113.65251839161
20180504093300,59100.0,59075.6138086319
20180504093400,59050.0,59038.995534181595
20180504093500,59050.0,59000.929433107376
20180504093600,59150.0,58977.46290266514
20180504093700,59200.0,59030.13248741627
20180504093800,59300.0,59103.36512327194
20180504093900,59400.0,59179.42297756672
20180504094000,59275.0,59278.84562313557
20180504094100,59250.0,59259.97300744057
20180504094200,59250.0,59188.27037215233
20180504094300,59275.0,59176.55862867832
20180504094400,59200.0,59189.70254659653
20180504094500,59150.0,59161.968840658665
20180504094600,59175.0,59100.496861338615
20180504094700,59175.0,59090.20555317402
20180504094800,59175.0,59101.93294882774
20180504094900,59175.0,59101.93294882774
20180504095000,59175.0,59101.93294882774
20180504095100,59150.0,59101.93294882774
20180504095200,59125.0,59088.77337872982
20180504095300,59100.0,59063.88641297817
20180504095400,59125.0,59038.995534181595
20180504095500,59150.0,59040.43162167072
20180504095600,59250.0,59065.3225004673
20180504095700,59250.0,59129.68035042286
20180504095800,59200.0,59176.55862867832
20180504095900,59100.0,59150.25318413973
20180504100000,59075.0,59074.17772114277
20180504100100,59050.0,59014.09682929516
20180504100200,59100.0,58989.19421136379
20180504100300,59100.0,59003.80160808563
20180504100400,59050.0,59027.26422548294
20180504100500,59150.0,59000.929433107376
20180504100600,59125.0,59030.13248741627
20180504100700,59125.0,59063.88641297817
20180504100800,59100.0,59052.15901732445
20180504100900,59050.0,59038.995534181595
20180504101000,59075.0,59000.929433107376
20180504101100,59175.0,58990.63029885292
20180504101200,59175.0,59055.027279257774
20180504101300,59150.0,59101.93294882774
20180504101400,59150.0,59088.77337872982
20180504101500,59200.0,59077.049896121025
20180504101600,59275.0,59103.36512327194
20180504101700,59300.0,59166.271233558655
20180504101800,59300.0,59214.5660340786
20180504101900,59325.0,59226.277777552605
20180504102000,59250.0,59239.42169547081
20180504102100,59225.0,59211.69777214527
20180504102200,59250.0,59163.40688467026
20180504102300,59275.0,59164.839059114456
20180504102400,59200.0,59189.70254659653
20180504102500,59275.0,59161.968840658665
20180504102600,59325.0,59166.271233558655
20180504102700,59300.0,59227.7099519968
20180504102800,59250.0,59237.98952102661
20180504102900,59250.0,59199.986028671265
20180504103000,59400.0,59176.55862867832
20180504103100,59450.0,59255.42996227741
20180504103200,59425.0,59351.92565023899
20180504103300,59500.0,59362.19348013401
20180504103400,59675.0,59389.88218605518
20180504103500,59800.0,59516.78614616394
20180504103600,59750.0,59664.03402686119
20180504103700,59750.0,59696.17186486721
20180504103800,59750.0,59672.842290997505
20180504103900,59825.0,59672.842290997505
20180504104000,60025.0,59712.11752295494
20180504104100,60075.0,59851.73496603966
20180504104200,60150.0,59970.98892331123
20180504104300,60200.0,60033.41372907162
20180504104400,60300.0,60094.375056028366
20180504104500,60350.0,60169.76182311773
20180504104600,60375.0,60242.24511086941
20180504104700,60425.0,60278.4642547369
20180504104800,60475.0,60316.096007823944
20180504104900,60600.0,60365.30254781246
20180504105000,60650.0,60453.479102253914
20180504105100,60600.0,60537.320002913475
20180504105200,60600.0,60534.47717577219
20180504105300,60650.0,60511.341297626495
20180504105400,60725.0,60537.320002913475
20180504105500,60750.0,60599.3926346302
20180504105600,60700.0,60647.03004360199
20180504105700,60600.0,60632.63786435127
20180504105800,60575.0,60557.605227828026
20180504105900,60675.0,60498.34998846054
20180504110000,60750.0,60538.740438222885
20180504110100,60575.0,60623.923513293266
20180504110200,60600.0,60567.74392724037
20180504110300,60675.0,60499.77433681488
20180504110400,60600.0,60550.3073990345
20180504110500,60550.0,60546.03826701641
20180504110600,60475.0,60485.358679294586
20180504110700,60475.0,60423.21561276913
20180504110800,60524.99999999999,60388.47168684006
20180504110900,60450.0,60414.47973996401
20180504111000,60475.0,60398.62995147705
20180504111100,60500.0,60376.88711732626
20180504111200,60450.0,60401.4747351408
20180504111300,60475.0,60387.04733848572
20180504111400,60524.99999999999,60376.88711732626
20180504111500,60524.99999999999,60414.47973996401
20180504111600,60550.0,60437.63909637928
20180504111700,60500.0,60450.638231635094
20180504111800,60450.0,60436.21474802494
20180504111900,60550.0,60387.04733848572
20180504112000,60550.0,60415.90213179588
20180504112100,60600.0,60462.21497505903
20180504112200,60450.0,60488.203462958336
20180504112300,60225.0,60433.36996436119
20180504112400,60125.0,60246.71772122383
20180504112500,60250.0,60090.09809792042
20180504112600,60375.0,60108.84549617767
20180504112700,60225.0,60232.06336796284
20180504112800,60225.0,60211.91118657589
20180504112900,60325.0,60142.264856398106
20180504113000,60350.0,60194.40226703882
20180504113100,60325.0,60253.84533256292
20180504113200,60250.0,60252.420984208584
20180504113300,60225.0,60201.73726975918
20180504113400,60175.0,60153.87681722641
20180504113500,60200.0,60116.18636846542
20180504113600,60225.0,60105.992886424065
20180504113700,60150.0,60130.65093904734
20180504113800,60250.0,60103.14223319292
20180504113900,60250.0,60120.45941352844
20180504114000,60250.0,60166.913126409054
20180504114100,60250.0,60166.913126409054
20180504114200,60250.0,60166.913126409054
20180504114300,60250.0,60166.913126409054
20180504114400,60275.0,60166.913126409054
20180504114500,60250.0,60179.94552254677
20180504114600,60100.0,60178.52117419243
20180504114700,60050.0,60088.66983652115
20180504114800,60100.0,59992.82371401787
20180504114900,60175.0,59995.67632377148
20180504115000,60225.0,60058.08547735214
20180504115100,60250.0,60119.0350651741
20180504115200,60250.0,60155.30116558075
20180504115300,60275.0,60166.913126409054
20180504115400,60275.0,60179.94552254677
20180504115500,60250.0,60191.55161380768
20180504115600,60250.0,60178.52117419243
20180504115700,60225.0,60166.913126409054
20180504115800,60150.0,60153.87681722641
20180504115900,60100.0,60103.14223319292
20180504120000,60025.0,60042.186775803566
20180504120100,60000.0,59979.76588308811
20180504120200,60050.0,59931.80369138718
20180504120300,60125.0,59946.29369676113
20180504120400,60150.0,60008.73219817877
20180504120500,60175.0,60056.6611289978
20180504120600,60175.0,60081.33287727833
20180504120700,60150.0,60092.95070767403
20180504120800,60175.0,60079.90461587906
20180504120900,60250.0,60081.33287727833
20180504121000,60225.0,60132.075287401676
20180504121100,60250.0,60153.87681722641
20180504121200,60300.0,60155.30116558075
20180504121300,60375.0,60192.97791868448
20180504121400,60450.0,60255.2677243948
20180504121500,60450.0,60329.110795259476
20180504121600,60375.0,60363.87819945812
20180504121700,60325.0,60324.84166324139
20180504121800,60275.0,60264.0212059021
20180504121900,60250.0,60214.7637963295
20180504122000,60250.0,60178.52117419243
20180504122100,60350.0,60166.913126409054
20180504122200,60375.0,60219.04075443745
20180504122300,60350.0,60278.4642547369
20180504122400,60375.0,60277.03990638256
20180504122500,60350.0,60278.4642547369
20180504122600,60350.0,60277.03990638256
20180504122700,60350.0,60265.44555425644
20180504122800,60350.0,60265.44555425644
20180504122900,60400.0,60265.44555425644
20180504123000,60350.0,60291.48686826229
20180504123100,60375.0,60288.63621503115
20180504123200,60375.0,60278.4642547369
20180504123300,60400.0,60290.06251990795
20180504123400,60475.0,60303.07926386595
20180504123500,60500.0,60353.71210873127
20180504123600,60575.0,60401.4747351408
20180504123700,60524.99999999999,60452.06062346697
20180504123800,60450.0,60460.78867018223
20180504123900,60475.0,60398.62995147705
20180504124000,60524.99999999999,60376.88711732626
20180504124100,60550.0,60414.47973996401
20180504124200,60575.0,60450.638231635094
20180504124300,60575.0,60475.21215379238
20180504124400,60575.0,60486.78107112646
20180504124500,60625.0,60486.78107112646
20180504124600,60675.0,60512.765645980835
20180504124700,60650.0,60561.870446801186
20180504124800,60600.0,60572.00914621353
20180504124900,60600.0,60534.47717577219
20180504125000,60675.0,60511.341297626495
20180504125100,60650.0,60550.3073990345
20180504125200,60675.0,60572.00914621353
20180504125300,60625.0,60573.43349456787
20180504125400,60725.0,60559.0276196599
20180504125500,60725.0,60587.83349990845
20180504125600,60750.0,60634.05829966068
20180504125700,60775.0,60647.03004360199
