datetime,original,predicted
20180504090200,61125.0,61397.154515981674
20180504090300,61800.0,61097.39074334502
20180504090400,62499.99999999999,61354.12731990218
20180504090500,62675.0,62052.25519686937
20180504090600,62575.0,62478.982078284025
20180504090700,62950.0,62508.29163789749
20180504090800,62825.0,62662.41583824158
20180504090900,62675.0,62773.16368967295
20180504091000,62625.0,62633.245511353016
20180504091100,62925.0,62535.17640605569
20180504091200,63050.0,62672.71263375878
20180504091300,63225.0,62882.17648714781
20180504091400,63425.0,63035.401029884815
20180504091500,63550.0,63225.64005702734
20180504091600,63350.0,63387.36422210932
20180504091700,63000.0,63339.29251730442
20180504091800,62825.0,63056.77646622062
20180504091900,62850.0,62796.87609374523
20180504092000,62925.0,62727.30257213116
20180504092100,62775.0,62779.4612929225
20180504092200,62499.99999999999,62734.43557173014
20180504092300,62600.00000000001,62515.428921580315
20180504092400,62575.0,62438.65171298385
20180504092500,62450.0,62472.6866170764
20180504092600,62450.0,62393.585292994976
20180504092700,62400.0,62334.225027263165
20180504092800,62400.0,62307.325264811516
20180504092900,62525.0,62283.57430398464
20180504093000,62775.0,62350.82156807184
20180504093100,62725.0,62544.61852684617
20180504093200,62775.0,62636.398597061634
20180504093300,62800.0,62639.54739868641
20180504093400,62525.0,62676.7075419426
20180504093500,62350.0,62540.7371468842
20180504093600,62425.0,62316.04551747441
20180504093700,62475.0,62273.275366425514
20180504093800,62425.0,62335.79728603363
20180504093900,62475.0,62332.648484408855
20180504094000,62625.0,62335.79728603363
20180504094100,62625.0,62440.226113796234
20180504094200,62475.0,62511.44258156419
20180504094300,62325.0,62430.773282796144
20180504094400,62250.0,62278.84681746364
20180504094500,62300.0,62167.22715497017
20180504094600,62325.0,62158.498334139585
20180504094700,62400.0,62195.70988640189
20180504094800,62450.0,62247.94572070241
20180504094900,62375.0,62310.47406643629
20180504095000,62350.0,62293.87538358569
20180504095100,62475.0,62244.79477703571
20180504095200,62425.0,62300.17298683524
20180504095300,62225.0,62332.648484408855
20180504095400,62000.0,62201.283479481936
20180504095500,62025.0,61985.12360304594
20180504095600,61925.0,61891.62347316742
20180504095700,61925.0,61849.65658783913
20180504095800,62025.0,61802.1075412631
20180504095900,62100.0,61855.96275925636
20180504100000,62150.0,61943.89358013868
20180504100100,62125.0,62006.46690875292
20180504100200,62050.0,62016.77441447973
20180504100300,61850.0,61964.51073363423
20180504100400,61724.99999999999,61821.150293946266
20180504100500,61775.0,61658.70211869478
20180504100600,61825.00000000001,61626.17949619889
20180504100700,62000.0,61676.90090686083
20180504100800,62125.0,61794.94455307722
20180504100900,62175.0,61945.47012299299
