datetime,original,predicted
20180504090200,406875.0,405333.55608582497
20180504090300,407625.0,405996.5772777796
20180504090400,408000.0,407022.0810472965
20180504090500,409750.0,407562.35831975937
20180504090600,412250.0,408645.11343836784
20180504090700,412875.0,410738.0921840668
20180504090800,413250.0,412193.40005517006
20180504090900,415500.0,412668.24305057526
20180504091000,420250.0,413988.310366869
20180504091100,422625.0,417401.21798217297
20180504091200,422500.0,420680.7504296303
20180504091300,423500.0,421654.0889441967
20180504091400,425250.0,422094.1162407398
20180504091500,427000.0,423388.40332627296
20180504091600,428000.0,424996.0608482361
20180504091700,427000.0,426228.2655239105
20180504091800,426875.0,426169.1706478596
20180504091900,426125.0,425682.8147172928
20180504092000,424250.0,425264.938890934
20180504092100,423875.0,424028.47880125046
20180504092200,423500.0,423036.6612970829
20180504092300,423000.0,422689.97621536255
20180504092400,422750.0,422281.062990427
20180504092500,423375.0,421940.6590163708
20180504092600,423875.0,422140.8820748329
20180504092700,423875.0,422658.30835700035
20180504092800,423750.0,422874.6058046818
20180504092900,422875.0,422813.0771815777
20180504093000,422750.0,422327.7413845062
20180504093100,422625.0,421886.3733410835
20180504093200,422000.0,421770.2530026436
20180504093300,421750.0,421406.51711821556
20180504093400,421750.0,421010.2389752865
20180504093500,421500.0,420901.1867046356
20180504093600,421375.0,420777.0218849182
20180504093700,421875.0,420605.6977510452
20180504093800,423125.0,420799.5814085007
20180504093900,423250.0,421637.16930150986
20180504094000,422750.0,422241.8461441994
20180504094100,422875.0,422049.1866469383
20180504094200,423250.0,421893.87860894203
20180504094300,422875.0,422133.4059536457
20180504094400,422875.0,422110.93387007713
20180504094500,422375.0,421948.14971089363
20180504094600,422125.0,421700.92764496803
20180504094700,422250.0,421359.605550766
20180504094800,421625.0,421312.6939833164
20180504094900,421625.0,421057.20883607864
20180504095000,421625.0,420784.54172611237
20180504095100,421250.0,420784.54172611237
20180504095200,421125.0,420598.1779098511
20180504095300,420375.0,420372.0580339432
20180504095400,420625.0,419943.73312592506
20180504095500,420750.0,419739.60441350937
20180504095600,420750.0,419911.59892082214
20180504095700,420375.0,419966.3800895214
20180504095800,420250.0,419779.3458998203
20180504095900,420375.0,419552.40991711617
20180504100000,420375.0,419559.9589049816
20180504100100,420875.0,419614.82751369476
20180504100200,421250.0,419864.33759331703
20180504100300,421375.0,420270.21956443787
20180504100400,421125.0,420496.4414536953
20180504100500,421625.0,420426.72261595726
20180504100600,421500.0,420566.13114476204
20180504100700,421250.0,420722.43016958237
20180504100800,421500.0,420543.5424745083
20180504100900,421750.0,420558.59673023224
20180504101000,421750.0,420792.0615673065
20180504101100,421375.0,420901.1867046356
20180504101200,421250.0,420714.89575505257
20180504101300,421125.0,420488.9070391655
20180504101400,421625.0,420372.0580339432
20180504101500,421625.0,420566.13114476204
20180504101600,421625.0,420784.54172611237
20180504101700,421625.0,420784.54172611237
20180504101800,421375.0,420784.54172611237
20180504101900,421500.0,420660.31861305237
20180504102000,421500.0,420613.232165575
20180504102100,421500.0,420667.8384542465
20180504102200,421500.0,420667.8384542465
20180504102300,421000.0,420667.8384542465
20180504102400,421125.0,420419.18820142746
20180504102500,420875.0,420262.6705765724
20180504102600,421625.0,420192.8934454918
20180504102700,421500.0,420456.83112740517
20180504102800,421000.0,420722.43016958237
20180504102900,421125.0,420419.18820142746
20180504103000,420750.0,420262.6705765724
20180504103100,421500.0,420130.6361556053
20180504103200,421375.0,420339.95297551155
20180504103300,421125.0,420605.6977510452
20180504103400,421125.0,420426.72261595726
20180504103500,421000.0,420317.3643052578
20180504103600,420375.0,420255.15073537827
20180504103700,420000.0,419888.9519572258
20180504103800,420250.0,419427.5164306164
20180504103900,421375.0,419387.71665096283
20180504104000,421625.0,420058.78961086273
20180504104100,421375.0,420675.3728687763
20180504104200,421625.0,420660.31861305237
20180504104300,421250.0,420675.3728687763
20180504104400,421875.0,420598.1779098511
20180504104500,422250.0,420744.9896931648
20180504104600,421125.0,421203.7728726864
20180504104700,421000.0,420808.9666366577
