datetime,original,predicted
20180504090200,262250.0,261706.7048996687
20180504090300,262875.0,261639.0677690506
20180504090400,263500.0,261917.74775087833
20180504090500,263500.0,262553.27421426773
20180504090600,263250.0,262850.6418168545
20180504090700,263250.0,262715.3809517622
20180504090800,262500.0,262596.4365899563
20180504090900,261875.0,262190.6339004636
20180504091000,260750.00000000003,261495.62855809927
20180504091100,259624.99999999997,260589.56027030945
20180504091200,258874.99999999997,259445.78410685062
20180504091300,259375.0,258505.16716390848
20180504091400,260375.0,258418.9160913229
20180504091500,260250.0,259197.45978713036
20180504091600,259749.99999999997,259605.51972687244
20180504091700,259250.0,259275.6061926484
20180504091800,258500.0,258767.39668101072
20180504091900,258125.00000000003,258124.11385029554
20180504092000,258749.99999999997,257564.88512456417
20180504092100,259375.0,257724.466688931
20180504092200,259250.0,258359.48409885168
20180504092300,259500.0,258589.0806093812
20180504092400,259500.0,258664.82910513878
20180504092500,259500.0,258783.70648622513
20180504092600,259624.99999999997,258783.70648622513
20180504092700,259624.99999999997,258851.3168245554
20180504092800,259875.00000000003,258910.75551509857
20180504092900,259624.99999999997,259045.9627956152
20180504093000,259000.00000000003,259029.6529904008
20180504093100,258500.0,258572.76410609484
20180504093200,258250.0,258005.26995956898
20180504093300,258500.0,257632.44857639074
20180504093400,258749.99999999997,257648.75838160515
20180504093500,258749.99999999997,257902.73587405682
20180504093600,258625.0,258021.58646285534
20180504093700,258749.99999999997,257954.0029168129
20180504093800,258749.99999999997,257962.16116845608
20180504093900,258500.0,258021.58646285534
20180504094000,258250.0,257886.43276691437
20180504094100,257750.0,257632.44857639074
20180504094200,257625.0,257243.39776486158
20180504094300,257625.0,256938.280493021
20180504094400,257625.0,256878.88199090958
20180504094500,257500.0,256878.88199090958
20180504094600,257125.00000000003,256811.3520294428
20180504094700,256875.0,256549.3770390749
20180504094800,256875.0,256236.23547703028
20180504094900,257625.0,256117.51215159893
20180504095000,258250.0,256522.57135510445
20180504095100,258500.0,257216.58538281918
20180504095200,258375.0,257648.75838160515
20180504095300,258125.00000000003,257700.02542436123
20180504095400,258125.00000000003,257505.47322630882
20180504095500,258250.0,257386.66282594204
20180504095600,258625.0,257454.21957969666
20180504095700,259125.0,257716.31513535976
20180504095800,259375.0,258164.88501429558
20180504095900,259500.0,258537.79347240925
20180504100000,259375.0,258724.26779568195
20180504100100,259749.99999999997,258716.11624211073
20180504100200,259749.99999999997,258859.46168005466
20180504100300,259624.99999999997,259037.81124204397
20180504100400,259749.99999999997,258970.2009037137
20180504100500,259875.00000000003,258978.35915535688
20180504100600,260000.0,259105.41488230228
20180504100700,260125.0,259232.47730731964
20180504100800,260125.0,259359.539732337
20180504100900,260125.0,259418.9918190241
20180504101000,260250.0,259418.9918190241
20180504101100,260375.0,259486.60215735435
20180504101200,260375.0,259613.67797851562
20180504101300,260250.0,259673.13676327467
