datetime,original,predicted
20180504090200,139875.0,138005.26200532913
20180504090300,139375.0,137961.27535104752
20180504090400,139625.0,137781.9552153349
20180504090500,139750.0,137693.80064308643
20180504090600,139875.0,137853.01057994366
20180504090700,140000.0,137961.27535104752
20180504090800,140250.0,138069.43942010403
20180504090900,139750.0,138234.8526030779
20180504091000,139125.0,138106.61861598492
20180504091100,138750.0,137615.87739884853
20180504091200,138625.0,137187.72250413895
20180504091300,138625.0,136976.42946839333
20180504091400,138500.0,136925.24261772633
20180504091500,138625.0,136867.2483086586
20180504091600,138375.0,136874.02555644512
20180504091700,137750.0,136809.21371877193
20180504091800,137875.0,136415.8513814211
20180504091900,137750.0,136216.803714633
20180504092000,138125.0,136209.98618602753
20180504092100,138125.0,136333.39654505253
20180504092200,138250.0,136487.69222199917
20180504092300,138500.0,136545.87786495686
20180504092400,138250.0,136713.4561419487
20180504092500,138250.0,136699.87143576145
20180504092600,138625.0,136597.2258388996
20180504092700,138750.0,136771.5310126543
20180504092800,138750.0,136983.20671617985
20180504092900,138500.0,137034.3834966421
20180504093000,138375.0,136918.45529973507
20180504093100,138375.0,136757.9563766718
20180504093200,138250.0,136706.66882395744
20180504093300,138250.0,136648.56374263763
20180504093400,138250.0,136597.2258388996
20180504093500,138375.0,136597.2258388996
20180504093600,138250.0,136655.37120103836
20180504093700,138125.0,136648.56374263763
20180504093800,138125.0,136539.07040655613
20180504093900,138125.0,136487.69222199917
20180504094000,138000.0,136487.69222199917
20180504094100,137750.0,136429.486438632
20180504094200,137750.0,136261.49528324604
20180504094300,137625.0,136158.46701860428
20180504094400,137875.0,136100.10011196136
20180504094500,137875.0,136165.28454720974
20180504094600,138125.0,136268.3128118515
20180504094700,138250.0,136384.85529124737
20180504094800,138250.0,136545.87786495686
20180504094900,138250.0,136597.2258388996
20180504095000,138250.0,136597.2258388996
20180504095100,138375.0,136597.2258388996
20180504095200,138375.0,136655.37120103836
20180504095300,138250.0,136706.66882395744
20180504095400,138250.0,136648.56374263763
20180504095500,138250.0,136597.2258388996
20180504095600,138125.0,136597.2258388996
20180504095700,137750.0,136539.07040655613
20180504095800,137625.0,136312.97416985035
20180504095900,137750.0,136100.10011196136
20180504100000,137750.0,136106.91764056683
20180504100100,137625.0,136158.46701860428
20180504100200,137750.0,136100.10011196136
20180504100300,137750.0,136106.91764056683
20180504100400,137875.0,136158.46701860428
20180504100500,137625.0,136216.803714633
20180504100600,137625.0,136151.64948999882
20180504100700,137750.0,136048.53059351444
20180504100800,137625.0,136106.91764056683
20180504100900,137750.0,136100.10011196136
20180504101000,137750.0,136106.91764056683
20180504101100,137875.0,136158.46701860428
20180504101200,137750.0,136216.803714633
20180504101300,137500.0,136209.98618602753
20180504101400,137625.0,136041.71306490898
20180504101500,137750.0,135996.92079424858
20180504101600,137750.0,136106.91764056683
20180504101700,137875.0,136158.46701860428
20180504101800,138000.0,136216.803714633
20180504101900,138250.0,136326.59915685654
20180504102000,138375.0,136494.48961019516
20180504102100,138875.0,136655.37120103836
20180504102200,138750.0,136938.79711329937
20180504102300,138875.0,137085.5099260807
20180504102400,138750.0,137092.29724407196
20180504102500,138625.0,137085.5099260807
20180504102600,138750.0,136976.42946839333
20180504102700,138875.0,136983.20671617985
20180504102800,138875.0,137092.29724407196
20180504102900,138750.0,137143.41360330582
20180504103000,138750.0,137085.5099260807
20180504103100,138625.0,137034.3834966421
20180504103200,138750.0,136976.42946839333
20180504103300,138875.0,136983.20671617985
20180504103400,138750.0,137092.29724407196
20180504103500,139000.0,137085.5099260807
20180504103600,138625.0,137150.1807808876
20180504103700,138750.0,137078.73267829418
20180504103800,138750.0,136983.20671617985
20180504103900,139000.0,137034.3834966421
20180504104000,139375.0,137150.1807808876
20180504104100,139250.0,137425.69151222706
20180504104200,139500.0,137520.83480656147
20180504104300,139750.0,137585.27404665947
20180504104400,139500.0,137802.2164672613
20180504104500,139250.0,137788.7022525072
20180504104600,139250.0,137571.74976170063
20180504104700,139125.0,137469.89971101284
20180504104800,139375.0,137412.15715706348
20180504104900,139375.0,137476.6568183899
20180504105000,139250.0,137578.52700948715
20180504105100,139250.0,137520.83480656147
20180504105200,139125.0,137469.89971101284
20180504105300,139125.0,137412.15715706348
20180504105400,139250.0,137361.17171049118
20180504105500,139375.0,137418.93440485
20180504105600,139125.0,137527.60198414326
20180504105700,139375.0,137463.13253343105
20180504105800,139250.0,137476.6568183899
20180504105900,139125.0,137520.83480656147
20180504110000,139125.0,137412.15715706348
20180504110100,139250.0,137361.17171049118
20180504110200,139375.0,137418.93440485
20180504110300,139375.0,137527.60198414326
20180504110400,139375.0,137578.52700948715
20180504110500,139375.0,137578.52700948715
20180504110600,139000.0,137578.52700948715
20180504110700,138625.0,137405.3899794817
20180504110800,138625.0,137078.73267829418
20180504110900,138625.0,136925.24261772633
20180504111000,138625.0,136925.24261772633
20180504111100,138875.0,136925.24261772633
20180504111200,138750.0,137041.1506742239
20180504111300,138750.0,137085.5099260807
20180504111400,138750.0,137034.3834966421
20180504111500,138750.0,137034.3834966421
20180504111600,138875.0,137034.3834966421
20180504111700,138625.0,137092.29724407196
20180504111800,138625.0,137027.58610844612
20180504111900,138750.0,136925.24261772633
20180504112000,138750.0,136983.20671617985
20180504112100,138750.0,137034.3834966421
20180504112200,138750.0,137034.3834966421
20180504112300,138875.0,137034.3834966421
20180504112400,138625.0,137092.29724407196
20180504112500,138750.0,137027.58610844612
20180504112600,138875.0,136983.20671617985
20180504112700,138625.0,137092.29724407196
20180504112800,138750.0,137027.58610844612
20180504112900,138750.0,136983.20671617985
20180504113000,138625.0,137034.3834966421
20180504113100,138750.0,136976.42946839333
20180504113200,138750.0,136983.20671617985
20180504113300,138625.0,137034.3834966421
20180504113400,138750.0,136976.42946839333
20180504113500,138625.0,136983.20671617985
20180504113600,137750.0,136976.42946839333
20180504113700,137250.0,136518.62789094448
20180504113800,137125.0,135924.82819855213
20180504113900,137125.0,135659.51858460903
20180504114000,137125.0,135607.7476620674
20180504114100,137125.0,135607.7476620674
20180504114200,137125.0,135607.7476620674
20180504114300,137125.0,135607.7476620674
20180504114400,137125.0,135607.7476620674
20180504114500,137125.0,135607.7476620674
20180504114600,137250.0,135607.7476620674
20180504114700,137250.0,135666.35625362396
20180504114800,137250.0,135718.09696555138
20180504114900,137250.0,135718.09696555138
20180504115000,137125.0,135718.09696555138
20180504115100,137250.0,135659.51858460903
20180504115200,137250.0,135666.35625362396
20180504115300,137250.0,135718.09696555138
20180504115400,137250.0,135718.09696555138
20180504115500,137250.0,135718.09696555138
20180504115600,137250.0,135718.09696555138
20180504115700,137250.0,135718.09696555138
20180504115800,137250.0,135718.09696555138
20180504115900,137125.0,135718.09696555138
20180504120000,137375.0,135659.51858460903
20180504120100,137250.0,135724.92456436157
20180504120200,137250.0,135769.81753706932
20180504120300,137250.0,135718.09696555138
20180504120400,137375.0,135718.09696555138
20180504120500,137250.0,135776.64513587952
20180504120600,137250.0,135769.81753706932
20180504120700,137250.0,135718.09696555138
20180504120800,137125.0,135718.09696555138
20180504120900,137250.0,135659.51858460903
20180504121000,137250.0,135666.35625362396
20180504121100,137125.0,135718.09696555138
20180504121200,137125.0,135659.51858460903
20180504121300,137250.0,135607.7476620674
20180504121400,137375.0,135666.35625362396
20180504121500,137250.0,135776.64513587952
20180504121600,137250.0,135769.81753706932
20180504121700,137250.0,135718.09696555138
20180504121800,137375.0,135718.09696555138
20180504121900,137125.0,135776.64513587952
20180504122000,137250.0,135711.25929653645
20180504122100,137375.0,135666.35625362396
20180504122200,137250.0,135776.64513587952
20180504122300,137250.0,135769.81753706932
20180504122400,137125.0,135718.09696555138
20180504122500,137250.0,135659.51858460903
20180504122600,137250.0,135666.35625362396
20180504122700,137250.0,135718.09696555138
20180504122800,137250.0,135718.09696555138
20180504122900,137250.0,135718.09696555138
20180504123000,137125.0,135718.09696555138
20180504123100,137125.0,135659.51858460903
20180504123200,137250.0,135607.7476620674
20180504123300,137375.0,135666.35625362396
20180504123400,137375.0,135776.64513587952
20180504123500,137250.0,135828.33549678326
20180504123600,137250.0,135769.81753706932
20180504123700,137250.0,135718.09696555138
20180504123800,137375.0,135718.09696555138
20180504123900,137375.0,135776.64513587952
20180504124000,137125.0,135828.33549678326
20180504124100,137125.0,135711.25929653645
20180504124200,137375.0,135607.7476620674
20180504124300,137125.0,135724.92456436157
20180504124400,137125.0,135711.25929653645
20180504124500,137375.0,135607.7476620674
20180504124600,137375.0,135724.92456436157
20180504124700,137250.0,135828.33549678326
20180504124800,137375.0,135769.81753706932
20180504124900,137250.0,135776.64513587952
20180504125000,137375.0,135769.81753706932
20180504125100,137500.0,135776.64513587952
20180504125200,137375.0,135886.83331608772
20180504125300,137250.0,135880.00571727753
20180504125400,137125.0,135769.81753706932
20180504125500,137250.0,135659.51858460903
20180504125600,137375.0,135666.35625362396
20180504125700,137375.0,135776.64513587952
20180504125800,137250.0,135828.33549678326
20180504125900,137250.0,135769.81753706932
20180504130000,137125.0,135718.09696555138
20180504130100,137250.0,135659.51858460903
20180504130200,137250.0,135666.35625362396
20180504130300,137250.0,135718.09696555138
20180504130400,137250.0,135718.09696555138
20180504130500,137250.0,135718.09696555138
20180504130600,137250.0,135718.09696555138
20180504130700,137250.0,135718.09696555138
20180504130800,137250.0,135718.09696555138
20180504130900,137125.0,135718.09696555138
20180504131000,137250.0,135659.51858460903
20180504131100,137375.0,135666.35625362396
20180504131200,137625.0,135776.64513587952
20180504131300,137625.0,135945.30092477798
20180504131400,137750.0,136048.53059351444
20180504131500,137875.0,136106.91764056683
20180504131600,137750.0,136216.803714633
20180504131700,137875.0,136209.98618602753
20180504131800,137875.0,136216.803714633
20180504131900,137625.0,136268.3128118515
20180504132000,137750.0,136151.64948999882
20180504132100,137875.0,136106.91764056683
20180504132200,137750.0,136216.803714633
20180504132300,137750.0,136209.98618602753
20180504132400,137875.0,136158.46701860428
20180504132500,137750.0,136216.803714633
20180504132600,137750.0,136209.98618602753
20180504132700,137750.0,136158.46701860428
20180504132800,137750.0,136158.46701860428
20180504132900,137875.0,136158.46701860428
20180504133000,137750.0,136216.803714633
20180504133100,137750.0,136209.98618602753
20180504133200,137875.0,136158.46701860428
20180504133300,137750.0,136216.803714633
20180504133400,137875.0,136209.98618602753
20180504133500,138000.0,136216.803714633
20180504133600,138375.0,136326.59915685654
20180504133700,138750.0,136552.65511274338
20180504133800,138750.0,136880.81287443638
20180504133900,138750.0,137034.3834966421
20180504134000,138625.0,137034.3834966421
20180504134100,138500.0,136976.42946839333
20180504134200,138375.0,136867.2483086586
20180504134300,138375.0,136757.9563766718
20180504134400,138125.0,136706.66882395744
20180504134500,138125.0,136590.42845070362
20180504134600,138375.0,136487.69222199917
20180504134700,138250.0,136604.0232270956
20180504134800,138500.0,136648.56374263763
20180504134900,138750.0,136713.4561419487
20180504135000,138625.0,136932.02993571758
20180504135100,138375.0,136976.42946839333
20180504135200,138250.0,136809.21371877193
20180504135300,138250.0,136648.56374263763
20180504135400,138250.0,136597.2258388996
20180504135500,137625.0,136597.2258388996
20180504135600,137875.0,136306.14657104015
20180504135700,137875.0,136165.28454720974
20180504135800,137750.0,136268.3128118515
20180504135900,137750.0,136209.98618602753
20180504140000,137625.0,136158.46701860428
20180504140100,137750.0,136100.10011196136
20180504140200,137875.0,136106.91764056683
20180504140300,137625.0,136216.803714633
20180504140400,137625.0,136151.64948999882
20180504140500,137625.0,136048.53059351444
20180504140600,137625.0,136048.53059351444
20180504140700,138000.0,136048.53059351444
20180504140800,137625.0,136223.6111730337
20180504140900,138000.0,136203.1787276268
20180504141000,138250.0,136223.6111730337
20180504141100,138250.0,136494.48961019516
20180504141200,138250.0,136597.2258388996
20180504141300,138250.0,136597.2258388996
20180504141400,138125.0,136597.2258388996
20180504141500,138125.0,136539.07040655613
20180504141600,138250.0,136487.69222199917
20180504141700,138250.0,136545.87786495686
20180504141800,138250.0,136597.2258388996
20180504141900,138125.0,136597.2258388996
20180504142000,137750.0,136539.07040655613
20180504142100,137750.0,136312.97416985035
20180504142200,137750.0,136158.46701860428
20180504142300,137750.0,136158.46701860428
20180504142400,137875.0,136158.46701860428
20180504142500,137875.0,136216.803714633
20180504142600,137750.0,136268.3128118515
20180504142700,137750.0,136209.98618602753
20180504142800,137875.0,136158.46701860428
20180504142900,137750.0,136216.803714633
20180504143000,137625.0,136209.98618602753
20180504143100,137875.0,136100.10011196136
20180504143200,137625.0,136165.28454720974
20180504143300,137875.0,136151.64948999882
20180504143400,137750.0,136165.28454720974
20180504143500,137750.0,136209.98618602753
20180504143600,137750.0,136158.46701860428
20180504143700,137625.0,136158.46701860428
